ID	padj
XM_027370790.1	2.07785004875518e-275
XM_027382986.1	3.65394595227376e-236
XM_027355909.1	7.3921620266609e-231
XM_027373336.1	8.22768731578326e-227
XM_027383691.1	7.81288851307794e-218
XM_027363212.1	3.3124466962313e-217
XM_027363211.1	1.13313895712661e-210
XM_027363208.1	2.4806131362729e-205
XM_027363227.1	5.13340067591662e-204
XM_027354432.1	5.41298386130544e-203
XM_027356802.1	2.53394789670798e-201
XM_027361441.1	4.9359399559733e-200
XM_027365861.1	5.10325350990349e-199
XM_027375601.1	7.96329293293952e-198
XM_027355456.1	2.35188170968421e-186
XM_027363873.1	1.85982886332516e-183
XM_027363219.1	1.41248214690573e-182
XM_027363213.1	7.13287185456834e-175
XM_027363232.1	2.15588901795893e-174
XM_027363209.1	3.87802898389543e-174
XM_027356797.1	3.08741434664251e-170
XM_027367001.1	7.02257133493597e-164
XM_027373383.1	1.69096875457593e-158
XM_027373337.1	4.3791140378806e-156
XM_027363230.1	7.32338014419857e-155
XM_027360238.1	2.43822291652826e-154
XM_027363220.1	4.29899813450728e-152
XM_027375602.1	7.23820998160168e-152
XM_027373341.1	1.0551772391668e-147
XM_027365860.1	6.32807379188832e-141
XM_027373331.1	8.35192041712085e-137
XM_027373334.1	3.10571901142609e-136
XM_027383692.1	2.80792536768592e-135
XM_027369977.1	2.4447631915226e-134
XM_027363228.1	1.79120810448451e-130
XM_027373312.1	1.40028575956268e-126
XM_027363217.1	2.9241753248005e-126
XM_027373332.1	6.52615263950705e-126
XM_027359306.1	1.28512613851725e-124
XM_027366311.1	1.74070026098695e-122
XM_027373338.1	3.74179170264852e-120
XM_027359305.1	1.22464200432558e-119
XM_027356799.1	1.5126894938696e-118
XM_027356275.1	2.7096946143212e-118
XM_027356798.1	3.9076928784603e-118
XM_027356611.1	8.63571960934462e-117
XM_027373339.1	3.58777765151877e-116
XM_027356800.1	3.51827889824907e-115
XM_027375603.1	6.07864216443678e-115
XM_027367149.1	3.80834633072366e-114
XM_027373333.1	5.80544779457582e-113
XM_027356629.1	2.82810686771133e-112
XM_027373344.1	3.07179548309946e-112
XM_027360043.1	2.65120154584425e-109
XM_027373340.1	3.4005043923476e-108
XM_027359304.1	1.14722223540155e-107
XM_027363210.1	2.09666246740205e-107
XM_027363225.1	3.57764235291413e-107
XM_027354226.1	6.94536681353087e-107
XM_027373335.1	2.80459160224866e-106
XM_027356801.1	3.78313044136475e-106
XM_027350813.1	8.5883708984846e-106
XM_027369732.1	4.48322083010571e-105
XM_027357480.1	1.68201281599528e-104
XM_027365225.1	5.15878547501261e-104
XM_027373316.1	1.76086977978573e-103
XM_027353243.1	1.11117239265976e-99
XM_027365370.1	1.88593843766918e-99
XM_027356399.1	2.03779067366455e-99
XM_027363218.1	3.48346550218872e-99
XM_027381865.1	4.58459562981439e-98
XM_027363215.1	6.42253084430241e-98
XM_027373317.1	9.27864278014966e-98
XM_027373988.1	1.17338925026181e-97
XM_027373343.1	1.78127033760403e-97
XM_027373315.1	2.99334548482019e-96
XM_027373330.1	1.52521495512218e-95
XM_027371688.1	5.81434016631871e-94
XM_027374156.1	7.74685525768385e-92
XM_027361148.1	2.47795159186699e-90
XM_027372676.1	1.34029220057253e-89
XM_027363216.1	2.9492097188327e-89
XM_027371440.1	2.9492097188327e-89
XM_027373991.1	6.07701242217802e-89
XM_027365636.1	3.03428754399532e-88
XM_027365734.1	3.44034351400307e-88
XM_027383519.1	3.13643153992999e-87
XM_027357062.1	1.01935180938789e-86
XM_027359212.1	2.27295283752416e-82
XM_027363221.1	2.8820574512307e-82
XM_027361149.1	3.12200990185318e-82
XM_027360239.1	6.36273871628098e-82
XM_027360996.1	2.37018276393013e-81
XM_027373323.1	8.01417129237016e-81
XM_027365696.1	8.43040344522367e-81
XM_027365668.1	9.85353589966881e-80
XM_027360999.1	2.01936201320047e-79
XM_027370370.1	3.76286496104974e-79
XM_027369777.1	1.02514155201387e-78
XM_027360998.1	1.0703304802321e-78
XM_027383586.1	1.0940953214751e-78
XM_027360995.1	1.70685207640532e-78
XM_027375615.1	3.7761679417086e-78
XM_027375035.1	2.21423354600738e-77
XM_027360317.1	2.54353705878691e-77
XM_027375613.1	3.2260438215171e-77
XM_027356628.1	4.49163445814085e-77
XM_027360578.1	6.42106100063178e-77
XM_027381854.1	9.71514675992743e-77
XM_027373555.1	3.80837325166344e-76
XM_027356931.1	4.19697223604777e-76
XM_027351037.1	1.89080745506072e-75
XM_027365705.1	2.95337655596229e-75
XM_027380274.1	4.56156468783383e-75
XM_027381851.1	3.65345960631917e-74
XM_027362623.1	4.53008043247088e-74
XM_027365559.1	4.88820401665851e-74
XM_027373313.1	8.59393620023891e-74
XM_027365858.1	6.13534352417722e-73
XM_027370783.1	7.00339432307785e-73
XR_003474915.1	2.00122374901243e-72
XM_027366313.1	2.13114326197255e-72
XM_027371557.1	2.67462881069439e-72
XM_027375614.1	2.91791905287452e-72
XM_027353508.1	5.66615026143976e-72
XM_027371482.1	5.8987754473703e-72
XM_027370544.1	8.54682296695811e-72
XM_027366461.1	9.96471792281119e-72
XM_027363224.1	5.002352423303e-71
XM_027371555.1	5.22315871089153e-70
XM_027371268.1	5.37808976863802e-70
XM_027360316.1	5.47277711801927e-70
XM_027356510.1	1.01730131400959e-69
XM_027355788.1	1.67830779595351e-69
XM_027375142.1	7.88768910799945e-69
XM_027381617.1	1.03646682318599e-68
XM_027383817.1	2.88284930188442e-68
XR_003475609.1	3.4708990347421e-68
XM_027355187.1	4.39259470061441e-68
XM_027375663.1	6.16857626652808e-68
XM_027350736.1	8.55325972704597e-68
XM_027357077.1	1.27940582696621e-67
XM_027370602.1	1.8466737859078e-67
XM_027371770.1	3.59584359727092e-67
XR_003476379.1	3.6324258683752e-67
XM_027370936.1	3.66469286897587e-67
XM_027380152.1	5.41190300891364e-67
XM_027371495.1	1.44589634375701e-66
XM_027365831.1	1.58275865672523e-66
XM_027367224.1	2.54423377153745e-66
XM_027380490.1	2.88156433174486e-66
XM_027369730.1	4.07588274110901e-66
XM_027366312.1	2.04991329445336e-65
XM_027366515.1	2.60600651224962e-65
XM_027366844.1	3.30352199101962e-65
XM_027383587.1	4.26316116240422e-65
XM_027350702.1	6.29111235675231e-65
XM_027377415.1	1.06137737972177e-64
XM_027368450.1	2.01044196687409e-64
XM_027378553.1	4.75644279217007e-64
XM_027366462.1	5.95402155737093e-64
XM_027363739.1	1.06932442769672e-63
XM_027383577.1	1.31636150191906e-63
XM_027359703.1	1.43431842491083e-63
XM_027365689.1	1.77120533620755e-63
XM_027373625.1	4.28025331538908e-63
XM_027354321.1	4.58626304634362e-63
XM_027353766.1	5.07878293696672e-63
XR_003476755.1	7.53887424973917e-63
XM_027373260.1	1.14789907155648e-62
XM_027375051.1	1.25257768417993e-62
XM_027363226.1	5.59628959597036e-62
XM_027371551.1	6.49094546614442e-62
XM_027375879.1	9.65905437603979e-62
XM_027381853.1	1.4090998154567e-61
