ID	log2FoldChange
XM_027354936.1	-7.36121647945585
XM_027355456.1	-9.41293801630979
XM_027363208.1	-11.0222937203523
XM_027363213.1	-10.689467116571
XM_027382986.1	-10.3751450642026
XR_003476216.1	-5.79294097557896
XM_027363221.1	-10.4868560163492
XM_027363229.1	-9.91787295236976
XM_027363227.1	-10.6983062691049
XM_027354938.1	-7.3198509860671
XM_027363220.1	-10.2091016202472
XM_027363225.1	-10.4466448214371
XM_027363219.1	-10.5245627331196
XM_027369977.1	-11.9555338623081
XM_027363226.1	-10.2285992613487
XM_027354940.1	-7.38668461429621
XR_003476212.1	-5.7298902186935
XM_027356628.1	-9.94971924740847
XM_027363211.1	-11.2831184753216
XM_027376200.1	-10.5671322450624
XM_027363209.1	-11.1010468240311
XM_027363223.1	-10.487540470942
XM_027363218.1	-10.3074708575236
XM_027363228.1	-10.822978798216
XM_027370370.1	-11.5203728823249
XM_027363224.1	-10.6130470793139
XM_027350813.1	-7.19007426101172
XM_027362996.1	-5.88884823086536
XM_027359305.1	-8.78935394340097
XM_027377764.1	-9.29004260431578
XM_027381154.1	-11.7043173036656
XM_027363007.1	-5.80519464378467
XM_027359306.1	-8.90025526457435
XM_027383691.1	-9.62202514451382
XM_027354937.1	-7.03027284382183
XM_027363215.1	-11.9137309473488
XM_027363230.1	-11.0960056808183
XM_027369485.1	-6.52907403313602
XM_027354939.1	-7.26035382327892
XM_027367942.1	-9.81681775216703
XM_027357523.1	-11.0827232625033
XM_027363212.1	-12.6264465055836
XM_027381156.1	-11.6470836764281
XM_027368790.1	-6.85791684217586
XM_027369484.1	-6.70976618752066
XM_027375602.1	-8.58902378025295
XM_027374038.1	5.13881151277609
XM_027366310.1	-6.81254149713798
XM_027359304.1	-8.62811771234345
XM_027381155.1	-11.7297773207457
XM_027376169.1	6.73191877222925
XM_027351285.1	-6.38070103072812
XM_027377318.1	-9.6887346371679
XM_027373118.1	-8.91080092209832
XM_027372779.1	-4.66903231967309
XM_027381061.1	-7.33818947680534
XM_027355187.1	-10.2463413376334
XM_027364371.1	-4.65002338563644
XM_027380303.1	-8.77782014576331
XM_027364373.1	-4.69902032916204
XM_027375601.1	-8.84394501480618
XM_027377145.1	-10.5556006565853
XM_027363232.1	-10.4362955927032
XM_027363214.1	-11.2479983935003
XM_027357845.1	-8.90360565074291
XM_027383576.1	-10.8098884798894
XM_027356176.1	-6.91663341213625
XM_027383692.1	-9.49766298789112
XM_027372777.1	-4.58317027129985
XM_027355579.1	-7.73944224566876
XM_027353008.1	-8.15814930907088
XM_027363210.1	-10.9297174760487
XM_027375603.1	-9.07443208183244
XM_027373383.1	-12.9325045716814
XM_027356399.1	-10.6538719437004
XM_027366308.1	-5.98483863528297
XM_027364372.1	-5.20089527081228
XM_027378527.1	-8.06702994547885
XM_027376198.1	-10.6145724473362
XM_027354274.1	4.34850815865157
XM_027367438.1	-7.04186111344535
XR_003477628.1	-6.4926233011875
XM_027350640.1	6.55540177294899
XM_027374841.1	-5.21842429087207
XM_027354269.1	4.3930790575722
XM_027355580.1	-7.76437915920198
XM_027350702.1	-9.24284063163102
XM_027376054.1	-9.27132030738692
XM_027366311.1	-6.0056958133666
XM_027353560.1	-7.34884845482269
XM_027357062.1	-10.6409037604332
XM_027363217.1	-10.2665246237298
XM_027382193.1	-5.39254541277065
XM_027383586.1	-11.4040801802837
XM_027366306.1	-6.03441660689392
XM_027355828.1	-8.90879786531134
XM_027352359.1	-5.51358825370016
XM_027371768.1	-12.117812080308
XM_027371767.1	-11.9150197265458
XM_027354285.1	4.4267226939682
XM_027366769.1	-5.37376246746453
XM_027361149.1	-11.0178363926517
XM_027369512.1	-9.3889870723267
XM_027366313.1	-6.18297064762173
XM_027380297.1	-8.45077196974345
XM_027355807.1	-6.26557275000636
