ID	padj
XM_027354936.1	0
XM_027355456.1	0
XM_027363208.1	0
XM_027363213.1	0
XM_027382986.1	0
XR_003476216.1	0
XM_027363221.1	1.04044119077528e-293
XM_027363229.1	6.09892647361623e-286
XM_027363227.1	2.66703288773288e-285
XM_027354938.1	9.12124822379209e-277
XM_027363220.1	1.93935588915207e-275
XM_027363225.1	2.49536947361686e-273
XM_027363219.1	2.95134044137086e-272
XM_027369977.1	5.3265692346678e-272
XM_027363226.1	2.03977785381952e-271
XM_027354940.1	4.03149779784579e-264
XR_003476212.1	5.92699748408673e-264
XM_027356628.1	9.89513472447803e-264
XM_027363211.1	1.05859783032107e-260
XM_027376200.1	4.88106458533998e-256
XM_027363209.1	7.00978638250033e-256
XM_027363223.1	8.24104864434951e-256
XM_027363218.1	2.04839071456285e-252
XM_027363228.1	6.57085853378012e-247
XM_027370370.1	4.90627982645228e-242
XM_027363224.1	7.57697110250383e-241
XM_027350813.1	1.03018769524578e-240
XM_027362996.1	6.17137503228005e-235
XM_027359305.1	4.76406849026824e-231
XM_027377764.1	3.75968894686871e-229
XM_027381154.1	1.41171565517293e-222
XM_027363007.1	2.19166204938834e-221
XM_027359306.1	2.06674262575491e-220
XM_027383691.1	2.27108640220557e-215
XM_027354937.1	2.00990636358482e-214
XM_027363215.1	4.41629537564203e-213
XM_027363230.1	1.83781614255891e-208
XM_027369485.1	1.54770648271391e-207
XM_027354939.1	1.65140770383692e-207
XM_027367942.1	5.71368508403828e-205
XM_027357523.1	1.57953500235177e-203
XM_027363212.1	4.38158574168749e-195
XM_027381156.1	8.47482193282398e-195
XM_027368790.1	2.01938289631615e-186
XM_027369484.1	7.06491882477507e-180
XM_027375602.1	2.58799603182281e-176
XM_027374038.1	5.10461405919519e-176
XM_027366310.1	5.90890045791536e-175
XM_027359304.1	2.9483810834352e-173
XM_027381155.1	3.21615429341436e-172
XM_027376169.1	4.33180823062681e-172
XM_027351285.1	2.39979154637012e-170
XM_027377318.1	3.3327639398684e-170
XM_027373118.1	2.21076529391552e-169
XM_027372779.1	4.26665252630144e-161
XM_027381061.1	4.26665252630144e-161
XM_027355187.1	8.40045195217164e-161
XM_027364371.1	7.0073790222881e-160
XM_027380303.1	8.06106376828236e-160
XM_027364373.1	1.67932436248633e-158
XM_027375601.1	6.74919689636353e-157
XM_027377145.1	7.43116987340945e-156
XM_027363232.1	1.76541758958033e-155
XM_027363214.1	5.66312031827479e-155
XM_027357845.1	1.2724605785864e-154
XM_027383576.1	1.25133153587234e-152
XM_027356176.1	1.72019040051451e-151
XM_027383692.1	4.96957882821227e-151
XM_027372777.1	4.04859943526674e-150
XM_027355579.1	2.61180841628286e-148
XM_027353008.1	1.00574713948691e-146
XM_027363210.1	3.04034170822794e-145
XM_027375603.1	6.71225605771209e-144
XM_027373383.1	3.46309347653412e-141
XM_027356399.1	1.00338325573954e-140
XM_027366308.1	2.83710267207531e-139
XM_027364372.1	4.1448626977035e-139
XM_027378527.1	3.8709336518842e-137
XM_027376198.1	1.05909455626101e-136
XM_027354274.1	4.82814920392922e-135
XM_027367438.1	3.96114912119899e-134
XR_003477628.1	1.8314572220806e-133
XM_027350640.1	1.92079249429414e-133
XM_027374841.1	6.61949407236027e-133
XM_027354269.1	1.12346998779713e-132
XM_027355580.1	3.78325884131039e-132
XM_027350702.1	2.56134375818911e-131
XM_027376054.1	2.98430779662263e-130
XM_027366311.1	4.72403014183627e-130
XM_027353560.1	4.81240033665932e-129
XM_027357062.1	1.86336643490244e-128
XM_027363217.1	3.19164305152773e-128
XM_027382193.1	6.19131196179678e-128
XM_027383586.1	6.88350496627915e-128
XM_027366306.1	1.33313697680922e-126
XM_027355828.1	2.64456705026126e-126
XM_027352359.1	6.35884563240202e-126
XM_027371768.1	1.72144369231588e-125
XM_027371767.1	8.4726532163114e-125
XM_027354285.1	9.63661234248854e-125
XM_027366769.1	3.64936545462389e-124
XM_027361149.1	2.89681581728067e-123
XM_027369512.1	8.22751076258993e-123
XM_027366313.1	9.30118787540987e-122
XM_027380297.1	7.45983451845371e-120
XM_027355807.1	5.17034138591106e-119
XM_027373933.1	7.60624193637372e-119
XM_027360928.1	2.06486792804455e-117
XM_027375615.1	8.64787875725966e-117
XM_027368571.1	1.79514475565334e-116
XM_027366305.1	4.41596435675164e-116
XM_027380973.1	5.47166609764126e-115
XM_027353739.1	7.36716527539829e-115
XR_003475626.1	1.35855203121711e-113
XM_027374148.1	7.23742950399946e-113
XM_027356802.1	3.68538241177515e-112
XM_027354278.1	3.95767256124279e-111
XM_027375339.1	2.00522113958482e-110
XM_027370793.1	6.05031808308974e-110
XM_027370381.1	1.81541906042277e-109
XM_027372710.1	5.00858834969452e-109
XM_027364136.1	6.01753734628636e-109
XM_027363872.1	1.08308712076952e-108
XM_027365370.1	2.13898562871711e-108
XR_003476289.1	9.02333677105382e-108
XM_027380289.1	1.12618497431163e-107
XM_027373629.1	5.0403666004137e-107
XM_027357870.1	2.90902368533872e-106
XM_027366307.1	4.96695112209779e-106
XM_027373738.1	5.25284636783554e-106
XM_027361321.1	6.72654370780876e-106
XM_027376055.1	9.13805689648784e-105
XM_027356905.1	1.19291923718042e-104
XM_027360728.1	1.19291923718042e-104
XM_027365007.1	2.71950760949313e-104
XM_027376719.1	4.74002640050599e-104
XM_027381957.1	3.57884332719627e-103
XM_027375118.1	4.44836859316935e-103
XM_027375113.1	5.12213803275017e-102
XM_027351952.1	5.85344737800416e-102
XM_027365861.1	9.83545414198799e-102
XM_027352824.1	6.15647055515915e-101
XM_027360018.1	8.42258663466071e-101
XM_027354076.1	3.51970993211281e-100
XM_027363216.1	1.18314140288496e-99
XM_027352461.1	5.05002104730834e-99
XM_027377953.1	5.63681009358287e-99
XM_027356510.1	7.12651227849554e-99
XM_027371152.1	6.63479272103011e-98
XM_027357961.1	9.72335510366943e-98
