ID	log2FoldChange
XM_027370962.1	-12.8670981327391
XM_027365885.1	-13.9454114663612
XM_027365884.1	-13.7630828522836
XM_027378454.1	-11.725498365856
XM_027367223.1	-13.1153074627383
XM_027367225.1	-13.0896136992986
XM_027367224.1	-12.9829590299562
XM_027368558.1	-13.306580162552
XM_027367243.1	-13.6503743687491
XM_027373341.1	-6.58614245712271
XR_003476719.1	-13.369651847249
XM_027383256.1	6.32521534415027
XM_027367241.1	-13.9476485628614
XM_027375602.1	-7.69533127101785
XM_027367222.1	-12.9143369010677
XM_027371493.1	-12.7719215970605
XM_027375601.1	-7.88422081064045
XM_027356729.1	-3.39624083513578
XM_027356692.1	-9.04338067067367
XM_027377147.1	4.98012287298634
XM_027359148.1	-6.53475125298088
XM_027367228.1	7.70719196478644
XM_027377153.1	-6.23620188573784
XM_027379438.1	3.85883847193368
XM_027360996.1	-8.79339472330746
XM_027383691.1	-8.14343025075771
XM_027381865.1	-6.30606242387303
XM_027371495.1	-11.5327976168608
XM_027383692.1	-7.99749127806764
XM_027368554.1	-14.1341990309449
XM_027368559.1	-16.4039466477997
XM_027376680.1	4.61501042848891
XM_027362705.1	-11.8031764815406
XM_027365833.1	7.72915031741379
XM_027361441.1	-9.29426276462249
XM_027367206.1	-13.0061043207961
XM_027360999.1	-8.57804206524512
XM_027383660.1	-10.1532336070008
XR_003476718.1	-13.0657011662382
XM_027356693.1	-8.00837972354898
XM_027367239.1	-11.130416480003
XM_027371500.1	-10.4234125299431
XM_027360217.1	6.55920544494485
XM_027381853.1	-6.73860007463904
XM_027373320.1	-7.57482826427491
XR_003476575.1	-11.6050867828042
XM_027365875.1	-10.8583776891952
XM_027383824.1	-5.35722539655738
XM_027350813.1	-5.1925724875782
XM_027370936.1	-13.8908793813652
XM_027373336.1	-10.2441461423081
XM_027375613.1	-7.50647586755052
XM_027373792.1	-2.51359300573522
XM_027356628.1	-8.9192980771929
XR_003475500.1	-15.1491551712581
XM_027373235.1	4.51387484211708
XM_027361439.1	-5.55357390447208
XM_027351876.1	4.91912152735726
XM_027373325.1	-7.2323714787844
XM_027367205.1	-12.4875075722911
XM_027367643.1	4.94236758366849
XM_027383751.1	3.62750661443152
XM_027356631.1	-6.60479469625421
XM_027375615.1	-8.57551248818662
XM_027367234.1	-16.212808860598
XM_027368553.1	-14.9181809164908
XM_027366419.1	-11.8291833244376
XR_003475816.1	-13.3184805752964
XM_027366514.1	-6.03296184997581
XM_027382188.1	7.03878511396398
XM_027372149.1	-6.37100940065175
XM_027383714.1	-9.49233153345817
XM_027373323.1	-7.40282308024519
XM_027367648.1	-7.77921769154562
XM_027380873.1	7.14007207564024
XM_027381851.1	-7.50997901766989
XM_027373324.1	-7.40139257516749
XM_027373343.1	-7.6937346554872
XM_027373322.1	-7.61991446118853
XM_027373319.1	-7.99557675128723
XM_027360950.1	7.18980568418785
XM_027381854.1	-6.61413633404911
XR_003476288.1	-11.0649545528363
XM_027378553.1	-11.1759825492641
XM_027383825.1	-4.93457104794889
XM_027367242.1	-13.7769468084967
XR_003476287.1	-10.9938914308797
XM_027373327.1	-6.56410069730632
XM_027381668.1	-13.6292537768406
XM_027383414.1	4.0926194097259
XM_027365863.1	-9.83249012072238
XM_027354135.1	-14.9540819526416
XM_027357144.1	-6.36240105418884
XM_027373345.1	-7.63924858251289
XM_027373317.1	-8.13771572815434
XM_027358886.1	-14.9475537302357
XM_027373318.1	-7.86639821364223
XM_027370651.1	3.20052782343874
XM_027381866.1	-5.29124493775139
XM_027366515.1	-6.17347119761722
XM_027381855.1	-5.84164253694082
XM_027366516.1	-5.96031686272328
XM_027381669.1	-8.60791142060736
XM_027351603.1	5.9196696130722
XM_027368547.1	4.56472951097098
XM_027383819.1	-4.69562092920342
XM_027356510.1	-11.1226964504713
XM_027355469.1	-15.2102168252068
XR_003476289.1	-11.4844961510528
XM_027359599.1	4.02015559431776
XM_027356094.1	-3.12308172523731
XM_027356629.1	-6.50277052276071
XM_027357145.1	-6.46459307063896
XM_027373337.1	-9.98295977282648
XM_027365880.1	-10.6443351987198
XM_027373329.1	-6.39934301046911
XM_027375603.1	-8.04897227808865
XM_027383822.1	-5.0233175775286
XM_027373328.1	-6.83665031429584
XM_027373315.1	-8.01624892659892
XM_027360995.1	-9.55844231518749
XM_027380421.1	7.82722766102821
XM_027379742.1	6.99733263898365
XM_027369796.1	-5.45551754980661
XM_027373316.1	-8.21826797757416
XM_027383827.1	-2.39928664728902
XM_027382420.1	4.70791453235008
XM_027359777.1	-2.89155815867729
XM_027377991.1	7.1443108807667
XM_027356630.1	-6.56265125644248
XM_027372676.1	-9.28647446142457
XM_027359597.1	4.44902240986952
XR_003476717.1	-14.7876396143083
XM_027357358.1	-10.6894330673222
XM_027358164.1	-3.5858700713123
XM_027380217.1	4.12671845285761
XM_027383823.1	-5.29423310035427
XM_027366518.1	-6.89943132489279
XM_027358155.1	-3.71500379547959
XM_027358156.1	-3.78521623104233
XM_027362049.1	-13.5080963308672
XM_027364575.1	-15.0652190215743
XM_027366513.1	-5.63399961995101
XR_003477591.1	-17.2150546709043
XM_027373313.1	-8.15373556674285
XM_027374011.1	-12.2006620275339
XM_027372621.1	-4.88197977162308
XM_027373774.1	5.57309272724885
XM_027376869.1	-4.7100088514574
XM_027363739.1	-11.6247099686959
XM_027357074.1	5.64626382619577
XM_027359642.1	-10.6834255858557
XM_027372127.1	3.34442223081904
XM_027371482.1	-14.6974216308111
XM_027358029.1	6.51293914497763
XM_027359641.1	-10.9483033618943
XM_027365861.1	-5.4787818664075
XM_027380234.1	-5.50780214082514
XM_027368571.1	-3.71456491713357
XM_027373552.1	4.72230939846841
XM_027365867.1	-11.6591093987102
XM_027358813.1	3.29940668575174
XM_027366409.1	4.61393671714083
XM_027369863.1	5.21715130909673
XM_027375614.1	-6.91097245485612
XM_027364232.1	6.48698432827263
XM_027354137.1	-13.1148492226901
XM_027378050.1	5.13841150440403
XM_027369688.1	4.59744677584004
XM_027353790.1	7.1292372188885
XM_027378125.1	-15.1287856134987
XM_027360739.1	6.69910009023503
XM_027361574.1	3.91706361222905
XM_027379373.1	6.90985963720274
XR_003476992.1	-11.1816865308393
XM_027358159.1	-3.76155585830079
XM_027352315.1	5.04801007217262
XM_027365273.1	4.3243092152404
XM_027373339.1	-7.95404955710655
XM_027371627.1	-2.65456453428147
XR_003476238.1	7.01538713427306
XM_027365839.1	-9.29952535369352
XM_027371950.1	5.48168679273242
XM_027358162.1	-4.09477009859441
XM_027381427.1	3.87965663001808
XM_027358163.1	-3.50705391013652
XM_027383413.1	3.96030270555072
XM_027364268.1	5.83527197520308
XM_027370131.1	-8.02205455598742
XM_027360633.1	5.56570099529642
XM_027373862.1	4.92883560465363
XM_027360023.1	2.61105345196586
XR_003476716.1	-14.2155798739614
XM_027366517.1	-5.66041815480692
XM_027352731.1	4.19325282131459
XM_027351485.1	7.92603753704912
XM_027369766.1	8.03827038268131
XM_027371490.1	-14.4277856697461
XM_027377619.1	6.47075445803086
XM_027359598.1	4.4177410054746
XM_027371539.1	-13.1727022138454
XM_027381969.1	7.31352704398005
XM_027367236.1	-14.7225003362674
XM_027375169.1	5.01831760771073
XM_027381957.1	-6.29216336486882
XM_027352317.1	4.37242327547996
XM_027358157.1	-3.80822794610595
XM_027366040.1	4.70309671083176
XM_027359601.1	3.68017354548229
XM_027372109.1	5.66266740909203
XM_027354275.1	3.55049428563579
XM_027361621.1	5.10667407156867
XM_027357833.1	7.26672641733979
XM_027368950.1	4.7028815505326
XM_027365792.1	-9.78885157530206
XM_027359994.1	-4.22913285348839
XM_027373863.1	5.02394619729214
XM_027360199.1	7.03496357442461
XM_027357101.1	-3.5956193081798
XM_027365313.1	8.60738606993607
XM_027371497.1	-9.91589738464473
XM_027367963.1	8.46673071532683
XM_027367145.1	7.26770364123054
XM_027359643.1	-11.2822041523208
XM_027362345.1	-7.74079919476297
XM_027379515.1	-3.69636624686324
XM_027370561.1	-1.74964733347353
XM_027368733.1	-2.48820023396388
XM_027352727.1	-4.0334930959193
XM_027377569.1	10.6636104143541
XR_003476993.1	-11.6368062819746
XM_027371492.1	-14.8857029011537
XM_027383820.1	-5.15534261432869
XM_027357536.1	-4.40363561066281
XM_027366979.1	4.93569234666368
XM_027358509.1	5.38274443414874
XM_027356898.1	3.62883993787473
XM_027370786.1	-8.08653308877632
XM_027351358.1	6.6038002963989
XM_027357580.1	6.35907528882556
XM_027358161.1	-3.82148484331137
XM_027378054.1	5.30406797009999
XM_027356290.1	-13.2607412092659
XM_027365845.1	-9.39911149032818
XM_027375904.1	4.06996637495854
XR_003476702.1	4.03842340504589
XM_027378244.1	5.14623933579113
XM_027380506.1	-7.02033187866081
XM_027352730.1	4.06035614228758
XM_027367686.1	3.27349568986084
XM_027371537.1	-12.5687015179565
XM_027361824.1	7.07674888691358
XM_027357537.1	-4.53817972025581
XM_027354682.1	-10.8155591609037
XM_027376654.1	3.78590783437899
XM_027363779.1	-1.76106460234468
XM_027359955.1	2.91445830745117
XM_027362509.1	5.80891446558711
XM_027364294.1	4.62997540383874
XM_027352012.1	5.86780635625788
XM_027367190.1	3.35711621686751
XR_003476748.1	8.04517791815363
XM_027381942.1	8.48708616989425
XM_027370793.1	-8.56053534632948
XM_027383415.1	3.91385536076943
XM_027380504.1	-6.14423313515882
XM_027364525.1	7.92773284077748
XM_027378289.1	8.16363501589914
XM_027352651.1	2.36697332125875
XM_027352316.1	4.48519363609492
XM_027354133.1	-15.758790700276
XM_027357805.1	4.24709085527846
XM_027379866.1	-2.26427756920982
XM_027380891.1	-2.10762168614313
XM_027377836.1	7.7765992592903
XM_027352650.1	5.54282147335426
XM_027375041.1	-1.96073833141762
XM_027357866.1	4.94142587688216
XM_027383771.1	4.03615600321162
XM_027371251.1	7.49246578876508
XM_027382688.1	6.85701940034551
XM_027369977.1	-8.89329142434821
XM_027353684.1	6.32624729220735
XM_027383746.1	4.07394099017162
XM_027357961.1	-5.60749962813341
XM_027361823.1	7.03461557006917
XM_027378341.1	7.28148614321382
XM_027371429.1	-4.43303744698191
XM_027366312.1	-7.04033014192071
XM_027354134.1	-15.7881470220087
XM_027373314.1	-3.53968013054545
XM_027374285.1	7.80150915048688
XM_027371499.1	-12.9218540113132
XM_027381556.1	5.18855870186694
XM_027351115.1	2.24820813926855
XM_027371430.1	-4.41858074484489
XM_027380505.1	-6.27488956573045
XM_027383047.1	5.48076649274326
XM_027361947.1	-4.51893282872234
XM_027375372.1	-6.61180058592565
XM_027355864.1	7.7630735376399
XM_027354162.1	5.56920821315829
XM_027362301.1	-1.62767253637862
XM_027363871.1	-4.10536807803884
XM_027375725.1	6.17878667179189
XR_003476574.1	-14.7979085171695
XM_027355865.1	7.1336822352892
XM_027351250.1	3.79863751222146
XM_027372322.1	3.06636010273982
XM_027365860.1	-4.946856459449
XM_027369501.1	2.82732831454158
XM_027367821.1	7.50211546959941
XM_027371503.1	-12.7083052366701
XM_027366239.1	4.4387716477815
XM_027365741.1	-10.8312965868803
XM_027371152.1	-7.00964901255501
XM_027364464.1	7.22255355006133
XM_027363191.1	4.19558721557079
XM_027369044.1	5.44664281208219
XM_027378055.1	4.64876933369102
XM_027367711.1	5.29673238770413
XM_027370051.1	2.77704314421278
XM_027365800.1	-9.76862549723998
XM_027373312.1	-8.37489714067827
XM_027374286.1	6.8557227982564
XM_027362112.1	6.4348127240222
XM_027372909.1	8.35350683756425
XM_027370544.1	-5.81616316681962
XM_027373395.1	5.06862235247744
XM_027363971.1	7.36129194807866
XM_027365696.1	-10.4296482546439
XM_027377083.1	-7.92280797010554
XM_027380251.1	7.85633757189855
XM_027360861.1	4.12740145873732
XM_027377443.1	5.50949625274133
XM_027370990.1	-3.8794529899199
XM_027360998.1	-9.18015823019475
XM_027357346.1	3.02657050138587
XM_027372323.1	3.16164263648265
XM_027350888.1	5.19750298563256
XM_027366958.1	4.48990626148316
XM_027365408.1	3.95049831305587
XM_027361171.1	6.2403334605451
XM_027359900.1	9.21557855863681
XM_027352835.1	-9.04362428978021
XM_027373338.1	-8.26275962259764
XM_027377963.1	8.59023361352851
XM_027359274.1	5.41757791670849
