ID	padj
XM_027370962.1	0
XM_027365885.1	1.5526798320732e-254
XM_027365884.1	3.18140527483444e-222
XM_027378454.1	7.86974096491427e-189
XM_027367223.1	2.01456711490257e-167
XM_027367225.1	2.74248721419806e-164
XM_027367224.1	5.73725998279812e-148
XM_027368558.1	5.85779749915788e-132
XM_027367243.1	1.45420295627409e-126
XM_027373341.1	3.53385434203448e-125
XR_003476719.1	4.29025717077625e-113
XM_027383256.1	1.27764011344468e-105
XM_027367241.1	6.6771482891566e-102
XM_027375602.1	3.37128966220766e-100
XM_027367222.1	9.03634199733047e-100
XM_027371493.1	5.76591058986824e-90
XM_027375601.1	1.29440454975988e-87
XM_027356729.1	1.1068749474689e-86
XM_027356692.1	1.0555499368711e-83
XM_027377147.1	3.22889630336774e-83
XM_027359148.1	3.4986543264846e-82
XM_027367228.1	6.73369003726944e-82
XM_027377153.1	3.2202396220104e-80
XM_027379438.1	4.11963454376742e-80
XM_027360996.1	5.55354911490179e-79
XM_027383691.1	2.30681029622789e-77
XM_027381865.1	1.02189082737888e-76
XM_027371495.1	1.71232760192166e-76
XM_027383692.1	3.37801279089129e-76
XM_027368554.1	4.71947495292418e-75
XM_027368559.1	2.34206675560217e-72
XM_027376680.1	3.4958416430102e-72
XM_027362705.1	1.54770618965476e-71
XM_027365833.1	1.36446957774397e-70
XM_027361441.1	4.0745343343054e-70
XM_027367206.1	7.70870449551e-70
XM_027360999.1	1.17452329146596e-69
XM_027383660.1	3.88481345333056e-69
XR_003476718.1	8.73522012847536e-69
XM_027356693.1	6.36950601809296e-68
XM_027367239.1	1.59487625536312e-66
XM_027371500.1	1.15926084308719e-65
XM_027360217.1	1.57893572272974e-65
XM_027381853.1	2.4495856646128e-64
XM_027373320.1	2.82861013557445e-64
XR_003476575.1	2.82861013557445e-64
XM_027365875.1	9.69947699147124e-64
XM_027383824.1	2.02973654738141e-63
XM_027350813.1	2.46513105906738e-63
XM_027370936.1	3.3496712271304e-63
XM_027373336.1	1.16632599945399e-62
XM_027375613.1	1.16918130613339e-62
XM_027373792.1	2.16192902110697e-62
XM_027356628.1	2.61581548731192e-62
XR_003475500.1	2.9485732442885e-62
XM_027373235.1	3.5065074380095e-62
XM_027361439.1	6.49516079318586e-62
XM_027351876.1	1.09688360551498e-61
XM_027373325.1	3.89665198737444e-61
XM_027367205.1	2.04852110256439e-60
XM_027367643.1	4.02307824565824e-60
XM_027383751.1	4.02307824565824e-60
XM_027356631.1	4.56486973462747e-60
XM_027375615.1	5.5449803144773e-60
XM_027367234.1	1.40302426733206e-59
XM_027368553.1	2.33769410539299e-59
XM_027366419.1	5.26914620953062e-59
XR_003475816.1	1.0131386400269e-58
XM_027366514.1	1.30200733847457e-58
XM_027382188.1	1.87305667013239e-58
XM_027372149.1	1.95673404541809e-58
XM_027383714.1	1.99459561286239e-58
XM_027373323.1	2.40844188806162e-58
XM_027367648.1	1.1389809067814e-57
XM_027380873.1	1.44067255250478e-57
XM_027381851.1	2.50407285896003e-57
XM_027373324.1	1.73832366185343e-56
XM_027373343.1	2.57321021984914e-56
XM_027373322.1	3.22996937460013e-56
XM_027373319.1	3.9509418817987e-56
XM_027360950.1	8.82827886470757e-56
XM_027381854.1	1.23542216907782e-55
XR_003476288.1	1.34867504297465e-55
