ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350604.1	2.31805131873115	2.38009734046762	2.30369159169863	2.31218027830208
XM_027350605.1	2.3099218638912	2.35937558370253	2.29763607183762	2.30375389656334
XM_027350606.1	3.24039644845518	3.40356126520086	3.22370051072665	3.23887227888499
XM_027350607.1	3.54117542674427	3.56428491181629	3.5355961755951	3.53469343391511
XM_027350614.1	-1.9396177230916	-2.11829144984954	-1.92213813155142	-1.89448181622476
XM_027350615.1	-1.93158597521332	-2.11298899395249	-1.91547572010024	-1.88521051308059
XM_027350616.1	-1.74526708862948	-1.99477917447724	-1.72122139356326	-1.68058231056167
XM_027350619.1	-2.15479146237317	-2.11585580433274	-2.15979517787414	-2.18198426804102
XM_027350620.1	4.02234451421739	3.64551257344168	4.05660971604054	4.09176132946344
XM_027350634.1	6.51744618641444	6.61338764523238	6.5656859033997	6.58800552104544
XM_027350635.1	8.562821881084	2.9521526464554	8.62434535430561	8.84642032712441
XM_027350640.1	-3.38496952884293	-3.60068478343269	-3.3953272262862	-3.41810391644204
XM_027350641.1	1.71515163985695	-0.142716417301023	1.77354650323325	1.95055127312629
XM_027350642.1	9.38725337603126	8.93030490435105	9.25197781710039	9.41025770494082
XM_027350643.1	14.5479988696734	11.4950647839547	11.90311895879	13.5409718825264
XM_027350646.1	2.80700784778298	0.613835180934396	2.87605337914896	3.07402795213253
XM_027350661.1	-1.92710539420383	-2.02655735648485	-1.80084645954313	-1.95233380242316
XM_027350662.1	-1.9509130452095	-2.07629741178211	-1.92515229526007	-1.9755934388969
XM_027350663.1	-1.76361887530462	-2.03638463721353	-1.57871820096664	-1.73112857532711
XM_027350664.1	-1.93367509390312	-1.8750196781575	-1.88777924056764	-1.94714584432392
XM_027350665.1	9.54904371220283	8.99187350738764	9.55299329027713	9.48849268654111
XM_027350674.1	4.55348805336055	3.0762068032117	4.55236397527217	4.51755193949933
XM_027350677.1	-2.53168235504706	-2.62570796103651	-2.53670947437987	-2.55229244290579
XM_027350678.1	-2.59405073879704	-2.90494513114164	-2.54320871395033	-2.49551354605114
XM_027350683.1	-1.66415665960468	-1.6392837781791	-1.76695445867676	-1.66456603126547
XM_027350688.1	-2.7668399833676	-2.79944930655679	-2.79517390747065	-2.79560966326888
XM_027350689.1	-2.49352273449035	-2.62196567879387	-2.4966868101378	-2.50689678302186
XM_027350703.1	-2.26396022564217	-1.72840935340011	-2.26849452452399	-2.31905909318358
XM_027350704.1	-2.2117212486337	-1.83557359509772	-2.21236493910813	-2.25210546062943
XM_027350705.1	-2.21350210611916	-1.86358030740549	-2.21397850481641	-2.25545814200945
XM_027350717.1	-5.69226134770014	-5.0558375468726	-5.67709956848715	-5.75593886528723
XM_027350718.1	-5.56848397473192	-4.84005690553248	-5.59309013145678	-5.64501876533763
XM_027350745.1	2.3840728910776	1.30515773290263	2.43337295727089	2.58253110647311
