ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350604.1	4.95196711606836e-10	7.89377272749887e-06	0.0444607731759831	2.81068711417584e-20
XM_027350605.1	5.94439471848985e-10	8.07600690909691e-06	0.0444800606066418	6.04156524008169e-21
XM_027350606.1	3.90923961259268e-15	8.09182606566507e-07	0.0345665809618164	2.66585834165518e-25
XM_027350607.1	1.60424547872223e-18	5.33521581820447e-07	0.0262295696436932	2.69168364955161e-37
XM_027350614.1	1.15722870199636e-06	2.28457301814774e-05	0.0386458186962279	1.58778789076605e-08
XM_027350615.1	2.26614220154705e-06	3.74012773084549e-05	0.0392856168773835	5.70786111520748e-08
XM_027350616.1	4.4759741622283e-05	6.04755885461967e-05	0.0607782228511843	1.18913893127192e-05
XM_027350619.1	1.78125011861328e-06	8.68765225112112e-05	0.0358267102683401	3.14192578847931e-11
XM_027350620.1	4.52345173614477e-11	5.78801384104192e-05	0.0292151130697235	1.646658632614e-14
XM_027350634.1	8.10857007115992e-16	3.15675371295503e-06	0.0126282322743626	4.92722948953132e-20
XM_027350635.1	0.000310889970785734	0.181902139646725	0.0126218858046155	1
XM_027350640.1	5.5400516496652e-10	1.17500840780147e-05	0.108817569117615	9.29752101780654e-17
XM_027350641.1	0.0747974671478913	0.848893658001093	0.140200722995527	0.0346231310394683
XM_027350642.1	6.01604989360221e-17	2.1007884131862e-06	0.0044273305227488	2.20343726016853e-33
XM_027350643.1	9.88586361669357e-24	1.05244144349646e-07	0.0014609420173769	1.5187227461441e-33
XM_027350646.1	0.0125393479207414	0.521052361150457	0.107707767936974	1
XM_027350661.1	8.44423144700642e-06	0.000202656989290192	0.116747484271102	1.46476264244307e-08
XM_027350662.1	4.96793715886858e-07	0.000125012464689281	0.106206157441758	4.45249980833416e-10
XM_027350663.1	0.00140735463591545	0.000891993320741026	0.136882625085067	0.000254915034246153
XM_027350664.1	9.83640834680965e-06	0.000758404626712349	0.109500265437692	4.89584967206607e-08
XM_027350665.1	1.14706114836736e-20	1.64869223092422e-07	0.00315300516796413	6.73019354112031e-44
XM_027350674.1	3.34186693419643e-05	0.0120240709220444	0.0417081866225404	1
XM_027350677.1	1.61064112364214e-08	9.61637553874296e-06	0.086989456382857	8.01310759866947e-17
XM_027350678.1	1.68640959056679e-05	6.81948365304543e-05	0.0600467865694915	1.11869342527263e-05
XM_027350683.1	0.00114202699655089	0.0113799522497959	0.122923300333915	2.93312847724852e-05
XM_027350688.1	9.9570225619323e-10	1.57201907098582e-05	0.0456977577107821	1.30111663090992e-13
XM_027350689.1	9.46404149243378e-09	3.18900528571806e-05	0.0592770786811445	2.1172377186625e-11
XM_027350703.1	0.00573513913866466	0.0555139846175535	0.0381469935772747	0.00207245652863406
XM_027350704.1	0.00171172890078185	0.0143057389374769	0.0341137645617317	0.000399520294892761
XM_027350705.1	0.00159836482440421	0.0127647098091041	0.034143877181992	0.000340992967496536
XM_027350717.1	1.03098156704499e-06	0.00311624789768502	0.0420928773472078	4.23830550469467e-10
XM_027350718.1	6.0894066425443e-08	0.00167727426740178	0.0394207345592	9.43427016581459e-12
XM_027350745.1	0.00164409848744152	0.0332715403567448	0.0967501873885375	0.000429204972975349
XM_027350748.1	2.39037948481257e-31	9.59048300727886e-09	0.0062784034841612	1.31637603871231e-24
XM_027350769.1	0.00365966769211824	0.119841498177694	0.104771706880767	0.00136832551040352
XM_027350771.1	0.0114073730404981	0.240652953702614	0.108049907096867	0.00623320491557737
XM_027350772.1	0.0057809399516003	0.0110884703629754	0.130082837046367	7.96889725449478e-06
XM_027350776.1	2.21249347595473e-07	0.000121660458315791	0.0395793025425377	5.5858103327293e-10
XM_027350777.1	5.78288142016008e-07	0.00013580303129249	0.0424439059454633	1.58733353330747e-09
XM_027350778.1	1.48392693446828e-06	0.000160244425889537	0.0380804091806251	8.92024032137038e-09
XM_027350780.1	1.22646812161434e-07	9.54179635706231e-06	0.0491489932463935	3.1688350201433e-16
