ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350596.1	-2.20399773290598	-3.15835947901508	-2.07118740651585	-2.19641663113383
XM_027350602.1	-8.0678174180193	-6.96786664556056	-7.04100490727231	-8.26597519993038
XM_027350605.1	-1.48484427418954	-1.48437253317045	-1.38933604187238	-1.52696641920024
XM_027350606.1	-1.92999210745063	-2.05730264028284	-1.81118688025857	-1.96324854601236
XM_027350607.1	-2.08742749089396	-2.09236205687224	-1.98989803925461	-2.13247550747995
XM_027350614.1	4.36316519209033	4.35076014303091	4.4559163544739	4.32049867087461
XM_027350615.1	4.27006603420934	4.23776137974002	4.36569331811921	4.22489644977761
XM_027350616.1	4.21380595551428	4.22155994703166	4.31145857350045	4.17411470244292
XM_027350619.1	2.15346814317346	2.11622100189797	2.25756839960639	2.13732056658865
XM_027350620.1	-2.15371826508417	-2.01290279357246	-2.08128324238902	-2.20962296297989
XM_027350629.1	-1.75651424364773	-1.96922304486843	-1.63637050780264	-1.77918112652863
XM_027350630.1	-13.8067993296146	-11.5640281108002	-11.3312844630212	-13.1319630716692
XM_027350635.1	1.56772170809296	0.956104776633385	1.68139372851616	1.56828190629505
XM_027350640.1	5.86693843621361	6.11591720725729	5.92836634017038	5.84601690185456
XM_027350642.1	-8.73501626481812	-5.8197018262419	-8.58312339424358	-8.78505427820448
XM_027350653.1	-12.2064594885926	-12.3436347392317	-11.6644468308928	-12.426272266714
XM_027350661.1	1.74482071030227	1.74241723165629	1.83789502325353	1.70424674525059
XM_027350662.1	1.83467235022031	1.85648354407234	1.93413788548495	1.78880087350166
XM_027350663.1	1.54375452925985	1.52198718485979	1.63995014522266	1.50165990213217
XM_027350664.1	3.32293103591553	3.39344322150835	3.43956105271069	3.27928913283726
XM_027350671.1	-1.89056170195953	-1.81773305288197	-1.73631512372256	-1.90446608621048
XM_027350674.1	-1.76381197170578	-1.52638695977938	-1.6284508407096	-1.79259042137664
XM_027350677.1	2.53560673401891	2.56812636129135	2.64038068263988	2.51334276308438
XM_027350678.1	3.29370451899962	3.43382166586968	3.44198575434393	3.28077015278265
XM_027350683.1	1.58801811341003	1.46668510828805	1.71953284689414	1.56595137242271
XM_027350687.1	1.54317949230529	1.15755193542344	1.6643615441381	1.53024641024582
XM_027350688.1	2.0295268966564	1.97529056654828	2.11518040864097	2.01860128618422
XM_027350689.1	2.72312152861651	2.69063246242809	2.80803677540319	2.71123998304379
XM_027350702.1	-7.81375271001076	-8.19014627107939	-7.58075191674662	-7.92896265665489
XM_027350703.1	1.6795800796006	1.03868090187736	1.77605917605518	1.69653342720466
XM_027350704.1	1.79003246406434	1.39424143838564	1.88244449896279	1.80134709302389
XM_027350705.1	1.87364140425644	1.48114453261806	1.97452763257149	1.88373050949573
XM_027350706.1	-18.6432759282223	-16.4067535326209	-16.1570764868281	-17.9695588067069
XM_027350707.1	-17.7743697683617	-15.5477098330133	-15.2837585567563	-17.1008821683392
XM_027350709.1	-14.5008087836322	-11.8057130102548	-11.9837129302436	-13.8259686205447
XM_027350712.1	-16.8923815021367	-14.5876434024826	-14.3892964371291	-16.2173967724995
XM_027350715.1	-17.5288763148613	-15.2395675011622	-15.0311850719406	-16.8528194579403
XM_027350720.1	-7.02988654217589	-7.01548196414112	-6.8253853887194	-7.08339721596141
XM_027350721.1	-13.2239797061962	-9.81765883298242	-10.6846763267819	-12.5668570660705
XM_027350757.1	-2.52814103100292	-2.50551129382463	-2.42409344846927	-2.56983236577458
XM_027350759.1	-12.0674425942409	-9.79986123834043	-9.56696347055747	-11.3928917618886
XM_027350765.1	-12.2924047529961	-10.0033386350222	-9.78190454979074	-11.6166057025763
XM_027350769.1	1.95649425633773	1.23173983342864	2.03902170071756	1.97585815735235
XM_027350771.1	2.08218046854183	1.19043928159764	2.17049414827936	2.10342491695975
XM_027350776.1	2.93138755548748	2.81963062393246	3.01506031662171	2.93258239756084
XM_027350777.1	2.94849712138692	2.86070427121672	3.03211565494076	2.94711745767016
XM_027350778.1	2.75622998059845	2.68526542470807	2.84201846345055	2.75644001218403
XM_027350784.1	-2.31232462948412	-2.1260310308501	-2.22992223055225	-2.37397224505695
XM_027350785.1	-2.39984816382833	-2.16193297205598	-2.32110100872229	-2.45966088516741
XM_027350786.1	-2.34501901130042	-2.19818371573586	-2.27308255348015	-2.40186800210787
XM_027350787.1	-2.5212465192452	-2.2885461398305	-2.43549489659476	-2.5883743721571
XM_027350788.1	-2.27765184299427	-2.051847916438	-2.18801429855095	-2.32605300164091
XM_027350813.1	-1.93672918555211	-1.84416936857936	-1.83193651683593	-1.97419421957294
XM_027350819.1	-4.80883988657489	-4.64446253129361	-4.71895891390747	-4.76336848607258
XM_027350823.1	1.47612252577662	1.50575943331286	1.56034330435667	1.4329891653634
XM_027350824.1	1.60673946170986	1.72948205250686	1.67572485528079	1.60564586653565
XM_027350825.1	1.53820699889977	1.69217275186751	1.60703849701797	1.53502000739735
XM_027350831.1	4.76888311823322	6.08140095479587	4.8010298371006	4.73821375527586
XM_027350833.1	5.01199704406804	6.31045283635231	5.04255243847586	4.9703061553882
XM_027350834.1	5.6800676705458	6.24086287008536	5.72091206289018	5.62318120039347
XM_027350835.1	5.70563357825438	6.39263868836554	5.74347037453558	5.64950578601004
XM_027350836.1	5.42959689284621	6.32761256333227	5.47058718168473	5.39654994630644
XM_027350837.1	5.21313629102651	6.49427944459585	5.24624691087806	5.16299746637398
XM_027350838.1	5.96293703431874	6.79607963593537	6.00048713979426	5.90404108738174
XM_027350839.1	-15.5198769054828	-12.6455633741846	-13.0851198072235	-14.8412596342495
XM_027350842.1	-13.9194169597779	-11.4583381000898	-11.3892214274195	-13.245820085104
XM_027350844.1	-2.80439395480471	-1.38672910715633	-2.76382854802854	-2.79074165399352
XM_027350857.1	-7.46117805653263	-6.46983274480618	-7.34874266623495	-7.55408894100024
XM_027350865.1	-1.40194676490697	-1.69828480047694	-1.3707481284243	-1.46389985650706
XM_027350885.1	1.53709041889003	1.43685234481178	1.62117860654937	1.53074632307844
XM_027350887.1	-6.1795078527894	-6.45872820566244	-5.96927174668012	-6.22707988948747
XM_027350888.1	-6.04864520878011	-6.52410826246275	-5.83815686122899	-6.08438327282039
