ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350596.1	0.00131237504019898	0.00028433456461545	0.0524347914912628	0.000528234722156887
XM_027350602.1	1.46774241246087e-20	2.2156650144117e-07	0.00713252427523425	6.14739093371028e-18
XM_027350605.1	3.89396549250346e-07	9.70022604807052e-05	0.0550110657656717	1.64801718703068e-10
XM_027350606.1	1.46141112600042e-07	6.40415099963216e-05	0.0452368275972909	4.19518577428404e-09
XM_027350607.1	7.47965282421829e-13	4.29776630719275e-06	0.0282266675624367	2.05891492815954e-20
XM_027350614.1	1.84245766877228e-39	1.86594808738913e-09	0.0292577385600651	1.74558858389903e-98
XM_027350615.1	1.03577082664857e-40	1.91370449398512e-09	0.0299332134489205	1.0142406208108e-107
XM_027350616.1	3.37367257067457e-32	7.65584786764372e-09	0.0178437213018918	3.40916903912253e-69
XM_027350619.1	1.2412833646079e-09	6.44611871823759e-06	0.0127889671483752	2.13920058524691e-12
XM_027350620.1	9.23966661923779e-07	0.000603450014221998	0.041299030692187	9.36409305662004e-09
XM_027350629.1	0.000189892737686646	0.000930504609192982	0.0675290114311324	4.7766616875338e-05
XM_027350630.1	8.25160420459975e-68	6.38770539031517e-10	0.000520527374068158	2.24933910774675e-47
XM_027350635.1	0.0158725452443421	0.19340500495503	0.0275037149790913	0.0103062672051127
XM_027350640.1	7.59965430617061e-26	7.26668362626619e-08	0.304157569332625	5.27782359465042e-42
XM_027350642.1	1.29701791593754e-06	0.0129745195495749	0.00594049635092742	1
XM_027350653.1	1.30782449698013e-62	2.02592192586037e-09	0.00202828538748157	1.8473496620409e-75
XM_027350661.1	1.12729870481679e-08	9.45379504668349e-05	0.0222172410857525	3.3471278450265e-13
XM_027350662.1	3.86987829847785e-09	5.55993824194407e-05	0.0217627288357642	1.86327479806428e-14
XM_027350663.1	3.73243427896351e-06	0.000526859027894687	0.029204622689756	2.57270316430697e-08
XM_027350664.1	3.09339822305896e-12	4.05162585563335e-05	0.0158527463840773	7.61394558748989e-17
