ID	NOISeq	DESeq2	limma	edgeR
XM_027350602.1	1	1	1	1
XM_027350606.1	1	1	1	1
XM_027350607.1	1	1	1	1
XM_027350614.1	1	1	1	1
XM_027350615.1	1	1	1	1
XM_027350616.1	1	1	1	1
XM_027350619.1	1	1	1	1
XM_027350620.1	1	1	1	1
XM_027350630.1	1	1	1	1
XM_027350653.1	1	1	1	1
XM_027350661.1	1	1	1	1
XM_027350662.1	1	1	1	1
XM_027350663.1	1	1	1	1
XM_027350664.1	1	1	1	1
XM_027350671.1	1	1	1	1
XM_027350678.1	1	1	1	1
XM_027350688.1	1	1	1	1
XM_027350689.1	1	1	1	1
XM_027350702.1	1	1	1	1
XM_027350706.1	1	1	1	1
XM_027350707.1	1	1	1	1
XM_027350709.1	1	1	1	1
XM_027350712.1	1	1	1	1
XM_027350715.1	1	1	1	1
XM_027350720.1	1	1	1	1
XM_027350721.1	1	1	1	1
XM_027350757.1	1	1	1	1
XM_027350759.1	1	1	1	1
XM_027350765.1	1	1	1	1
XM_027350776.1	1	1	1	1
XM_027350777.1	1	1	1	1
XM_027350778.1	1	1	1	1
XM_027350784.1	1	1	1	1
XM_027350785.1	1	1	1	1
XM_027350786.1	1	1	1	1
XM_027350787.1	1	1	1	1
XM_027350788.1	1	1	1	1
XM_027350813.1	1	1	1	1
XM_027350824.1	1	1	1	1
XM_027350825.1	1	1	1	1
XM_027350834.1	1	1	1	1
XM_027350835.1	1	1	1	1
XM_027350838.1	1	1	1	1
XM_027350839.1	1	1	1	1
XM_027350842.1	1	1	1	1
XM_027350857.1	1	1	1	1
XM_027350887.1	1	1	1	1
XM_027350888.1	1	1	1	1
XM_027350896.1	1	1	1	1
XM_027350910.1	1	1	1	1
XM_027350912.1	1	1	1	1
XM_027350913.1	1	1	1	1
XM_027350921.1	1	1	1	1
XM_027350922.1	1	1	1	1
XM_027350923.1	1	1	1	1
XM_027350924.1	1	1	1	1
XM_027350925.1	1	1	1	1
XM_027350928.1	1	1	1	1
XM_027350933.1	1	1	1	1
XM_027350934.1	1	1	1	1
XM_027350935.1	1	1	1	1
XM_027350938.1	1	1	1	1
XM_027350939.1	1	1	1	1
XM_027350940.1	1	1	1	1
XM_027350947.1	1	1	1	1
XM_027350963.1	1	1	1	1
XM_027350964.1	1	1	1	1
XM_027350965.1	1	1	1	1
XM_027350966.1	1	1	1	1
XM_027350967.1	1	1	1	1
XM_027350968.1	1	1	1	1
XM_027350970.1	1	1	1	1
XM_027350971.1	1	1	1	1
XM_027350972.1	1	1	1	1
XM_027350973.1	1	1	1	1
XM_027350974.1	1	1	1	1
XM_027350975.1	1	1	1	1
XM_027350976.1	1	1	1	1
XM_027350977.1	1	1	1	1
XM_027350978.1	1	1	1	1
XM_027350979.1	1	1	1	1
XM_027350990.1	1	1	1	1
XM_027351012.1	1	1	1	1
XM_027351014.1	1	1	1	1
XM_027351015.1	1	1	1	1
XM_027351016.1	1	1	1	1
XM_027351026.1	1	1	1	1
XM_027351038.1	1	1	1	1
XM_027351041.1	1	1	1	1
XM_027351048.1	1	1	1	1
XM_027351051.1	1	1	1	1
XM_027351061.1	1	1	1	1
XM_027351067.1	1	1	1	1
XM_027351068.1	1	1	1	1
XM_027351077.1	1	1	1	1
XM_027351079.1	1	1	1	1
XM_027351080.1	1	1	1	1
XM_027351085.1	1	1	1	1
XM_027351086.1	1	1	1	1
XM_027351097.1	1	1	1	1
XM_027351100.1	1	1	1	1
XM_027351101.1	1	1	1	1
XM_027351102.1	1	1	1	1
XM_027351103.1	1	1	1	1
XM_027351104.1	1	1	1	1
XM_027351106.1	1	1	1	1
XM_027351115.1	1	1	1	1
XM_027351123.1	1	1	1	1
XM_027351124.1	1	1	1	1
XM_027351125.1	1	1	1	1
XM_027351126.1	1	1	1	1
XM_027351129.1	1	1	1	1
XM_027351132.1	1	1	1	1
XM_027351136.1	1	1	1	1
XM_027351137.1	1	1	1	1
XM_027351138.1	1	1	1	1
XM_027351140.1	1	1	1	1
XM_027351141.1	1	1	1	1
XM_027351143.1	1	1	1	1
XM_027351145.1	1	1	1	1
XM_027351148.1	1	1	1	1
XM_027351161.1	1	1	1	1
XM_027351165.1	1	1	1	1
XM_027351187.1	1	1	1	1
XM_027351188.1	1	1	1	1
XM_027351203.1	1	1	1	1
XM_027351204.1	1	1	1	1
XM_027351217.1	1	1	1	1
XM_027351245.1	1	1	1	1
XM_027351250.1	1	1	1	1
XM_027351265.1	1	1	1	1
XM_027351266.1	1	1	1	1
XM_027351270.1	1	1	1	1
XM_027351271.1	1	1	1	1
XM_027351282.1	1	1	1	1
XM_027351285.1	1	1	1	1
XM_027351294.1	1	1	1	1
XM_027351300.1	1	1	1	1
XM_027351303.1	1	1	1	1
XM_027351305.1	1	1	1	1
XM_027351310.1	1	1	1	1
XM_027351319.1	1	1	1	1
XM_027351324.1	1	1	1	1
XM_027351325.1	1	1	1	1
XM_027351326.1	1	1	1	1
XM_027351329.1	1	1	1	1
XM_027351330.1	1	1	1	1
XM_027351331.1	1	1	1	1
XM_027351332.1	1	1	1	1
XM_027351349.1	1	1	1	1
XM_027351350.1	1	1	1	1
XM_027351352.1	1	1	1	1
XM_027351358.1	1	1	1	1
XM_027351359.1	1	1	1	1
XM_027351369.1	1	1	1	1
XM_027351374.1	1	1	1	1
XM_027351378.1	1	1	1	1
XM_027351384.1	1	1	1	1
XM_027351398.1	1	1	1	1
XM_027351405.1	1	1	1	1
XM_027351415.1	1	1	1	1
XM_027351416.1	1	1	1	1
XM_027351417.1	1	1	1	1
XM_027351418.1	1	1	1	1
XM_027351419.1	1	1	1	1
XM_027351465.1	1	1	1	1
XM_027351473.1	1	1	1	1
XM_027351474.1	1	1	1	1
XM_027351475.1	1	1	1	1
XM_027351476.1	1	1	1	1
XM_027351485.1	1	1	1	1
XM_027351488.1	1	1	1	1
XM_027351491.1	1	1	1	1
XM_027351492.1	1	1	1	1
XM_027351519.1	1	1	1	1
XM_027351520.1	1	1	1	1
XM_027351521.1	1	1	1	1
XM_027351535.1	1	1	1	1
XM_027351545.1	1	1	1	1
XM_027351555.1	1	1	1	1
XM_027351558.1	1	1	1	1
XM_027351560.1	1	1	1	1
XM_027351567.1	1	1	1	1
XM_027351568.1	1	1	1	1
XM_027351569.1	1	1	1	1
XM_027351570.1	1	1	1	1
XM_027351578.1	1	1	1	1
XM_027351587.1	1	1	1	1
XM_027351588.1	1	1	1	1
XM_027351589.1	1	1	1	1
XM_027351590.1	1	1	1	1
XM_027351591.1	1	1	1	1
XM_027351592.1	1	1	1	1
XM_027351593.1	1	1	1	1
XM_027351594.1	1	1	1	1
XM_027351595.1	1	1	1	1
XM_027351596.1	1	1	1	1
XM_027351600.1	1	1	1	1
XM_027351601.1	1	1	1	1
XM_027351602.1	1	1	1	1
XM_027351603.1	1	1	1	1
XM_027351607.1	1	1	1	1
XM_027351608.1	1	1	1	1
XM_027351612.1	1	1	1	1
XM_027351613.1	1	1	1	1
XM_027351614.1	1	1	1	1
XM_027351615.1	1	1	1	1
XM_027351619.1	1	1	1	1
XM_027351627.1	1	1	1	1
XM_027351628.1	1	1	1	1
XM_027351629.1	1	1	1	1
XM_027351630.1	1	1	1	1
XM_027351646.1	1	1	1	1
XM_027351659.1	1	1	1	1
XM_027351660.1	1	1	1	1
XM_027351668.1	1	1	1	1
XM_027351669.1	1	1	1	1
XM_027351671.1	1	1	1	1
XM_027351673.1	1	1	1	1
XM_027351676.1	1	1	1	1
XM_027351683.1	1	1	1	1
XM_027351695.1	1	1	1	1
XM_027351717.1	1	1	1	1
XM_027351718.1	1	1	1	1
XM_027351719.1	1	1	1	1
XM_027351720.1	1	1	1	1
XM_027351722.1	1	1	1	1
XM_027351746.1	1	1	1	1
XM_027351751.1	1	1	1	1
XM_027351752.1	1	1	1	1
XM_027351755.1	1	1	1	1
XM_027351771.1	1	1	1	1
XM_027351783.1	1	1	1	1
XM_027351790.1	1	1	1	1
XM_027351791.1	1	1	1	1
XM_027351830.1	1	1	1	1
XM_027351847.1	1	1	1	1
XM_027351851.1	1	1	1	1
XM_027351856.1	1	1	1	1
XM_027351857.1	1	1	1	1
XM_027351858.1	1	1	1	1
XM_027351859.1	1	1	1	1
XM_027351871.1	1	1	1	1
XM_027351872.1	1	1	1	1
XM_027351873.1	1	1	1	1
XM_027351874.1	1	1	1	1
XM_027351876.1	1	1	1	1
XM_027351877.1	1	1	1	1
XM_027351878.1	1	1	1	1
XM_027351879.1	1	1	1	1
XM_027351880.1	1	1	1	1
XM_027351881.1	1	1	1	1
XM_027351882.1	1	1	1	1
XM_027351883.1	1	1	1	1
XM_027351884.1	1	1	1	1
XM_027351885.1	1	1	1	1
XM_027351887.1	1	1	1	1
XM_027351896.1	1	1	1	1
XM_027351900.1	1	1	1	1
XM_027351905.1	1	1	1	1
XM_027351912.1	1	1	1	1
XM_027351947.1	1	1	1	1
XM_027351948.1	1	1	1	1
XM_027351952.1	1	1	1	1
XM_027351966.1	1	1	1	1
XM_027351973.1	1	1	1	1
XM_027351980.1	1	1	1	1
XM_027351982.1	1	1	1	1
XM_027351992.1	1	1	1	1
XM_027351997.1	1	1	1	1
XM_027352008.1	1	1	1	1
XM_027352012.1	1	1	1	1
XM_027352016.1	1	1	1	1
XM_027352022.1	1	1	1	1
XM_027352029.1	1	1	1	1
XM_027352030.1	1	1	1	1
XM_027352031.1	1	1	1	1
XM_027352032.1	1	1	1	1
XM_027352044.1	1	1	1	1
XM_027352049.1	1	1	1	1
XM_027352069.1	1	1	1	1
XM_027352072.1	1	1	1	1
XM_027352080.1	1	1	1	1
XM_027352082.1	1	1	1	1
XM_027352112.1	1	1	1	1
XM_027352116.1	1	1	1	1
XM_027352118.1	1	1	1	1
XM_027352119.1	1	1	1	1
XM_027352120.1	1	1	1	1
XM_027352121.1	1	1	1	1
XM_027352122.1	1	1	1	1
XM_027352123.1	1	1	1	1
XM_027352124.1	1	1	1	1
XM_027352125.1	1	1	1	1
XM_027352126.1	1	1	1	1
XM_027352133.1	1	1	1	1
XM_027352141.1	1	1	1	1
XM_027352166.1	1	1	1	1
XM_027352168.1	1	1	1	1
XM_027352189.1	1	1	1	1
XM_027352200.1	1	1	1	1
XM_027352207.1	1	1	1	1
XM_027352214.1	1	1	1	1
XM_027352216.1	1	1	1	1
XM_027352217.1	1	1	1	1
XM_027352218.1	1	1	1	1
XM_027352219.1	1	1	1	1
XM_027352220.1	1	1	1	1
XM_027352225.1	1	1	1	1
XM_027352226.1	1	1	1	1
XM_027352232.1	1	1	1	1
XM_027352234.1	1	1	1	1
XM_027352241.1	1	1	1	1
XM_027352246.1	1	1	1	1
XM_027352247.1	1	1	1	1
XM_027352248.1	1	1	1	1
XM_027352250.1	1	1	1	1
XM_027352252.1	1	1	1	1
XM_027352253.1	1	1	1	1
XM_027352254.1	1	1	1	1
XM_027352257.1	1	1	1	1
XM_027352258.1	1	1	1	1
XM_027352259.1	1	1	1	1
XM_027352260.1	1	1	1	1
XM_027352261.1	1	1	1	1
XM_027352262.1	1	1	1	1
XM_027352274.1	1	1	1	1
XM_027352295.1	1	1	1	1
XM_027352296.1	1	1	1	1
XM_027352297.1	1	1	1	1
XM_027352299.1	1	1	1	1
XM_027352305.1	1	1	1	1
XM_027352307.1	1	1	1	1
XM_027352315.1	1	1	1	1
XM_027352316.1	1	1	1	1
XM_027352317.1	1	1	1	1
XM_027352342.1	1	1	1	1
XM_027352359.1	1	1	1	1
XM_027352361.1	1	1	1	1
XM_027352385.1	1	1	1	1
XM_027352395.1	1	1	1	1
XM_027352396.1	1	1	1	1
XM_027352397.1	1	1	1	1
XM_027352398.1	1	1	1	1
XM_027352399.1	1	1	1	1
XM_027352400.1	1	1	1	1
XM_027352401.1	1	1	1	1
XM_027352402.1	1	1	1	1
XM_027352403.1	1	1	1	1
XM_027352404.1	1	1	1	1
XM_027352406.1	1	1	1	1
XM_027352407.1	1	1	1	1
XM_027352408.1	1	1	1	1
XM_027352409.1	1	1	1	1
XM_027352410.1	1	1	1	1
XM_027352411.1	1	1	1	1
XM_027352412.1	1	1	1	1
XM_027352413.1	1	1	1	1
XM_027352414.1	1	1	1	1
XM_027352415.1	1	1	1	1
XM_027352416.1	1	1	1	1
XM_027352417.1	1	1	1	1
XM_027352418.1	1	1	1	1
XM_027352419.1	1	1	1	1
XM_027352420.1	1	1	1	1
XM_027352422.1	1	1	1	1
XM_027352423.1	1	1	1	1
XM_027352424.1	1	1	1	1
XM_027352425.1	1	1	1	1
XM_027352426.1	1	1	1	1
XM_027352427.1	1	1	1	1
XM_027352428.1	1	1	1	1
XM_027352429.1	1	1	1	1
XM_027352430.1	1	1	1	1
XM_027352431.1	1	1	1	1
XM_027352432.1	1	1	1	1
XM_027352433.1	1	1	1	1
XM_027352434.1	1	1	1	1
XM_027352435.1	1	1	1	1
XM_027352436.1	1	1	1	1
XM_027352438.1	1	1	1	1
XM_027352439.1	1	1	1	1
XM_027352440.1	1	1	1	1
XM_027352441.1	1	1	1	1
XM_027352442.1	1	1	1	1
XM_027352443.1	1	1	1	1
XM_027352444.1	1	1	1	1
XM_027352445.1	1	1	1	1
XM_027352446.1	1	1	1	1
XM_027352447.1	1	1	1	1
XM_027352448.1	1	1	1	1
XM_027352480.1	1	1	1	1
XM_027352490.1	1	1	1	1
XM_027352491.1	1	1	1	1
XM_027352492.1	1	1	1	1
XM_027352493.1	1	1	1	1
XM_027352495.1	1	1	1	1
XM_027352525.1	1	1	1	1
XM_027352529.1	1	1	1	1
XM_027352530.1	1	1	1	1
XM_027352531.1	1	1	1	1
XM_027352532.1	1	1	1	1
XM_027352533.1	1	1	1	1
XM_027352536.1	1	1	1	1
XM_027352542.1	1	1	1	1
XM_027352547.1	1	1	1	1
XM_027352556.1	1	1	1	1
XM_027352559.1	1	1	1	1
XM_027352568.1	1	1	1	1
XM_027352569.1	1	1	1	1
XM_027352579.1	1	1	1	1
XM_027352580.1	1	1	1	1
XM_027352581.1	1	1	1	1
XM_027352582.1	1	1	1	1
XM_027352583.1	1	1	1	1
XM_027352584.1	1	1	1	1
XM_027352587.1	1	1	1	1
XM_027352589.1	1	1	1	1
XM_027352590.1	1	1	1	1
XM_027352593.1	1	1	1	1
XM_027352651.1	1	1	1	1
XM_027352683.1	1	1	1	1
XM_027352686.1	1	1	1	1
XM_027352690.1	1	1	1	1
XM_027352695.1	1	1	1	1
XM_027352696.1	1	1	1	1
XM_027352697.1	1	1	1	1
XM_027352698.1	1	1	1	1
XM_027352699.1	1	1	1	1
XM_027352700.1	1	1	1	1
XM_027352701.1	1	1	1	1
XM_027352702.1	1	1	1	1
XM_027352703.1	1	1	1	1
XM_027352704.1	1	1	1	1
XM_027352705.1	1	1	1	1
XM_027352707.1	1	1	1	1
XM_027352708.1	1	1	1	1
XM_027352709.1	1	1	1	1
XM_027352721.1	1	1	1	1
XM_027352726.1	1	1	1	1
XM_027352727.1	1	1	1	1
XM_027352728.1	1	1	1	1
XM_027352729.1	1	1	1	1
XM_027352730.1	1	1	1	1
XM_027352731.1	1	1	1	1
XM_027352765.1	1	1	1	1
XM_027352767.1	1	1	1	1
XM_027352768.1	1	1	1	1
XM_027352769.1	1	1	1	1
XM_027352775.1	1	1	1	1
XM_027352776.1	1	1	1	1
XM_027352782.1	1	1	1	1
XM_027352783.1	1	1	1	1
XM_027352797.1	1	1	1	1
XM_027352801.1	1	1	1	1
XM_027352807.1	1	1	1	1
XM_027352819.1	1	1	1	1
XM_027352827.1	1	1	1	1
XM_027352828.1	1	1	1	1
XM_027352829.1	1	1	1	1
XM_027352831.1	1	1	1	1
XM_027352840.1	1	1	1	1
