ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350604.1	1.64852560608705	1.68995688239096	1.91069228876193	1.89769492639059
XM_027350605.1	1.4469386778263	1.48217867118162	1.72021086696693	1.69218179910565
XM_027350606.1	1.8686504387525	1.99375406397399	2.15553154558546	2.10620757562156
XM_027350607.1	2.18325787678423	2.30532691407519	2.46356422365279	2.4292745592029
XM_027350608.1	-2.2819693539354	-1.65315817351162	-2.03393126597265	-2.05733025974259
XM_027350614.1	2.27273367440799	2.5150053328621	2.51332385271154	2.53742280520069
XM_027350615.1	2.15958120833956	1.95293360181745	2.40873554645698	2.42171593296911
XM_027350616.1	1.9503817530615	1.65440129941077	2.18869981995535	2.22130210288783
XM_027350619.1	-2.81235236052205	-2.46696835808243	-2.53507242511101	-2.5915212123807
XM_027350620.1	1.57449451176701	1.37353853668994	1.76114853672692	1.81293987132119
XM_027350629.1	5.15724862206505	3.96186913835466	4.35902078847087	5.27305318905305
XM_027350635.1	8.89383641508461	2.39545285056818	8.93148864423096	9.21074119511656
XM_027350640.1	2.89517194525249	2.73437577624876	3.18776036947109	3.14030056753494
XM_027350642.1	3.01793691731077	2.81508552944714	3.264866749638	3.21854878680659
XM_027350643.1	3.06773421301046	2.78515543570429	3.31432971479921	3.26764286484486
XM_027350644.1	-7.21014747282799	-7.67334447502695	-6.92350983792757	-6.955499464985
XM_027350645.1	-7.14942176445266	-7.76672524309793	-6.85835238676457	-6.89189580155157
XM_027350653.1	-8.00572158929703	-9.08987871948547	-7.69420536603964	-7.79967630428547
XM_027350660.1	-8.43265348986957	-8.46630110276515	-8.17518293288944	-8.20250793567439
XM_027350665.1	5.32953327480832	6.07572420040354	5.58983052183351	5.55761452577236
XM_027350671.1	-1.86399005300224	-1.09379014604989	-1.61147258316766	-1.64556303791884
XM_027350674.1	6.08272462909636	4.61918071531585	6.38508273718209	6.35183184968632
XM_027350677.1	-2.19667831865898	-2.25480254344807	-1.91860548402271	-1.95157993267491
XM_027350678.1	-2.15629370597631	-2.49081884156782	-1.95459130776781	-1.89731027793206
XM_027350688.1	-1.64408376539914	-1.65338767629427	-1.37094488042806	-1.38540938862035
XM_027350689.1	-1.79217204841117	-1.9561568799723	-1.52158621598543	-1.53369636761675
XM_027350690.1	-11.2458876164025	-11.626892822167	-10.620301672735	-11.073840516526
XM_027350702.1	-7.11493400146879	-7.38869283474319	-6.96500146122333	-6.88624101760425
XM_027350703.1	-2.41637839999215	-2.26724886777532	-2.13928192928366	-2.19801112030576
XM_027350704.1	-2.38291757198149	-2.35070152310374	-2.12450036815238	-2.16476228744439
XM_027350705.1	-2.49354028134229	-2.48342699536005	-2.23533963594493	-2.27700399634532
XM_027350736.1	-8.56249139647391	-8.59442147557224	-8.34561505700623	-8.34167642926661
XM_027350745.1	2.52996090559274	1.27093653308022	2.65398848273165	2.82989536057124
XM_027350748.1	10.2583326376624	5.48223763187088	5.9932763462053	7.53849496371997
XM_027350749.1	-2.33872918425822	-2.55309023266014	-2.07940159920177	-2.13933690729639
XM_027350755.1	-2.20731046239077	-2.18712663445243	-1.91917751324229	-1.97635398330839
XM_027350768.1	-2.29752673949053	-2.33694577070426	-2.01721015765571	-2.04336500200276
XM_027350776.1	2.06379919640739	2.34182960210678	2.35379730177233	2.32068604863675
XM_027350777.1	1.42674361912656	1.32786070470212	1.71116430486575	1.67127607059087
XM_027350778.1	1.75614357598285	1.65076322582824	2.04628926870244	2.00579799016433
XM_027350780.1	-3.1294333068315	-3.10071852071661	-2.88174202674898	-2.88608440154589
XM_027350784.1	-1.84127946419502	-1.95051427015807	-1.5954038287188	-1.61992699606606
XM_027350785.1	-1.93202088723839	-2.12624903423298	-1.69230328425999	-1.71226708356334
XM_027350786.1	-1.69735112693024	-1.79868180832005	-1.4486249059435	-1.4741637775632
XM_027350787.1	-1.78205294204719	-1.90737855463149	-1.53794192567722	-1.55657644648083
XM_027350788.1	-1.73739068412929	-1.74318463629946	-1.50490139035803	-1.51101087659464
XM_027350793.1	3.31292204791277	5.33717944865995	3.52787019189303	3.60982388853806
XM_027350794.1	11.0532525602098	10.5645470667056	11.1655483012981	11.3335184525889
XM_027350797.1	-2.33113169576601	-2.2871874857479	-2.04550817723498	-2.1138974762064
XM_027350808.1	9.77179783734706	10.1553297892792	9.95746080804225	10.0192879204408
XM_027350813.1	-7.19700788662327	-7.14529244029859	-6.92727475640112	-6.96057676827464
XM_027350816.1	2.68946635119024	0.799763315654352	2.77119902120913	2.99152308406338
XM_027350817.1	-7.59681860069522	-6.64109033364259	-7.298428064933	-7.38207290263793
