ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350598.1	-7.51793741726214	-9.57237553597288	-7.47543529507556	-7.52971190180423
XM_027350614.1	4.470373316535	4.89099646797954	4.49871636207933	4.40521904710111
XM_027350615.1	4.36136403018342	4.36766882583397	4.39338468257694	4.29933925614967
XM_027350616.1	3.94115682236817	3.94467590179213	3.97526988295148	3.87519016013568
XM_027350620.1	-2.22167058987684	-1.856660632775	-2.21610852779074	-2.27917064143646
XM_027350640.1	6.61436885448489	6.63121038902604	6.62553135214335	6.55540177294899
XM_027350644.1	-10.2406289080394	-10.8686006633712	-10.1699517568676	-10.2983744081527
XM_027350645.1	-10.26862391719	-11.10008403106	-10.2135537187944	-10.3227924562395
XM_027350647.1	-1.63428707502491	-1.59296096776205	-1.62432654243902	-1.68898272361864
XM_027350648.1	-1.66455436848167	-1.64291430373228	-1.65652331704017	-1.71880301224521
XM_027350649.1	-1.6081109546063	-1.56555510099828	-1.60161017278947	-1.66549856276055
XM_027350653.1	-10.5395344364591	-10.5057744563124	-10.2169647890692	-10.8372877350131
XM_027350660.1	-7.53457198408639	-8.50639594517163	-7.52144063680281	-7.58565070322132
XM_027350661.1	3.36972916700699	3.92847139936096	3.35296620731614	3.31427346690251
XM_027350662.1	3.43094235128966	3.90836526410422	3.40630169271611	3.379907839993
XM_027350665.1	-3.93494124291311	-2.81438107353747	-3.93548703128162	-3.95680233233541
XM_027350671.1	-2.75844099900943	-2.21301549318709	-2.76060691554408	-2.83801790317253
XM_027350674.1	1.95178797221596	1.86643683271586	1.9043172855742	1.91918956568995
XM_027350690.1	-9.55976080695172	-11.3719956277545	-9.46854468880637	-9.6445551918713
XM_027350694.1	1.19937728148397	1.51798221994253	1.24042699541261	1.15120305389229
XM_027350697.1	1.51770448951992	1.3824079255087	1.51636861349481	1.46511157409638
XM_027350702.1	-9.10173773650827	-9.55853031698744	-9.01699329482551	-9.24284063163102
XM_027350717.1	5.46634782086564	4.67680301090255	5.34030735648525	5.45916087873635
XM_027350718.1	5.4521321183412	5.35118656073237	5.34486629711855	5.47574854982638
XM_027350736.1	-7.36762576739747	-7.98186837119718	-7.34189092610961	-7.42175404074111
XM_027350760.1	-1.45374803597282	-1.47326739778163	-1.45115391177789	-1.51562747157105
XM_027350761.1	-1.49157442939332	-1.49186417518053	-1.48673027267668	-1.55543456284169
XM_027350762.1	-1.47719104169775	-1.48563539226389	-1.46947365476537	-1.53993515515535
XM_027350776.1	5.6994082187749	6.03185394442874	5.70536381490026	5.64900703760404
XM_027350777.1	5.14967175840406	5.15461250605753	5.15461493909233	5.09870410305048
XM_027350778.1	5.24580565868192	5.26206693473444	5.25020509405785	5.19324128005079
XM_027350780.1	-4.52661553435368	-4.48888468132124	-4.51935329495355	-4.58766666481403
XM_027350784.1	-2.85484545210859	-2.76895185252601	-2.86007631634987	-2.90920155089957
XM_027350785.1	-2.97365988893657	-2.89040224086145	-2.98803147392809	-3.02977785923584
XM_027350786.1	-2.74113767841562	-2.63021848951903	-2.74571169484736	-2.7993682918998
XM_027350787.1	-2.88564023579968	-2.7918915735708	-2.88974888813615	-2.93974633638651
XM_027350788.1	-2.65157419175932	-2.58300685681978	-2.65127341659389	-2.70651500670467
XM_027350813.1	-7.12664905461984	-7.13494458011614	-7.12385185929413	-7.19007426101172
XM_027350817.1	-6.80446555423243	-5.93947406303406	-6.79240503086427	-6.8689531442402
XM_027350818.1	-6.86347965837037	-5.99482636472329	-6.85237782253573	-6.92690972171738
XM_027350819.1	-11.1345087141064	-13.3462962288189	-11.1285015314375	-11.2006589919842
XM_027350823.1	2.36009113984999	2.32203807047105	2.37205294077891	2.29502019269972
XM_027350831.1	6.64474316637735	7.03564095836296	6.6452689399305	6.58656215185307
XM_027350833.1	6.54836337356119	6.8023727527177	6.55289258384509	6.49143362576093
XM_027350834.1	6.87350908810548	6.9109948293238	6.8998508366516	6.82299686837238
XM_027350835.1	7.08626862786443	7.03929426592249	7.10661812709698	7.03423793321802
XM_027350836.1	6.52756256725493	6.63866358966758	6.53226664808195	6.46523607053151
XM_027350837.1	7.30483115100185	7.57568913524249	7.30420372561898	7.23844572420545
XM_027350838.1	7.36006755957021	7.46701781943283	7.35764504076435	7.29347405890241
XM_027350844.1	4.96657966888668	4.41685102504775	4.50787593250175	4.96436672785251
XM_027350869.1	1.7852434463231	1.35681215694483	1.78842128347863	1.75366442656395
XM_027350881.1	-2.29625183729359	-2.2923534096869	-2.2873199729551	-2.35231668118753
XM_027350882.1	1.63377999612204	1.35175822298011	1.65475058040821	1.57985523527805
XM_027350893.1	1.75211864253747	2.07915040379494	1.79949382072947	1.69155586032909
XM_027350895.1	-2.03143155561589	-2.15893568989223	-2.03705624647262	-2.08331544464629
XM_027350896.1	3.40180463345465	3.28285980843005	3.40691237640501	3.37517892440947
XM_027350903.1	3.36607942930675	1.89817701903914	3.35474541595084	3.34140612887298
XM_027350907.1	1.49153298937607	1.50016853700561	1.50217459616371	1.43201245026607
XM_027350910.1	4.53921515752867	3.89047297450978	4.47146766932357	4.53098319332427
XM_027350912.1	6.37612296752282	7.33659020464696	6.31235798818195	6.37388860053568
XM_027350917.1	3.23204362171825	3.5320663063635	3.28357685011896	3.1761243890189
XM_027350920.1	-1.72378703063664	-1.43681405039933	-1.71851171730304	-1.77994382481768
XM_027350924.1	6.11767872305436	7.19457805536971	6.13807409777715	6.06854959286766
XM_027350928.1	-8.72734529614137	-9.08627424415163	-8.7476353483458	-8.82060122130878
XM_027350939.1	-1.85788986005525	-1.86887911087369	-1.85916445835161	-1.92742072990873
XM_027350946.1	-1.51309430478699	-2.11733221800811	-1.50179366447187	-1.56948651974754
XM_027350951.1	-5.78637665628448	-5.15619213071171	-5.77669501612077	-5.84919409228142
XM_027350963.1	5.66015322622393	5.56068242295313	5.58394432911689	5.64259402059369
XM_027350964.1	5.62918692881853	6.09852147869662	5.51746451643829	5.5566477746409
XM_027350965.1	5.11557231004444	5.26808108248179	4.8385150829846	5.12802979867138
XM_027350966.1	5.8505345184826	5.96871327519774	5.26703729969959	5.89811205336521
XM_027350968.1	5.75329838211672	5.31166064532277	5.33252845315772	5.74711040752772
XM_027350970.1	4.60928552164842	5.02943099863386	4.56266442652464	4.49182036394476
XM_027350971.1	5.7940473146313	5.4092171715712	5.30360208175125	5.79813910697387
XM_027350972.1	10.0320328996706	6.19227951222861	6.17049997469375	7.62783384236931
XM_027350973.1	6.98828212405018	6.07703748562711	6.00661782442902	6.88785548807829
XM_027350974.1	6.82318531557399	5.80174172431428	5.81923987102575	6.69904210198585
XM_027350975.1	6.34218246839454	5.72111546953824	5.46411351040203	6.37075688878663
XM_027350976.1	6.71386462638504	5.8117953193999	5.41778789517598	6.66243786774775
XM_027350977.1	4.90829845724915	4.68954355658287	4.72798919816584	4.88535492128209
XM_027350978.1	5.56271600946259	5.79365218739808	5.3968811575675	5.49787611268433
