ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350598.1	4.54556401646993e-05	0.0006811001996858	0.0161102884807668	4.03335637006872e-05
XM_027350614.1	3.80911685029356e-14	9.44265171175711e-06	0.00825498701014882	1.35670109378618e-29
XM_027350615.1	7.43513862583631e-32	7.7737122996826e-08	0.0101109400968303	6.64979900329387e-52
XM_027350616.1	4.47065275683743e-27	1.26723458311839e-07	0.00888138744472855	1.29922992888234e-45
XM_027350620.1	0.000339721309600665	0.00673622445703603	0.0627444859204807	6.64310052721584e-05
XM_027350640.1	3.93910914853054e-55	3.32955435734305e-10	0.0226897824772186	1.92079249429414e-133
XM_027350644.1	8.66971924576074e-44	8.22612899574358e-10	4.44089209850063e-16	2.33633487456821e-86
XM_027350645.1	1.29981315022445e-31	2.00924399629753e-09	6.642432505366e-05	7.22097640583379e-65
XM_027350647.1	4.54394398198911e-09	1.00792162042951e-05	0.0404662804209123	6.78170972999281e-17
XM_027350648.1	7.80584385820585e-11	1.97796415649014e-06	0.038539908385646	1.87227277650854e-26
XM_027350649.1	1.2249337416395e-08	1.56280863627864e-05	0.042908361860761	4.24561573669242e-16
XM_027350653.1	2.37026383711005e-32	4.08341364622321e-07	0.00381946128933119	1.35760968373721e-39
XM_027350660.1	1.59811802771907e-17	5.57848288808411e-08	0.0046730840545296	5.87513708638927e-32
XM_027350661.1	5.2692302049163e-07	0.000113101373632711	0.0198457560807714	4.29314735415003e-09
XM_027350662.1	2.34407350991149e-08	6.92948417625169e-05	0.0191973884848059	1.34335152731579e-11
XM_027350665.1	0.000123746907236665	0.01424826919134	0.0406710562099213	4.76880296054583e-06
XM_027350671.1	0.000287347714290449	0.0148072847891634	0.0228137524538559	3.50984875930213e-05
XM_027350674.1	1.29565941666656e-05	0.00157116754835193	0.0276825936421913	1.12748786014455e-06
XM_027350690.1	2.98513692591267e-17	1.70999151174202e-07	0.00815963736072467	8.24392008818532e-13
XM_027350694.1	0.0293045112253247	0.0103102984937756	0.085763679137454	0.0284272799589951
XM_027350697.1	2.20280888228251e-05	0.00280624128155566	0.0261602474851336	5.18633429853359e-06
