ID	NOISeq	limma	DESeq2	edgeR
XM_027350598.1	1	1	1	1
XM_027350614.1	1	1	1	1
XM_027350615.1	1	1	1	1
XM_027350616.1	1	1	1	1
XM_027350640.1	1	1	1	1
XM_027350644.1	1	1	1	1
XM_027350645.1	1	1	1	1
XM_027350647.1	1	1	1	1
XM_027350648.1	1	1	1	1
XM_027350649.1	1	1	1	1
XM_027350653.1	1	1	1	1
XM_027350660.1	1	1	1	1
XM_027350661.1	1	1	1	1
XM_027350662.1	1	1	1	1
XM_027350665.1	1	1	1	1
XM_027350671.1	1	1	1	1
XM_027350674.1	1	1	1	1
XM_027350690.1	1	1	1	1
XM_027350702.1	1	1	1	1
XM_027350717.1	1	1	1	1
XM_027350718.1	1	1	1	1
XM_027350736.1	1	1	1	1
XM_027350776.1	1	1	1	1
XM_027350777.1	1	1	1	1
XM_027350778.1	1	1	1	1
XM_027350780.1	1	1	1	1
XM_027350784.1	1	1	1	1
XM_027350785.1	1	1	1	1
XM_027350786.1	1	1	1	1
XM_027350787.1	1	1	1	1
XM_027350788.1	1	1	1	1
XM_027350813.1	1	1	1	1
XM_027350817.1	1	1	1	1
XM_027350818.1	1	1	1	1
XM_027350819.1	1	1	1	1
XM_027350823.1	1	1	1	1
XM_027350833.1	1	1	1	1
XM_027350834.1	1	1	1	1
XM_027350835.1	1	1	1	1
XM_027350838.1	1	1	1	1
XM_027350844.1	1	1	1	1
XM_027350881.1	1	1	1	1
XM_027350893.1	1	1	1	1
XM_027350895.1	1	1	1	1
XM_027350896.1	1	1	1	1
XM_027350910.1	1	1	1	1
XM_027350912.1	1	1	1	1
XM_027350917.1	1	1	1	1
XM_027350924.1	1	1	1	1
XM_027350928.1	1	1	1	1
XM_027350939.1	1	1	1	1
XM_027350951.1	1	1	1	1
XM_027350963.1	1	1	1	1
XM_027350964.1	1	1	1	1
XM_027350965.1	1	1	1	1
XM_027350966.1	1	1	1	1
XM_027350968.1	1	1	1	1
XM_027350970.1	1	1	1	1
XM_027350971.1	1	1	1	1
XM_027350972.1	1	1	1	1
XM_027350973.1	1	1	1	1
XM_027350974.1	1	1	1	1
XM_027350975.1	1	1	1	1
XM_027350976.1	1	1	1	1
XM_027350977.1	1	1	1	1
XM_027350978.1	1	1	1	1
XM_027350979.1	1	1	1	1
XM_027351003.1	1	1	1	1
XM_027351009.1	1	1	1	1
XM_027351014.1	1	1	1	1
XM_027351017.1	1	1	1	1
XM_027351022.1	1	1	1	1
XM_027351024.1	1	1	1	1
XM_027351025.1	1	1	1	1
XM_027351027.1	1	1	1	1
XM_027351031.1	1	1	1	1
XM_027351034.1	1	1	1	1
XM_027351037.1	1	1	1	1
XM_027351039.1	1	1	1	1
XM_027351041.1	1	1	1	1
XM_027351045.1	1	1	1	1
XM_027351051.1	1	1	1	1
XM_027351077.1	1	1	1	1
XM_027351080.1	1	1	1	1
XM_027351086.1	1	1	1	1
XM_027351097.1	1	1	1	1
XM_027351111.1	1	1	1	1
XM_027351115.1	1	1	1	1
XM_027351123.1	1	1	1	1
XM_027351125.1	1	1	1	1
XM_027351129.1	1	1	1	1
XM_027351132.1	1	1	1	1
XM_027351140.1	1	1	1	1
XM_027351141.1	1	1	1	1
XM_027351146.1	1	1	1	1
XM_027351152.1	1	1	1	1
XM_027351188.1	1	1	1	1
XM_027351221.1	1	1	1	1
XM_027351224.1	1	1	1	1
XM_027351257.1	1	1	1	1
XM_027351271.1	1	1	1	1
XM_027351282.1	1	1	1	1
XM_027351285.1	1	1	1	1
XM_027351289.1	1	1	1	1
XM_027351290.1	1	1	1	1
XM_027351292.1	1	1	1	1
XM_027351300.1	1	1	1	1
XM_027351303.1	1	1	1	1
XM_027351310.1	1	1	1	1
XM_027351312.1	1	1	1	1
XM_027351314.1	1	1	1	1
XM_027351315.1	1	1	1	1
XM_027351316.1	1	1	1	1
XM_027351317.1	1	1	1	1
XM_027351318.1	1	1	1	1
XM_027351331.1	1	1	1	1
XM_027351332.1	1	1	1	1
XM_027351335.1	1	1	1	1
XM_027351341.1	1	1	1	1
XM_027351343.1	1	1	1	1
XM_027351347.1	1	1	1	1
XM_027351349.1	1	1	1	1
XM_027351352.1	1	1	1	1
XM_027351359.1	1	1	1	1
XM_027351415.1	1	1	1	1
XM_027351416.1	1	1	1	1
XM_027351417.1	1	1	1	1
XM_027351418.1	1	1	1	1
XM_027351435.1	1	1	1	1
XM_027351440.1	1	1	1	1
XM_027351444.1	1	1	1	1
XM_027351445.1	1	1	1	1
XM_027351446.1	1	1	1	1
XM_027351447.1	1	1	1	1
XM_027351449.1	1	1	1	1
XM_027351455.1	1	1	1	1
XM_027351456.1	1	1	1	1
XM_027351457.1	1	1	1	1
XM_027351465.1	1	1	1	1
XM_027351473.1	1	1	1	1
XM_027351474.1	1	1	1	1
XM_027351475.1	1	1	1	1
XM_027351476.1	1	1	1	1
XM_027351477.1	1	1	1	1
XM_027351491.1	1	1	1	1
XM_027351492.1	1	1	1	1
XM_027351545.1	1	1	1	1
XM_027351549.1	1	1	1	1
XM_027351569.1	1	1	1	1
XM_027351570.1	1	1	1	1
XM_027351584.1	1	1	1	1
XM_027351592.1	1	1	1	1
XM_027351597.1	1	1	1	1
XM_027351599.1	1	1	1	1
XM_027351602.1	1	1	1	1
XM_027351603.1	1	1	1	1
XM_027351607.1	1	1	1	1
XM_027351617.1	1	1	1	1
XM_027351619.1	1	1	1	1
XM_027351660.1	1	1	1	1
XM_027351669.1	1	1	1	1
XM_027351673.1	1	1	1	1
XM_027351699.1	1	1	1	1
XM_027351717.1	1	1	1	1
XM_027351718.1	1	1	1	1
XM_027351719.1	1	1	1	1
XM_027351720.1	1	1	1	1
XM_027351722.1	1	1	1	1
XM_027351730.1	1	1	1	1
XM_027351731.1	1	1	1	1
XM_027351732.1	1	1	1	1
XM_027351733.1	1	1	1	1
XM_027351734.1	1	1	1	1
XM_027351735.1	1	1	1	1
XM_027351736.1	1	1	1	1
XM_027351739.1	1	1	1	1
XM_027351746.1	1	1	1	1
XM_027351751.1	1	1	1	1
XM_027351752.1	1	1	1	1
XM_027351755.1	1	1	1	1
XM_027351775.1	1	1	1	1
XM_027351776.1	1	1	1	1
XM_027351808.1	1	1	1	1
XM_027351856.1	1	1	1	1
XM_027351857.1	1	1	1	1
XM_027351858.1	1	1	1	1
XM_027351859.1	1	1	1	1
XM_027351861.1	1	1	1	1
XM_027351863.1	1	1	1	1
XM_027351864.1	1	1	1	1
XM_027351865.1	1	1	1	1
XM_027351871.1	1	1	1	1
XM_027351872.1	1	1	1	1
XM_027351873.1	1	1	1	1
XM_027351874.1	1	1	1	1
XM_027351876.1	1	1	1	1
XM_027351928.1	1	1	1	1
XM_027351947.1	1	1	1	1
XM_027351952.1	1	1	1	1
XM_027351977.1	1	1	1	1
XM_027351978.1	1	1	1	1
XM_027351979.1	1	1	1	1
XM_027351980.1	1	1	1	1
XM_027351981.1	1	1	1	1
XM_027351984.1	1	1	1	1
XM_027351985.1	1	1	1	1
XM_027351999.1	1	1	1	1
XM_027352001.1	1	1	1	1
XM_027352004.1	1	1	1	1
XM_027352005.1	1	1	1	1
XM_027352006.1	1	1	1	1
XM_027352009.1	1	1	1	1
XM_027352010.1	1	1	1	1
XM_027352080.1	1	1	1	1
XM_027352082.1	1	1	1	1
XM_027352101.1	1	1	1	1
XM_027352102.1	1	1	1	1
XM_027352103.1	1	1	1	1
XM_027352108.1	1	1	1	1
XM_027352109.1	1	1	1	1
XM_027352110.1	1	1	1	1
XM_027352112.1	1	1	1	1
XM_027352132.1	1	1	1	1
XM_027352136.1	1	1	1	1
XM_027352141.1	1	1	1	1
XM_027352147.1	1	1	1	1
XM_027352158.1	1	1	1	1
XM_027352179.1	1	1	1	1
XM_027352181.1	1	1	1	1
XM_027352185.1	1	1	1	1
XM_027352187.1	1	1	1	1
XM_027352188.1	1	1	1	1
XM_027352200.1	1	1	1	1
XM_027352207.1	1	1	1	1
XM_027352216.1	1	1	1	1
XM_027352217.1	1	1	1	1
XM_027352218.1	1	1	1	1
XM_027352219.1	1	1	1	1
XM_027352220.1	1	1	1	1
XM_027352221.1	1	1	1	1
XM_027352225.1	1	1	1	1
XM_027352226.1	1	1	1	1
XM_027352232.1	1	1	1	1
XM_027352234.1	1	1	1	1
XM_027352246.1	1	1	1	1
XM_027352247.1	1	1	1	1
XM_027352250.1	1	1	1	1
XM_027352252.1	1	1	1	1
XM_027352253.1	1	1	1	1
XM_027352254.1	1	1	1	1
XM_027352256.1	1	1	1	1
XM_027352257.1	1	1	1	1
XM_027352259.1	1	1	1	1
XM_027352260.1	1	1	1	1
XM_027352261.1	1	1	1	1
XM_027352262.1	1	1	1	1
XM_027352271.1	1	1	1	1
XM_027352274.1	1	1	1	1
XM_027352299.1	1	1	1	1
XM_027352301.1	1	1	1	1
XM_027352305.1	1	1	1	1
XM_027352306.1	1	1	1	1
XM_027352307.1	1	1	1	1
XM_027352315.1	1	1	1	1
XM_027352316.1	1	1	1	1
XM_027352317.1	1	1	1	1
XM_027352341.1	1	1	1	1
XM_027352342.1	1	1	1	1
XM_027352348.1	1	1	1	1
XM_027352355.1	1	1	1	1
XM_027352359.1	1	1	1	1
XM_027352385.1	1	1	1	1
XM_027352421.1	1	1	1	1
XM_027352443.1	1	1	1	1
XM_027352461.1	1	1	1	1
XM_027352481.1	1	1	1	1
XM_027352485.1	1	1	1	1
XM_027352490.1	1	1	1	1
XM_027352491.1	1	1	1	1
XM_027352492.1	1	1	1	1
XM_027352493.1	1	1	1	1
XM_027352505.1	1	1	1	1
XM_027352514.1	1	1	1	1
XM_027352535.1	1	1	1	1
XM_027352536.1	1	1	1	1
XM_027352539.1	1	1	1	1
XM_027352542.1	1	1	1	1
XM_027352549.1	1	1	1	1
XM_027352556.1	1	1	1	1
XM_027352560.1	1	1	1	1
XM_027352578.1	1	1	1	1
XM_027352597.1	1	1	1	1
XM_027352598.1	1	1	1	1
XM_027352650.1	1	1	1	1
XM_027352678.1	1	1	1	1
XM_027352686.1	1	1	1	1
XM_027352690.1	1	1	1	1
XM_027352693.1	1	1	1	1
XM_027352694.1	1	1	1	1
XM_027352695.1	1	1	1	1
XM_027352698.1	1	1	1	1
XM_027352707.1	1	1	1	1
XM_027352708.1	1	1	1	1
XM_027352712.1	1	1	1	1
XM_027352732.1	1	1	1	1
XM_027352733.1	1	1	1	1
XM_027352736.1	1	1	1	1
XM_027352760.1	1	1	1	1
XM_027352761.1	1	1	1	1
XM_027352765.1	1	1	1	1
XM_027352767.1	1	1	1	1
XM_027352768.1	1	1	1	1
XM_027352775.1	1	1	1	1
XM_027352782.1	1	1	1	1
XM_027352783.1	1	1	1	1
XM_027352788.1	1	1	1	1
XM_027352823.1	1	1	1	1
XM_027352824.1	1	1	1	1
XM_027352825.1	1	1	1	1
XM_027352829.1	1	1	1	1
XM_027352831.1	1	1	1	1
XM_027352835.1	1	1	1	1
XM_027352840.1	1	1	1	1
XM_027352848.1	1	1	1	1
XM_027352858.1	1	1	1	1
XM_027352860.1	1	1	1	1
XM_027352861.1	1	1	1	1
XM_027352862.1	1	1	1	1
XM_027352863.1	1	1	1	1
XM_027352898.1	1	1	1	1
XM_027352899.1	1	1	1	1
XM_027352915.1	1	1	1	1
XM_027352916.1	1	1	1	1
XM_027352917.1	1	1	1	1
XM_027352918.1	1	1	1	1
XM_027352919.1	1	1	1	1
XM_027352920.1	1	1	1	1
XM_027352922.1	1	1	1	1
XM_027352923.1	1	1	1	1
XM_027352930.1	1	1	1	1
XM_027352932.1	1	1	1	1
XM_027352934.1	1	1	1	1
XM_027352935.1	1	1	1	1
XM_027352936.1	1	1	1	1
XM_027352940.1	1	1	1	1
XM_027352968.1	1	1	1	1
XM_027352971.1	1	1	1	1
XM_027352972.1	1	1	1	1
XM_027352974.1	1	1	1	1
XM_027352977.1	1	1	1	1
XM_027352978.1	1	1	1	1
XM_027353008.1	1	1	1	1
XM_027353011.1	1	1	1	1
XM_027353046.1	1	1	1	1
XM_027353047.1	1	1	1	1
XM_027353055.1	1	1	1	1
XM_027353057.1	1	1	1	1
XM_027353075.1	1	1	1	1
XM_027353077.1	1	1	1	1
XM_027353078.1	1	1	1	1
XM_027353093.1	1	1	1	1
XM_027353100.1	1	1	1	1
XM_027353101.1	1	1	1	1
XM_027353116.1	1	1	1	1
XM_027353117.1	1	1	1	1
XM_027353118.1	1	1	1	1
XM_027353134.1	1	1	1	1
XM_027353136.1	1	1	1	1
XM_027353187.1	1	1	1	1
XM_027353209.1	1	1	1	1
XM_027353214.1	1	1	1	1
XM_027353215.1	1	1	1	1
XM_027353217.1	1	1	1	1
XM_027353218.1	1	1	1	1
XM_027353219.1	1	1	1	1
XM_027353233.1	1	1	1	1
XM_027353236.1	1	1	1	1
XM_027353258.1	1	1	1	1
XM_027353260.1	1	1	1	1
XM_027353261.1	1	1	1	1
XM_027353262.1	1	1	1	1
XM_027353272.1	1	1	1	1
XM_027353286.1	1	1	1	1
XM_027353288.1	1	1	1	1
XM_027353292.1	1	1	1	1
XM_027353293.1	1	1	1	1
XM_027353294.1	1	1	1	1
XM_027353295.1	1	1	1	1
XM_027353296.1	1	1	1	1
XM_027353297.1	1	1	1	1
XM_027353305.1	1	1	1	1
XM_027353306.1	1	1	1	1
XM_027353310.1	1	1	1	1
XM_027353349.1	1	1	1	1
XM_027353350.1	1	1	1	1
XM_027353354.1	1	1	1	1
XM_027353367.1	1	1	1	1
XM_027353393.1	1	1	1	1
XM_027353394.1	1	1	1	1
XM_027353436.1	1	1	1	1
XM_027353440.1	1	1	1	1
XM_027353448.1	1	1	1	1
XM_027353449.1	1	1	1	1
XM_027353452.1	1	1	1	1
XM_027353453.1	1	1	1	1
XM_027353470.1	1	1	1	1
XM_027353475.1	1	1	1	1
XM_027353476.1	1	1	1	1
XM_027353482.1	1	1	1	1
XM_027353506.1	1	1	1	1
XM_027353507.1	1	1	1	1
XM_027353508.1	1	1	1	1
XM_027353518.1	1	1	1	1
XM_027353532.1	1	1	1	1
XM_027353553.1	1	1	1	1
XM_027353560.1	1	1	1	1
XM_027353571.1	1	1	1	1
XM_027353572.1	1	1	1	1
XM_027353573.1	1	1	1	1
XM_027353578.1	1	1	1	1
XM_027353579.1	1	1	1	1
XM_027353580.1	1	1	1	1
XM_027353581.1	1	1	1	1
XM_027353672.1	1	1	1	1
XM_027353677.1	1	1	1	1
XM_027353691.1	1	1	1	1
XM_027353692.1	1	1	1	1
XM_027353722.1	1	1	1	1
XM_027353739.1	1	1	1	1
XM_027353742.1	1	1	1	1
XM_027353748.1	1	1	1	1
XM_027353755.1	1	1	1	1
XM_027353766.1	1	1	1	1
XM_027353767.1	1	1	1	1
XM_027353768.1	1	1	1	1
XM_027353775.1	1	1	1	1
XM_027353779.1	1	1	1	1
XM_027353788.1	1	1	1	1
XM_027353808.1	1	1	1	1
XM_027353839.1	1	1	1	1
XM_027353840.1	1	1	1	1
XM_027353847.1	1	1	1	1
XM_027353848.1	1	1	1	1
XM_027353853.1	1	1	1	1
XM_027353870.1	1	1	1	1
XM_027353873.1	1	1	1	1
XM_027353884.1	1	1	1	1
XM_027353885.1	1	1	1	1
XM_027353887.1	1	1	1	1
XM_027353890.1	1	1	1	1
XM_027353891.1	1	1	1	1
XM_027353892.1	1	1	1	1
XM_027353901.1	1	1	1	1
XM_027353910.1	1	1	1	1
XM_027353924.1	1	1	1	1
XM_027353973.1	1	1	1	1
XM_027354048.1	1	1	1	1
XM_027354049.1	1	1	1	1
XM_027354050.1	1	1	1	1
XM_027354051.1	1	1	1	1
XM_027354052.1	1	1	1	1
XM_027354053.1	1	1	1	1
XM_027354054.1	1	1	1	1
XM_027354056.1	1	1	1	1
XM_027354057.1	1	1	1	1
XM_027354059.1	1	1	1	1
XM_027354060.1	1	1	1	1
XM_027354065.1	1	1	1	1
XM_027354068.1	1	1	1	1
XM_027354069.1	1	1	1	1
XM_027354076.1	1	1	1	1
XM_027354081.1	1	1	1	1
XM_027354101.1	1	1	1	1
XM_027354123.1	1	1	1	1
XM_027354132.1	1	1	1	1
XM_027354133.1	1	1	1	1
XM_027354134.1	1	1	1	1
XM_027354135.1	1	1	1	1
XM_027354136.1	1	1	1	1
XM_027354137.1	1	1	1	1
XM_027354140.1	1	1	1	1
XM_027354175.1	1	1	1	1
XM_027354184.1	1	1	1	1
XM_027354203.1	1	1	1	1
XM_027354204.1	1	1	1	1
