ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350596.1	1.02043926966606e-09	6.11301579427733e-06	0.0293215405587465	8.59635063142396e-15
XM_027350598.1	1.33182217080444e-05	7.67082592738461e-05	0.0361780629433581	7.68277769412842e-08
XM_027350602.1	3.40566591697037e-05	0.000264799361145371	0.0502221704530597	9.12739161903167e-06
XM_027350619.1	1.05021224131586e-05	0.000776192970693776	0.034917734599031	9.28253264690263e-08
XM_027350621.1	0.00302026774418091	0.000367406201529044	0.0793120488763249	0.000726918714698703
XM_027350629.1	4.42370123693556e-16	5.82523520128564e-07	0.00936350295114063	8.5570034913682e-11
XM_027350630.1	6.88325960215462e-31	1.05368035283134e-07	0.00436860226131419	1.18983320612949e-32
XM_027350642.1	0.042749081189934	0.983946931832044	0.0682798898835323	1
XM_027350643.1	0.0451407200188473	0.894322330612091	0.0683175744555234	1
XM_027350644.1	6.17857020262629e-08	2.90063077674629e-07	0.00463357037908996	4.29463882749895e-15
XM_027350645.1	3.76741362748676e-09	1.40982636932026e-07	0.00285264274934993	1.26156222390736e-17
XM_027350646.1	0.02968181451796	0.0759279657757994	0.121688899092928	0.0137065787658277
XM_027350653.1	0.00812231522719495	0.00450693239744483	0.0340840585152733	0.00257719963707038
XM_027350660.1	1.63530474176116e-12	3.73196726567733e-07	0.026498426160925	9.03342792104719e-26
XM_027350674.1	3.38287256059525e-10	0.000232166225223081	0.0256131429883211	2.54218999527552e-11
XM_027350677.1	5.22575305313025e-07	3.44746195938743e-06	0.0193112099608864	3.41960568253607e-27
XM_027350678.1	1.3373542978608e-06	0.00028672409184974	0.0582199117671391	1.56134038010119e-07
XM_027350689.1	0.000344206994690598	0.00221016541430738	0.09571590966195	1.64465727827177e-05
XM_027350690.1	0.214422135791825	0.000198040192530209	0.0761607776093776	0.164020373044777
XM_027350703.1	0.00352496701811585	0.00636411763312993	0.0329310752778021	0.000159623163694334
XM_027350704.1	0.00021614998712341	0.000216776478366647	0.0305086234328531	1.50611401026422e-08
XM_027350705.1	1.45415748884264e-05	3.92243184612863e-05	0.0285200086733846	1.07111938388016e-11
XM_027350706.1	0.000469711061118334	1.00014425526956e-05	0.0137436241482685	0.000313550269683718
XM_027350707.1	7.027064505957e-05	7.07141775429831e-06	0.00993591240825931	2.71294480678026e-07
XM_027350709.1	6.65504180753087e-10	2.5544064228235e-05	0.0066132238092419	2.95629147478653e-16
XM_027350712.1	4.5780767862375e-05	5.3911589605446e-06	0.0070626796941996	2.51151862696286e-05
XM_027350715.1	0.000129787264020128	5.62782395076018e-06	0.00747824653634788	7.25446273842202e-05
XM_027350717.1	2.81750665393005e-08	5.09821527544708e-05	0.0263281945958291	3.14422683451229e-10
XM_027350718.1	3.65553684638413e-06	2.02075662430294e-05	0.0376387030029399	1.14762031774151e-07
XM_027350720.1	7.14084151625084e-09	0.000107162812334984	0.0111478132736368	1.05598463479871e-11
XM_027350721.1	1.91753186716765e-06	0.000158896262968882	0.00921092910253563	1.88923880117302e-06
XM_027350736.1	6.16983523093693e-10	4.20329480141548e-07	0.032633341807356	6.76657135477783e-20
XM_027350749.1	0.000212937538054803	0.000942538918032421	0.0785850511463437	2.1952359619522e-06
XM_027350757.1	1.05847839807691e-13	3.96928570048292e-07	0.00498295940651616	6.20288543315962e-29
XM_027350759.1	1.31869041930533e-06	4.80066636728295e-06	0.021071085737667	1.06096821872975e-09
XM_027350765.1	2.50085450807622e-30	7.53154695866426e-08	0.00454513303233928	3.12490169669969e-19
XM_027350776.1	1.74888804674021e-06	0.000508017950002123	0.0378887024741923	4.07354619481146e-11
XM_027350777.1	1.10972370015503e-07	0.000568226727552479	0.0472788376841544	5.68472666467818e-10
XM_027350778.1	2.36634595648632e-09	0.000106860862991795	0.040120002291686	1.0300137241202e-13
XM_027350780.1	1.67583330954108e-14	3.12028604054721e-07	0.0246447052252841	3.03547722737214e-31
XM_027350813.1	1.02216795451661e-22	1.74660564815422e-08	0	2.46513105906738e-63
XM_027350817.1	3.19350054031235e-08	5.02410584019687e-05	0.0302295720983604	3.15851155374455e-14
XM_027350818.1	3.3216341403588e-08	4.5157405387675e-05	0.0302940001567878	2.76755706643887e-14
XM_027350819.1	0.000151543893695913	4.15867819061128e-05	0.0304391518956414	2.72577498490534e-07
XM_027350820.1	2.64063046050912e-05	4.81151208304728e-05	0.0254102055346579	3.3852930689515e-10
XM_027350821.1	7.6729966101557e-05	5.30292836000732e-05	0.0254205101102762	5.25001639596985e-10
XM_027350831.1	0.052038902590075	0.566274175662622	0.0851265946751388	0.0392290005171718
XM_027350837.1	0.0363468002776216	0.443325332746311	0.0568446512139508	0.022788300470218
XM_027350839.1	1.20920995276433e-06	2.04925390770576e-05	0.00552596034445141	1.6001378324828e-10
XM_027350842.1	6.31556297631785e-07	1.57752214955289e-05	0.00944925745715397	8.17261525157122e-10
XM_027350857.1	8.20876428231807e-08	0.000165543856621309	0.0062350022823946	3.29659629912605e-08
XM_027350882.1	6.68570752087311e-07	3.62525997616823e-05	0.0262161405999863	5.40528055664039e-11
XM_027350887.1	1.56227991050253e-18	3.38041020687844e-06	0.00869886551980714	1.03790909778388e-30
XM_027350888.1	7.77348640431656e-24	2.45474824070058e-07	0.00798682827976482	2.75742318400286e-35
XM_027350892.1	0.00200496271433207	0.0198061710626514	0.0763127297643766	0.000310808773387675
XM_027350893.1	0.0144139322704906	0.00778923912548894	0.171852581346412	0.00497908887936745
XM_027350896.1	3.61319833209996e-15	3.23406635936088e-06	0.00633657916325125	4.09736080822852e-24
XM_027350917.1	3.74264111048253e-07	0.00221522503062077	0.0169209933815859	6.93652685780082e-09
XM_027350921.1	1.00759907538549e-08	0.00196200533919352	0.00424670495392143	2.8798482677954e-14
XM_027350922.1	5.05305061709952e-09	0.00424632780875221	0.0062261896061383	2.68236055581733e-13
