ID	NOISeq	DESeq2	edgeR	limma
XM_027350596.1	1	1	1	1
XM_027350598.1	1	1	1	1
XM_027350619.1	1	1	1	1
XM_027350629.1	1	1	1	1
XM_027350630.1	1	1	1	1
XM_027350644.1	1	1	1	1
XM_027350645.1	1	1	1	1
XM_027350653.1	1	1	1	1
XM_027350660.1	1	1	1	1
XM_027350674.1	1	1	1	1
XM_027350677.1	1	1	1	1
XM_027350704.1	1	1	1	1
XM_027350705.1	1	1	1	1
XM_027350706.1	1	1	1	1
XM_027350707.1	1	1	1	1
XM_027350709.1	1	1	1	1
XM_027350712.1	1	1	1	1
XM_027350715.1	1	1	1	1
XM_027350717.1	1	1	1	1
XM_027350718.1	1	1	1	1
XM_027350720.1	1	1	1	1
XM_027350721.1	1	1	1	1
XM_027350736.1	1	1	1	1
XM_027350757.1	1	1	1	1
XM_027350759.1	1	1	1	1
XM_027350765.1	1	1	1	1
XM_027350776.1	1	1	1	1
XM_027350777.1	1	1	1	1
XM_027350778.1	1	1	1	1
XM_027350780.1	1	1	1	1
XM_027350813.1	1	1	1	1
XM_027350817.1	1	1	1	1
XM_027350818.1	1	1	1	1
XM_027350819.1	1	1	1	1
XM_027350820.1	1	1	1	1
XM_027350821.1	1	1	1	1
XM_027350839.1	1	1	1	1
XM_027350842.1	1	1	1	1
XM_027350857.1	1	1	1	1
XM_027350882.1	1	1	1	1
XM_027350887.1	1	1	1	1
XM_027350888.1	1	1	1	1
XM_027350896.1	1	1	1	1
XM_027350917.1	1	1	1	1
XM_027350921.1	1	1	1	1
XM_027350922.1	1	1	1	1
XM_027350923.1	1	1	1	1
XM_027350925.1	1	1	1	1
XM_027350928.1	1	1	1	1
XM_027350933.1	1	1	1	1
XM_027350934.1	1	1	1	1
XM_027350935.1	1	1	1	1
XM_027350938.1	1	1	1	1
XM_027350947.1	1	1	1	1
XM_027350950.1	1	1	1	1
XM_027350951.1	1	1	1	1
XM_027350967.1	1	1	1	1
XM_027350981.1	1	1	1	1
XM_027350986.1	1	1	1	1
XM_027350990.1	1	1	1	1
XM_027351003.1	1	1	1	1
XM_027351009.1	1	1	1	1
XM_027351012.1	1	1	1	1
XM_027351015.1	1	1	1	1
XM_027351016.1	1	1	1	1
XM_027351017.1	1	1	1	1
XM_027351026.1	1	1	1	1
XM_027351027.1	1	1	1	1
XM_027351031.1	1	1	1	1
XM_027351034.1	1	1	1	1
XM_027351037.1	1	1	1	1
XM_027351039.1	1	1	1	1
XM_027351045.1	1	1	1	1
XM_027351048.1	1	1	1	1
XM_027351050.1	1	1	1	1
XM_027351061.1	1	1	1	1
XM_027351067.1	1	1	1	1
XM_027351068.1	1	1	1	1
XM_027351097.1	1	1	1	1
XM_027351100.1	1	1	1	1
XM_027351101.1	1	1	1	1
XM_027351102.1	1	1	1	1
XM_027351103.1	1	1	1	1
XM_027351104.1	1	1	1	1
XM_027351105.1	1	1	1	1
XM_027351106.1	1	1	1	1
XM_027351115.1	1	1	1	1
XM_027351132.1	1	1	1	1
XM_027351140.1	1	1	1	1
XM_027351141.1	1	1	1	1
XM_027351143.1	1	1	1	1
XM_027351148.1	1	1	1	1
XM_027351153.1	1	1	1	1
XM_027351187.1	1	1	1	1
XM_027351188.1	1	1	1	1
XM_027351203.1	1	1	1	1
XM_027351204.1	1	1	1	1
XM_027351214.1	1	1	1	1
XM_027351217.1	1	1	1	1
XM_027351245.1	1	1	1	1
XM_027351250.1	1	1	1	1
XM_027351265.1	1	1	1	1
XM_027351266.1	1	1	1	1
XM_027351300.1	1	1	1	1
XM_027351319.1	1	1	1	1
XM_027351325.1	1	1	1	1
XM_027351326.1	1	1	1	1
XM_027351329.1	1	1	1	1
XM_027351330.1	1	1	1	1
XM_027351335.1	1	1	1	1
XM_027351341.1	1	1	1	1
XM_027351343.1	1	1	1	1
XM_027351344.1	1	1	1	1
XM_027351350.1	1	1	1	1
XM_027351355.1	1	1	1	1
XM_027351358.1	1	1	1	1
XM_027351369.1	1	1	1	1
XM_027351378.1	1	1	1	1
XM_027351405.1	1	1	1	1
XM_027351415.1	1	1	1	1
XM_027351419.1	1	1	1	1
XM_027351449.1	1	1	1	1
XM_027351455.1	1	1	1	1
XM_027351456.1	1	1	1	1
XM_027351457.1	1	1	1	1
XM_027351471.1	1	1	1	1
XM_027351485.1	1	1	1	1
XM_027351488.1	1	1	1	1
XM_027351520.1	1	1	1	1
XM_027351535.1	1	1	1	1
XM_027351555.1	1	1	1	1
XM_027351558.1	1	1	1	1
XM_027351567.1	1	1	1	1
XM_027351568.1	1	1	1	1
XM_027351584.1	1	1	1	1
XM_027351587.1	1	1	1	1
XM_027351588.1	1	1	1	1
XM_027351589.1	1	1	1	1
XM_027351590.1	1	1	1	1
XM_027351597.1	1	1	1	1
XM_027351599.1	1	1	1	1
XM_027351600.1	1	1	1	1
XM_027351601.1	1	1	1	1
XM_027351602.1	1	1	1	1
XM_027351603.1	1	1	1	1
XM_027351612.1	1	1	1	1
XM_027351613.1	1	1	1	1
XM_027351614.1	1	1	1	1
XM_027351615.1	1	1	1	1
XM_027351627.1	1	1	1	1
XM_027351668.1	1	1	1	1
XM_027351671.1	1	1	1	1
XM_027351699.1	1	1	1	1
XM_027351734.1	1	1	1	1
XM_027351735.1	1	1	1	1
XM_027351736.1	1	1	1	1
XM_027351739.1	1	1	1	1
XM_027351750.1	1	1	1	1
XM_027351765.1	1	1	1	1
XM_027351771.1	1	1	1	1
XM_027351775.1	1	1	1	1
XM_027351776.1	1	1	1	1
XM_027351790.1	1	1	1	1
XM_027351791.1	1	1	1	1
XM_027351830.1	1	1	1	1
XM_027351847.1	1	1	1	1
XM_027351851.1	1	1	1	1
XM_027351861.1	1	1	1	1
XM_027351863.1	1	1	1	1
XM_027351864.1	1	1	1	1
XM_027351874.1	1	1	1	1
XM_027351876.1	1	1	1	1
XM_027351877.1	1	1	1	1
XM_027351879.1	1	1	1	1
XM_027351880.1	1	1	1	1
XM_027351881.1	1	1	1	1
XM_027351882.1	1	1	1	1
XM_027351883.1	1	1	1	1
XM_027351884.1	1	1	1	1
XM_027351928.1	1	1	1	1
XM_027351947.1	1	1	1	1
XM_027351948.1	1	1	1	1
XM_027351952.1	1	1	1	1
XM_027351966.1	1	1	1	1
XM_027351973.1	1	1	1	1
XM_027351977.1	1	1	1	1
XM_027351978.1	1	1	1	1
XM_027351979.1	1	1	1	1
XM_027351980.1	1	1	1	1
XM_027351981.1	1	1	1	1
XM_027351987.1	1	1	1	1
XM_027351992.1	1	1	1	1
XM_027351997.1	1	1	1	1
XM_027351999.1	1	1	1	1
XM_027352004.1	1	1	1	1
XM_027352008.1	1	1	1	1
XM_027352009.1	1	1	1	1
XM_027352010.1	1	1	1	1
XM_027352012.1	1	1	1	1
XM_027352022.1	1	1	1	1
XM_027352030.1	1	1	1	1
XM_027352031.1	1	1	1	1
XM_027352032.1	1	1	1	1
XM_027352045.1	1	1	1	1
XM_027352047.1	1	1	1	1
XM_027352051.1	1	1	1	1
XM_027352052.1	1	1	1	1
XM_027352069.1	1	1	1	1
XM_027352116.1	1	1	1	1
XM_027352132.1	1	1	1	1
XM_027352133.1	1	1	1	1
XM_027352136.1	1	1	1	1
XM_027352147.1	1	1	1	1
