ID	hemocytes_mean	gills_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350604.1	125.972468865416	621.950628181075	-1.30360675277007	0.955539226824017	-2.30369159169863	0.0444607731759831	2.30369159169863	148	56	45	184	163	159	28	1160	1461	943	749	911	187.313544364048	135.271695338258	97.3944530282702	122.601352857129	95.5803461350599	117.673421469733	302.679264692691	554.204072030111	612.084232070588	680.408391309668	876.616156342828	705.711652640563	Down_hemocytes_Up_gills
XM_027350605.1	131.648818663347	647.253403964347	-1.30423236505493	0.955519939393358	-2.29763607183762	0.0444800606066418	2.29763607183762	158	51	48	192	181	174	28	1305	1574	870	789	964	199.969864929186	123.193865397342	103.887416563488	127.931846459613	106.13523098433	128.774687646123	302.679264692691	623.479581033875	659.425449198566	627.736267698209	923.431438390509	746.768422772232	Down_hemocytes_Up_gills
XM_027350606.1	66.1138621507581	617.622456947867	-1.67735577680183	0.965433419038184	-3.22370051072665	0.0345665809618164	3.22370051072665	89	38	23	65	106	50	38	1093	1522	816	754	857	112.641253029732	91.7915075509604	49.7793871033381	43.3102605201815	62.1565441123703	37.0042205879665	410.779002082938	522.194009249061	637.640110343213	588.773326944527	882.468066598788	663.880226468675	Down_hemocytes_Up_gills
XM_027350607.1	65.1699176862532	755.731759690732	-1.91849694870406	0.973770430356307	-3.5355961755951	0.0262295696436932	3.5355961755951	79	26	20	102	96	82	35	1226	1806	1029	990	1178	99.9849324645932	62.8047156927624	43.2864235681201	67.9637934316694	56.2927191961089	60.686921764265	378.349080865864	585.7363726801	756.621576399371	742.460482139606	1158.67823068011	912.544815379345	Down_hemocytes_Up_gills
XM_027350614.1	2757.7642025595	727.672389406258	1.61046714092745	0.961354181303772	1.92213813155142	0.0386458186962279	-1.92213813155142	1985	874	1279	4793	5273	3877	114	785	983	1060	756	900	2512.27963217997	2111.20467367209	2768.16678718128	3193.63197958815	3091.99487834461	2869.30726439092	1232.33700624881	375.043272882446	411.826694130998	764.828096275979	884.808830701172	697.190436198142	Up_hemocytes_Down_gills
XM_027350615.1	2692.55788495318	713.755389975264	1.56955587602323	0.960714383122616	1.91547572010024	0.0392856168773835	-1.91547572010024	1810	807	1302	4636	5377	3858	112	693	1026	1111	719	862	2290.79402229005	1949.36175246382	2817.94617428462	3089.0210426394	3152.97865747373	2855.24566056749	1210.71705877076	331.089156824885	429.841493569078	801.626429210011	841.504694807067	667.753506669776	Up_hemocytes_Down_gills
XM_027350619.1	11239.627979922	2515.29428319124	2.40310611800214	0.96417328973166	2.15979517787414	0.0358267102683401	-2.15979517787414	12956	5959	7086	10457	12275	9653	113	5554	6559	3725	2615	3512	16397.5289241933	14394.3577235835	15336.3798701849	6967.62145014673	7197.8450847108	7144.0348267128	1221.52703250979	2653.49087590969	2747.88533754345	2687.72137606417	3060.54906386715	2720.59201325319	Up_hemocytes_Down_gills
XM_027350620.1	68.6436505430156	1142.25107888926	-1.86914133349915	0.970784886930277	-4.05660971604054	0.0292151130697235	4.05660971604054	28	19	14	157	167	132	207	1683	5332	705	488	643	35.4376975823875	45.8957537754802	30.3004964976841	104.610936948746	97.9258761015645	97.6911423522314	2237.66456397811	804.073666574721	2233.83513032195	508.682837617514	571.146440981709	498.103833861561	Down_hemocytes_Up_gills
XM_027350634.1	2.23115823595625	211.348305894655	-2.39973931649404	0.987371767725637	-6.5656859033997	0.0126282322743626	6.5656859033997	0	0	0	2	8	6	24	842	801	147	60	122	0.632816028256919	1.20778299409158	1.082160589203	1.33262340062097	4.69105993300908	4.44050647055597	259.439369736592	402.275714352891	335.578008137263	106.065783162801	70.2229230715216	94.5080369068592	Down_hemocytes_Up_gills
XM_027350642.1	3.79536331834872	2314.06843316096	-3.10421987864966	0.995572669477251	-9.25197781710039	0.0044273305227488	9.25197781710039	3	0	5	2	2	6	69	4354	20008	853	918	1273	3.79689616954151	1.20778299409158	10.82160589203	1.33262340062097	1.17276498325227	4.44050647055597	745.888187992703	2080.17631863716	8382.32807342116	615.470156720198	1074.41072299428	986.13713920026	Down_hemocytes_Up_gills
