ID	lminusProb
XM_027355389.1	0
XM_027356270.1	0
XM_027356272.1	0
XM_027356531.1	0
XM_027357867.1	0
XM_027359746.1	0
XM_027365010.1	0
XM_027366290.1	0
XM_027367438.1	0
XM_027376169.1	0
XM_027376190.1	0
XM_027382967.1	0
XM_027383495.1	0
XM_027356273.1	3.33066907387547e-16
XM_027356274.1	3.33066907387547e-16
XM_027360136.1	5.55111512312578e-16
XR_003477221.1	5.55111512312578e-16
XM_027354452.1	8.88178419700125e-16
XR_003477328.1	9.99200722162641e-16
XM_027369777.1	1.55431223447522e-15
XM_027370320.1	2.55351295663786e-15
XM_027378347.1	1.0325074129014e-14
XM_027375663.1	1.0991207943789e-14
XM_027350808.1	1.67643676718399e-14
XM_027356265.1	1.33004718350094e-13
XM_027373421.1	7.14539538648751e-13
XM_027352808.1	1.32839295119425e-11
XM_027362512.1	2.02742267418898e-11
XM_027373414.1	4.29073443442007e-11
XR_003475688.1	4.5792969416425e-10
XM_027370319.1	1.22909316058184e-09
XM_027367606.1	1.4618961596824e-09
XM_027365793.1	3.01722358209133e-09
XM_027353846.1	7.03730373974309e-09
XM_027353243.1	2.51763548897443e-08
XM_027374403.1	2.65041196767513e-08
XM_027374305.1	1.35575011772637e-07
XR_003476964.1	2.50628517273199e-07
XM_027383335.1	3.83696698524894e-07
XM_027352033.1	6.62943547058426e-07
XM_027365496.1	1.00092075205893e-06
XM_027356269.1	2.15438990969208e-06
XM_027377198.1	2.19924287703233e-06
XM_027356271.1	2.29712193322573e-06
XM_027374913.1	5.02123945123056e-06
XM_027379583.1	6.08853456263159e-06
XM_027368762.1	8.47455752739368e-06
XM_027360158.1	9.74597683200962e-06
XM_027366180.1	1.646739762029e-05
XM_027370325.1	2.12043669206574e-05
XM_027366177.1	3.18210901142368e-05
XM_027377660.1	3.22566606322239e-05
XM_027366562.1	3.49613248050717e-05
XM_027374863.1	4.4506242140141e-05
XM_027365098.1	6.39057155570333e-05
XR_003477389.1	9.14110716069283e-05
XR_003477709.1	0.000111207407779479
XM_027373288.1	0.000114732968703013
XM_027356275.1	0.00011907769294861
XM_027359382.1	0.000125834494831834
XM_027377795.1	0.000126506383555158
XR_003476842.1	0.000128442624182212
XM_027381501.1	0.000141627832801472
XM_027377056.1	0.000161545915867367
XM_027359380.1	0.000206221748112911
XM_027352034.1	0.000210522388701784
XM_027367923.1	0.00027166506266374
XM_027357868.1	0.000329378400849234
XM_027352265.1	0.000364764272096751
XM_027379114.1	0.000365110729836582
XM_027362632.1	0.000415937431082813
XM_027357595.1	0.000438100518249884
XM_027353827.1	0.000444447764138212
XM_027379273.1	0.000450007677829212
XM_027371147.1	0.000451530111984288
XM_027376102.1	0.000469938206385301
XM_027351285.1	0.000477697845429392
XR_003475830.1	0.000477956418845071
XM_027352264.1	0.000482725313803223
