ID	hep_mean	gills_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350614.1	135.774806738442	730.523168165028	-1.15197618290865	0.952500953439855	-2.42771421834786	0.0474990465601447	2.42771421834786	185	112	198	40	83	196	114	785	983	1060	756	900	164.58869786467	117.601340131547	163.928435680386	74.6168861978487	99.3199509478462	194.593529608356	1164.95001560006	391.476002351339	424.29274825234	792.822232027905	872.053648419433	737.544362339091	Down_hep_Up_gills
XM_027350630.1	1822.08588823012	4.73927530862655	3.27948837044314	0.992634054091213	8.58670877935533	0.00736594590878659	-8.58670877935533	2938	2303	2060	1003	1280	798	0	0	2	6	4	16	2613.84645581839	2418.17755645494	1705.51806818987	1871.01842141106	1531.68117124389	792.273656262593	5.10942989298272	0.249347772198305	0.86326093235471	4.48767301147871	4.61404046782769	13.1118997749172	Up_hep_Down_gills
XM_027350640.1	843.003165316109	4608.14174778279	-1.58449020802989	0.961238369591464	-2.45057514184768	0.0387616304085355	2.45057514184768	2146	802	1022	154	218	919	115	5548	8056	6812	6846	8832	1909.22889523018	842.109596299115	846.135662956335	287.275011861717	260.864449477475	912.405376071833	1175.16887538603	2766.76288031239	3477.21503552477	5095.00475903216	7896.93026068709	7237.76867575428	Down_hep_Up_gills
XM_027350653.1	6183.80932189965	10.808432241969	3.85856409697207	0.993676374183046	9.16019474813417	0.00632362581695434	-9.16019474813417	10536	8739	7205	2278	4155	3391	0	1	0	12	10	47	9373.54876055225	9176.05456615706	5965.17363170293	4249.43166896748	4971.98067696748	3366.66662705069	5.10942989298272	0.49869554439661	0.215815233088678	8.97534602295742	11.5351011695692	38.5162055888192	Up_hep_Down_gills
XM_027350665.1	35.0592813539958	32216.7723048103	-3.37889297379902	0.964099743441517	-9.8437998229506	0.0359002565584826	9.8437998229506	105	41	85	0	0	2	923	224805	16323	12608	32876	21185	93.4152068961642	43.05049058387	70.3733183476404	0.932711077473108	0.598312957517146	1.98564826130976	9432.0075824461	112109.25185808	7045.50409941297	9430.09688812059	37922.7986050758	17360.9747957263	Down_hep_Up_gills
XM_027350702.1	801.97570098052	16.9728815583283	2.20646368211992	0.981934229356698	5.56225510193792	0.0180657706433015	-5.56225510193792	863	1046	1007	425	715	467	0	35	90	31	5	14	767.784033822759	1098.31251587141	833.716842071458	792.804415852142	855.587529249518	463.648869015828	5.10942989298272	17.4543440538813	38.846741955962	23.1863105593067	5.76755058478461	11.4729123030525	Up_hep_Down_gills
XM_027350706.1	51649.2200829464	91.0120816588506	4.91813794973091	0.995802454085775	9.14847277613566	0.0041975459142255	-9.14847277613566	48971	79161	60850	29790	44554	24116	0	0	0	54	35	561	43567.9628277339	83119.9971977983	50379.0167229873	55570.9259958478	53314.4710184378	23942.946734873	5.10942989298272	0.249347772198305	0.215815233088678	40.3890571033084	40.3728540934923	459.735985858033	Up_hep_Down_gills
XM_027350707.1	28181.1571373015	43.1593944874291	4.83785953173448	0.996867894794166	9.35084051114079	0.0031321052058344	-9.35084051114079	26834	39864	31202	17230	26632	13611	0	0	0	22	15	268	23873.3682081112	41857.6769911071	25832.8032833303	32141.2237297233	31868.5413691932	13513.3292423435	5.10942989298272	0.249347772198305	0.215815233088678	16.4548010420886	17.3026517543538	219.624321229863	Up_hep_Down_gills
XM_027350709.1	2858.44820508719	1.54770440540651	3.68156681541597	0.991124572877951	10.8508864747849	0.00887542712204858	-10.8508864747849	4252	2255	2393	1317	5288	236	0	0	0	2	0	2	3782.8710449761	2367.77698211285	1981.21589183416	2456.76097806417	6327.75783870133	234.306494834551	5.10942989298272	0.249347772198305	0.215815233088678	1.49589100382624	0.576755058478461	1.63898747186465	Up_hep_Down_gills
XM_027350712.1	15140.5140894138	22.2688183998712	4.07888007970515	0.993701027976993	9.40917346720443	0.00629897202300667	-9.40917346720443	7377	20983	19452	7327	19952	8662	0	0	0	10	15	126	6563.08553593337	22032.4010712523	16104.7269235094	13667.9481292909	23875.0802567642	8599.84261973255	5.10942989298272	0.249347772198305	0.215815233088678	7.47945501913118	17.3026517543538	103.256210727473	Up_hep_Down_gills
