ID	log2FC_SigInv
XM_027354695.1	-8.34362901936355
XM_027371819.1	-7.208383563418
XM_027362713.1	-9.71947407509261
XM_027375663.1	10.2898587865937
XM_027365010.1	10.2562268205351
XM_027356531.1	10.5727904500433
XM_027356029.1	-9.76429897809632
XM_027373625.1	9.66092001943295
XM_027363322.1	-10.2546490231127
XM_027375329.1	-8.96846449958934
XM_027357173.1	-3.21793567185096
XM_027365030.1	-9.5388698037616
XM_027375919.1	-9.9134285950073
XM_027375190.1	-9.71384071889323
XM_027354783.1	-8.86874077272911
XM_027379504.1	-9.54545203590419
XM_027354222.1	-9.86283901543747
XM_027383256.1	-6.96769732345689
XM_027350707.1	-9.35084051114079
XM_027368091.1	-8.02235795269639
XM_027364873.1	-9.75825660651449
XM_027376807.1	-9.58732766406189
XM_027370161.1	-10.0448699947109
XM_027375188.1	-9.62772766260703
XM_027366472.1	-9.78639389169619
XM_027356246.1	-10.2183477417742
XM_027365162.1	-10.1116762291643
XM_027360141.1	-9.56245624470376
XM_027375761.1	-6.93709811353734
XM_027382197.1	-7.04069423743518
XM_027360936.1	-6.26437991351553
XM_027370159.1	-10.5296683847922
XR_003477669.1	-10.4428063987155
XM_027350808.1	9.71252177380702
XM_027365464.1	-9.96668262293863
XM_027372482.1	-9.24243942769243
XM_027381774.1	-10.4887348038272
XM_027351847.1	-9.9173285219271
XM_027373642.1	-10.0754281992294
XM_027376409.1	-10.238039686397
XM_027380803.1	-9.94594580765682
XM_027366537.1	-8.60078185880079
XM_027353045.1	-9.91480280348718
XM_027373288.1	10.3835738689894
XM_027358237.1	-9.71274226888668
XM_027356912.1	-10.4694742100438
XM_027354784.1	-9.86531736907557
XM_027364912.1	-9.96674689236284
XM_027350706.1	-9.14847277613566
XM_027378174.1	-9.82249073291804
XM_027383830.1	-9.55941008769275
XM_027361823.1	-9.0573457856216
XM_027364871.1	-9.10620693099965
XM_027356274.1	10.6022709938744
XM_027366397.1	-9.90139778645967
XM_027357011.1	-11.4099983266776
XM_027360388.1	-10.1538928966641
XM_027360143.1	-10.0614237170614
XM_027365373.1	-9.92705451776192
XM_027362539.1	-10.9919574035384
XM_027368483.1	-10.3734297427101
XM_027357490.1	-9.62644875430867
XM_027377051.1	-10.2124437341072
XM_027369766.1	-10.2719947470392
XM_027358583.1	-10.5027319821398
XM_027370158.1	-10.0105718136064
