ID	log2FC_SigInv
XM_027350707.1	-15.2837585567563
XM_027350712.1	-14.3892964371291
XM_027353914.1	-14.8449787706143
XM_027355570.1	-13.9798356000311
XM_027357011.1	-17.7215293855307
XM_027357115.1	-17.4479143963238
XM_027358237.1	-15.2618706079676
XM_027358583.1	-16.2087913334077
XM_027359213.1	-15.1405457438775
XM_027360593.1	-13.751319472272
XM_027363322.1	-16.948382342006
XM_027363951.1	-13.6302498482526
XM_027364871.1	-13.5373252586726
XM_027364872.1	-12.9420815246347
XM_027365027.1	-13.5148997523391
XM_027366233.1	-16.4117361039059
XM_027366397.1	-15.5858618270676
XM_027367016.1	-12.3358821374938
XM_027367621.1	-19.6876191731047
XM_027367729.1	-15.9822393077181
XM_027370723.1	-13.7809785810512
XM_027371655.1	-17.3827482258652
XM_027372128.1	-14.4303635803648
XM_027375188.1	-15.5998970553469
XM_027375191.1	-15.3754263026582
XM_027375919.1	-13.4787378230641
XM_027376430.1	-17.4916474238138
XM_027376806.1	-13.3427917856365
XM_027377792.1	-14.6494977570348
XM_027378174.1	-14.4794350710173
XM_027379504.1	-14.4122318145195
XM_027380802.1	-16.8720566053884
XM_027380808.1	-16.3015054825907
XM_027380833.1	-13.8450096398919
XM_027383356.1	-15.5112653415437
XM_027383830.1	-13.4824876279079
XR_003476707.1	-15.897969901198
XR_003477658.1	-13.804807713359
XM_027352559.1	-17.9458496712315
XM_027380815.1	-15.9479825015419
XM_027383256.1	-12.9795836535901
XM_027383260.1	-19.7458495818628
XM_027357490.1	-16.9883404248098
XM_027383725.1	-15.4639819435982
XM_027375190.1	-15.8321334460479
XM_027350715.1	-15.0311850719406
XM_027358581.1	-16.361300268212
XM_027371690.1	-14.504774473177
XM_027359754.1	-14.7553803249013
XM_027364911.1	-15.9919221737548
XM_027382197.1	-14.2306546037754
XM_027364912.1	-15.4885651078697
XM_027371933.1	-14.4785166089228
XM_027353045.1	-14.9861336193197
XM_027366568.1	-14.4808695314348
XM_027374911.1	-13.7213383475637
XM_027350706.1	-16.1570764868281
XM_027359482.1	-13.9880743599531
XM_027376169.1	5.78794672404266
XM_027358238.1	-16.5668036479851
XM_027371819.1	-15.0537090009436
XM_027373427.1	2.49174772193468
XM_027362713.1	-15.232645498954
XM_027360141.1	-13.7959383964212
XM_027378172.1	-15.0936640118385
XM_027379918.1	-14.203913503832
XM_027350967.1	-15.7800855683453
XM_027356411.1	-12.7323002959157
XM_027371447.1	-12.4856258599567
XM_027365354.1	-18.3885725482595
XM_027376807.1	-13.3234471116263
XM_027355571.1	-13.1071509471102
XM_027363949.1	-12.8882061463292
XM_027367624.1	-17.5512543995895
XM_027361738.1	-13.9605035417379
XM_027360831.1	-13.7628351488148
XM_027365030.1	-14.5461279381434
XM_027360144.1	-12.7191321505188
XM_027379449.1	-14.1295212148117
XM_027369291.1	-14.0606915661491
XM_027354695.1	-10.4177218148598
XM_027359946.1	-14.2736772935421
XM_027361934.1	-17.0284292736666
XM_027380441.1	-13.774996939334
XM_027369866.1	-16.0112003527976
XM_027375937.1	-14.4596808362999
XM_027368091.1	-14.5962414139316
XM_027370158.1	-14.1180514300608
XM_027351847.1	-13.7529892407892
XM_027380569.1	-12.5731880729004
XM_027378762.1	-12.696850550163
XM_027361824.1	-10.451106272027
XM_027356912.1	-13.4274284710008
XM_027380539.1	-14.5622309978584
XM_027376843.1	-15.4846729685189
XM_027379064.1	-12.949721665332
XM_027371448.1	-12.5106691230558
XM_027377963.1	-12.7425455034697
XM_027379366.1	-13.1359706289893
XM_027354949.1	-14.8783460012366
XM_027370606.1	-13.8066110998548
XM_027371251.1	-11.7182429311131
XM_027377048.1	-13.8034482875531
XM_027366577.1	-12.8234088233779
XM_027366679.1	-12.3992385442383
XM_027368786.1	-11.6227342781742
XM_027381774.1	-13.8185737598916
XM_027375771.1	-14.3671183044623
XM_027365311.1	-12.9104772743785
XM_027366103.1	-13.0319435924429
XM_027380064.1	-11.9809421979784
XM_027373286.1	-15.0607254905149
XM_027377145.1	-9.60646528100497
XM_027371888.1	-17.6731728599672
XM_027375343.1	-12.3178781217838
XM_027352590.1	-12.3797997018148
XM_027376409.1	-12.2065348058389
XM_027373794.1	-13.2122333674334
XM_027363789.1	-13.9653610090497
XM_027381942.1	-11.8694533385488
XM_027355618.1	-12.7141188189404
XM_027378977.1	-13.3293391604788
XM_027363288.1	-13.8770294058036
XM_027368484.1	-15.0353484088103
XM_027363770.1	-16.3289034217139
XM_027364406.1	-13.5869922775586
XM_027372255.1	-11.7804069331224
XR_003476759.1	-12.5455943804082
XM_027380855.1	-12.8410460679883
XM_027363774.1	-10.3031095229471
XM_027382185.1	-13.3914424953416
XM_027364935.1	-12.9155320606794
XM_027363320.1	-11.6965106641921
XR_003476181.1	-11.12051106858
XM_027359031.1	-8.54782293745041
XM_027378289.1	-12.0139792351524
XM_027365310.1	-13.3229472051076
XM_027381114.1	-13.7022813183156
XM_027362687.1	-13.2885070344793
XM_027383261.1	-19.5405590091967
XM_027378234.1	-10.850020676072
XM_027360680.1	-10.7065093826344
XM_027360499.1	-11.1184627658996
XM_027356722.1	-13.696309193591
XM_027361966.1	-9.06229931750982
XM_027372253.1	-10.9333830672265
XM_027359012.1	-11.8694257286331
XM_027361700.1	-13.4744802838053
XM_027356855.1	-11.4008261993222
XM_027351771.1	-11.8872872784821
XM_027366456.1	-14.0000493908638
XM_027358862.1	-14.0509821104011
XM_027362282.1	-13.0092916380099
XM_027377629.1	-11.1545544007229
XM_027376864.1	-11.0017831325655
XM_027380856.1	-11.6606838778002
XM_027377192.1	-9.14206489237602
XM_027365332.1	-10.7886900036581
XM_027356390.1	-10.8822659658538
XR_003476128.1	-10.4080762347873
XM_027369306.1	-13.6291703669841
XM_027380027.1	-11.8910208599354
XM_027372206.1	-11.7884946337953
XM_027351558.1	-10.6904524030142
XM_027380251.1	-7.53393146089534
XM_027370030.1	-11.7240923104667
XM_027361690.1	-13.7178476351508
XM_027379201.1	-16.7549196533415
XM_027373469.1	-13.5365534576315
XM_027351668.1	-15.5487335270024
XM_027380041.1	-12.4622229216272
XM_027379514.1	-11.0334282351276
XM_027351601.1	-12.4839871118506
XM_027380485.1	-15.6175122212774
XM_027372150.1	-10.7132782428268
XM_027374474.1	-14.5897646847243
XM_027363970.1	-10.3318036613322
XM_027364033.1	-10.3881382464353
XM_027371818.1	-13.0859247790198
XM_027373795.1	-13.4694847822332
XM_027357602.1	-13.8903108019561
XM_027362112.1	-10.7088319827747
XM_027378520.1	-10.8796310258907
XM_027370161.1	-12.7069012104571
XM_027376307.1	-14.1053945111294
XM_027359229.1	-11.1030153696465
XM_027365200.1	-16.4658388775626
XM_027379070.1	-11.1201255379847
XM_027359428.1	-10.8412917622584
XM_027350935.1	-11.1732745702333
XM_027368839.1	-10.199813478986
XM_027369246.1	-10.7104918895418
XM_027364536.1	-10.665437392943
XM_027382895.1	-10.7753282152269
XM_027376654.1	-9.83149559449459
XM_027376318.1	-12.7827148492474
XM_027369540.1	-11.0500328524506
XM_027366326.1	-10.2447399735612
XM_027363953.1	-11.2971582334999
XM_027376476.1	-12.8569243576728
XM_027369958.1	-10.4139698823867
XM_027361625.1	-11.0490068494509
XM_027377836.1	-10.389720014578
XM_027373959.1	-10.4011239514782
XM_027359435.1	-12.8831626845987
XM_027366040.1	-9.34742452870198
XM_027369289.1	-17.5077829448488
XM_027361345.1	-11.5238375847264
XM_027360286.1	-15.7175636889437
XM_027378697.1	-13.5340736096204
XM_027381435.1	-13.5641339913781
XM_027362539.1	-12.3183087010077
XM_027367616.1	-18.1911731581686
XM_027369863.1	-10.2723645249456
XM_027374373.1	-10.8107230774489
XM_027369024.1	-13.8786375696437
XM_027366394.1	-11.199345272641
XM_027365653.1	-8.58900385465964
XM_027351067.1	-13.6441478170725
XM_027363319.1	-10.8024346812993
XM_027372143.1	-11.13273242733
XM_027375348.1	-8.35216662305518
XM_027381008.1	-13.4581858764547
XM_027379114.1	-8.47490642355815
XM_027375794.1	-12.5231146849239
XM_027357694.1	-11.5839384127931
XM_027372562.1	-11.2562708185729
XM_027374289.1	-11.036981379785
XM_027360302.1	-11.3486426385297
XM_027380950.1	-10.6886130275544
XM_027354240.1	-10.4285194019607
XM_027379467.1	-11.9490677111718
XM_027367356.1	-13.01523878186
XM_027363321.1	-10.7625602815633
XM_027375354.1	-8.49611062934854
XM_027371250.1	-11.3340955493818
XM_027358186.1	-11.353863314696
XM_027373254.1	-12.4459461039949
XM_027352295.1	-10.7855487990807
XR_003476021.1	-14.1567203769859
XM_027375832.1	-12.3437207228158
XM_027374374.1	-10.3297672165468
XM_027351319.1	-12.0188794856204
XM_027379810.1	-12.4510828013865
XM_027359479.1	-13.1601918423054
XM_027360547.1	-12.6548963185712
XM_027383335.1	-11.4013574676545
XM_027369089.1	-14.7978891535965
XM_027375344.1	-12.4373070586436
XM_027365317.1	-14.1396660893283
XR_003476285.1	-11.0226436360117
XM_027379199.1	-15.9022018814454
XM_027380069.1	-12.3445036155483
XM_027355864.1	-10.8803921510067
XM_027362058.1	-10.6901703343992
XM_027374535.1	-10.0837345607427
XM_027363297.1	-13.7873357639068
XM_027370852.1	-12.2883663156069
XM_027368790.1	-6.64334199510969
XM_027357579.1	-9.67525714429213
XM_027382187.1	-10.6095131102689
XM_027369773.1	-10.1823494767897
XM_027354916.1	-10.3424430639408
XM_027365373.1	-9.70763841536522
XM_027356709.1	-9.93417289572525
XM_027372569.1	-12.7598345640878
XM_027365600.1	-11.7680552763223
XM_027374772.1	-10.9962188552687
XM_027365381.1	-10.5504676863421
XM_027352932.1	-8.80088971967045
XM_027357578.1	-9.55951551816497
XM_027378386.1	-8.70625567048746
XM_027380026.1	-11.5143160485038
XM_027359230.1	-10.6904494564512
XM_027369629.1	-8.8817380101665
XM_027367637.1	-11.1088034385595
XM_027379145.1	-10.6669539100473
XM_027372613.1	-9.85747797238867
XM_027380874.1	-10.7495166027357
XM_027363882.1	-11.6374215314538
XM_027360339.1	-11.8094039063845
XM_027350630.1	-11.3312844630212
XM_027352012.1	-6.1840973358151
XM_027373880.1	-12.9937828925599
XM_027359429.1	-11.1732798630559
XM_027360037.1	-9.41962540220102
XM_027373552.1	-3.97025901338518
XM_027352133.1	-12.6778648177516
XM_027358232.1	-11.5373123991055
XM_027365137.1	-9.31869503659696
XM_027365314.1	-11.1858446955323
XM_027362349.1	-12.0486356486406
XM_027370881.1	-12.189753271172
XM_027367880.1	-10.8178997128435
XM_027360690.1	-10.8962198864543
XM_027372221.1	-13.5038259178061
XM_027381918.1	-13.0658682430425
XM_027375237.1	-10.0197172951398
XM_027381967.1	-10.1039470479641
XM_027367737.1	-11.7181119227405
XM_027379362.1	-11.8139732172808
XM_027361626.1	-10.8400781099462
XM_027351600.1	-10.8144706814965
XM_027374288.1	-10.9447617943012
XM_027367441.1	-10.135823082034
XM_027365368.1	-9.65741259073992
XM_027364428.1	-10.6437672746306
XM_027380858.1	-11.7710137851456
XR_003477976.1	-12.0802365177185
XM_027369687.1	-12.5325510321611
XM_027359089.1	-10.2155534489108
XM_027377734.1	-11.1894070345754
XM_027352829.1	-7.03134666535056
XM_027382172.1	-10.7080813622195
XM_027352843.1	-9.4491942930981
XM_027372572.1	-15.773111827065
XM_027363311.1	-12.8989878793195
XM_027355601.1	-9.32542058378488
XM_027383665.1	-10.1357196641281
XM_027379368.1	-11.0663663611512
XM_027354397.1	-11.2678756292814
XM_027379214.1	-16.7929504731798
XM_027375764.1	-11.9520354413681
XM_027355583.1	-9.00040632988167
XM_027377245.1	-8.93592878213095
XM_027367438.1	-7.79536719605657
XM_027381930.1	-14.4710605933206
XM_027355483.1	-11.9962633537644
XM_027376858.1	-9.70451971876941
XM_027374909.1	-10.0636854006421
XM_027359234.1	-10.8387942269558
XM_027372585.1	-9.48265871450221
XM_027370380.1	-12.0300115740918
XM_027362138.1	-12.5501582876853
XM_027362399.1	-7.67138452055499
XM_027367643.1	-7.51442686744307
XM_027355581.1	-11.5420478980082
XM_027369766.1	-13.4671293970723
XM_027361743.1	-14.7767628572729
XM_027359184.1	-11.1274291599155
XM_027377227.1	-9.52095736085522
XM_027383792.1	-10.7600369698092
XM_027377688.1	-14.7987036446946
XM_027382188.1	-8.88871897704392
XM_027379069.1	-11.3640878605062
XM_027354927.1	-12.8466858969117
XM_027351217.1	-9.40192824055401
XM_027352296.1	-10.6752823871169
XM_027351485.1	-12.5717289300489
XM_027362506.1	-13.0521630622677
XM_027350709.1	-11.9837129302436
XM_027351671.1	-11.2922050602322
XM_027377992.1	-9.15460541436417
XM_027359233.1	-11.013130440649
XM_027381844.1	-10.1099611743446
XM_027359199.1	-11.7477023010593
XM_027380885.1	-10.0392770188385
XM_027380431.1	-12.6094036267048
XM_027368181.1	-12.9159526440226
XM_027362115.1	-13.1834401273936
XM_027358905.1	-9.51329828659868
XM_027364538.1	-10.7219831678681
XM_027358358.1	-9.48746861067492
XM_027373440.1	-13.7399935596366
XM_027351590.1	-14.0036704166284
XR_003475583.1	-11.1400595346749
XM_027381969.1	-9.28983140400648
XR_003477407.1	-12.0396298660528
XM_027367585.1	-10.0564224211412
XM_027363323.1	-14.0284207557337
XR_003476391.1	-9.27595589651331
XM_027373642.1	-12.7086665147058
XM_027363950.1	-13.8275903029226
XM_027375340.1	-11.3733784302421
XM_027362059.1	-11.2668766506781
XM_027353577.1	-10.1670445964842
XM_027357580.1	-11.0875464171954
XM_027353372.1	-11.653492510459
XM_027379742.1	-11.9320955491322
XM_027371817.1	-12.6665146093319
XM_027381002.1	-13.4115609938335
XM_027373405.1	-13.2051472204646
XM_027360832.1	-11.6414659112069
XM_027383312.1	-7.51049747248778
XM_027373157.1	-10.6053707184021
XM_027379322.1	-10.5166223671226
XM_027375761.1	-10.8048418610255
XM_027357695.1	-11.7466150239316
XM_027363769.1	-15.575679403352
XM_027359027.1	-9.58915172088668
XM_027377205.1	-8.91953991455535
XM_027365362.1	-10.141030556079
XM_027358234.1	-10.3299778151359
XM_027368522.1	-10.2418039792516
XM_027380586.1	-10.9593933402531
XM_027361823.1	-9.53513866378588
XM_027355865.1	-10.6091598220028
XM_027363473.1	-11.9262693189532
XM_027364192.1	-14.1218437944474
XM_027375830.1	-12.1550875276962
XR_003476238.1	-10.671613049583
XR_003476748.1	-11.2011000889063
XM_027369552.1	-11.8633821837309
XM_027362412.1	-9.44000495249672
XM_027362384.1	-9.87004397338706
XM_027373748.1	-12.0229991666512
XM_027367638.1	-11.0548930357155
XM_027365344.1	-10.9444815426789
XM_027377991.1	-11.3254313805279
XM_027376561.1	-11.6542281310703
XM_027351555.1	-11.6131490067382
XM_027356948.1	-9.4974925049597
XR_003477406.1	-15.2349584886201
XM_027379757.1	-13.3304010553105
XM_027372584.1	-9.63840894424771
XM_027362075.1	-9.08242557923662
XM_027373737.1	-10.9348654560557
XM_027366106.1	-13.3199509188322
XM_027375187.1	-15.0022730605975
XM_027357116.1	-13.2451641344081
XM_027381055.1	-11.7835925343905
XM_027379161.1	-11.2337421844786
XM_027356246.1	-13.8045590076148
XM_027374600.1	-12.1662330764627
XM_027366537.1	-10.3343702362879
XM_027374594.1	-10.696903802369
XM_027363955.1	-12.3826961372811
XR_003477688.1	-11.8450074950534
XM_027379675.1	-5.99347130269228
XM_027353713.1	-11.7455044479801
XR_003477613.1	-15.5739277602419
XM_027357752.1	-10.0432411809492
XM_027369068.1	-11.0423035139013
XM_027379174.1	-8.12299684034421
XM_027365174.1	-11.8919403383548
XM_027365042.1	-8.71832723618141
XM_027367369.1	-7.98422317828097
XM_027352730.1	-7.2016163236398
XM_027382391.1	-8.4328589133257
XM_027373415.1	-7.88820584919639
XM_027369416.1	-9.68702521978623
XM_027382610.1	-11.5495558204051
XM_027355954.1	-5.39781691338248
XM_027378763.1	-16.1202654488231
XM_027351203.1	-13.0334531505626
XM_027360656.1	-11.9234467814207
XM_027360146.1	-11.2127673602758
XM_027377832.1	-10.2831740498282
XM_027373796.1	-12.1958808021694
XM_027375531.1	-10.2366180848843
XM_027372167.1	-11.1009117962466
XM_027366267.1	-13.0189014190069
XM_027375282.1	-8.1552512874268
XM_027356405.1	-11.1773349333077
XM_027350759.1	-9.56696347055747
XM_027375911.1	-8.26795953018264
XR_003475003.1	-9.44910912051739
XM_027361679.1	-13.374800611968
XM_027353951.1	-14.2586921573612
XM_027376560.1	-11.4304788967177
XM_027361933.1	-13.8826067941452
XR_003476139.1	-13.4375916995424
XM_027376739.1	-7.34763274407745
XM_027360500.1	-11.8287394536346
XM_027356769.1	-11.1035498640118
XM_027375342.1	-12.3712700452905
XM_027358966.1	-12.8560659972818
XM_027373693.1	-14.6076207115871
XM_027377619.1	-9.84533093856289
XR_003477788.1	-10.8950516581306
XM_027351350.1	-7.92725445091907
XM_027359595.1	-10.8439638474342
XR_003477585.1	-11.7429925472923
XM_027377631.1	-11.5796938950358
XM_027367458.1	-10.568915031608
XM_027357099.1	-13.9278610317736
XM_027362422.1	-13.5024253470655
XM_027370735.1	-12.6807165720238
XM_027369287.1	-11.0378212371807
XR_003477413.1	-14.6013478250998
XM_027382227.1	-7.80840320439166
XM_027365869.1	-9.38698800485274
XM_027356770.1	-11.982769762586
XM_027382392.1	-8.25390008018654
XM_027368376.1	-8.12187066057098
XM_027365816.1	-10.1517702990296
XM_027367145.1	-6.0529694910259
XM_027377389.1	-12.2841773974696
XM_027370902.1	-10.1055655928472
XM_027364963.1	-10.534681845702
XM_027373399.1	-12.1867813292377
XM_027379298.1	-11.7161739757123
XM_027355619.1	-11.104567223778
XM_027358108.1	-10.1789277489101
XM_027365313.1	-13.0571495138987
XM_027375920.1	-11.4397116406654
XM_027377051.1	-11.6858241151495
XM_027356418.1	-6.75692981294705
XM_027358620.1	-12.2848430342635
XM_027369183.1	-9.6919680241161
XM_027383784.1	-12.5633946997945
XM_027352868.1	-10.5432980463481
XM_027353694.1	-10.3103975348915
XM_027363415.1	-9.90143419716467
XM_027366268.1	-13.8551175045338
XM_027359736.1	-13.6529846635684
XM_027380016.1	-10.6439629897826
XM_027361799.1	-10.4663745781356
XM_027375193.1	-9.92520191677
XM_027379063.1	-10.3120698398631
XR_003475657.1	-9.17313399301068
XM_027375283.1	-8.37911693552876
XM_027357587.1	-12.6180702482506
XM_027366499.1	-10.9218029741768
XM_027382396.1	-8.26615731681634
XM_027357750.1	-10.135238339165
XM_027355587.1	-9.64037593951328
XM_027375428.1	-5.94809781438782
XM_027369236.1	-8.21425080873003
XM_027376310.1	-15.9713213934283
XM_027372482.1	-10.9917811714168
XM_027371550.1	-10.9648518956513
XM_027382407.1	-10.0537425834753
XM_027356922.1	-10.5047861784442
XM_027368529.1	-9.95956864469879
XM_027362646.1	-9.4606200321393
XM_027362299.1	-14.7490464943668
XM_027354676.1	-12.458899256973
XM_027379458.1	-10.7170375921521
XM_027353363.1	-9.70668697428823
XM_027361614.1	-10.4596265154097
XM_027359102.1	-10.7976385355238
XM_027350947.1	-8.38127913529673
XM_027356030.1	-12.4492302562056
XM_027371957.1	-7.88096128882781
XM_027367360.1	-8.42018047908871
