ID	lminusProb
XM_027350707.1	0
XM_027350712.1	0
XM_027353914.1	0
XM_027355570.1	0
XM_027357011.1	0
XM_027357115.1	0
XM_027358237.1	0
XM_027358583.1	0
XM_027359213.1	0
XM_027360593.1	0
XM_027363322.1	0
XM_027363951.1	0
XM_027364871.1	0
XM_027364872.1	0
XM_027365027.1	0
XM_027366233.1	0
XM_027366397.1	0
XM_027367016.1	0
XM_027367621.1	0
XM_027367729.1	0
XM_027370723.1	0
XM_027371655.1	0
XM_027372128.1	0
XM_027375188.1	0
XM_027375191.1	0
XM_027375919.1	0
XM_027376430.1	0
XM_027376806.1	0
XM_027377792.1	0
XM_027378174.1	0
XM_027379504.1	0
XM_027380802.1	0
XM_027380808.1	0
XM_027380833.1	0
XM_027383356.1	0
XM_027383830.1	0
XR_003476707.1	0
XR_003477658.1	0
XM_027352559.1	1.11022302462516e-16
XM_027380815.1	1.11022302462516e-16
XM_027383256.1	1.11022302462516e-16
XM_027383260.1	2.22044604925031e-16
XM_027357490.1	3.33066907387547e-16
XM_027383725.1	3.33066907387547e-16
XM_027375190.1	4.44089209850063e-16
XM_027350715.1	5.55111512312578e-16
XM_027358581.1	6.66133814775094e-16
XM_027371690.1	9.99200722162641e-16
XM_027359754.1	1.11022302462516e-15
XM_027364911.1	1.11022302462516e-15
XM_027382197.1	1.11022302462516e-15
XM_027364912.1	1.55431223447522e-15
XM_027371933.1	1.88737914186277e-15
XM_027353045.1	1.99840144432528e-15
XM_027366568.1	2.1094237467878e-15
XM_027374911.1	2.33146835171283e-15
XM_027350706.1	3.44169137633799e-15
XM_027359482.1	9.76996261670138e-15
XM_027376169.1	1.0991207943789e-14
XM_027358238.1	1.70974345792274e-14
XM_027371819.1	2.14273043752655e-14
XM_027373427.1	2.69784194983913e-14
XM_027362713.1	3.11972669919669e-14
XM_027360141.1	1.04416475465996e-12
XM_027378172.1	2.01461070048481e-12
XM_027379918.1	7.66497976201208e-12
XM_027350967.1	1.16278098261091e-11
XM_027356411.1	2.0944690426461e-11
XM_027371447.1	2.59918753187094e-11
XM_027365354.1	4.10227407598995e-11
XM_027376807.1	8.73494609976433e-11
XM_027355571.1	1.07109987546039e-10
XM_027363949.1	1.36465616584758e-10
XM_027367624.1	2.00837568797851e-10
XM_027361738.1	2.31063723710179e-10
XM_027360831.1	2.47704967648588e-10
XM_027365030.1	3.04110958637693e-10
XM_027360144.1	4.13913570085356e-10
XM_027379449.1	5.03080799241218e-10
XM_027369291.1	1.16062859323307e-09
XM_027354695.1	1.44915168753812e-09
XM_027359946.1	1.52706802758473e-09
XM_027361934.1	1.76064895995864e-09
XM_027380441.1	1.88884929919197e-09
XM_027369866.1	2.09235095915972e-09
XM_027375937.1	4.51397430545342e-09
XM_027368091.1	4.84207167694706e-08
XM_027370158.1	7.24071829161232e-08
XM_027351847.1	7.45378693212118e-08
XM_027380569.1	1.06445983472092e-07
XM_027378762.1	1.4278748960983e-07
XM_027361824.1	1.97241723842723e-07
XM_027356912.1	2.06516622913711e-07
XM_027380539.1	2.40466466405742e-07
XM_027376843.1	3.08973011953206e-07
XM_027379064.1	7.00446148194089e-07
XM_027371448.1	9.13478041875138e-07
XM_027377963.1	1.33997380291628e-06
XM_027379366.1	2.23765375007012e-06
XM_027354949.1	2.55160833106949e-06
XM_027370606.1	3.5333103491908e-06
XM_027371251.1	5.3485219293492e-06
XM_027377048.1	5.58536447470281e-06
XM_027366577.1	5.78804333040139e-06
XM_027366679.1	5.90573476200174e-06
XM_027368786.1	6.5786299564552e-06
XM_027381774.1	6.95618553725463e-06
XM_027375771.1	8.25934955561713e-06
XM_027365311.1	8.73086591424155e-06
XM_027366103.1	9.92985403736046e-06
XM_027380064.1	1.07146940243608e-05
XM_027373286.1	1.36828413289658e-05
XM_027377145.1	1.38241800632377e-05
XM_027371888.1	1.53067325685541e-05
XM_027375343.1	1.58305473620945e-05
XM_027352590.1	2.46394103056158e-05
XM_027376409.1	2.72038597950441e-05
XM_027373794.1	3.01969953762082e-05
XM_027363789.1	3.07156203167569e-05
XM_027381942.1	3.31052332660509e-05
