ID	muscle_mean	gills_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027355909.1	39521.8498743144	4.95581654905044	8.77181232816018	1	12.9612400715785	0	-12.9612400715785	8581	17076	12877	19216	14257	21117	0	11	17	20	12	28	32233.3148705775	52151.7641908321	52302.7012250473	30523.3540657696	30382.2325905972	39537.7323030626	2.29609803308339	2.31192133044718	3.13358029385277	6.44286857082655	6.05196596314444	9.49846510294832	Up_muscle_Down_gills
XM_027356797.1	99632.6697799213	96.9123208981153	7.56051118293503	1	10.0057230739365	0	-10.0057230739365	38270	31943	23528	55025	23615	65796	6	336	527	382	219	450	143755.851310686	97557.0276146493	95564.0253492982	87403.598952382	50324.5018325701	123191.013619942	27.5531763970007	70.618687911841	97.1409891094358	123.058789702787	110.448378827386	152.653903440241	Up_muscle_Down_gills
XM_027356798.1	99339.7112478995	95.541672701911	7.46899453211811	1	10.0220247028364	0	-10.0220247028364	37732	32002	23680	55264	23563	65367	2	350	508	349	227	501	141734.930275799	97737.2193508439	96181.4059958935	87783.2347570094	50213.6877696739	122387.789338178	9.18439213233357	73.5611332415011	93.6387523104239	112.428056560923	114.483022802816	169.954679163468	Up_muscle_Down_gills
XM_027356801.1	100402.307464472	71.9378044955085	7.41966497546456	1	10.4467546756638	0	-10.4467546756638	38528	32236	23842	56156	23558	65691	2	150	306	337	183	394	144724.99188132	98451.8781011751	96839.4037902911	89200.1181784637	50203.0325713185	122994.420264265	9.18439213233357	31.5261999606433	56.4044452893498	108.562335418427	92.2924809379526	133.656973234344	Up_muscle_Down_gills
XM_027356802.1	127193.950813371	69.6879137472893	8.47838847792418	1	10.8338339735793	0	-10.8338339735793	43915	44668	36319	63031	32574	77299	11	214	237	220	159	377	164960.496741803	136420.414785435	147517.419103246	100120.604190233	69416.4862457819	144728.283813725	50.5141567278346	44.9773786105178	43.6857958613592	70.8715542790921	80.1885490116638	127.890047993268	Up_muscle_Down_gills
XM_027358624.1	125450.100491591	1666.30643124108	5.40537448057185	1	6.2343160816458	0	-6.2343160816458	39962	60358	37625	57848	38632	48717	1088	4077	8411	2771	1911	2175	150111.61040182	184339.200224306	152822.018606229	91887.7490631058	82326.3245731886	91213.700080897	4996.30931998946	856.882114930286	1550.3849324468	892.659440488019	963.775579630751	737.827199961164	Up_muscle_Down_gills
XM_027359306.1	70184.7575547123	491.562055415651	7.38712395968099	1	7.1576403798666	0	-7.1576403798666	16836	27180	17741	35038	24207	51036	58	2242	4153	1008	771	2160	63242.0567720595	83010.3625384644	72058.8819160957	55655.5620189652	51586.0773178499	95555.6047648389	266.347371837674	471.211602078416	765.515232962973	324.720575969658	388.83881313203	732.738736513156	Up_muscle_Down_gills
XM_027361441.1	9316.6440383927	3.62653893701261	6.77980952283281	1	11.3270013191266	0	-11.3270013191266	2005	3002	2111	6291	3495	7042	0	8	12	8	15	16	7531.49939581725	9168.39986535946	8574.27990106973	9992.84036364262	7447.98365042696	13184.8610540402	2.29609803308339	1.68139733123431	2.2119390309549	2.57714742833062	7.56495745393054	5.4276943445419	Up_muscle_Down_gills
XM_027362049.1	1895148.4962505	115.272976716964	11.2280200349156	1	14.004968932542	0	-14.004968932542	479016	627933	348817	1177885	1040222	1147895	0	2	6	33	95	1855	1799355.96737496	1917768.4319303	1416795.16449618	1870992.96959612	2216754.34873088	2149224.09537454	2.29609803308339	0.420349332808578	1.10596951547745	10.6307331418638	47.9113972082268	629.273313070326	Up_muscle_Down_gills
XM_027365225.1	32077.2945330924	1.6378015535221	9.28357924035633	1	14.2575042850809	0	-14.2575042850809	8955	12709	9779	13182	14815	14838	0	0	0	6	6	7	33638.1930621164	38814.5216152076	39719.5088358886	20938.7413246761	31571.3527270602	27781.4496336053	2.29609803308339	0.105087333202144	0.0921641262897873	1.93286057124797	3.02598298157222	2.37461627573708	Up_muscle_Down_gills
XM_027365226.1	9083.63202664358	1.06282156216239	5.34823420490536	1	13.0611541468971	0	-13.0611541468971	1512	1281	952	7395	5719	9138	0	0	0	0	2	8	5679.61450697041	3912.2985434795	3866.75247078085	11746.4718628417	12187.4158789104	17109.2388968786	2.29609803308339	0.105087333202144	0.0921641262897873	0.161071714270664	1.00866099385741	2.71384717227095	Up_muscle_Down_gills
XM_027365815.1	22945.521735136	1.76879995529593	8.18629360764719	1	13.6631540968592	0	-13.6631540968592	7144	8473	6565	10660	10143	10547	0	0	0	0	3	19	26835.427273675	25877.3657758796	26665.157532223	16932.7099469767	21615.1353837713	19747.3344982905	2.29609803308339	0.105087333202144	0.0921641262897873	0.161071714270664	1.51299149078611	6.44538703414351	Up_muscle_Down_gills
XM_027365839.1	64934.0536915468	4.36438299982947	7.19928718675137	1	13.8609099439912	0	-13.8609099439912	23160	26196	19464	25395	25215	26423	0	0	0	1	8	57	86997.2698289913	80005.1308704052	79057.2164824354	40338.289784566	53734.1653062992	49472.249876584	2.29609803308339	0.105087333202144	0.0921641262897873	0.322143428541328	4.03464397542962	19.3361611024305	Up_muscle_Down_gills
XM_027365850.1	25611.1546957019	1.55866224824231	10.1045886276868	1	14.0041763393346	0	-14.0041763393346	6998	7666	5610	15322	13480	15017	0	0	0	0	0	19	26286.9988887427	23412.7093164043	22786.2199171015	24337.9907887033	28726.4147661675	28116.594497092	2.29609803308339	0.105087333202144	0.0921641262897873	0.161071714270664	0.252165248464352	6.44538703414351	Up_muscle_Down_gills
XM_027365858.1	20001.4336189339	1.35080986893524	9.58525845397168	1	13.8539911648503	0	-13.8539911648503	5956	6765	5241	10118	9600	10232	0	0	0	4	0	12	22372.8730181983	20660.967717907	21287.4471631959	16071.778540667	20457.9808423745	19157.5544312609	2.29609803308339	0.105087333202144	0.0921641262897873	1.28857371416531	0.252165248464352	4.07077075840642	Up_muscle_Down_gills
XM_027365880.1	395902.620685482	18.1738271196041	5.42847869659416	1	14.4109957366507	0	-14.4109957366507	155494	217547	181965	57801	83043	63581	3	0	0	14	41	206	584091.255388133	664409.688710644	739089.929984914	91813.0926496435	176967.927405553	119043.829974003	13.7765881985004	0.105087333202144	0.0921641262897873	4.51000799957859	20.6775503740768	69.881564685977	Up_muscle_Down_gills
XM_027365884.1	1152980.84654045	51.1148798736891	8.27173472157916	1	14.4612656911929	0	-14.4612656911929	396701	467974	332366	428453	479019	505866	1	0	2	66	153	599	1490151.29267835	1429238.09413449	1349975.89464659	680569.453556473	1020808.49220139	947141.852025433	4.59219606616678	0.105087333202144	0.368656505159149	21.2614662837276	77.1625660300916	203.199307023787	Up_muscle_Down_gills
XM_027365885.1	1013363.8169502	36.1866635016547	7.8114824150738	1	14.7733346027768	0	-14.7733346027768	347158	428873	307431	353648	418182	408428	2	2	2	43	90	436	1304050.00860505	1309819.83859304	1248697.0366015	561746.623576774	891162.431731859	764706.962592947	9.18439213233357	0.420349332808578	0.368656505159149	13.8521674272771	45.3897447235833	147.904670888767	Up_muscle_Down_gills
XM_027367149.1	116083.856410603	20.279350059405	9.19571293627636	1	12.4828683168951	0	-12.4828683168951	36732	43178	29251	57471	36664	73932	0	147	34	46	24	163	137978.571474892	131869.809922215	118809.219036566	91288.9093210786	78132.4385005019	138424.190208364	2.29609803308339	30.8956759614305	6.26716058770554	14.8185977129011	12.1039319262889	55.2946361350206	Up_muscle_Down_gills
XM_027367223.1	40745.8850182623	3.29316239272028	8.14627457138599	1	13.5948930905419	0	-13.5948930905419	13747	10102	11422	20572	17818	24004	0	0	0	1	4	44	51638.6644360597	30852.490153185	46392.9062198098	32677.2710158728	37970.8648593155	44943.113425331	2.29609803308339	0.105087333202144	0.0921641262897873	0.322143428541328	2.01732198771481	14.9261594474902	Up_muscle_Down_gills
XM_027367224.1	35071.1349456916	3.38743492851012	8.87223599414554	1	13.3378032652631	0	-13.3378032652631	10703	8918	9985	18132	16382	20679	0	2	2	2	6	40	40204.3082461008	27236.4390403983	40556.2220806164	28801.4912531502	34910.6918916436	38717.6571622405	2.29609803308339	0.420349332808578	0.368656505159149	0.644286857082656	3.02598298157222	13.5692358613547	Up_muscle_Down_gills
XM_027367241.1	30972.8492550857	3.17137903929674	8.27129556793554	1	13.2536061682312	0	-13.2536061682312	8919	10889	8459	20078	16015	9987	0	0	0	3	8	34	33502.9641452838	33256.0646681876	34358.0453259824	31892.5844573544	34128.600332357	18698.836601349	2.29609803308339	0.105087333202144	0.0921641262897873	0.966430285623983	4.03464397542962	11.5338504821515	Up_muscle_Down_gills
XM_027367243.1	111856.129695795	15.7432768360382	8.14678428018121	1	12.7946208401095	0	-12.7946208401095	30281	38887	36854	45304	62017	45298	0	0	1	30	87	113	113746.300850245	118764.678735587	149690.43651067	71962.428840322	132160.68728141	84812.2459565341	2.29609803308339	0.105087333202144	0.184328252579575	9.66430285623983	43.8767532327972	38.3330913083272	Up_muscle_Down_gills
XM_027370370.1	17468.4403358928	11.6348856439522	7.48549533535967	1	10.5520780571361	0	-10.5520780571361	5260	5480	4836	7941	8462	9628	0	38	24	11	76	39	19758.4472927674	16736.4527855329	19642.4526772019	12613.7570064673	18032.8576966847	18026.6745567025	2.29609803308339	7.98663732336297	4.42387806190979	3.54357771395461	38.3291177665814	13.2300049648209	Up_muscle_Down_gills
XM_027373323.1	77332.8088567209	169.948965704449	5.35623797739512	1	8.82983522308464	0	-8.82983522308464	23344	40397	31299	20412	24907	21526	13	930	738	444	670	435	87688.439848358	123376.36554328	127127.610906481	32423.1215232353	53077.8050876064	40303.5102313646	59.6985488601682	195.462439755989	136.034250403726	143.03168227235	337.901432942231	147.565439992233	Up_muscle_Down_gills
XM_027373336.1	524972.57458806	177.951353916755	8.31278861943859	1	11.5265434312764	0	-11.5265434312764	178090	225683	166759	195929	162062	244456	19	882	715	447	542	725	668969.938853413	689257.823722158	677327.495036706	311220.349643639	345360.551174676	457699.289097764	87.2517252571689	185.374055768583	131.794700594396	143.998112557974	273.347129335357	245.942399987055	Up_muscle_Down_gills
XM_027378495.1	162929.318919984	9.01416740108228	7.81808155349119	1	14.1416924703377	0	-14.1416924703377	34664	77246	41103	102915	46210	97500	0	6	1	6	22	110	130210.421474618	235916.794137094	166948.662611875	163473.718967458	98475.343200638	182550.973128219	2.29609803308339	1.26104799842573	0.184328252579575	1.93286057124797	11.0952709324315	37.3153986187256	Up_muscle_Down_gills
XM_027378572.1	213880.282857473	26972.122407868	5.371546256778	1	2.98726253451575	0	-2.98726253451575	71372	83158	63184	98674	92864	80083	7400	181629	172574	66933	36195	53209	268098.840338289	253972.616923238	256635.386674178	156737.168978234	197896.868015236	149940.816215663	33982.2508896342	38173.8144843446	31810.2638606675	21562.0261025567	18254.2423363344	18050.1367736706	Up_muscle_Down_gills
