ID	log2FC_SigInv
XM_027355909.1	-12.9612400715785
XM_027356797.1	-10.0057230739365
XM_027356798.1	-10.0220247028364
XM_027356801.1	-10.4467546756638
XM_027356802.1	-10.8338339735793
XM_027358624.1	-6.2343160816458
XM_027359306.1	-7.1576403798666
XM_027361441.1	-11.3270013191266
XM_027362049.1	-14.004968932542
XM_027365225.1	-14.2575042850809
XM_027365226.1	-13.0611541468971
XM_027365815.1	-13.6631540968592
XM_027365839.1	-13.8609099439912
XM_027365850.1	-14.0041763393346
XM_027365858.1	-13.8539911648503
XM_027365880.1	-14.4109957366507
XM_027365884.1	-14.4612656911929
XM_027365885.1	-14.7733346027768
XM_027367149.1	-12.4828683168951
XM_027367223.1	-13.5948930905419
XM_027367224.1	-13.3378032652631
XM_027367241.1	-13.2536061682312
XM_027367243.1	-12.7946208401095
XM_027370370.1	-10.5520780571361
XM_027373323.1	-8.82983522308464
XM_027373336.1	-11.5265434312764
XM_027378495.1	-14.1416924703377
XM_027378572.1	-2.98726253451575
XM_027383691.1	-9.71109647238521
XM_027383692.1	-9.70864035262819
XR_003475609.1	-13.4444756651013
XR_003476379.1	-13.5887542672994
XR_003476717.1	-14.9044665667111
XR_003476719.1	-14.4150676392227
XR_003477589.1	-12.7180152065817
XR_003477591.1	-15.2920955648267
XR_003477592.1	-11.7487092813623
XM_027357705.1	-12.8857643417826
XM_027359304.1	-6.97609189655115
XM_027365861.1	-6.2372407060139
XM_027367236.1	-14.6279915469079
XM_027370962.1	-13.5811871637882
XM_027362996.1	-3.69237988728301
XM_027365772.1	-14.0308071738359
XM_027367238.1	-14.1426102249158
XM_027370922.1	-13.9472890636496
XM_027371492.1	-13.6680850596692
XM_027373330.1	-9.70735736107466
XM_027382986.1	-5.17614879743847
XM_027359703.1	-14.2314126777149
XM_027363564.1	-14.1463982387618
XM_027354137.1	-12.9005636256875
XM_027363562.1	-13.9585808313009
XM_027363563.1	-13.8347944449434
XM_027367222.1	-13.4934684773595
XM_027373341.1	-8.50162843182409
XR_003477590.1	-15.4761255124298
XM_027354226.1	-13.4947860661674
XM_027367225.1	-13.5655772094535
XM_027360043.1	-6.69101067830491
XM_027354223.1	-11.9603966285525
XM_027365863.1	-13.9992824294841
XM_027365845.1	-13.4460626356586
XM_027367001.1	-11.8001442524685
XM_027365681.1	-14.088368753577
XM_027365668.1	-14.799768805089
XM_027356800.1	-9.90328486719054
XM_027357709.1	-12.6835510212864
XM_027381668.1	-14.4806164894663
XR_003476140.1	-14.1187668519856
XM_027365647.1	-14.7043226399218
XM_027354432.1	-9.22544133910846
XM_027356799.1	-11.2871311230102
XM_027365831.1	-14.1323939860389
XM_027369977.1	-12.7353139656013
XM_027365792.1	-14.0228930101688
XM_027357707.1	-12.6314520699819
XM_027365288.1	-14.0421536108368
XM_027365860.1	-5.77580061528871
XM_027373337.1	-11.4149048896755
XM_027365807.1	-13.5469356907596
XM_027370790.1	-11.5927562382756
XM_027359305.1	-7.07801197669504
XM_027357706.1	-12.8404804396825
XM_027365822.1	-13.5895270656961
XM_027359446.1	-13.5256267023606
XM_027363559.1	-13.5701240221848
XM_027367242.1	-12.725347050222
XM_027355456.1	-11.7279183208627
XM_027375216.1	-14.598623124136
XM_027359447.1	-14.2300525520521
XM_027378454.1	-12.4937979913826
XR_003476574.1	-14.7218922102953
XM_027373991.1	-10.7378597720902
XM_027362845.1	-11.0689255556877
XM_027373314.1	-4.76400866865502
XR_003475816.1	-14.0328788982984
XM_027365655.1	-14.3182286642156
XM_027368553.1	-14.9198671388768
XM_027375215.1	-14.6239220208926
XM_027373339.1	-9.6765195061835
XM_027367406.1	-3.84630668093235
XM_027373340.1	-9.6013695962765
XR_003475500.1	-15.1477128197013
XM_027375602.1	-11.4257254931213
XM_027364575.1	-14.3800714980962
XM_027359212.1	-13.2657628461529
XM_027380481.1	-12.0955450506698
XM_027373338.1	-9.81439710874815
XM_027365898.1	-14.1628429847319
XM_027363560.1	-13.5880832365162
XM_027354134.1	-15.4913303634308
XM_027368559.1	-14.9396488088896
XM_027371688.1	-12.581420766189
XM_027368031.1	-11.6192288443699
XM_027356399.1	-11.7464128256044
XM_027373331.1	-9.79841142037738
XM_027377764.1	-5.97925650014382
XM_027365689.1	-14.5754052449915
XM_027363561.1	-13.9679169542944
XM_027365780.1	-13.9972458279236
XM_027365636.1	-13.8229842927396
XM_027368554.1	-13.7711237177307
XM_027368558.1	-13.9129734640525
XR_003476718.1	-13.5298050429506
XM_027351037.1	-14.3214724123849
XM_027351045.1	-15.215245081183
XM_027365890.1	-14.8820310147378
XM_027371490.1	-14.327007882139
XM_027375601.1	-10.8450215320931
XM_027373335.1	-9.75902540815552
XM_027373312.1	-9.68094384766363
XM_027371493.1	-12.3052144552181
XM_027369862.1	-12.8831833593124
XM_027375217.1	-14.8634912852056
XM_027370936.1	-13.7898709633363
XM_027365705.1	-13.78669338784
XM_027365875.1	-14.1416748104521
XM_027356467.1	-15.0369618235242
XM_027365763.1	-14.242172233339
XM_027363873.1	-10.2179925324673
XM_027370783.1	-11.7568976339255
XM_027373320.1	-8.31338182777047
XM_027371491.1	-14.1827751770498
XM_027363739.1	-11.8330072790149
XM_027368030.1	-11.6844477140672
XM_027375219.1	-14.6905574339668
XM_027358886.1	-14.2932833589355
XM_027365728.1	-13.8947723217013
XM_027365785.1	-14.7972596984784
XM_027365826.1	-13.4385935410322
XM_027373344.1	-8.8415031711124
XM_027375035.1	-13.9881218658387
XM_027374011.1	-14.5678939061574
XM_027366461.1	-9.85706682948089
XM_027368756.1	-12.4024443646002
XM_027381669.1	-10.6975366051135
XM_027380479.1	-13.5723809558784
XM_027381865.1	-6.51808868907826
XR_003475626.1	-9.21199571280307
XM_027379859.1	-2.60349664171687
XM_027365734.1	-14.1191641184548
XM_027363087.1	-11.2077884891989
XR_003476385.1	-13.9925567595739
XR_003476309.1	-13.9193006613675
XM_027354133.1	-15.2345952989557
XM_027360239.1	-9.75896731455176
XM_027363308.1	-2.41795736327637
XM_027373334.1	-9.69980197557155
XM_027381853.1	-7.05550693047881
XM_027352549.1	-7.24712672375712
XM_027363570.1	-14.8471464948504
XM_027366311.1	-8.64856653576842
XM_027372676.1	-9.84952510904167
XM_027373319.1	-7.41208058151869
XM_027373988.1	-11.8523975515271
XM_027356611.1	-10.7886043008562
XM_027365675.1	-14.843511416519
XM_027381855.1	-5.6701939539619
XM_027363007.1	-3.54771713929806
XM_027362345.1	-7.51524831452564
XM_027381851.1	-7.91129562291537
XM_027368427.1	-7.88802436044747
XM_027375615.1	-11.7982117526847
XR_003476992.1	-12.0993659807427
XM_027363214.1	-6.25389984712421
XM_027365630.1	-13.9961802177027
XM_027369731.1	-13.4661430431879
XM_027362705.1	-10.6588622403759
XM_027365697.1	-14.3849610817445
XM_027379534.1	-13.279958241494
XR_003476908.1	-11.7544478708156
XM_027372995.1	-14.2284225597254
XM_027373317.1	-9.09401748693278
XM_027367234.1	-13.4105846503959
XM_027371482.1	-12.3185005623841
XM_027354132.1	-11.7305949670484
XM_027373327.1	-8.20449033206321
XM_027373333.1	-9.78969892355156
XM_027373325.1	-7.58613050333656
XM_027373383.1	-12.4257842177707
XR_003476993.1	-11.3526219363903
XM_027359148.1	-6.81366270073378
XM_027356628.1	-12.0433307104302
XM_027380490.1	-8.49722432573399
XM_027375603.1	-11.3288719007436
XM_027372149.1	-5.09836418557277
XM_027362357.1	-4.18895529948904
XM_027364574.1	-13.8500793902688
XR_003476776.1	-12.1542093633792
XM_027373313.1	-8.65163177838948
XM_027365662.1	-12.9729997304922
XM_027365747.1	-14.6402259308085
XM_027365867.1	-14.3235107744422
XM_027365741.1	-14.6020187420657
XM_027373345.1	-8.10104392850029
XM_027363210.1	-5.7371484201542
XM_027354228.1	-14.3541373212979
XM_027354936.1	-3.93083269188986
XM_027375142.1	-10.1176780852986
XM_027373315.1	-9.26111116497835
XM_027373343.1	-8.96578388609331
XM_027356044.1	-12.7122045597923
XM_027373332.1	-9.73569341647468
XM_027375613.1	-10.524989596227
XM_027370793.1	-10.6828795208672
XR_003476994.1	-13.5790996348121
XM_027351027.1	-13.2516483350267
XR_003476212.1	-3.41428743736913
XM_027362354.1	-2.67429851746351
XM_027365755.1	-14.4441471932474
XM_027383714.1	-11.1325263629035
XR_003477015.1	-11.0387084003562
XM_027366660.1	-15.2229584580833
XM_027360238.1	-9.94096020108324
XM_027363213.1	-5.6889884567702
XM_027350645.1	-6.85835238676457
XM_027373316.1	-8.86641757249023
XM_027365712.1	-14.3142269266447
XM_027380152.1	-11.7062163952242
XR_003476141.1	-12.5543921129333
XM_027375218.1	-14.6106977510692
XR_003477876.1	-15.2792773011767
XM_027360578.1	-11.1632048434365
XM_027366419.1	-12.9347864910125
XM_027381854.1	-6.78892287175348
XM_027365370.1	-8.19433156136723
XM_027354135.1	-14.6830750623149
XR_003475823.1	-13.8987142817922
XM_027361148.1	-11.7940131899824
XM_027362706.1	-11.1225621432154
XM_027370544.1	-8.51001880078239
XM_027350819.1	-14.9513155849311
XR_003476384.1	-14.0446979889765
XM_027367239.1	-11.6045078280536
XM_027383660.1	-11.1626454498418
XM_027363212.1	-6.8269851680568
XM_027360317.1	-11.974278289224
XM_027361149.1	-12.0004074944363
XM_027360316.1	-12.2090820869392
XM_027355187.1	-5.88679026417954
XM_027365800.1	-14.1236726141751
XM_027371495.1	-11.640342399087
