ID	lminusProb
XM_027355909.1	0
XM_027356797.1	0
XM_027356798.1	0
XM_027356801.1	0
XM_027356802.1	0
XM_027358624.1	0
XM_027359306.1	0
XM_027361441.1	0
XM_027362049.1	0
XM_027365225.1	0
XM_027365226.1	0
XM_027365815.1	0
XM_027365839.1	0
XM_027365850.1	0
XM_027365858.1	0
XM_027365880.1	0
XM_027365884.1	0
XM_027365885.1	0
XM_027367149.1	0
XM_027367223.1	0
XM_027367224.1	0
XM_027367241.1	0
XM_027367243.1	0
XM_027370370.1	0
XM_027373323.1	0
XM_027373336.1	0
XM_027378495.1	0
XM_027378572.1	0
XM_027383691.1	0
XM_027383692.1	0
XR_003475609.1	0
XR_003476379.1	0
XR_003476717.1	0
XR_003476719.1	0
XR_003477589.1	0
XR_003477591.1	0
XR_003477592.1	0
XM_027357705.1	1.11022302462516e-16
XM_027359304.1	1.11022302462516e-16
XM_027365861.1	1.11022302462516e-16
XM_027367236.1	1.11022302462516e-16
XM_027370962.1	1.11022302462516e-16
XM_027362996.1	2.22044604925031e-16
XM_027365772.1	2.22044604925031e-16
XM_027367238.1	2.22044604925031e-16
XM_027370922.1	2.22044604925031e-16
XM_027371492.1	2.22044604925031e-16
XM_027373330.1	2.22044604925031e-16
XM_027382986.1	2.22044604925031e-16
XM_027359703.1	3.33066907387547e-16
XM_027363564.1	3.33066907387547e-16
XM_027354137.1	6.66133814775094e-16
XM_027363562.1	7.7715611723761e-16
XM_027363563.1	7.7715611723761e-16
XM_027367222.1	7.7715611723761e-16
XM_027373341.1	7.7715611723761e-16
XR_003477590.1	7.7715611723761e-16
XM_027354226.1	9.99200722162641e-16
XM_027367225.1	9.99200722162641e-16
XM_027360043.1	1.11022302462516e-15
XM_027354223.1	1.22124532708767e-15
XM_027365863.1	1.33226762955019e-15
XM_027365845.1	1.55431223447522e-15
XM_027367001.1	1.55431223447522e-15
XM_027365681.1	2.1094237467878e-15
XM_027365668.1	2.22044604925031e-15
XM_027356800.1	2.44249065417534e-15
XM_027357709.1	2.44249065417534e-15
XM_027381668.1	2.44249065417534e-15
XR_003476140.1	2.44249065417534e-15
XM_027365647.1	2.77555756156289e-15
XM_027354432.1	2.99760216648792e-15
XM_027356799.1	2.99760216648792e-15
XM_027365831.1	3.10862446895044e-15
XM_027369977.1	3.21964677141295e-15
XM_027365792.1	3.33066907387547e-15
XM_027357707.1	3.44169137633799e-15
XM_027365288.1	3.44169137633799e-15
XM_027365860.1	3.44169137633799e-15
XM_027373337.1	4.32986979603811e-15
XM_027365807.1	4.77395900588817e-15
XM_027370790.1	4.77395900588817e-15
XM_027359305.1	6.21724893790088e-15
XM_027357706.1	6.55031584528842e-15
XM_027365822.1	6.99440505513849e-15
XM_027359446.1	7.54951656745106e-15
XM_027363559.1	1.25455201782643e-14
XM_027367242.1	1.25455201782643e-14
XM_027355456.1	1.84297022087776e-14
XM_027375216.1	1.03916875104915e-13
XM_027359447.1	1.34559030584569e-13
XM_027378454.1	1.4477308241112e-13
XR_003476574.1	1.81854531433601e-13
XM_027373991.1	2.24043006369357e-13
XM_027362845.1	2.80109269112927e-13
XM_027373314.1	2.82107670557252e-13
XR_003475816.1	3.02424751907893e-13
XM_027365655.1	2.3919755065549e-12
XM_027368553.1	2.67974531453774e-12
XM_027375215.1	5.35405053625482e-12
XM_027373339.1	1.04635189401847e-11
XM_027367406.1	1.30135902054462e-11
XM_027373340.1	1.64742663955053e-11
XR_003475500.1	1.81060721970994e-11
XM_027375602.1	9.92754767281667e-11
XM_027364575.1	1.07827302642249e-10
XM_027359212.1	2.78003176035213e-10
XM_027380481.1	1.02558084247306e-09
XM_027373338.1	1.19051535296677e-09
XM_027365898.1	1.29980282093101e-09
XM_027363560.1	3.09898862127511e-09
XM_027354134.1	3.96443211592157e-09
XM_027368559.1	4.1429925046188e-09
XM_027371688.1	5.94891891303462e-09
XM_027368031.1	1.10669953201636e-08
XM_027356399.1	6.02694704143758e-08
XM_027373331.1	6.21403949407906e-08
XM_027377764.1	7.02616421710545e-08
XM_027365689.1	9.78336379686695e-08
XM_027363561.1	1.03066268741792e-07
XM_027365780.1	1.12335392432605e-07
XM_027365636.1	1.53249690049151e-07
XM_027368554.1	1.53447341721957e-07
XM_027368558.1	1.80822171791384e-07
XR_003476718.1	2.03588030989188e-07
XM_027351037.1	2.29464082956987e-07
XM_027351045.1	4.29773967525193e-07
XM_027365890.1	6.81180516437507e-07
XM_027371490.1	7.513052331376e-07
XM_027375601.1	1.05405069850129e-06
XM_027373335.1	1.23921402683802e-06
XM_027373312.1	1.24425381964333e-06
XM_027371493.1	1.81358204953685e-06
XM_027369862.1	2.23044800085059e-06
XM_027375217.1	2.32091991225758e-06
XM_027370936.1	2.53100488400992e-06
XM_027365705.1	2.5870016624463e-06
XM_027365875.1	3.34795330658721e-06
XM_027356467.1	1.3233180964578e-05
XM_027365763.1	2.04571819373278e-05
XM_027363873.1	2.35494626376065e-05
XM_027370783.1	2.81204847855099e-05
XM_027373320.1	4.43958534990241e-05
XM_027371491.1	4.50860551275412e-05
XM_027363739.1	4.62672463715785e-05
XM_027368030.1	4.96053956671183e-05
XM_027375219.1	4.99998155114589e-05
XM_027358886.1	6.22755027344102e-05
XM_027365728.1	6.44743475937126e-05
XM_027365785.1	9.41866087832421e-05
XM_027365826.1	0.000100075300820235
XM_027373344.1	0.000114155673904048
XM_027375035.1	0.000151962413233453
XM_027374011.1	0.000163867040085308
XM_027366461.1	0.000166289450258317
XM_027368756.1	0.000176091246100074
XM_027381669.1	0.000179967651709134
XM_027380479.1	0.000202716827443439
XM_027381865.1	0.000294995918640906
XR_003475626.1	0.000300081519651219
XM_027379859.1	0.000307224103709536
XM_027365734.1	0.000320322472208812
XM_027363087.1	0.000324344406424593
XR_003476385.1	0.000421075374551383
XR_003476309.1	0.000428901432859341
XM_027354133.1	0.000469156966174111
XM_027360239.1	0.000547911386195588
XM_027363308.1	0.000589134259547652
XM_027373334.1	0.000600775845115753
XM_027381853.1	0.000650132515757518
XM_027352549.1	0.000725496875850329
XM_027363570.1	0.000751491967226015
XM_027366311.1	0.000790642411762854
XM_027372676.1	0.00083083456674149
XM_027373319.1	0.000831045831120925
XM_027373988.1	0.00085090291816059
XM_027356611.1	0.000917258225500373
XM_027365675.1	0.000940775604393651
XM_027381855.1	0.000968313016128985
XM_027363007.1	0.00096833591519363
XM_027362345.1	0.000991036534815026
XM_027381851.1	0.00106377360293708
XM_027368427.1	0.00109004452100614
XM_027375615.1	0.00111058636438299
XR_003476992.1	0.00112073660182666
XM_027363214.1	0.00115529731763764
XM_027365630.1	0.00120805877573815
XM_027369731.1	0.00125637926972144
XM_027362705.1	0.0012700319825103
XM_027365697.1	0.00127523344503377
XM_027379534.1	0.00131660842212378
XR_003476908.1	0.00132101672770335
XM_027372995.1	0.00136825735559853
XM_027373317.1	0.00138838969298871
XM_027367234.1	0.00139202480648737
XM_027371482.1	0.00140576607961518
XM_027354132.1	0.00142616478811719
XM_027373327.1	0.00143340420378713
XM_027373333.1	0.00143441813029688
XM_027373325.1	0.00147769273849374
XM_027373383.1	0.00148278297033344
XR_003476993.1	0.00148504967950958
XM_027359148.1	0.00149986417429804
XM_027356628.1	0.00150974783347635
XM_027380490.1	0.00151043581063059
XM_027375603.1	0.0015223560849883
XM_027372149.1	0.00155211746226558
XM_027362357.1	0.00155539456066867
XM_027364574.1	0.00155648779943096
XR_003476776.1	0.0016581164244508
XM_027373313.1	0.00166681113157852
