ID	log2FC_SigInv
XM_027354938.1	-7.26165142587862
XM_027355456.1	-9.3490735980325
XM_027355909.1	-13.9284063360158
XM_027356628.1	-9.84858651652479
XM_027357705.1	-11.6108089722807
XM_027357706.1	-11.3926243882961
XM_027357707.1	-11.6551261429962
XM_027359306.1	-8.83758514775934
XM_027362049.1	-11.6858875096879
XM_027363211.1	-11.1074105386987
XM_027363214.1	-11.0066588544582
XM_027363226.1	-10.0478868627744
XM_027363227.1	-10.6171390053272
XM_027365822.1	-11.1372312036935
XM_027365839.1	-11.1175742027628
XM_027367149.1	-10.7120181196594
XM_027367222.1	-13.0695619110911
XM_027367223.1	-12.9074470082396
XM_027367224.1	-12.5927881691304
XM_027370370.1	-11.3406204489972
XM_027373336.1	-8.86370994996126
XM_027373337.1	-8.75327386937438
XR_003476212.1	-5.66940309333631
XR_003477589.1	-12.7320120677482
XR_003477590.1	-12.3213354876749
XR_003477591.1	-12.5998370728785
XM_027354940.1	-7.32763897118884
XM_027356798.1	-6.32234019210386
XM_027373383.1	-12.6048665582702
XM_027356801.1	-6.38170553789762
XM_027363229.1	-9.79327497386432
XM_027365861.1	-4.73346038119211
XM_027365860.1	-4.44441001567475
XM_027367001.1	-12.8139693777859
XM_027350644.1	-10.1699517568676
XM_027363209.1	-10.8382011892376
XM_027363230.1	-11.1185742157144
XM_027368031.1	-12.7608132179736
XM_027370962.1	-12.010234213137
XM_027371768.1	-12.0223845129501
XR_003475609.1	-11.0193120045052
XM_027362706.1	-14.1385731705469
XM_027363220.1	-10.2335340038749
XM_027363225.1	-10.484361668523
XM_027354939.1	-7.19748562827912
XM_027367942.1	-9.74869975707641
XM_027381957.1	-9.20567198599162
XM_027363228.1	-10.734641290801
XM_027365858.1	-10.8217294771819
XM_027355187.1	-10.2160857534126
XM_027362996.1	-5.82832825516356
XM_027363224.1	-10.6680043061597
XM_027375035.1	-13.5798667262417
XM_027383691.1	-9.55501689746733
XM_027354137.1	-14.9836369769784
XM_027357523.1	-10.9740470754849
XM_027356176.1	-6.85403996866112
XM_027365850.1	-10.7726604258803
XM_027363219.1	-10.2328417060741
XM_027371767.1	-11.820185207988
XM_027357709.1	-11.204026246578
XM_027370790.1	-13.9357907587858
XM_027376169.1	6.78936690486931
XM_027381156.1	-11.4748143397324
XM_027367225.1	-12.9369091057555
XR_003476140.1	-12.421930758278
XM_027369977.1	-11.9313967834413
XM_027365807.1	-10.6159642682148
XM_027360043.1	-10.8386357275595
XM_027382986.1	-10.311450557483
XM_027363564.1	-12.9860178709853
XR_003476216.1	-5.72572215238091
XM_027363223.1	-10.2556965802371
XM_027354937.1	-6.96898856768731
XM_027367243.1	-10.8378179546316
XM_027383519.1	-12.2196549168862
XM_027356797.1	-6.32593791278414
XM_027363562.1	-13.5057492655345
XM_027358642.1	-12.8849946772886
XM_027363873.1	-11.273018860347
XM_027363213.1	-10.598880781593
XM_027363559.1	-13.2731571258036
XM_027367406.1	-4.70999948553194
XM_027379534.1	-13.1329007086499
XM_027370783.1	-13.9717607645224
XM_027367238.1	-10.2017217736332
XM_027363215.1	-11.6646831141601
XM_027359305.1	-8.72754816193476
XM_027361441.1	-10.6636618526644
XR_003476755.1	-12.5873846794114
XM_027365792.1	-11.2438954973675
XM_027376198.1	-10.4812000784857
XM_027381154.1	-11.7089294129869
XM_027359446.1	-12.9534107741804
XM_027355954.1	-9.10463426723833
XM_027375603.1	-8.99796273481901
XM_027354226.1	-11.8540044946347
