ID	lminusProb
XM_027354938.1	0
XM_027355456.1	0
XM_027355909.1	0
XM_027356628.1	0
XM_027357705.1	0
XM_027357706.1	0
XM_027357707.1	0
XM_027359306.1	0
XM_027362049.1	0
XM_027363211.1	0
XM_027363214.1	0
XM_027363226.1	0
XM_027363227.1	0
XM_027365822.1	0
XM_027365839.1	0
XM_027367149.1	0
XM_027367222.1	0
XM_027367223.1	0
XM_027367224.1	0
XM_027370370.1	0
XM_027373336.1	0
XM_027373337.1	0
XR_003476212.1	0
XR_003477589.1	0
XR_003477590.1	0
XR_003477591.1	0
XM_027354940.1	1.11022302462516e-16
XM_027356798.1	1.11022302462516e-16
XM_027373383.1	1.11022302462516e-16
XM_027356801.1	2.22044604925031e-16
XM_027363229.1	2.22044604925031e-16
XM_027365861.1	2.22044604925031e-16
XM_027365860.1	3.33066907387547e-16
XM_027367001.1	3.33066907387547e-16
XM_027350644.1	4.44089209850063e-16
XM_027363209.1	4.44089209850063e-16
XM_027363230.1	4.44089209850063e-16
XM_027368031.1	4.44089209850063e-16
XM_027370962.1	4.44089209850063e-16
XM_027371768.1	4.44089209850063e-16
XR_003475609.1	4.44089209850063e-16
XM_027362706.1	5.55111512312578e-16
XM_027363220.1	5.55111512312578e-16
XM_027363225.1	6.66133814775094e-16
XM_027354939.1	7.7715611723761e-16
XM_027367942.1	7.7715611723761e-16
XM_027381957.1	7.7715611723761e-16
XM_027363228.1	8.88178419700125e-16
XM_027365858.1	8.88178419700125e-16
XM_027355187.1	1.11022302462516e-15
XM_027362996.1	1.11022302462516e-15
XM_027363224.1	1.11022302462516e-15
XM_027375035.1	1.11022302462516e-15
XM_027383691.1	1.11022302462516e-15
XM_027354137.1	1.22124532708767e-15
XM_027357523.1	1.22124532708767e-15
XM_027356176.1	1.4432899320127e-15
XM_027365850.1	1.88737914186277e-15
XM_027363219.1	1.99840144432528e-15
XM_027371767.1	2.1094237467878e-15
XM_027357709.1	2.22044604925031e-15
XM_027370790.1	5.21804821573824e-15
XM_027376169.1	5.32907051820075e-15
XM_027381156.1	5.88418203051333e-15
XM_027367225.1	6.10622663543836e-15
XR_003476140.1	6.66133814775094e-15
XM_027369977.1	1.75415237890775e-14
XM_027365807.1	4.91828799908944e-14
XM_027360043.1	5.32907051820075e-14
XM_027382986.1	7.37188088351104e-14
XM_027363564.1	1.26010313294955e-13
XR_003476216.1	2.82995848976952e-13
XM_027363223.1	3.02535774210355e-13
XM_027354937.1	3.19244630730964e-12
XM_027367243.1	4.04343225568482e-12
XM_027383519.1	7.56417151137612e-12
XM_027356797.1	3.97943900054543e-11
XM_027363562.1	7.52771178724743e-11
XM_027358642.1	9.90709736470308e-11
XM_027363873.1	2.15659712310412e-10
XM_027363213.1	5.63442070777853e-10
XM_027363559.1	6.66821708961152e-10
XM_027367406.1	8.17247935991361e-10
XM_027379534.1	2.2645022523804e-09
XM_027370783.1	2.29527685746689e-09
XM_027367238.1	4.51116266564355e-09
XM_027363215.1	5.86958393000714e-09
XM_027359305.1	6.31195162803522e-09
XM_027361441.1	6.46241915536194e-09
XR_003476755.1	1.94720550794614e-08
XM_027365792.1	3.66538179807918e-08
XM_027376198.1	4.09367928444482e-08
XM_027381154.1	5.84207351383981e-08
XM_027359446.1	1.25477695345211e-07
XM_027355954.1	1.63226060334587e-07
XM_027375603.1	2.08690770664433e-07
XM_027354226.1	2.24688043060084e-07
XM_027375216.1	2.67639938211772e-07
XM_027366844.1	4.2437617908675e-07
XM_027357870.1	5.51647628577179e-07
XM_027375215.1	5.98149267894144e-07
XM_027370922.1	1.40023083927687e-06
XM_027363007.1	2.84524296312316e-06
XM_027363210.1	3.51642272466979e-06
XM_027365800.1	4.27588760643083e-06
XM_027365681.1	4.43376986691835e-06
XM_027365655.1	5.16790580673554e-06
XM_027375602.1	5.72208968330212e-06
XM_027381155.1	7.40628905193663e-06
XR_003476141.1	7.69676233225436e-06
XM_027364371.1	7.76105144295602e-06
XM_027380303.1	9.07366756786043e-06
XM_027374011.1	9.95905398748498e-06
XR_003476309.1	1.26373411731828e-05
XM_027369731.1	2.19533907442893e-05
XM_027365734.1	2.670571412422e-05
XM_027383576.1	3.69490196877598e-05
XM_027365815.1	3.96338014478914e-05
XM_027354135.1	5.15166202068595e-05
XM_027363538.1	5.58655116171813e-05
XM_027368030.1	5.83955189517038e-05
XM_027350645.1	6.642432505366e-05
XM_027363560.1	7.98863444056996e-05
XM_027359304.1	8.05319449121988e-05
XM_027365689.1	8.39772703629116e-05
XM_027360238.1	9.56074827312969e-05
XM_027371493.1	9.87286456155534e-05
XM_027356802.1	0.000131656069089936
XM_027356905.1	0.000135520062686911
XM_027354259.1	0.000137681761333441
XR_003476993.1	0.000138196630752208
XM_027367236.1	0.00014432070136472
XM_027356467.1	0.000178939800128841
XM_027383361.1	0.000181582837559535
XM_027373991.1	0.000208689182321531
XM_027363217.1	0.000272716136134665
XM_027373339.1	0.000273218895703309
XM_027365772.1	0.000275176380910902
XM_027373340.1	0.000275800176814056
XM_027351045.1	0.000278213777135217
