ID	FDR
XM_027373625.1	2.17919457273084e-83
XM_027355389.1	2.10293235489764e-78
XM_027383495.1	2.10293235489764e-78
XM_027375663.1	2.97081310396171e-78
XM_027357077.1	3.77036997706163e-72
XM_027365793.1	6.12681592278689e-70
XM_027381617.1	3.87944696932083e-67
XM_027359377.1	4.78482692968904e-66
XM_027383346.1	5.81921193417345e-65
XM_027377056.1	3.20477024923706e-63
XM_027374863.1	5.95569465139689e-63
XM_027377449.1	1.9332876018915e-61
XR_003477329.1	3.92955882687675e-61
XM_027350808.1	3.41885431473023e-60
XM_027382967.1	3.58875415048271e-60
XM_027383345.1	2.1790024913177e-58
XM_027367923.1	3.20244504758481e-58
XM_027352808.1	3.2318914198624e-58
XM_027353933.1	1.02813543788809e-56
XM_027353827.1	1.23718715782903e-56
XM_027369777.1	2.83183071567453e-56
XR_003476840.1	4.62440262638369e-56
XM_027366562.1	4.89561685397372e-56
XM_027373392.1	6.62730661770305e-56
XM_027377795.1	6.62730661770305e-56
XM_027363473.1	1.79524732253532e-55
XM_027357851.1	3.29063528494603e-55
XM_027378347.1	3.29063528494603e-55
XM_027367438.1	5.99809931470647e-55
XM_027366023.1	1.84760055563711e-54
XM_027353243.1	2.29677871690556e-54
XM_027382966.1	7.80566441999656e-54
XM_027352991.1	6.141366849332e-53
XM_027356113.1	8.89977628494447e-53
XM_027365496.1	1.97524413791378e-52
XM_027358787.1	3.12273936281939e-52
XM_027363524.1	4.08538614681284e-52
XM_027365171.1	7.5231188573606e-52
XM_027370319.1	7.5231188573606e-52
XM_027370320.1	1.86825236460504e-51
XM_027357014.1	2.95893823688847e-51
XM_027377198.1	4.72287790163282e-51
XM_027372020.1	5.41623605872652e-51
XM_027371660.1	8.48360374044135e-51
XM_027383516.1	1.24610944546089e-50
XM_027353896.1	3.5223084624403e-50
XM_027352034.1	7.60267534050787e-50
XM_027365794.1	1.06742340152799e-49
XM_027356273.1	1.43197355169613e-49
XM_027376719.1	4.50898795906641e-49
XM_027370325.1	4.72566218684276e-49
XM_027358623.1	5.10582000049212e-49
XM_027373805.1	9.94765786805161e-49
XM_027370845.1	1.0307479637144e-48
XM_027379274.1	1.18018554825949e-48
XM_027370944.1	1.35152374076392e-48
XM_027373391.1	1.37829142016454e-48
XR_003475884.1	2.26517691801649e-48
XM_027382226.1	2.76816327916101e-48
XM_027357013.1	3.19823586503056e-48
XM_027376753.1	3.957419045463e-48
XM_027377871.1	5.10004911491753e-48
XR_003477195.1	8.82526039580647e-48
XM_027380532.1	2.78090955174977e-47
XM_027382184.1	8.6762585520007e-47
XM_027354325.1	9.96475977149161e-47
XM_027378153.1	1.89210361396572e-46
XM_027366711.1	2.21935783751561e-46
XM_027373083.1	4.86918469517848e-46
XM_027355522.1	8.43064792027438e-46
XM_027358641.1	1.14666278360077e-45
XM_027364508.1	1.28413128282987e-45
XM_027381154.1	1.86781431939386e-45
XM_027356268.1	2.10802978674004e-45
XM_027357868.1	4.48884339895362e-45
XM_027352932.1	5.67012130551293e-45
XM_027356274.1	8.17809062845904e-45
XR_003476964.1	8.992058794088e-45
XM_027352033.1	9.32312067807249e-45
XM_027380001.1	1.79342537957722e-44
XM_027377660.1	3.02578629429291e-44
XM_027367600.1	3.54821373779713e-44
XR_003477328.1	3.73432195721698e-44
XM_027376144.1	4.07758286199096e-44
XM_027351560.1	1.46187009790105e-43
XM_027357867.1	1.70999324829724e-43
XM_027376153.1	3.31791196355056e-43
XM_027377111.1	4.07299648657769e-43
XM_027356272.1	8.84213977347579e-43
XM_027351285.1	1.17590240629574e-42
XM_027357114.1	1.75203656225778e-42
XM_027380334.1	1.76448462464887e-42
XM_027371156.1	2.71341671325554e-42
XM_027376200.1	4.14352542266809e-42
XM_027370955.1	4.43739154926758e-42
XM_027367749.1	5.53039666876617e-42
XM_027369070.1	9.76246038540908e-42
XM_027379752.1	1.13244813055782e-41
XM_027380344.1	1.13244813055782e-41
XM_027362512.1	1.3951725146548e-41
XM_027370516.1	1.42453427752212e-41
XM_027380389.1	2.12445155078272e-41
XM_027359525.1	6.02945539521897e-41
XM_027367064.1	7.40815137288081e-41
XM_027371565.1	8.32028719176919e-41
XM_027365377.1	1.60162346145783e-40
XM_027352848.1	1.65552580614891e-40
XM_027370947.1	2.76516721513964e-40
XM_027362384.1	2.96079480751521e-40
XM_027366644.1	3.74569326058768e-40
XM_027358948.1	3.95851284661869e-40
XM_027377066.1	4.55120048994429e-40
XM_027359382.1	5.43074324201116e-40
XM_027353731.1	6.97842535750856e-40
XM_027365498.1	9.97298312843874e-40
XR_003476845.1	1.10996419334357e-39
XM_027376663.1	1.31839661588472e-39
XM_027363184.1	1.66689636215852e-39
XM_027370880.1	1.72917522060507e-39
XM_027382603.1	1.87370762256497e-39
XM_027372078.1	2.15874772296786e-39
XM_027373414.1	2.78651201052523e-39
XM_027378792.1	3.89844525257106e-39
XM_027357980.1	4.74889916883752e-39
XM_027381468.1	6.62166718421281e-39
XM_027366647.1	1.03862542225426e-38
XM_027379845.1	1.85283070249041e-38
XM_027380133.1	1.85659151490464e-38
XM_027366648.1	1.92697662158497e-38
XM_027359027.1	2.1793948359827e-38
XM_027381409.1	2.27371440218712e-38
XM_027374305.1	2.35617790258166e-38
XM_027375259.1	2.35617790258166e-38
XM_027380002.1	2.9937026676875e-38
XM_027356269.1	4.28750530878223e-38
XM_027367748.1	4.43220885557631e-38
XM_027374193.1	4.96920920413447e-38
XM_027357579.1	5.74581679747033e-38
XM_027355333.1	6.6717869026275e-38
XM_027363799.1	7.90349381580366e-38
XR_003477463.1	9.1235815426248e-38
XM_027361537.1	9.44475433854487e-38
XM_027365302.1	1.09619935525022e-37
XM_027363227.1	1.3547126975517e-37
XM_027373957.1	1.82428132782295e-37
XM_027382630.1	1.99736426127071e-37
XM_027378442.1	2.18853639589042e-37
XM_027362283.1	2.47216615416781e-37
XR_003475830.1	2.93929367939969e-37
