ID	logFC	logCPM	PValue	FDR	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350614.1	2.39947698104425	3.63149095501021	3.44703674900712e-09	2.22979096838039e-08	185	112	198	40	83	196	114	785	983	1060	756	900	4.73653517295767	3.38433252797244	4.72992853584928	2.12594414335573	2.8441666032798	5.71884305628486	33.0764934556094	11.1028511205869	12.182500290984	22.7560210032313	25.1125544354096	21.1520077231039	Down_hep_Up_gills
XM_027350630.1	-8.72744446740858	4.71952812185295	4.39785364745154e-26	1.60538443832926e-24	2938	2303	2060	1003	1280	798	0	0	2	6	4	16	75.2212991251331	69.5903376064333	49.2103675951995	53.3080493946449	43.8618464120258	23.2838610148741	0	0	0.0247863688524598	0.128807666056026	0.132870658388411	0.37603569285518	Up_hep_Down_gills
XM_027350640.1	2.44061119694637	6.29147685597598	6.7770827494697e-05	0.000263962612160164	2146	802	1022	154	218	919	115	5548	8056	6812	6846	8832	54.9438080063089	24.2342382806598	24.4140755739291	8.18488495191956	7.47022071704814	26.8143712690091	33.3666381350446	78.46957709174	99.8394937377081	146.239636862275	227.408131831765	207.571702456059	Down_hep_Up_gills
XM_027350653.1	-9.17707384915206	6.47991648861769	6.95457598914141e-15	8.09659948388903e-14	10536	8739	7205	2278	4155	3391	0	1	0	12	10	47	269.752078823146	264.068588945992	172.116843943404	121.072518964109	142.379665501537	98.9418204278671	0	0.0141437593892826	0	0.257615332112053	0.332176645971027	1.10460484776209	Up_hep_Down_gills
XM_027350665.1	9.82922056326075	8.84479912814943	2.5220459359817e-09	1.65267881683652e-08	105	41	85	0	0	2	923	224805	16323	12608	32876	21185	2.68830374681381	1.23890744327562	2.03052487650095	0	0	0.0583555413906618	267.803539118662	3179.58782950768	202.293949389351	270.667842272397	1092.06394129435	497.894759571061	Down_hep_Up_gills
XM_027350702.1	-5.46317581784852	3.56730581277619	2.01905686461276e-20	4.11732619470287e-19	863	1046	1007	425	715	467	0	35	90	31	5	14	22.0952965095268	31.6072484308854	24.0557476545466	22.5881565231546	24.5009532692175	13.6260189147195	0	0.495031578624892	1.11538659836069	0.665506274622803	0.166088322985513	0.329031231248282	Up_hep_Down_gills
XM_027350706.1	-9.15459397410065	9.53942448937252	1.91329590797964e-07	1.0414776359657e-06	48971	79161	60850	29790	44554	24116	0	0	0	54	35	561	1253.79926462113	2392.02810041809	1453.61692629509	1583.29690076418	1526.73492581359	703.6511180886	0	0	0	1.15926899450424	1.16261826089859	13.1847514807347	Up_hep_Down_gills
XM_027350707.1	-9.35812943454146	8.66496232938953	1.3657970654845e-08	8.32535572612733e-08	26834	39864	31202	17230	26632	13611	0	0	0	22	15	268	687.028026114303	1204.58064192048	745.369849371561	915.750439750481	912.600541910212	397.138636934149	0	0	0	0.472294775538763	0.49826496895654	6.29859785532426	Up_hep_Down_gills
XM_027350709.1	-12.057355837558	5.36150352518364	3.1145638359139e-25	1.02363190813335e-23	4252	2255	2393	1317	5288	236	0	0	0	2	0	2	108.863500299546	68.1399093801594	57.1652474054915	69.9967109199874	181.204252989682	6.88595388409809	0	0	0	0.0429358886853421	0	0.0470044616068975	Up_hep_Down_gills
XM_027350712.1	-9.4200856911336	7.76936474062929	3.90978286531461e-10	2.79784237365274e-09	7377	20983	19452	7327	19952	8662	0	0	0	10	15	126	188.87254038329	634.048655664693	464.679645855253	389.419818459186	683.696530947452	252.737849762956	0	0	0	0.214679443426711	0.49826496895654	2.96128108123454	Up_hep_Down_gills
XM_027350715.1	-9.18902306400486	8.41114306384105	3.33601081375882e-09	2.15943197446967e-08	34723	19831	27308	10416	32167	9618	0	0	4	19	8	260	889.009247624914	599.23837823412	652.347921499859	553.595854929832	1102.26876057471	280.631798547693	0	0	0.0495727377049196	0.40789094251075	0.265741316776821	6.11058000889667	Up_hep_Down_gills
XM_027350717.1	-4.88492538990394	2.13741605485063	7.88499998187451e-10	5.44099132948397e-09	513	389	371	163	180	58	0	1	11	12	11	33	13.1342840201475	11.7545120837614	8.86264387272768	8.6632223841746	6.16807215169113	1.69231070032919	0	0.0141437593892826	0.136325028688529	0.257615332112053	0.365394310568129	0.775573616513808	Up_hep_Down_gills
XM_027350718.1	-4.46336509368131	2.2507180003429	1.15325066475189e-11	9.62871179195726e-11	539	432	373	176	171	101	0	3	53	20	14	26	13.7999592336442	13.0538540364651	8.91042092864535	9.35415423076522	5.85966854410657	2.94695484022842	0	0.0424312781678478	0.656838774590185	0.429358886853421	0.465047304359437	0.611058000889667	Up_hep_Down_gills
