ID	FDR
XM_027378341.1	2.17790797028795e-58
XM_027357077.1	6.60050168764857e-56
XM_027355338.1	1.00694276323248e-55
XM_027358234.1	2.35906759645136e-54
XM_027356113.1	4.62651274561127e-54
XM_027365793.1	1.3759429355718e-52
XM_027352295.1	4.15133295859043e-52
XM_027369773.1	3.55102668641707e-51
XM_027369931.1	9.04195771264368e-51
XM_027366326.1	2.16045488803393e-50
XM_027369645.1	8.24284581846812e-50
XM_027378230.1	5.40265138675516e-48
XM_027372562.1	5.92227992234008e-48
XM_027369548.1	2.29792481502349e-47
XM_027379160.1	5.09753459337622e-47
XM_027360238.1	5.277550893821e-47
XM_027352868.1	2.78731600085067e-46
XM_027373392.1	4.63728414884989e-46
XM_027365314.1	7.36028377997096e-46
XM_027373391.1	2.45510965116794e-45
XM_027376737.1	2.78405329711568e-45
XM_027351265.1	4.34473320505777e-45
XM_027364536.1	7.44201167494946e-45
XM_027377089.1	9.57517717031146e-45
XM_027378226.1	1.21002908397843e-44
XM_027375239.1	2.34302037599581e-44
XM_027374288.1	3.89121385930411e-44
XM_027359900.1	8.7637701377972e-44
XM_027381890.1	8.7637701377972e-44
XM_027362059.1	9.34797435093921e-44
XM_027378603.1	1.21338331491982e-43
XM_027381944.1	2.76341862683545e-43
XM_027381869.1	3.96643769845642e-43
XM_027351217.1	5.61284642535612e-43
XM_027376738.1	7.30773303800349e-43
XM_027376741.1	7.99815877768323e-43
XM_027351567.1	8.63366933849203e-43
XM_027364294.1	8.63366933849203e-43
XM_027379274.1	1.07515115911226e-42
XM_027363991.1	2.14112788373189e-42
XM_027374772.1	2.33168040444061e-42
XM_027367556.1	2.57989417878335e-42
XM_027376740.1	3.56441289057916e-42
XM_027353827.1	4.13719936444723e-42
XM_027376739.1	4.13719936444723e-42
XR_003475003.1	4.4579816782959e-42
XM_027369774.1	5.25716081133048e-42
XM_027352856.1	5.43273893640059e-42
XM_027352583.1	8.51530161018753e-42
XM_027359091.1	8.74001558714363e-42
XM_027372020.1	1.17610694393929e-41
XM_027352581.1	1.40642745198672e-41
XM_027371565.1	1.53382631343989e-41
XM_027354240.1	1.59975088646414e-41
XM_027364508.1	2.18440888261417e-41
XM_027358239.1	2.29170537284049e-41
XM_027382409.1	2.29170537284049e-41
XM_027380532.1	2.5873570264509e-41
XM_027382967.1	2.77466088334714e-41
XM_027375237.1	2.82326527174594e-41
XR_003475884.1	2.82326527174594e-41
XM_027367600.1	2.83573382714531e-41
XM_027365171.1	3.72623090587923e-41
XM_027364399.1	8.47930841161683e-41
XM_027380876.1	8.47930841161683e-41
XM_027358195.1	9.64919773355368e-41
XM_027380873.1	9.79198778253008e-41
XM_027377056.1	1.26498169410655e-40
XM_027366647.1	1.53464502674326e-40
XM_027374535.1	2.10192556723869e-40
XM_027374374.1	4.11401063275071e-40
XR_003477669.1	5.21113244520557e-40
XM_027357980.1	5.26107894360631e-40
XM_027379383.1	5.62540629465824e-40
XM_027373083.1	5.6821109873559e-40
XM_027358358.1	6.91168270998393e-40
XM_027369416.1	7.7154870722991e-40
XM_027380544.1	1.26950952011773e-39
XM_027372585.1	1.35817243155852e-39
XM_027354471.1	1.43627872828763e-39
XM_027365607.1	1.50494095588047e-39
XM_027383641.1	1.50494095588047e-39
XM_027358641.1	2.0296946806403e-39
XM_027382410.1	2.48769570515028e-39
XM_027365593.1	2.59957016395369e-39
XM_027378792.1	2.67547222323882e-39
XM_027375238.1	3.43223274602991e-39
XM_027382408.1	3.5327726647188e-39
XM_027357395.1	3.56359966884423e-39
XM_027379583.1	4.34739349146635e-39
XM_027352582.1	7.51716104456113e-39
XM_027380253.1	7.51716104456113e-39
XM_027354213.1	9.83734810431618e-39
XR_003476604.1	1.49951073786344e-38
XM_027372638.1	1.55877289107667e-38
XM_027364397.1	1.94293585835957e-38
XM_027358146.1	2.14422113745519e-38
XM_027360302.1	2.44217132485533e-38
XM_027376736.1	2.45755747981631e-38
XR_003476507.1	3.0040954487724e-38
XM_027352580.1	3.21374225991628e-38
XM_027368839.1	3.45442999626101e-38
XM_027369417.1	4.38482763535038e-38
XM_027374289.1	4.50060909102626e-38
XM_027382895.1	4.57046391384971e-38
XM_027364396.1	4.9193168478749e-38
XM_027352012.1	5.44096216439741e-38
XM_027358460.1	5.44096216439741e-38
XM_027374373.1	5.63321360551884e-38
XM_027376188.1	6.06337764997607e-38
