ID	logFC	logCPM	PValue	FDR	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027382185.1	-15.8771374492889	6.60539008568616	2.08599305568702e-107	3.69450230092728e-103	8408	7486	11345	3562	7496	5183	0	0	0	0	0	0	180.104395807672	194.269620960758	227.607595698974	177.042098527657	256.158674738138	132.540129309368	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027357115.1	-19.9216198529635	10.6490777311041	8.99310341610627e-107	7.96384273013291e-103	160657	166729	188142	66168	84524	60574	0	0	0	0	0	0	3441.36916237788	4326.79396649296	3774.57455002171	3288.74833671477	2888.41459759423	1549.00362585098	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027371450.1	-15.0930295571919	5.82189735623432	6.28512498446481e-105	2.78289621499641e-101	5316	4535	5198	2649	3996	2897	0	0	0	0	0	0	113.871903914556	117.688048498135	104.284202947842	131.66325631661	136.554170791569	74.0823373739608	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027374911.1	-16.2061673711929	6.93424685989584	5.41462757321466e-105	2.78289621499641e-101	12027	11319	11397	4689	8922	5823	0	0	0	0	0	0	257.625543337164	293.740026670428	228.650838975866	233.057383491349	304.888966917511	148.906265284285	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027380855.1	-15.3256680783679	6.05431569691032	9.47634747112574e-105	3.35671180122216e-101	5958	5593	6804	3151	4370	3190	0	0	0	0	0	0	127.623928427939	145.144267971349	136.504370307256	156.614164082158	149.334766356145	81.5749589999775	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027362713.1	-17.7257794960083	8.45341690781208	8.04618207372096e-103	2.37509884512787e-99	26185	24993	39067	16089	29090	16375	0	0	0	0	0	0	560.89838299523	648.594795173956	783.77663650699	799.671623585478	994.084291373056	418.742932170731	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027363322.1	-19.4426590723978	10.1701358642261	2.36064756933371e-101	5.97277558578134e-98	97621	107518	101904	43413	103784	46741	0	0	0	0	0	0	2091.10028819467	2790.20586514278	2044.43582477816	2157.75649168478	3546.5810964545	1195.26494000563	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027371448.1	-14.9990191096315	5.72798183397737	1.75922001678417e-100	3.89469321465804e-97	4996	4239	4757	2538	3810	2603	0	0	0	0	0	0	107.017312256795	110.00653529958	95.436697464964	126.146222926219	130.198045724694	66.5641436604832	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027365027.1	-15.9960012261848	6.7241890690577	1.03022073082045e-99	2.02735992928455e-96	9310	9108	13356	3702	7504	4842	0	0	0	0	0	0	199.425776042986	236.362237204193	267.953023195724	184.000519020041	256.432056461444	123.820047485232	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027360302.1	-13.8364349969273	4.56733414564317	1.56668673237514e-99	2.77475887170961e-96	2190	1828	2207	942	1801	1440	0	0	0	0	0	0	46.9111116578023	47.4385342126992	44.2776521558074	46.8202293130412	61.5450604593632	36.8238059435635	0	0	0	0	0	0	Up_hep_Down_hemocytes
