ID	logFC
XM_027382185.1	-15.8771374492889
XM_027357115.1	-19.9216198529635
XM_027371450.1	-15.0930295571919
XM_027374911.1	-16.2061673711929
XM_027380855.1	-15.3256680783679
XM_027362713.1	-17.7257794960083
XM_027363322.1	-19.4426590723978
XM_027371448.1	-14.9990191096315
XM_027365027.1	-15.9960012261848
XM_027360302.1	-13.8364349969273
XM_027380431.1	-15.0967614439691
XM_027371447.1	-14.9747268592433
XM_027366326.1	-11.198764670976
XM_027366577.1	-15.306329841288
XM_027363949.1	-15.3759134278389
XM_027358232.1	-14.0212693688566
XM_027383830.1	-15.9763834113979
XM_027367228.1	-7.48543727206632
XM_027372150.1	-13.2017273201338
XM_027350706.1	-18.6432759282223
XM_027377991.1	-13.8006593971286
XM_027375919.1	-15.966529289206
XM_027362506.1	-14.0233006027779
XM_027360388.1	-15.7131126277156
XM_027383256.1	-13.0250877125615
XM_027379504.1	-16.9124269771056
XM_027352868.1	-13.0265791302318
XM_027371819.1	-15.5566920122635
XM_027382197.1	-16.7192339477909
XM_027365162.1	-15.0549531275171
XM_027363970.1	-12.8195162580642
XM_027350707.1	-17.7743697683617
XM_027353045.1	-17.4665720554249
XM_027382895.1	-13.264501345856
XM_027378174.1	-16.974477280822
XM_027376806.1	-15.8345250426165
XM_027358238.1	-19.0697207598559
XM_027363951.1	-16.1218373809768
XR_003476748.1	-13.6839401604037
XM_027371933.1	-16.9836309161744
XM_027358509.1	-10.7315470037521
XM_027378597.1	-13.8836122062245
XM_027355864.1	-13.3710886785236
XM_027351847.1	-16.2474099953916
XM_027380586.1	-11.9559897486491
XM_027367438.1	-7.9002026034873
XM_027360141.1	-16.2946707697123
XM_027358234.1	-12.8203080626394
XM_027381942.1	-14.366734510543
XM_027363969.1	-12.7307620578632
XM_027356709.1	-10.0705284207796
XM_027365313.1	-15.5381962315087
XM_027376807.1	-15.8153852439645
XM_027369155.1	-11.752076809649
XM_027353471.1	-11.4134928366524
XM_027380981.1	-13.0436213640893
XM_027351558.1	-13.1721407646593
XM_027355865.1	-13.0923220907495
XM_027382187.1	-13.0982448201186
XM_027360593.1	-16.2298620722572
XM_027377992.1	-11.6310158185153
XM_027359754.1	-17.2532895093396
XM_027377963.1	-15.2309730396354
XM_027364872.1	-13.6742810383663
XM_027366679.1	-14.8920657516281
XM_027377619.1	-10.4129595995863
XM_027377569.1	-15.5365646091473
XM_027382188.1	-8.86593369546075
XM_027364525.1	-14.6624609717506
XM_027370939.1	-13.510243813592
XM_027363955.1	-14.8613625470937
XM_027366957.1	-12.2475491816087
XM_027364873.1	-13.9090594415701
XM_027364536.1	-13.1590633883272
XM_027377989.1	-11.2025860342573
XM_027370937.1	-14.6002156223309
XR_003475964.1	-13.6860812055103
XM_027378289.1	-14.5139828758006
XM_027378762.1	-15.1887727907637
XM_027365311.1	-15.3897561549786
XM_027364871.1	-14.9718179750485
XM_027360739.1	-12.2358085762578
XM_027359900.1	-14.4331412192618
XM_027379161.1	-13.7308229437802
XM_027358237.1	-17.7677607855779
XM_027369766.1	-15.970220067282
XM_027379757.1	-15.82835735259
XM_027367729.1	-18.4900818603036
XM_027377990.1	-12.9065424261352
XR_003476759.1	-13.536241616765
XM_027352296.1	-13.1672846892266
XM_027376808.1	-15.504841359211
XM_027360743.1	-13.206786242731
XM_027380569.1	-15.0613035246519
XM_027352295.1	-13.2754315995364
XM_027377389.1	-14.7791126164855
XM_027362059.1	-13.7563995917477
XM_027365310.1	-15.8225820849068
XM_027379160.1	-11.3677323313522
XM_027376654.1	-10.0782693701525
XM_027372254.1	-14.4103342893739
XM_027376410.1	-9.44468667513007
XM_027379742.1	-14.4220409105983
XM_027375907.1	-14.3463503422243
XR_003476238.1	-10.6604986449767
XM_027371690.1	-17.0023260287915
XM_027366568.1	-15.505405265015
XM_027363486.1	-11.2819636725312
XM_027369553.1	-13.6291259567362
XM_027354925.1	-14.9378470811924
XM_027378562.1	-11.5153273944582
XM_027352297.1	-13.116474593922
XM_027362138.1	-15.0168237484049
XM_027369645.1	-11.9037686558083
XM_027350715.1	-17.5288763148613
XM_027374190.1	-9.95810040885205
XM_027380369.1	-10.0836409710775
XM_027364911.1	-18.4899236074011
XM_027352856.1	-12.4373622561514
XM_027380802.1	-19.3773780336172
XM_027379449.1	-16.6311003085984
XM_027366958.1	-10.7222567239494
XM_027375794.1	-15.0137442537913
XM_027359213.1	-17.6187170564638
XM_027366106.1	-15.8162824064045
XM_027351601.1	-14.9656629592101
XM_027380251.1	-7.61885364299394
XM_027365496.1	-14.8742097164803
XM_027363320.1	-14.1900380024426
XM_027362523.1	-13.1980768888957
XM_027372562.1	-13.7581642779737
XM_027352569.1	-11.1635961610674
XM_027366171.1	-12.0060287484273
XM_027369773.1	-12.6775933722013
XM_027379145.1	-11.6548092477816
XM_027355406.1	-11.6161898361674
XM_027377145.1	-9.56572660868165
XM_027355570.1	-14.9843726709488
XM_027359178.1	-12.7705823866876
XM_027361824.1	-10.5677708954256
XM_027374921.1	-14.1134084448125
XM_027358460.1	-11.1288898869607
XM_027372253.1	-13.4255376005132
XM_027360144.1	-15.2249277917991
XM_027378172.1	-16.5764522317413
XM_027377443.1	-9.47692505515633
XM_027377792.1	-17.1328890945438
XR_003477658.1	-16.2753489250042
XM_027381966.1	-13.7404890703081
XM_027358198.1	-14.1063193153262
XM_027371251.1	-14.2128368701874
XM_027374772.1	-13.4942327039939
XM_027375922.1	-14.8276644286053
XM_027368839.1	-12.693170957468
XM_027355618.1	-12.8126904625312
XM_027372128.1	-16.9427509012418
XM_027376677.1	9.6164519597911
XM_027362058.1	-11.8457596677845
XM_027362112.1	-13.1779594492032
XM_027368786.1	-12.618916565915
XM_027372495.1	-14.6338970416277
XM_027375190.1	-18.3325208239982
XM_027365332.1	-13.2887076010886
XM_027350630.1	-13.8067993296146
XM_027379525.1	-14.5837954642228
XM_027371550.1	-13.4630245870988
XM_027358620.1	-14.7948314466892
XM_027354743.1	8.75492660947244
XM_027366103.1	-15.5333327553875
XM_027368484.1	-17.5533233098207
XM_027356770.1	-14.4672468548974
XM_027382405.1	-12.2241820958579
XM_027371655.1	-19.8981555041609
XM_027357843.1	-14.0132790831841
XM_027375831.1	-12.8295292675234
XM_027365833.1	-9.41416420687251
XM_027356882.1	-17.2153526299293
XM_027358583.1	-18.7267844989863
XM_027372493.1	-14.8820979931784
XM_027352568.1	-11.2231105872305
XM_027350967.1	-17.2627389484203
XM_027368290.1	-9.64182512288644
XM_027376153.1	-9.86976921269202
XM_027365030.1	-16.0411953195259
XM_027362910.1	-14.5234577918512
XM_027367611.1	-15.725041517437
XM_027358621.1	-15.0019038480691
XM_027358581.1	-18.877115189408
XM_027368483.1	-17.6152455993386
XM_027350712.1	-16.8923815021367
XM_027372255.1	-14.2669985630318
XM_027374373.1	-13.3083999794954
XM_027380253.1	-13.7694866336419
XM_027358195.1	-11.9510957167931
XM_027372954.1	-8.07713183804446
XM_027372496.1	-16.1643729133582
XR_003475583.1	-13.6433164793208
XM_027382660.1	-14.040926855903
XM_027366882.1	-8.93407678004708
XM_027378603.1	-12.1321572403213
XM_027374535.1	-11.1117706188638
XM_027381774.1	-16.3277883337836
XM_027367016.1	-12.2492879702676
XM_027352012.1	-6.26796209060761
XM_027353914.1	-17.3554302610015
XM_027351555.1	-14.1099545680703
XM_027364912.1	-17.9987394677541
XR_003476507.1	-11.315177214171
XM_027352495.1	-15.4169825004155
XM_027380833.1	-14.5551977399528
XM_027372444.1	-10.4252332665404
XM_027365477.1	-12.1361511973242
XM_027371250.1	-13.8322178283557
XM_027361190.1	-16.1078894637695
XM_027351668.1	-18.0438601776991
XM_027350653.1	-12.2064594885926
XM_027379298.1	-14.211857316746
XM_027354240.1	-11.0565925785425
XM_027364538.1	-10.9791022735393
XM_027364406.1	-14.50851393159
XM_027378229.1	-6.9134179332334
XM_027366323.1	-8.47164343645357
XM_027351217.1	-9.64460741550265
XM_027368181.1	-15.4304053032886
XM_027359184.1	-13.6200150612578
XM_027351485.1	-15.0856328331955
XR_003477129.1	-11.3587883429819
XM_027359429.1	-13.6500881136636
XM_027358186.1	-13.8316818169388
XM_027357750.1	-12.6278454050281
XM_027375239.1	-12.2525549869061
XM_027352590.1	-14.8885811519911
XM_027376864.1	-13.5000850618705
XM_027362057.1	-11.10766118609
XM_027376144.1	-9.84160958233801
XM_027381768.1	-7.38320053367112
XM_027374288.1	-13.4537141292195
XM_027382407.1	-12.5315899285427
XM_027373064.1	5.83515217716078
XM_027379366.1	-15.6503644330346
XM_027378519.1	-9.91066627128051
XM_027380237.1	-12.5399507078693
XM_027368091.1	-17.0921604979979
XM_027356405.1	-13.6680672859017
XM_027382676.1	-8.40418805992195
XM_027368287.1	-7.19057325761207
XM_027352729.1	-7.41182783826072
XM_027365137.1	-11.800257947822
XM_027380885.1	-12.5150278642411
XM_027357490.1	-17.3762229332099
XM_027359595.1	-13.3249744957358
XM_027362075.1	-10.4888556193059
XM_027382263.1	5.25552103769412
XM_027366682.1	-13.6888379269218
XM_027375237.1	-12.5109557186644
XM_027371252.1	-13.7703787883774
XM_027375725.1	-7.18976366439356
XM_027353423.1	-10.6615243238213
XM_027365816.1	-12.6239019574888
XM_027352731.1	-7.1986763908936
XM_027365314.1	-13.6937366571556
XM_027383260.1	-22.2600518701325
XM_027361741.1	-17.648534856892
XM_027372898.1	-11.9241127368275
XM_027379523.1	-12.8455472456486
XM_027365607.1	-14.1398538476216
XM_027366081.1	-11.5002880076108
XR_003477669.1	-14.7430936842892
XM_027378226.1	-12.7491563637275
XM_027364294.1	-6.02959861112529
XM_027380815.1	-18.4191177876101
XM_027357580.1	-12.0920634311083
XM_027359427.1	-13.7784175577866
XM_027372900.1	-12.2411607005753
