ID	FDR
XM_027382185.1	3.69450230092728e-103
XM_027357115.1	7.96384273013291e-103
XM_027371450.1	2.78289621499641e-101
XM_027374911.1	2.78289621499641e-101
XM_027380855.1	3.35671180122216e-101
XM_027362713.1	2.37509884512787e-99
XM_027363322.1	5.97277558578134e-98
XM_027371448.1	3.89469321465804e-97
XM_027365027.1	2.02735992928455e-96
XM_027360302.1	2.77475887170961e-96
XM_027380431.1	9.05861605844493e-96
XM_027371447.1	1.43758259786791e-95
XM_027366326.1	6.62467642567505e-95
XM_027366577.1	4.33596795745628e-94
XM_027363949.1	4.83783012829096e-92
XM_027358232.1	1.49971072960532e-90
XM_027383830.1	1.78657768756134e-90
XM_027367228.1	9.95065751055925e-90
XM_027372150.1	4.98800262496123e-89
XM_027350706.1	1.20001497345003e-88
XM_027377991.1	1.57638036202174e-88
XM_027375919.1	2.05775387174417e-88
XM_027362506.1	2.72516240085218e-88
XM_027360388.1	2.94295206846728e-88
XM_027383256.1	3.8877447762162e-88
XM_027379504.1	6.21347384555655e-88
XM_027352868.1	1.15221769513768e-87
XM_027371819.1	1.31172590204913e-87
XM_027382197.1	1.37527373574218e-87
XM_027365162.1	2.31494086402071e-87
XM_027363970.1	3.25849745245653e-87
XM_027350707.1	5.06792261808188e-87
XM_027353045.1	1.89960119977171e-86
XM_027382895.1	5.27337832592469e-86
XM_027378174.1	8.32256836674843e-86
XM_027376806.1	5.23996719174002e-85
XM_027358238.1	9.72715728995875e-85
XM_027363951.1	9.72715728995875e-85
XR_003476748.1	2.08459583263241e-84
XM_027371933.1	3.95393529346702e-84
XM_027358509.1	9.71824965594549e-84
XM_027378597.1	1.84460823584651e-83
XM_027355864.1	1.88162863053874e-83
XM_027351847.1	2.22549478226936e-83
XM_027380586.1	2.37213630769614e-83
XM_027367438.1	3.79076171295001e-83
XM_027360141.1	4.72731971390066e-83
XM_027358234.1	6.86291222001379e-83
XM_027381942.1	1.6086421029956e-82
XM_027363969.1	2.45886955607062e-82
XM_027356709.1	2.95032527700691e-82
XM_027365313.1	3.19289609721595e-82
XM_027376807.1	7.66792815218075e-82
XM_027369155.1	1.83686124862101e-81
XM_027353471.1	2.62152261313841e-81
XM_027380981.1	2.75383744703895e-81
XM_027351558.1	3.18005361898774e-81
XM_027355865.1	6.39513819375664e-81
XM_027382187.1	6.39513819375664e-81
XM_027360593.1	7.17975355527252e-81
XM_027377992.1	7.34978449142376e-81
XM_027359754.1	1.19423965561256e-80
XM_027377963.1	1.70171838861333e-80
XM_027364872.1	5.67147814066918e-80
XM_027366679.1	5.87884214568792e-80
XM_027377619.1	6.72701800158879e-80
XM_027377569.1	8.37715598457574e-80
XM_027382188.1	1.23924290267599e-79
XM_027364525.1	2.06600971849624e-79
XM_027370939.1	4.19980892700442e-79
XM_027363955.1	5.64934320575006e-79
XM_027366957.1	6.73470511908215e-79
XM_027364873.1	7.02693020773233e-79
XM_027364536.1	7.14453594516171e-79
XM_027377989.1	7.14453594516171e-79
XM_027370937.1	3.68151916505768e-78
XR_003475964.1	5.54543439764301e-78
XM_027378289.1	8.98478244846907e-78
XM_027378762.1	4.45289397436171e-77
XM_027365311.1	1.10050202264673e-76
XM_027364871.1	1.16407289785777e-76
XM_027360739.1	2.04209449588467e-76
XM_027359900.1	2.20800776852366e-76
XM_027379161.1	2.91267001612029e-76
XM_027358237.1	2.93074114403418e-76
XM_027369766.1	4.1743509054905e-76
XM_027379757.1	6.14776964846366e-76
XM_027367729.1	6.35056980291818e-76
XM_027377990.1	6.72102446486294e-76
XR_003476759.1	8.36190598082575e-76
XM_027352296.1	8.41756542145899e-76
XM_027376808.1	1.28794544172622e-75
XM_027360743.1	1.33422628704859e-75
XM_027380569.1	1.33422628704859e-75
XM_027352295.1	2.30964869000477e-75
XM_027377389.1	3.62043849201978e-75
XM_027362059.1	5.49453881390621e-75
XM_027365310.1	5.80718292849236e-75
XM_027379160.1	1.7747163968051e-74
XM_027376654.1	2.25379229320784e-74
XM_027372254.1	2.98373427970428e-74
XM_027376410.1	3.72909266954501e-74
XM_027379742.1	4.078139140314e-74
XM_027375907.1	5.65258869493703e-74
XR_003476238.1	8.45224332787756e-74
XM_027371690.1	8.73903325665105e-74
XM_027366568.1	9.72465565118772e-74
XM_027363486.1	9.79878606573242e-74
XM_027369553.1	1.01104196723303e-73
XM_027354925.1	1.52989353342648e-73
XM_027378562.1	1.55657506152671e-73
XM_027352297.1	5.90686707847219e-73
XM_027362138.1	6.20576181140592e-73
XM_027369645.1	6.20576181140592e-73
XM_027350715.1	8.8130871127864e-73
XM_027374190.1	9.93860840273839e-73
XM_027380369.1	1.23565271186802e-72
XM_027364911.1	1.96481252995741e-72
XM_027352856.1	2.30327990333821e-72
XM_027380802.1	2.44962746046774e-72
XM_027379449.1	2.52161531984335e-72
XM_027366958.1	3.16258416704966e-72
XM_027375794.1	4.44053916175649e-72
XM_027359213.1	7.84148412172037e-72
XM_027366106.1	8.96367702902067e-72
