ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350607.1	2.18325787678423	2.30716841945027	2.50149472042066e-07	1.54255206255757e-06	6	33	14	26	26	44	35	1226	1806	1029	990	1178	0.644909818448948	3.06259782987517	1.6704534410326	1.23262928928809	1.62123341970994	2.33607940329066	4.59860301741742	6.41050506751809	8.11691993126389	7.82055841855823	11.6814766192749	9.3028577714511	Down_muscle_Up_gills
XM_027350614.1	2.27273367440799	2.26496952123736	0.000288203828036766	0.000986433910333437	16	14	0	59	25	43	114	785	983	1060	756	900	1.71975951586386	1.29928392782583	0	2.79712031030759	1.55887828818264	2.28298668957951	14.9783069710167	4.10460561011558	4.41801345095925	8.05616319112898	8.9204003274463	7.10744651469099	Down_muscle_Up_gills
XM_027350615.1	2.15958120833956	2.25627215344539	1.27274413909461e-06	7.0329056998564e-06	13	20	11	41	14	54	112	693	1026	1111	719	862	1.39730460663939	1.85611989689404	1.3124991322399	1.94376157156968	0.872971841382278	2.86700654040217	14.7155296557357	3.62355629020395	4.61127344932267	8.44377104277764	8.48381988814007	6.80735432851515	Down_muscle_Up_gills
XM_027350619.1	-2.81235236052205	6.74481206012913	1.81320726940558e-07	1.14609606939282e-06	2335	3501	2740	1555	1299	1311	113	5554	6559	3725	2615	3512	250.977404346382	324.913787951302	326.931602030665	73.7207132631917	80.9993158539699	69.6045476753194	14.8469183133762	29.0407382911872	29.4788913782723	28.3105734782599	30.8556175347514	27.7348357328831	Up_muscle_Down_gills
XM_027350629.1	5.15724862206505	-0.963798001424708	6.10949633963112e-11	6.26267646524796e-10	0	0	0	2	0	0	11	73	225	122	86	82	0	0	0	0.0948176376375456	0	0	1.44527523404547	0.381702177755971	1.01124417748304	0.927218782375222	1.01475453460368	0.64756734911629	Down_muscle_Up_gills
XM_027350640.1	2.89517194525249	4.74427636047479	2.91732508872207e-09	2.38684098930378e-08	38	60	42	144	91	202	115	5548	8056	6812	6846	8832	4.08442885017667	5.56835969068213	5.01136032309779	6.82686990990328	5.6743169689848	10.7247281696526	15.1096956286572	29.0093655094538	36.2070359724595	51.7722487339345	80.779180742986	69.7477417975009	Down_muscle_Up_gills
XM_027350642.1	3.01793691731077	3.81255733355223	0.000202505918571299	0.000720122856739467	22	4	8	49	78	140	69	4354	20008	853	918	1273	2.36466933431281	0.371223979378809	0.954544823447198	2.32303212211987	4.86370025912983	7.43297991956119	9.06581737719434	22.7661819445137	89.9243266803587	6.48293132267266	10.8319146833277	10.0530882368907	Down_muscle_Up_gills
XM_027350643.1	3.06773421301046	3.91863627481715	6.99369536022975e-05	0.000277433579825603	28	8	10	36	87	133	75	4530	21546	1033	1021	1379	3.00957915276176	0.742447958757618	1.193181029309	1.70671747747582	5.42489644287558	7.06133092358313	9.85414932303733	23.6864502086925	96.8367424357762	7.85095903437381	12.0472602305855	10.8901874930654	Down_muscle_Up_gills
XM_027350644.1	-7.21014747282799	7.31450304560447	1.56678662350639e-20	4.23781330327369e-19	3106	4158	2550	5483	3325	7657	3	103	213	285	516	317	333.848316017072	385.887326564272	304.261162473794	259.942553583331	207.330812328291	406.530908886286	0.394165972921493	0.538566086422809	0.957311154683947	2.16604387686015	6.08852720762208	2.50340060573005	Up_muscle_Down_gills
XM_027350645.1	-7.14942176445266	7.26903152343098	3.77338970158886e-18	8.3143879624106e-17	3059	4126	2411	5460	3164	7211	3	92	154	290	575	284	328.796522439222	382.917534729241	287.675946166399	258.852150750499	197.291636152395	382.851558571112	0.394165972921493	0.481049319911635	0.69214045925506	2.20404464662963	6.78469601624553	2.24279423352471	Up_muscle_Down_gills
XM_027350653.1	-8.00572158929703	3.79622029829743	2.69918436668211e-14	4.26145781820147e-13	354	411	451	245	113	341	0	1	0	12	10	47	38.0496792884879	38.1432638811726	53.8124644218358	11.6151606105993	7.04612986258553	18.1046153755026	0	0.00522879695556125	0	0.0912018474467432	0.117994713326009	0.371166651322752	Up_muscle_Down_gills
XM_027350660.1	-8.43265348986957	6.6133206782704	1.31266044778272e-23	4.55119967998393e-22	2484	3777	2291	2468	1286	1585	0	153	53	60	71	113	266.992664837865	350.52824252844	273.357773814691	117.004964844731	80.1886991441149	84.1519512321749	0	0.800005934200872	0.238204184029339	0.456009237233716	0.837762464614666	0.892379395733424	Up_muscle_Down_gills
