ID	logFC
XM_027370790.1	-11.8441120202101
XM_027365225.1	-14.8753574249019
XM_027373383.1	-13.0575020002739
XM_027365858.1	-14.5176945216789
XM_027355909.1	-13.2017126533378
XM_027373336.1	-11.7936350025422
XM_027360316.1	-14.1797939263929
XM_027360317.1	-13.6859636285641
XM_027356802.1	-11.0941715965981
XM_027361148.1	-13.0956291444181
XM_027367001.1	-12.1962412751071
XM_027361149.1	-13.4412383318058
XM_027354226.1	-14.3975071889967
XM_027354432.1	-9.49329270755278
XM_027361441.1	-11.6193509972527
XM_027375035.1	-15.9498858257781
XM_027355456.1	-12.0279596140065
XM_027383520.1	-12.7324499227104
XM_027375601.1	-11.1058217798602
XM_027375602.1	-11.6796348947977
XM_027383691.1	-9.97633508599103
XM_027375051.1	-13.9090350720661
XM_027356399.1	-12.5642400297025
XM_027383519.1	-11.9966415567303
XM_027356628.1	-12.6301284551753
XM_027360238.1	-10.1418028859986
XM_027356797.1	-10.2632658550799
XM_027365734.1	-15.2253769900424
XM_027373337.1	-11.6907329173918
XM_027356510.1	-11.4185217977138
XM_027365636.1	-14.7090404991767
XM_027363873.1	-10.4201446319686
XM_027363212.1	-7.07770491087181
XM_027383587.1	-12.5617246593932
XM_027371486.1	-12.5851720436134
XM_027375603.1	-11.5779311011568
XM_027365696.1	-8.94583048691135
XM_027371688.1	-13.4656517119054
XM_027356629.1	-9.03077053043942
XM_027373334.1	-9.96695147692431
XM_027368450.1	-12.3471645450614
XM_027373331.1	-10.0673289914389
XM_027359212.1	-14.4500240624167
XM_027360998.1	-11.0129048388008
XM_027365815.1	-14.2045101459132
XM_027370783.1	-12.230622993668
XM_027378454.1	-13.156930744954
XM_027373312.1	-9.94993902117554
XM_027353243.1	7.96968324417438
XM_027356931.1	-11.1230387173465
XM_027373341.1	-8.76902216430711
XM_027374280.1	-12.1792168232871
XM_027360995.1	-11.0055005540934
XM_027373332.1	-10.0060413729513
XM_027365705.1	-14.479909881451
XM_027366419.1	-14.8882266461658
XM_027365831.1	-14.6399051993623
XM_027383577.1	-11.2476390877911
XM_027356799.1	-11.5670986831427
XM_027371495.1	-12.2989586773269
XM_027356611.1	-11.0019269410782
XM_027363100.1	-14.8255327278868
XM_027369977.1	-12.9486451768172
XM_027356800.1	-10.1836983814019
XM_027373339.1	-9.94778433296646
XM_027365861.1	-6.49243840485169
XR_003476755.1	-12.2743983037417
XM_027383586.1	-11.5137746415284
XM_027360999.1	-10.311339023385
XM_027383692.1	-9.98034480786831
XM_027363211.1	-6.02873834791051
XM_027373344.1	-9.11053047303782
XM_027373338.1	-10.0858187559021
XM_027357480.1	-11.0944618061731
XM_027363524.1	13.913917832452
XM_027357358.1	-12.3145989774051
XM_027369732.1	-8.19495421521078
XM_027375615.1	-12.463407018113
XM_027373333.1	-10.0626147680234
XM_027360996.1	-10.3879602631771
XM_027359641.1	-12.3425335118537
XR_003476379.1	-14.9184136691437
XM_027365630.1	-14.9690010521121
XM_027365728.1	-14.8087739021224
XM_027380152.1	-12.6830155105305
XM_027380274.1	-10.2107962292619
XM_027359642.1	-13.6276740078019
XM_027373340.1	-9.87618503490777
XM_027359306.1	-7.4193056362024
XM_027373316.1	-9.13628992437662
XM_027356275.1	9.27563833608274
XM_027368018.1	-12.1925016456737
XM_027383345.1	12.4859147611122
XM_027365850.1	-14.6120928812693
XM_027371539.1	-14.7387340585717
XM_027373335.1	-10.0349687962294
XM_027359305.1	-7.33803196983699
XM_027366311.1	-8.85309724760976
XM_027354682.1	-13.2055368987545
XM_027365668.1	-15.226293539556
XM_027375142.1	-10.5576700564155
XM_027356798.1	-10.2881059658441
XM_027373988.1	-12.1270651757867
XM_027375613.1	-11.021097557073
XM_027365807.1	-13.9643360034793
XM_027367225.1	-13.929272956175
XM_027356801.1	-10.7134605105705
XM_027360043.1	-6.9601164208276
XM_027373343.1	-9.23817682662613
XM_027368031.1	-12.0508821402046
XM_027370602.1	-11.9891356900569
XM_027372676.1	-10.0830988947224
XM_027366304.1	-13.99334028037
XM_027353766.1	-11.003694975449
XM_027373317.1	-9.36701819659198
XM_027354321.1	-8.1864035801259
XM_027373315.1	-9.53354533277988
XM_027365647.1	-15.1958195857514
XM_027365226.1	-13.9271875997571
XM_027359643.1	-12.3799522974327
XM_027359304.1	-7.24153458540044
XM_027367206.1	-13.4102835037796
XM_027375614.1	-11.2900757431482
XM_027363208.1	-6.01333187024597
XM_027363209.1	-5.97018795561665
XM_027373330.1	-9.98570654346904
XM_027363213.1	-5.93717029713784
XM_027381865.1	-6.78304896742442
XM_027365860.1	-6.04285638012181
XM_027362461.1	-10.2325515850121
XM_027375632.1	-11.1970173037933
XM_027350813.1	-7.19700788662327
XM_027367205.1	-13.4296466053
XM_027362623.1	-13.3374508460019
XM_027375879.1	-8.73252972709138
XM_027371482.1	-13.0690007017581
XM_027359703.1	-14.6422122789844
XM_027363227.1	-5.09120137370796
XM_027365559.1	-7.99744187570182
XM_027367149.1	-12.725819444518
XM_027382986.1	-5.43271612538009
XM_027363219.1	-5.0937400707183
XM_027366115.1	-13.2493776804791
XM_027370784.1	-12.2987888659617
XM_027371440.1	-6.70744745839488
XM_027360239.1	-10.1341171890079
XM_027363215.1	-6.74471175056089
XM_027369777.1	8.88871080965533
XM_027363220.1	-5.27617308270873
XM_027365780.1	-14.4618055951176
XM_027363232.1	-4.96376088399076
XM_027362705.1	-11.0611134313096
XM_027371537.1	-12.6052546817616
XM_027369560.1	-13.0185889989533
XM_027363230.1	-5.0992758122183
XM_027373323.1	-9.10590554094977
XM_027360930.1	-11.01898703104
XM_027353808.1	-10.8858871577703
XM_027365681.1	-14.529499826545
XM_027371770.1	-10.0663082582519
XM_027375880.1	-10.4233030054414
XM_027366515.1	-7.18546779631285
XM_027370486.1	-10.6673856895597
XM_027370521.1	-13.1209137634189
XM_027377795.1	11.7420818558787
XM_027357062.1	-7.59624207561052
XM_027353827.1	8.14642055242688
XM_027381854.1	-7.03804728544585
XR_003476840.1	11.6186447093055
XM_027353767.1	-10.1314081752855
XM_027371500.1	-13.0786102062744
XM_027375373.1	-7.76714765998308
XM_027350736.1	-8.56249139647391
XM_027381851.1	-8.18383966338161
XM_027367241.1	-13.6140538863182
XM_027365772.1	-14.4850749486961
XM_027366461.1	-10.1698749363292
XM_027371555.1	-7.85978379204831
XM_027365370.1	-8.38028723409599
XM_027371557.1	-8.36632003350246
XM_027365171.1	6.96501532571286
XM_027355788.1	-8.84562984711149
XM_027360578.1	-11.4086938233004
XM_027370544.1	-8.80925943898681
XM_027373313.1	-8.93344230928554
XM_027383817.1	-8.43593956462996
XM_027350690.1	-11.2458876164025
XM_027363228.1	-4.92634994313379
XM_027354260.1	12.7805859371088
XM_027371268.1	-7.04137433536021
XM_027383576.1	-11.3154520301834
XM_027350702.1	-7.11493400146879
XM_027366518.1	-8.86460226612521
XM_027370495.1	-13.0316754954057
XM_027365560.1	-8.16058385676693
XM_027365662.1	-13.5038944974371
XM_027351034.1	-12.8258278331521
XM_027370131.1	-7.70097710790428
XM_027380481.1	-12.4687140075472
XM_027378347.1	11.0827553300266
XM_027382860.1	-7.4048820575509
XM_027365822.1	-14.1314919850982
XM_027373205.1	-13.0454058344337
XM_027363217.1	-5.11043107082276
