ID	FDR
XM_027370790.1	7.42095093956948e-71
XM_027365225.1	1.71277286690664e-70
XM_027373383.1	7.15936751030341e-67
XM_027365858.1	2.97274955384465e-64
XM_027355909.1	5.76317601548479e-64
XM_027373336.1	5.76317601548479e-64
XM_027360316.1	7.11146184395003e-64
XM_027360317.1	1.40039316443949e-63
XM_027356802.1	2.49273424611718e-62
XM_027361148.1	3.02205917972462e-61
XM_027367001.1	3.02205917972462e-61
XM_027361149.1	6.39953901098673e-61
XM_027354226.1	1.05359421170239e-60
XM_027354432.1	4.39693626473633e-59
XM_027361441.1	6.3948866555575e-59
XM_027375035.1	7.35541636466344e-59
XM_027355456.1	1.88074997097932e-57
XM_027383520.1	6.50716838353483e-57
XM_027375601.1	3.62662517692309e-56
XM_027375602.1	3.84711085038385e-56
XM_027383691.1	7.3974038103779e-56
XM_027375051.1	1.59962515703571e-55
XM_027356399.1	9.76009767430484e-55
XM_027383519.1	1.34172243469902e-54
XM_027356628.1	5.73352690811598e-53
XM_027360238.1	6.94774306106798e-53
XM_027356797.1	5.4646466819427e-52
XM_027365734.1	1.05200689123555e-51
XM_027373337.1	1.89781957211498e-51
XM_027356510.1	1.08474009066692e-50
XM_027365636.1	1.08474009066692e-50
XM_027363873.1	2.24858798324113e-50
XM_027363212.1	9.31400701339524e-49
XM_027383587.1	1.00416603058218e-48
XM_027371486.1	1.48182102059595e-48
XM_027375603.1	2.45493969266845e-48
XM_027365696.1	3.36419946818078e-48
XM_027371688.1	5.89259099516332e-48
XM_027356629.1	6.47852685741667e-48
XM_027373334.1	8.48772370654271e-48
XM_027368450.1	8.80258614433685e-48
XM_027373331.1	8.86275126635467e-48
XM_027359212.1	2.45324100154083e-47
XM_027360998.1	1.67324064753956e-46
XM_027365815.1	2.72811899139309e-46
XM_027370783.1	6.72275595147294e-46
XM_027378454.1	8.16598028969216e-46
XM_027373312.1	9.59962371804422e-46
XM_027353243.1	1.51688614803705e-45
XM_027356931.1	1.66854590773215e-45
XM_027373341.1	1.66854590773215e-45
XM_027374280.1	1.94417047702514e-45
XM_027360995.1	3.89142709941738e-45
XM_027373332.1	3.89142709941738e-45
XM_027365705.1	4.8846900014577e-45
XM_027366419.1	4.8846900014577e-45
XM_027365831.1	1.25867308365726e-44
XM_027383577.1	1.30956731500817e-44
XM_027356799.1	2.25765359206379e-44
XM_027371495.1	3.03215772407864e-44
XM_027356611.1	3.04991327232092e-44
XM_027363100.1	4.56423988047435e-44
XM_027369977.1	5.37839495455842e-44
XM_027356800.1	7.54917080668371e-44
XM_027373339.1	1.41016610896136e-43
XM_027365861.1	1.74143235998621e-43
XR_003476755.1	2.55853885339334e-43
XM_027383586.1	3.55956888469588e-43
XM_027360999.1	3.90170985570869e-43
XM_027383692.1	6.24606254785688e-43
XM_027363211.1	7.99414025990446e-43
XM_027373344.1	7.99414025990446e-43
XM_027373338.1	8.02983078189853e-43
XM_027357480.1	1.28247397430006e-42
XM_027363524.1	2.62651448292821e-42
XM_027357358.1	2.69603818639777e-42
XM_027369732.1	3.87711333968668e-42
XM_027375615.1	4.49532978744345e-42
XM_027373333.1	5.7639418764492e-42
XM_027360996.1	8.72942936623859e-42
