ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027350598.1	-7.51793741726214	4.16069649297917	1.68935707293358e-05	4.54556401646993e-05	9	277	285	3395	499	317	27	34	0	0	0	0	0.765697594338631	19.8056372433524	25.8904887566376	128.406217676965	24.4531205346212	14.1268506767293	0.358701457210361	0.811047994023026	0	0	0	0	Up_muscle_Down_hemocytes
XM_027350614.1	4.470373316535	3.93728530213846	5.65845989873256e-15	3.80911685029356e-14	16	14	0	59	25	43	1985	874	1279	4793	5273	3877	1.36124016771312	1.00100693648712	0	2.23150717023296	1.22510623920948	1.91626050189072	26.3711997245395	20.8487043169448	28.478628040087	34.6684979303281	33.4055339397087	31.0036339192866	Down_muscle_Up_hemocytes
XM_027350615.1	4.36136403018342	3.90868375830071	3.08514386990629e-33	7.43513862583631e-32	13	20	11	41	14	54	1810	807	1302	4636	5377	3858	1.10600763626691	1.43000990926732	0.999282022186011	1.55070837253477	0.686059493957309	2.406466676793	24.0462828722501	19.2504626816642	28.9907534856867	33.5328930534115	34.0643952197636	30.851694521694	Down_muscle_Up_hemocytes
XM_027350616.1	3.94115682236817	3.76730635565055	2.65856587321504e-28	4.47065275683743e-27	18	10	13	71	28	50	1646	769	1234	3917	4593	3413	1.53139518867726	0.71500495463366	1.18096966258347	2.68537303536509	1.37211898791462	2.22820988591945	21.8675036506761	18.3439972765796	27.4766434726093	28.3322567062581	29.0975948008879	27.2931138938677	Down_muscle_Up_hemocytes
XM_027350640.1	6.61436885448489	7.97277724934402	4.70957020962079e-57	3.93910914853054e-55	38	60	42	144	91	202	32820	20919	29776	65325	71847	57186	3.23294539831867	4.29002972780196	3.81544044834659	5.44639038158554	4.45938671072251	9.00196793911456	436.021549097927	499.009205499049	663.0020551381	472.505659774397	455.165446039494	457.305599512077	Down_muscle_Up_hemocytes
XM_027350644.1	-10.2406289080394	6.97106906309538	1.86307165162476e-45	8.66971924576074e-44	3106	4158	2550	5483	3325	7657	22	23	11	14	5	11	264.25074755731	297.299060136676	231.651741506757	207.378878209955	162.939129814861	341.228061929704	0.292275261430664	0.548650113603812	0.244929560938981	0.101264129151803	0.0316760230795645	0.0879649143957061	Up_muscle_Down_hemocytes
XM_027350645.1	-10.26862391719	6.92468136137619	5.52550092773384e-33	1.29981315022445e-31	3059	4126	2411	5460	3164	7211	26	25	4	10	16	2	260.252104564653	295.011044281848	219.024450499134	206.508968635118	155.049445634352	321.352429747303	0.345416218054421	0.596358819134578	0.0890652948869022	0.0723315208227167	0.101363273854606	0.0159936207992193	Up_muscle_Down_hemocytes
XM_027350647.1	-1.63428707502491	3.60247267278617	1.07269319134087e-09	4.54394398198911e-09	234	389	171	456	276	367	529	223	200	832	1002	789	19.9081374528044	27.8136927352494	15.5342932539825	17.2469028750209	13.5251728808727	16.3550605626487	7.02789151349188	5.31952066668044	4.45326474434511	6.01798253245003	6.34787502514472	6.30948340529201	Up_muscle_Down_hemocytes
XM_027350648.1	-1.66455436848167	3.65156613219445	1.54506544446631e-11	7.80584385820585e-11	204	375	202	444	338	424	516	210	232	869	1075	750	17.3558121383423	26.8126857987622	18.3504516801431	16.7930370098887	16.5634363541122	18.8952198325969	6.85518340446467	5.00941408073045	5.16578710344033	6.28560915949408	6.81034496210636	5.99760779970724	Up_muscle_Down_hemocytes
XM_027350649.1	-1.6081109546063	3.43675167621249	2.99317637735932e-09	1.2249337416395e-08	220	334	153	354	248	358	478	166	213	705	866	802	18.7170523060554	23.8811654847642	13.8991044904054	13.3890430213978	12.153053892958	15.9539827831832	6.35034431653898	3.9598225590536	4.74272695272754	5.09937221800153	5.48628719738057	6.41344194048694	Up_muscle_Down_hemocytes
XM_027350653.1	-10.5395344364591	3.43317399432957	9.40918988240919e-34	2.37026383711005e-32	354	411	451	245	113	341	0	2	0	5	0	0	30.1174387106528	29.3867036354434	40.9705629096265	9.26642807978095	5.53748020122685	15.1963914219706	0	0.0477087055307662	0	0.0361657604113583	0	0	Up_muscle_Down_hemocytes
XM_027350660.1	-7.53457198408639	6.2615303588751	1.8819753596723e-18	1.59811802771907e-17	2484	3777	2291	2468	1286	1585	94	91	44	23	37	23	211.332536037462	270.057371365133	208.123192075286	93.3450795955077	63.0194649449357	70.6342533836464	1.24881248065829	2.17074610164986	0.979718243755924	0.166362497892248	0.234402570788777	0.183926639191022	Up_muscle_Down_hemocytes
