ID	logFC
XM_027363227.1	-10.5910010720576
XM_027370793.1	-13.7262497670327
XM_027363219.1	-10.3642513976248
XM_027363230.1	-10.9757980297276
XM_027363228.1	-10.7154769501588
XM_027363226.1	-10.0969403453374
XM_027373383.1	-12.6936873410164
XM_027363224.1	-10.5305788325144
XM_027363225.1	-10.3746374955696
XM_027363223.1	-10.3461938137804
XM_027363221.1	-10.3432430572053
XM_027363220.1	-10.1311795960749
XM_027363218.1	-10.2234400471427
XM_027363229.1	-9.80863788727063
XM_027363208.1	-10.9354250171122
XM_027363215.1	-11.7633597198339
XM_027377318.1	-9.60144288153099
XM_027363213.1	-10.6077454053037
XM_027368031.1	-13.1982589383222
XM_027357523.1	-10.9672032079557
XM_027362706.1	-15.2596288959897
XM_027361148.1	-12.1648093001524
XM_027356628.1	-9.86491466917516
XM_027370370.1	-11.4249219033569
XM_027367001.1	-13.041941115881
XM_027363211.1	-11.1663693913538
XM_027380973.1	-10.6755432320724
XM_027357062.1	-10.5132455486764
XM_027382986.1	-10.3203740156756
XM_027383519.1	-13.2168852208206
XM_027354936.1	-7.30751930424059
XM_027363209.1	-10.9591331995733
XM_027376200.1	-10.5090308166724
XM_027381154.1	-11.6226237710026
XM_027363212.1	-12.487958108591
XM_027378454.1	-15.1295764862526
XM_027361149.1	-10.864603522698
XM_027370783.1	-14.9615736974691
XM_027350702.1	-9.10173773650827
XM_027360317.1	-11.3160361500635
XM_027354938.1	-7.26557496166045
XM_027368030.1	-12.6244786902379
XM_027371495.1	-13.5079865029574
XM_027369977.1	-11.9081333913335
XM_027354940.1	-7.33000760498339
XM_027363216.1	-10.1637438346835
XM_027381155.1	-11.6412935807855
XM_027375035.1	-14.2109630316569
XM_027383520.1	-11.3180799103021
XM_027373118.1	-8.81757136828044
XM_027355456.1	-9.35024544830381
XM_027356630.1	-10.5344933817269
XM_027381156.1	-11.5428867848561
XR_003476289.1	-9.12066280645235
XM_027377145.1	-10.4736325929575
XM_027352461.1	-8.53609330890862
XM_027377764.1	-9.23447851431375
XM_027359305.1	-8.73886389983732
XM_027363217.1	-10.170567337634
XR_003476216.1	-5.73318826518302
XM_027367942.1	-9.75531158962954
