ID	FDR
XM_027363227.1	3.15994962103597e-119
XM_027370793.1	3.19348715692952e-114
XM_027363219.1	2.66985894414041e-113
XM_027363230.1	6.49653917417601e-113
XM_027363228.1	7.84564128601043e-113
XM_027363226.1	1.18816387477035e-112
XM_027373383.1	2.12342679583421e-112
XM_027363224.1	9.79917855891294e-112
XM_027363225.1	9.79917855891294e-112
XM_027363223.1	4.47120353541587e-111
XM_027363221.1	3.76906396715292e-110
XM_027363220.1	1.04698756230738e-108
XM_027363218.1	4.07692670240811e-107
XM_027363229.1	6.16521001554393e-107
XM_027363208.1	1.9247813169654e-104
XM_027363215.1	2.75112434412447e-101
XM_027377318.1	1.37098608406323e-99
XM_027363213.1	1.58702405048181e-98
XM_027368031.1	2.71722736044631e-98
XM_027357523.1	5.76825142931336e-98
XM_027362706.1	1.24973768472244e-97
XM_027361148.1	4.06153074118593e-97
XM_027356628.1	8.90973694061259e-97
XM_027370370.1	1.16021874025777e-96
XM_027367001.1	3.17444430866172e-96
XM_027363211.1	6.4711237334057e-96
XM_027380973.1	7.93144223167895e-96
XM_027357062.1	4.08477297802912e-93
XM_027382986.1	1.38496073752391e-92
XM_027383519.1	1.6987121143159e-92
XM_027354936.1	2.82744038665128e-92
XM_027363209.1	3.35601499873985e-92
XM_027376200.1	7.81671066345153e-91
XM_027381154.1	1.27582107285233e-90
XM_027363212.1	3.14637104971597e-90
XM_027378454.1	1.58187548960095e-89
XM_027361149.1	3.43177952687433e-88
XM_027370783.1	7.81717083803264e-88
XM_027350702.1	3.00985214428178e-86
XM_027360317.1	1.49147539751902e-85
XM_027354938.1	1.85233374411162e-84
XM_027368030.1	1.85233374411162e-84
XM_027371495.1	3.5433305808172e-84
XM_027369977.1	4.23806023677701e-84
XM_027354940.1	9.57327510593813e-83
XM_027363216.1	1.56810942540765e-82
XM_027381155.1	1.1302442133646e-81
XM_027375035.1	2.92653689108427e-81
XM_027383520.1	5.58402853382209e-81
XM_027373118.1	9.53470446742036e-81
XM_027355456.1	1.92029979968634e-80
XM_027356630.1	2.19454120825362e-79
XM_027381156.1	3.16389527100778e-79
XR_003476289.1	6.22425378742984e-78
XM_027377145.1	1.78589373507644e-77
XM_027352461.1	6.03399843954847e-77
XM_027377764.1	6.03399843954847e-77
XM_027359305.1	2.07590460089487e-76
XM_027363217.1	5.60189472247529e-76
XR_003476216.1	8.02361955251489e-75
XM_027367942.1	8.87017030984028e-75
XM_027359306.1	1.63800740274351e-74
XM_027368928.1	4.7892831218772e-74
XM_027369485.1	8.51534245047311e-74
XM_027363232.1	1.9177138798611e-73
XM_027354937.1	5.65031195410933e-73
XM_027383691.1	7.50523263966841e-73
XM_027356399.1	8.44414544163821e-73
XM_027363872.1	1.06287880077844e-72
XM_027363214.1	4.25724666790703e-72
XM_027354939.1	4.35343150999171e-72
XM_027369484.1	9.72504823504169e-72
XR_003476288.1	3.4267653104118e-71
XM_027363210.1	3.75748311570345e-71
XM_027352535.1	9.4365535189234e-71
XM_027383586.1	3.68063022095806e-70
XM_027350813.1	5.64715946368688e-70
XM_027368790.1	5.9216925941644e-70
XM_027378527.1	6.98055464631489e-70
XM_027375602.1	9.83766148806051e-70
XM_027357845.1	1.8695541915881e-69
XM_027366310.1	9.07064045789253e-69
XR_003476287.1	3.53925820206364e-68
XM_027362705.1	3.75042550773934e-68
XM_027380303.1	4.82154622607038e-68
XM_027369512.1	1.20926246152004e-67
XM_027383576.1	1.90139469486535e-67
XM_027352824.1	2.36712439456678e-67
XM_027356931.1	2.94882473693831e-67
XM_027355187.1	1.02778634998343e-66
XM_027371440.1	1.60224405239401e-66
XM_027359304.1	1.6126074028633e-66
XM_027356510.1	1.93465977434333e-66
XM_027353739.1	6.70447380160396e-66
XM_027355579.1	9.18053128642101e-66
XM_027360928.1	9.3158408555491e-66
XM_027381061.1	1.87967847323441e-65
XM_027383587.1	3.52297321751039e-65
XM_027357961.1	4.3265687522638e-65
XM_027363007.1	6.99775684205904e-65
XR_003476212.1	2.02703903193408e-64
XM_027371486.1	2.2762885377253e-64
XM_027351285.1	2.73695724585554e-64
XM_027367438.1	2.7711553255136e-64
XM_027353560.1	3.60705818270346e-64
XM_027360998.1	1.13573249398255e-63
XM_027362035.1	1.57690574765538e-63
XM_027362996.1	1.43435078516715e-62
XM_027377153.1	2.90372624037702e-62
XM_027365696.1	3.5726774723368e-62
XM_027373933.1	6.7956618013913e-62
XM_027353008.1	7.10678038566481e-62
XR_003477628.1	1.40102500867626e-61
XM_027355828.1	1.77400101048832e-61
XM_027372710.1	2.17329271906025e-61
XM_027363871.1	2.35362600709257e-61
XM_027360999.1	4.05268844814337e-61
XM_027355580.1	5.7918846006965e-61
XM_027363135.1	1.14679276398892e-60
XM_027368450.1	1.27951546944231e-60
XM_027375601.1	1.47043330263391e-60
XM_027360995.1	2.316576483189e-60
XM_027376169.1	2.43291860477648e-60
XM_027371558.1	5.90285751679073e-60
XM_027377083.1	7.4055915916222e-60
XM_027375315.1	1.03510087632531e-59
XM_027383692.1	1.36355590436503e-59
XM_027366308.1	6.94130281238652e-59
XM_027353808.1	1.12471509145704e-58
XM_027376054.1	1.39937957628444e-58
XM_027356629.1	1.61030127248881e-58
XM_027375603.1	2.83638620345823e-58
XM_027355389.1	4.11277794603199e-58
XR_003476755.1	6.59373592681368e-58
XM_027366311.1	1.09015960424273e-57
XM_027356176.1	1.30979096679926e-57
XM_027382639.1	1.51628476975994e-57
XM_027360996.1	1.90144343426899e-57
XM_027374038.1	2.22822149960685e-57
XM_027353453.1	2.46224428056609e-57
XM_027363100.1	3.28699805716407e-57
XM_027366306.1	6.12046001199577e-57
XM_027356229.1	9.79022481880658e-57
XM_027360728.1	1.07446823826956e-56
XM_027376719.1	1.67626586852887e-56
XM_027355807.1	2.57362092443508e-56
XM_027365505.1	3.12641107740238e-56
XM_027380297.1	3.77417626401999e-56
XM_027366313.1	5.46132706304304e-56
XM_027351952.1	6.92381055626517e-56
XM_027376198.1	1.25069634150102e-55
XM_027374280.1	1.40473969154811e-55
XM_027350640.1	3.93910914853054e-55
XM_027372777.1	9.34140741724689e-55
XM_027375142.1	1.31691444271233e-54
XM_027352359.1	1.39217876504275e-54
XM_027366305.1	1.57615001556236e-54
XM_027360316.1	1.9559868269531e-54
XM_027372779.1	3.08395451656878e-54
XM_027382193.1	3.61633475697232e-54
XM_027361039.1	3.9336782336538e-54
XM_027375339.1	1.01321367864145e-53
XM_027366769.1	1.13013000115286e-53
XM_027378916.1	1.28201588697813e-53
XM_027374148.1	2.3420556119049e-53
XM_027375113.1	2.672460424983e-53
XM_027379522.1	5.87746531183704e-53
XM_027371313.1	8.05730064687783e-53
XM_027381553.1	8.14847854297403e-53
XM_027370381.1	1.31866543388976e-52
XM_027357480.1	1.5977910352872e-52
XM_027375118.1	1.91534563909406e-52
XM_027369741.1	1.97550413955679e-52
XM_027370862.1	3.25354934917599e-52
XM_027375615.1	1.26883596380127e-51
XM_027365370.1	1.30878197285592e-51
XM_027374841.1	1.38717233015549e-51
XM_027364463.1	2.22198316186419e-51
XM_027356905.1	2.25671013121815e-51
XM_027353766.1	2.55051837713787e-51
XM_027368018.1	2.77389787374864e-51
XM_027377239.1	3.03135383169259e-51
XM_027380289.1	3.40663870838507e-51
XM_027371539.1	6.46093029587902e-51
XM_027369855.1	7.67799046586193e-51
XM_027352823.1	1.31821185745706e-50
XM_027354274.1	1.46976698939368e-50
XM_027352825.1	2.45497697700539e-50
XM_027380274.1	2.54407010094421e-50
XM_027360018.1	3.8671989894625e-50
XM_027371314.1	4.31672533815739e-50
XM_027366307.1	5.49414635019768e-50
XM_027364372.1	8.23104549343429e-50
XM_027357870.1	8.36480269117784e-50
XM_027364373.1	1.01738883575962e-49
XM_027371767.1	2.6296240190118e-49
