ID	FDR
XR_003476289.1	4.13501985967662e-69
XR_003476288.1	8.97205671928056e-65
XR_003476287.1	6.45986328500422e-64
XM_027356510.1	7.08371155898958e-61
XM_027370962.1	9.79056767805738e-60
XM_027365696.1	3.22343333469284e-59
XM_027365885.1	9.21519576038974e-59
XM_027378597.1	6.46837400474738e-57
XM_027365884.1	6.69387253504481e-55
XM_027378454.1	1.15815036123302e-53
XM_027363969.1	5.82783709169078e-52
XM_027363970.1	4.16083297127139e-48
XM_027359641.1	6.03865772381871e-48
XM_027358234.1	6.40253977565462e-48
XM_027357358.1	8.95797196013233e-48
XM_027367648.1	9.99597369240277e-48
XM_027352569.1	5.23772030051423e-47
XM_027367223.1	1.12700576268252e-46
XM_027358460.1	1.53114408890527e-46
XM_027380253.1	1.57526277699842e-46
XM_027359642.1	4.12100500037955e-46
XM_027356093.1	4.78137531983447e-46
XM_027363486.1	4.78137531983447e-46
XM_027367225.1	9.74803401928277e-46
XM_027354682.1	1.32754436427427e-45
XR_003476575.1	1.32754436427427e-45
XM_027352296.1	3.64358673293781e-45
XM_027367241.1	1.12581365869981e-44
XM_027362705.1	1.21547458074384e-44
XM_027372150.1	1.41002551674435e-44
XM_027367206.1	1.41140074380225e-44
XM_027355864.1	1.70150498177204e-44
XM_027362059.1	2.16476093597156e-44
XM_027378519.1	4.40644007670106e-44
XM_027378230.1	4.47013825318211e-44
XM_027381145.1	6.09836923943344e-44
XM_027369645.1	1.05455606720472e-43
XM_027374288.1	1.75909578188138e-43
XM_027367224.1	1.04323560992264e-42
XM_027359643.1	1.04614529968962e-42
XM_027352295.1	3.45171526566436e-42
XM_027372253.1	3.45171526566436e-42
XM_027355338.1	6.78265818548396e-42
XM_027377153.1	7.89645531185956e-42
XM_027371495.1	3.06234021063505e-41
XM_027360996.1	8.97127660805119e-41
XM_027371539.1	2.99354801112111e-40
XM_027368558.1	3.04366439186648e-40
XM_027369773.1	4.37343880263857e-40
XM_027371253.1	5.37721139224536e-40
XM_027382405.1	6.31075805251754e-39
XM_027378603.1	6.74180423286809e-39
XM_027379160.1	9.40808822828439e-39
XM_027379161.1	9.40808822828439e-39
XR_003476507.1	1.10764708617673e-38
XM_027362910.1	1.4234808130147e-38
XM_027375602.1	2.07894551625751e-38
XM_027367222.1	2.08505941821536e-38
XM_027383256.1	4.80620712999884e-38
XM_027358029.1	8.50983212853787e-38
XM_027378054.1	1.0174080488023e-37
XM_027377147.1	1.6181241050597e-37
XM_027357752.1	2.91029807389189e-37
XM_027374995.1	3.40689126900514e-37
XM_027367205.1	3.45795213131134e-37
XM_027355469.1	4.16456173832149e-37
XM_027362057.1	4.16456173832149e-37
XM_027377569.1	6.19921319347754e-37
XM_027367243.1	7.15823505124851e-37
XR_003477680.1	9.85994916961769e-37
XM_027361474.1	7.68149989262041e-36
XM_027360999.1	7.82627790085881e-36
XM_027366514.1	8.14776597000783e-36
XM_027351358.1	1.04892438287374e-35
XM_027371500.1	1.35259478286257e-35
XM_027352581.1	1.37585882345603e-35
XM_027364536.1	2.43030363521894e-35
XM_027352297.1	2.69113902675569e-35
XM_027371493.1	2.77455123844445e-35
XR_003476719.1	2.77455123844445e-35
XR_003476211.1	3.46927740697949e-35
XM_027377990.1	4.39614278013881e-35
XM_027371537.1	4.59177464081084e-35
XM_027369774.1	4.63112874064337e-35
XM_027371482.1	4.6676085398146e-35
XM_027361345.1	5.30254221070063e-35
XM_027353713.1	5.86149026399587e-35
XM_027360995.1	6.3418724657227e-35
XM_027380095.1	9.11780943473577e-35
XM_027381845.1	1.56661364344115e-34
XM_027381486.1	1.89740932445427e-34
XM_027381944.1	2.43930878236387e-34
XM_027367879.1	2.48005826577327e-34
XM_027352315.1	2.62009056741307e-34
XM_027360217.1	2.62144040238323e-34
XM_027383414.1	2.98672224757298e-34
XM_027355865.1	3.61633946049514e-34
XM_027375601.1	3.87300691681424e-34
XM_027380873.1	4.34384833120197e-34
XM_027367234.1	4.77981892345882e-34
XM_027356290.1	5.38115223888972e-34
XM_027362058.1	8.83186073741847e-34
XM_027378050.1	1.24358535585538e-33
XM_027359091.1	1.71854944230334e-33
XR_003475003.1	1.77762738285251e-33
XM_027366516.1	1.81187961358933e-33
XM_027370131.1	2.80853584841824e-33
XM_027379373.1	3.58821961399906e-33
XR_003476748.1	3.88175571617041e-33
XM_027373758.1	4.06646344507269e-33
XM_027366682.1	5.73477256451876e-33
XM_027378226.1	6.79941826792305e-33
XM_027381890.1	9.83252170397282e-33
XM_027352582.1	1.26951856154142e-32
XM_027372637.1	1.3495133135329e-32
XM_027367822.1	1.38448406192666e-32
XM_027373341.1	1.48697731507381e-32
XM_027356692.1	1.73495184486917e-32
XM_027378386.1	2.01783571357412e-32
XR_003475025.1	2.01783571357412e-32
XM_027366515.1	2.39165552517109e-32
XM_027354240.1	2.66639475330065e-32
XM_027372584.1	2.77236059792898e-32
XM_027365249.1	2.96848526711048e-32
XM_027351567.1	3.12230069885418e-32
XM_027377992.1	3.97714181212964e-32
XM_027366419.1	4.08118179369718e-32
XM_027375613.1	4.62040001525771e-32
XM_027365593.1	5.78705950231609e-32
XM_027355352.1	5.89637102423146e-32
XM_027372639.1	6.52855979331821e-32
XM_027367184.1	7.35816674109141e-32
XM_027377619.1	1.07209861639758e-31
XM_027379514.1	1.08444251540285e-31
XM_027373824.1	1.27314492485684e-31
XM_027372307.1	1.65844577863652e-31
XM_027363470.1	1.94274258833506e-31
XR_003476604.1	1.94274258833506e-31
XM_027378234.1	2.49994617232335e-31
XM_027364396.1	2.57779999929353e-31
XM_027382407.1	2.94961955893066e-31
XM_027383824.1	3.00239954631439e-31
XM_027374373.1	3.57514462460922e-31
XM_027359597.1	4.24712197230978e-31
XM_027383641.1	4.40699902225335e-31
XM_027361473.1	4.42040085426492e-31
XM_027380544.1	4.78518176274282e-31
XM_027350630.1	6.88325960215462e-31
XM_027352317.1	6.98103553694949e-31
XM_027376680.1	8.51809101018587e-31
XM_027354203.1	1.17721756886362e-30
XM_027370874.1	1.22200006890355e-30
XM_027382253.1	1.22200006890355e-30
XM_027374536.1	1.2716851288674e-30
XM_027352584.1	1.45907753207844e-30
XM_027376858.1	1.55017344361247e-30
XM_027381055.1	1.79969895173144e-30
XM_027367209.1	1.86185890119503e-30
XM_027378055.1	1.86185890119503e-30
XM_027369796.1	2.09922773861872e-30
XM_027382423.1	2.21482206147616e-30
XM_027350765.1	2.50085450807622e-30
XM_027360680.1	2.52747728495507e-30
XM_027369669.1	2.84201578265201e-30
XM_027366513.1	3.01795145554189e-30
XM_027366409.1	4.3593353135978e-30
XM_027378231.1	6.20401377712255e-30
XM_027356693.1	8.28745912200765e-30
XM_027366081.1	9.12238920717851e-30
XM_027362075.1	9.72528683367971e-30
XM_027366916.1	1.03299768947782e-29
XM_027351791.1	1.18991579216177e-29
XM_027357580.1	1.18991579216177e-29
XM_027378911.1	1.36467134889093e-29
XM_027374527.1	1.38856693929064e-29
XM_027352583.1	1.38934041441089e-29
XM_027358147.1	1.5617725268622e-29
XM_027378341.1	2.28707856626821e-29
XM_027356413.1	2.87609630678926e-29
XM_027360950.1	2.92350339146815e-29
XM_027358146.1	2.94231358935862e-29
XM_027372718.1	2.94231358935862e-29
XM_027359959.1	3.54534550180709e-29
XM_027363126.1	3.54534550180709e-29
XM_027367643.1	4.00940988723997e-29
XM_027359900.1	4.29908261733029e-29
XM_027368385.1	4.30736908433229e-29
XM_027378388.1	4.44227129101027e-29
XM_027366220.1	5.83809160479219e-29
XM_027353363.1	6.33405087599578e-29
XM_027375920.1	7.16178626005575e-29
XM_027363415.1	7.37876758443755e-29
XM_027380874.1	7.42409739635711e-29
XM_027367201.1	7.58074185624824e-29
XM_027369649.1	7.63971604261796e-29
XM_027371783.1	8.76669254347191e-29
XM_027365592.1	9.91356984490507e-29
XM_027359148.1	1.03134369954759e-28
XM_027367963.1	1.11399396388326e-28
XM_027380506.1	1.30353346319831e-28
XM_027378053.1	1.32886346387683e-28
XM_027367191.1	1.45090296315205e-28
XM_027359429.1	1.54262501787339e-28
XM_027374304.1	1.55616104636332e-28
XM_027353954.1	1.70903283441671e-28
XM_027382406.1	1.83146565493697e-28
XM_027353421.1	1.87975101927489e-28
XM_027355466.1	2.03876160445967e-28
XM_027368999.1	2.08743514767005e-28
XM_027383413.1	2.08743514767005e-28
XM_027362428.1	2.09547632435811e-28
XM_027364397.1	2.84986829105172e-28
XM_027378233.1	3.55309643256779e-28
XM_027356631.1	3.93948165586971e-28
