ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027375663.1	16.2606358870521	2.16788197627632	39.7046315361271	2.2795777440715e-15	3.87596603824476e-11	19.8272985960278	0	0	0	0	0	0	3887	139492	82576	72842	32032	51251	0	0	0	0	0	0	1152.13880876959	1878.60689537355	999.705847148673	1544.38005034206	1075.33023652673	1147.92711530688	Down_hemocytes_Up_gills
XM_027373625.1	14.4504391690413	1.25225896996846	37.6384632175535	4.65972549984258e-15	3.96146563369117e-11	19.7571286877065	0	0	0	0	0	0	1322	26034	33769	18151	10360	12062	0	0	0	0	0	0	391.851686440288	350.612593655228	408.824195315389	384.83350668239	347.790373701827	270.166374604039	Down_hemocytes_Up_gills
XM_027383495.1	13.2069831506423	1.02020635753224	32.3815245726695	3.47344583499843e-14	1.96863331774928e-10	18.9667752544401	0	0	0	2	0	0	727	14703	20502	8500	6140	6687	0	0	0	0.0380022580718026	0	0	215.488786718676	198.012482312085	248.207339641568	180.215129017702	206.122866267299	149.776367681745	Down_hemocytes_Up_gills
XM_027350808.1	16.1379658383639	2.07908958580234	30.1452328873046	9.00960949721402e-14	3.35769439414881e-10	18.3336589637358	0	0	0	0	0	0	6086	117809	128653	53686	26760	19305	0	0	0	0	0	0	1803.94051715249	1586.59134385529	1557.53677040809	1138.23875487581	898.346563731747	432.396108583235	Down_hemocytes_Up_gills
XM_027357077.1	9.5065316895963	2.9614427641094	29.7916819853819	1.05408132074993e-13	3.35769439414881e-10	18.8055105747914	9	4	7	10	23	7	746	14419	19639	9120	7152	7521	0.326308226848921	0.283399860210628	0.426372721704295	0.190011290359013	0.383729790453861	0.148408010943152	221.120543180374	194.187715599398	237.75943533415	193.360232546052	240.096211652072	168.456417127921	Down_hemocytes_Up_gills
XM_027381617.1	9.35484453455715	3.7170862416142	29.5308716912677	1.18485951684367e-13	3.35769439414881e-10	18.9898404581485	10	12	6	30	34	19	912	17362	29317	18024	12085	18646	0.362564696498801	0.850199580631883	0.365462332889396	0.570033871077039	0.567252733714403	0.402821743988557	270.32431016153	233.822534034035	354.926084102616	382.140880637067	405.699485153145	417.635733781041	Down_hemocytes_Up_gills
XM_027355389.1	13.6750837133786	1.26323117872447	28.5999490235389	1.81378584875984e-13	3.67116023026404e-10	18.1311530950831	2	0	0	0	0	0	756	23401	26341	12274	8197	12316	0.0725129392997601	0	0	0	0	0	224.084625528637	315.152696632326	318.897158008903	260.230646301562	275.177383516784	275.855502373018	Down_hemocytes_Up_gills
XM_027359377.1	11.7977169484918	-0.0899450447174045	28.4519559481326	1.94321249616987e-13	3.67116023026404e-10	18.1797016524033	0	0	0	0	0	0	113	3909	5915	2552	1822	3061	0	0	0	0	0	0	33.494130535365	52.6444122531415	71.6099119100514	54.1069422650796	61.1654498923484	68.5607090584451	Down_hemocytes_Up_gills
XM_027365793.1	11.4069034549511	-0.267615743120495	28.9893202862684	1.51544594376409e-13	3.67116023026404e-10	18.3159577382465	0	0	0	0	0	0	143	2412	4820	1980	1379	1870	0	0	0	0	0	0	42.3863775801522	32.4835820809867	58.3533009985541	41.9795241711824	46.2937186616622	41.884523338547	Down_hemocytes_Up_gills
XM_027377795.1	14.707044052902	1.41573031420391	28.1462741511331	2.24300755584405e-13	3.81378574720163e-10	17.9805162831551	0	0	0	0	0	0	970	74734	48600	22336	11067	11789	0	0	0	0	0	0	287.515987781452	1006.47927995044	588.375607578782	473.562955498753	371.52471677202	264.051682159428	Down_hemocytes_Up_gills
