ID	adj.P.Val
XM_027375663.1	3.87596603824476e-11
XM_027373625.1	3.96146563369117e-11
XM_027383495.1	1.96863331774928e-10
XM_027350808.1	3.35769439414881e-10
XM_027357077.1	3.35769439414881e-10
XM_027381617.1	3.35769439414881e-10
XM_027355389.1	3.67116023026404e-10
XM_027359377.1	3.67116023026404e-10
XM_027365793.1	3.67116023026404e-10
XM_027377795.1	3.81378574720163e-10
XM_027377449.1	5.46604454343128e-10
XM_027383346.1	5.46604454343128e-10
XM_027377056.1	6.4089834172559e-10
XM_027366562.1	7.03771996663921e-10
XM_027369777.1	7.03771996663921e-10
XR_003477329.1	7.03771996663921e-10
XM_027374863.1	7.25170423712281e-10
XM_027353933.1	8.68484557773583e-10
XM_027367923.1	1.02107187919388e-09
XM_027382967.1	1.02107187919388e-09
XM_027383345.1	1.02107187919388e-09
XM_027367438.1	1.35349358092378e-09
XM_027373392.1	1.41156740022323e-09
XM_027378347.1	1.41156740022323e-09
XR_003476964.1	1.41156740022323e-09
XR_003477328.1	1.41156740022323e-09
XM_027353827.1	1.45863171325588e-09
XM_027377871.1	1.49780027427257e-09
XM_027377198.1	1.59802815630696e-09
XM_027352991.1	1.64406528221762e-09
XM_027372020.1	1.64406528221762e-09
XM_027365496.1	1.66923830506482e-09
XM_027373414.1	1.66923830506482e-09
XM_027357013.1	1.77353870524057e-09
XM_027357851.1	1.77353870524057e-09
XM_027382226.1	1.77353870524057e-09
XM_027351560.1	1.95211942120142e-09
XM_027352034.1	1.95211942120142e-09
XM_027352808.1	1.95211942120142e-09
XM_027358787.1	1.95211942120142e-09
XM_027363473.1	1.95211942120142e-09
XM_027373391.1	1.95211942120142e-09
XM_027382966.1	1.95211942120142e-09
XM_027353243.1	1.98180261225164e-09
XM_027358623.1	1.98180261225164e-09
XM_027366023.1	1.98180261225164e-09
XM_027370319.1	1.98180261225164e-09
XR_003475884.1	2.00741089955812e-09
XM_027370320.1	2.06643894337582e-09
XM_027379274.1	2.06643894337582e-09
XM_027373805.1	2.07368280129734e-09
XM_027382986.1	2.07368280129734e-09
XM_027357867.1	2.19895276847817e-09
