ID	logFC
XM_027357077.1	10.2618615766067
XM_027351217.1	-8.16945533409982
XM_027352012.1	-7.67997129494339
XM_027356113.1	8.74965928411639
XM_027357980.1	7.68764947913618
XM_027360238.1	-7.02918920832068
XM_027365793.1	10.3982601374499
XM_027366326.1	-7.56671972064835
XM_027369931.1	9.9246863321327
XM_027373391.1	9.59314340093089
XM_027380251.1	-9.37646756895922
XM_027364294.1	-5.36747805121965
XM_027366647.1	8.07715441854211
XM_027358803.1	-7.89129246875908
XM_027369548.1	-9.07492273314148
XM_027378793.1	8.34219075141087
XM_027380873.1	-8.08574741702907
XM_027363970.1	-6.49735748764011
XM_027359032.1	-7.54937563526517
XM_027379583.1	8.06211601144004
XM_027353827.1	10.1294984953426
XM_027355618.1	-6.29924297388642
XM_027360739.1	-9.22608688879867
XM_027360881.1	-6.91464783165697
XM_027366120.1	9.28417101867169
XM_027366620.1	5.03609360085539
XM_027371372.1	8.06480326989341
XM_027375725.1	-6.87534043935697
XM_027376604.1	8.35067369910196
XM_027378341.1	-9.73751302930801
XM_027379274.1	10.4307208285335
XR_003475884.1	10.4957127125584
XM_027365171.1	7.5013766772762
XM_027368547.1	-7.67844432023028
XM_027373392.1	8.74185631779558
XM_027362998.1	9.66327330682466
XM_027377089.1	8.83801803961943
XM_027373083.1	10.3891308664078
XM_027377056.1	10.284657761445
XM_027381869.1	-7.97950810752091
XM_027383349.1	9.34000546428775
XM_027367228.1	-9.55060656692571
XM_027372438.1	7.40298673274624
XM_027374193.1	9.24716106158051
XM_027355338.1	-10.0018113646016
XM_027360613.1	-4.70837778998886
XM_027364508.1	9.00377783444952
XM_027366648.1	7.68506419007707
XM_027367145.1	-8.10059577852899
XM_027367600.1	10.3020944535089
XM_027369693.1	7.55472285021206
XM_027373014.1	-5.98933947537806
XM_027374995.1	-6.76365323322852
XM_027378439.1	10.207843784016
XM_027378792.1	8.44143574076205
XM_027383256.1	-7.51580830881083
XM_027351706.1	8.27066705011702
XM_027353471.1	-9.77439815618483
XM_027358234.1	-10.2438405671054
XM_027359900.1	-11.3899917802682
XM_027360936.1	-6.28960917297172
XM_027364872.1	-10.2323297707986
XM_027365162.1	-10.7831013872072
XM_027366040.1	-7.95724535556847
XM_027368104.1	6.46507885622908
XM_027370516.1	9.57595628886265
XM_027372020.1	8.78914251655717
XM_027382688.1	-7.18833737662608
XR_003475024.1	-10.6010946550671
XM_027352295.1	-9.97663300379976
XM_027365314.1	-11.0980848678611
XM_027369773.1	-10.1564794407699
XM_027363524.1	10.7730551956377
XM_027351560.1	6.1230693665114
XM_027352527.1	7.34952894814643
XM_027360743.1	-8.87280840838403
XM_027376188.1	-9.13105964684612
XM_027382226.1	8.80545269798125
XR_003475978.1	8.20503006034391
XM_027383312.1	-4.64006926968269
XM_027373044.1	9.48590031202991
XR_003476759.1	-7.90191688238964
XM_027351847.1	-11.266982714659
XM_027361823.1	-9.71797813362954
XM_027364406.1	-10.746770913728
XM_027372562.1	-10.6787383337479
XM_027380421.1	-8.75308252903288
XM_027361969.1	10.4037913102686
XM_027364536.1	-9.17265011139627
XM_027380441.1	-10.6961615560229
XM_027361824.1	-10.9812037064142
XM_027352991.1	10.4630154721717
XM_027353933.1	10.704898916812
