ID	adj.P.Val
XM_027357077.1	2.2942675895049e-08
XM_027351217.1	3.85233064474836e-08
XM_027352012.1	3.85233064474836e-08
XM_027356113.1	3.85233064474836e-08
XM_027357980.1	3.85233064474836e-08
XM_027360238.1	3.85233064474836e-08
XM_027365793.1	3.85233064474836e-08
XM_027366326.1	3.85233064474836e-08
XM_027369931.1	3.85233064474836e-08
XM_027373391.1	3.85233064474836e-08
XM_027380251.1	3.85233064474836e-08
XM_027364294.1	4.08562854136691e-08
XM_027366647.1	4.48823271576472e-08
XM_027358803.1	4.48995781509237e-08
XM_027369548.1	4.48995781509237e-08
XM_027378793.1	4.48995781509237e-08
XM_027380873.1	4.48995781509237e-08
XM_027363970.1	4.96022152121078e-08
XM_027359032.1	5.73150007341475e-08
XM_027379583.1	5.73150007341475e-08
XM_027353827.1	6.09873797237408e-08
XM_027355618.1	6.09873797237408e-08
XM_027360739.1	6.09873797237408e-08
XM_027360881.1	6.09873797237408e-08
XM_027366120.1	6.09873797237408e-08
XM_027366620.1	6.09873797237408e-08
XM_027371372.1	6.09873797237408e-08
XM_027375725.1	6.09873797237408e-08
XM_027376604.1	6.09873797237408e-08
XM_027378341.1	6.09873797237408e-08
XM_027379274.1	6.09873797237408e-08
XR_003475884.1	6.09873797237408e-08
XM_027365171.1	6.59335723701243e-08
XM_027368547.1	6.66173069829112e-08
XM_027373392.1	6.66173069829112e-08
XM_027362998.1	6.791594386057e-08
XM_027377089.1	6.791594386057e-08
XM_027373083.1	7.26841352052605e-08
XM_027377056.1	7.26841352052605e-08
XM_027381869.1	7.26841352052605e-08
XM_027383349.1	7.26841352052605e-08
XM_027367228.1	7.72760668710135e-08
XM_027372438.1	7.72760668710135e-08
XM_027374193.1	7.72760668710135e-08
XM_027355338.1	7.75171279362854e-08
XM_027360613.1	7.75171279362854e-08
XM_027364508.1	7.75171279362854e-08
XM_027366648.1	7.75171279362854e-08
XM_027367145.1	7.75171279362854e-08
XM_027367600.1	7.75171279362854e-08
XM_027369693.1	7.75171279362854e-08
XM_027373014.1	7.75171279362854e-08
XM_027374995.1	7.75171279362854e-08
XM_027378439.1	7.75171279362854e-08
XM_027378792.1	7.75171279362854e-08
XM_027383256.1	7.75171279362854e-08
XM_027351706.1	7.77780838267779e-08
XM_027353471.1	7.77780838267779e-08
XM_027358234.1	7.77780838267779e-08
XM_027359900.1	7.77780838267779e-08
XM_027360936.1	7.77780838267779e-08
XM_027364872.1	7.77780838267779e-08
XM_027365162.1	7.77780838267779e-08
XM_027366040.1	7.77780838267779e-08
XM_027368104.1	7.77780838267779e-08
XM_027370516.1	7.77780838267779e-08
XM_027372020.1	7.77780838267779e-08
XM_027382688.1	7.77780838267779e-08
XR_003475024.1	7.77780838267779e-08
XM_027352295.1	8.04735670966438e-08
XM_027365314.1	8.04735670966438e-08
XM_027369773.1	8.0685392364417e-08
XM_027363524.1	8.26761583684933e-08
XM_027351560.1	8.93432171175218e-08
XM_027352527.1	8.93432171175218e-08
XM_027360743.1	8.93432171175218e-08
XM_027376188.1	8.93432171175218e-08
XM_027382226.1	8.93432171175218e-08
XR_003475978.1	9.19377503822519e-08
XM_027383312.1	9.37313339722209e-08
XM_027373044.1	9.7524873349825e-08
XR_003476759.1	9.7524873349825e-08
XM_027351847.1	9.87752726175171e-08
XM_027361823.1	9.87752726175171e-08
XM_027364406.1	9.87752726175171e-08
XM_027372562.1	9.87752726175171e-08
XM_027380421.1	1.01780770307798e-07
XM_027361969.1	1.02288822634608e-07
XM_027364536.1	1.02288822634608e-07
XM_027380441.1	1.02288822634608e-07
XM_027361824.1	1.03090950601508e-07
XM_027352991.1	1.03992213610907e-07
XM_027353933.1	1.03992213610907e-07
XM_027360388.1	1.03992213610907e-07
XM_027360855.1	1.03992213610907e-07
XM_027362906.1	1.03992213610907e-07
XM_027363070.1	1.03992213610907e-07
XM_027364291.1	1.03992213610907e-07
XM_027364871.1	1.03992213610907e-07
XM_027369645.1	1.03992213610907e-07
XM_027371251.1	1.03992213610907e-07
XM_027371564.1	1.03992213610907e-07
XM_027372482.1	1.03992213610907e-07
XM_027374288.1	1.03992213610907e-07
XM_027376740.1	1.03992213610907e-07
XM_027376741.1	1.03992213610907e-07
XM_027378226.1	1.03992213610907e-07
XM_027378230.1	1.03992213610907e-07
XM_027380833.1	1.03992213610907e-07
XM_027381944.1	1.03992213610907e-07
XM_027382603.1	1.03992213610907e-07
XM_027382967.1	1.03992213610907e-07
XM_027354213.1	1.04977764724346e-07
XM_027358641.1	1.04977764724346e-07
XM_027362138.1	1.04977764724346e-07
XM_027368084.1	1.04977764724346e-07
XM_027375944.1	1.04977764724346e-07
XR_003477531.1	1.08211493422017e-07
XM_027351567.1	1.08410631309406e-07
XM_027357825.1	1.08410631309406e-07
XM_027367556.1	1.08410631309406e-07
XM_027369417.1	1.08410631309406e-07
XM_027373642.1	1.08410631309406e-07
XM_027382409.1	1.08589631928301e-07
XM_027374392.1	1.10324898777962e-07
XM_027369930.1	1.10501272485444e-07
XM_027358198.1	1.12152702376512e-07
XM_027364873.1	1.12152702376512e-07
XM_027369246.1	1.12152702376512e-07
XM_027372909.1	1.12152702376512e-07
XM_027377449.1	1.12152702376512e-07
XM_027381890.1	1.12152702376512e-07
XR_003477847.1	1.12152702376512e-07
XM_027375794.1	1.13279300783935e-07
XM_027369416.1	1.1439936121233e-07
XM_027375329.1	1.1439936121233e-07
XR_003477669.1	1.15853324481457e-07
XM_027351250.1	1.16422939841438e-07
XM_027352868.1	1.16422939841438e-07
XM_027354240.1	1.16422939841438e-07
XM_027358623.1	1.16422939841438e-07
XM_027362539.1	1.16422939841438e-07
XM_027363991.1	1.16422939841438e-07
XM_027364298.1	1.16422939841438e-07
XM_027367016.1	1.16422939841438e-07
XM_027378603.1	1.16422939841438e-07
XM_027380532.1	1.16422939841438e-07
XM_027380544.1	1.16422939841438e-07
XM_027381339.1	1.16422939841438e-07
XR_003476190.1	1.16422939841438e-07
XR_003476238.1	1.16422939841438e-07
XM_027375239.1	1.16758817202952e-07
XM_027375771.1	1.16758817202952e-07
XM_027362890.1	1.17635868892446e-07
XM_027378442.1	1.17635868892446e-07
XM_027380586.1	1.17635868892446e-07
XR_003476985.1	1.17635868892446e-07
XM_027375237.1	1.1781884556184e-07
XM_027383117.1	1.1781884556184e-07
XM_027353240.1	1.18051984221124e-07
XM_027373824.1	1.1848621097271e-07
XM_027365794.1	1.18851864627559e-07
XM_027364297.1	1.1987674301767e-07
XM_027382408.1	1.1987674301767e-07
XM_027362687.1	1.20049732946401e-07
XM_027365833.1	1.20049732946401e-07
XM_027371447.1	1.20049732946401e-07
XM_027359213.1	1.21442164707122e-07
XM_027360239.1	1.21442164707122e-07
XM_027382602.1	1.21442164707122e-07
XM_027351614.1	1.22897051357724e-07
XM_027355671.1	1.23417006076107e-07
XM_027354471.1	1.25851087202833e-07
XM_027375194.1	1.25851087202833e-07
XM_027364078.1	1.26999981773743e-07
XM_027382895.1	1.29242064528008e-07
XM_027366644.1	1.2933659493188e-07
XM_027371602.1	1.30337359320854e-07
XM_027369596.1	1.30912121605095e-07
XM_027374772.1	1.30912121605095e-07
XM_027376160.1	1.30912121605095e-07
XM_027382410.1	1.30912121605095e-07
XR_003475003.1	1.30912121605095e-07
XM_027354916.1	1.32433439255384e-07
XM_027364119.1	1.32433439255384e-07
XM_027378319.1	1.32433439255384e-07
XM_027351791.1	1.34244089727427e-07
XM_027366577.1	1.34244089727427e-07
XM_027378597.1	1.34244089727427e-07
XM_027358239.1	1.35720288255906e-07
XM_027377569.1	1.36494751617594e-07
XM_027359091.1	1.36967990569077e-07
XM_027353344.1	1.37652495957903e-07
XM_027353713.1	1.37652495957903e-07
XM_027354951.1	1.37652495957903e-07
XR_003476192.1	1.37652495957903e-07
XM_027363969.1	1.38023061621401e-07
XM_027352590.1	1.38170387009342e-07
XM_027355865.1	1.38170387009342e-07
XM_027357173.1	1.38170387009342e-07
XM_027366023.1	1.38170387009342e-07
XM_027366645.1	1.38170387009342e-07
XM_027372638.1	1.38170387009342e-07
XM_027376737.1	1.38170387009342e-07
XM_027378386.1	1.38170387009342e-07
XM_027379383.1	1.38170387009342e-07
XM_027380876.1	1.39703943717237e-07
XM_027369553.1	1.4106024104429e-07
XM_027378590.1	1.41690114264398e-07
XM_027354952.1	1.41771693355847e-07
XM_027355434.1	1.41771693355847e-07
XM_027358621.1	1.41771693355847e-07
XM_027362754.1	1.41771693355847e-07
XM_027371450.1	1.41771693355847e-07
XM_027379576.1	1.41771693355847e-07
XM_027376738.1	1.4287090680712e-07
XM_027352808.1	1.43295250310781e-07
XM_027360950.1	1.43295250310781e-07
XM_027364955.1	1.43295250310781e-07
XM_027366537.1	1.43295250310781e-07
XM_027369774.1	1.43295250310781e-07
XM_027371565.1	1.43295250310781e-07
XM_027375340.1	1.43295250310781e-07
XM_027377198.1	1.43295250310781e-07
XM_027374374.1	1.44734468775333e-07
XM_027378562.1	1.44734468775333e-07
XM_027351265.1	1.44999672375338e-07
XM_027352581.1	1.4610829903662e-07
XM_027359377.1	1.4610829903662e-07
XM_027368839.1	1.4610829903662e-07
XR_003476288.1	1.4610829903662e-07
XM_027374911.1	1.46272154127965e-07
XM_027372640.1	1.46560645732811e-07
XM_027378234.1	1.46560645732811e-07
XM_027352568.1	1.47432153773016e-07
XM_027356246.1	1.47432153773016e-07
XM_027372089.1	1.47432153773016e-07
XM_027374599.1	1.47432153773016e-07
XM_027358296.1	1.47450258794046e-07
XM_027352022.1	1.4884488631823e-07
XM_027362057.1	1.4884488631823e-07
XM_027376739.1	1.4884488631823e-07
XM_027352297.1	1.49922371601043e-07
XM_027359031.1	1.49922371601043e-07
XM_027364525.1	1.49922371601043e-07
XM_027382682.1	1.49922371601043e-07
XR_003476748.1	1.50796453011663e-07
XR_003476964.1	1.50796453011663e-07
XM_027351587.1	1.52301520115382e-07
XM_027352569.1	1.52301520115382e-07
XM_027373625.1	1.52301520115382e-07
XM_027380186.1	1.53480419573178e-07
XM_027372898.1	1.54366675513891e-07
XM_027366654.1	1.54625494308375e-07
XM_027363799.1	1.55458048566545e-07
XM_027372788.1	1.5646623526176e-07
XM_027378347.1	1.56608443134061e-07
XM_027358358.1	1.57357781886266e-07
XM_027362059.1	1.57357781886266e-07
XM_027354222.1	1.5856278071407e-07
XM_027359231.1	1.5856278071407e-07
XM_027365477.1	1.5856278071407e-07
XM_027365593.1	1.58929075746397e-07
XM_027377734.1	1.58929075746397e-07
XM_027375238.1	1.60836714667641e-07
XM_027378388.1	1.60836714667641e-07
XM_027383641.1	1.60836714667641e-07
XM_027351615.1	1.64291669057571e-07
XM_027358149.1	1.67528672167675e-07
XM_027360499.1	1.67528672167675e-07
XM_027361614.1	1.67528672167675e-07
XM_027364396.1	1.67528672167675e-07
XM_027374261.1	1.67528672167675e-07
XM_027380855.1	1.67528672167675e-07
XM_027383790.1	1.67528672167675e-07
XM_027354257.1	1.7088294180866e-07
XM_027371252.1	1.7088294180866e-07
XR_003476555.1	1.7088294180866e-07
XM_027353684.1	1.71571739235904e-07
XM_027359256.1	1.71571739235904e-07
XM_027363321.1	1.71571739235904e-07
XM_027367065.1	1.71571739235904e-07
XM_027371250.1	1.71571739235904e-07
XM_027372585.1	1.71571739235904e-07
XM_027379949.1	1.71571739235904e-07
XR_003475964.1	1.71571739235904e-07
XM_027351115.1	1.73100301819007e-07
XM_027355619.1	1.73100301819007e-07
XM_027367709.1	1.73100301819007e-07
XM_027379161.1	1.73100301819007e-07
XM_027370320.1	1.74322566795479e-07
XM_027379298.1	1.76030453491816e-07
XM_027352582.1	1.79310205083784e-07
XM_027354162.1	1.79310205083784e-07
XM_027358195.1	1.79310205083784e-07
XM_027358232.1	1.79310205083784e-07
XM_027367013.1	1.79310205083784e-07
XM_027369306.1	1.79310205083784e-07
XM_027373801.1	1.79310205083784e-07
XM_027377252.1	1.79310205083784e-07
XM_027379160.1	1.79310205083784e-07
XM_027381966.1	1.79310205083784e-07
XM_027383830.1	1.79310205083784e-07
XR_003476211.1	1.79310205083784e-07
XR_003476289.1	1.79310205083784e-07
XM_027356029.1	1.79746613880701e-07
XM_027378153.1	1.80800670585415e-07
XM_027356973.1	1.82303229595215e-07
XM_027360198.1	1.82303229595215e-07
XM_027360302.1	1.82303229595215e-07
XM_027362099.1	1.82303229595215e-07
XM_027363303.1	1.82303229595215e-07
XM_027363588.1	1.82303229595215e-07
XM_027364292.1	1.82303229595215e-07
XM_027365519.1	1.82303229595215e-07
XM_027365739.1	1.82303229595215e-07
XM_027368786.1	1.82303229595215e-07
XM_027371550.1	1.82303229595215e-07
XM_027374289.1	1.82303229595215e-07
XM_027375907.1	1.82303229595215e-07
XM_027378231.1	1.82303229595215e-07
XM_027380885.1	1.82303229595215e-07
XM_027370939.1	1.82646393980931e-07
XM_027382966.1	1.82831099355412e-07
XM_027356093.1	1.83511045826636e-07
XM_027371898.1	1.83511045826636e-07
XM_027380431.1	1.83511045826636e-07
XM_027374190.1	1.83597802672434e-07
XM_027381145.1	1.83597802672434e-07
XM_027350765.1	1.83694432931315e-07
XM_027372150.1	1.85995898293617e-07
XM_027377245.1	1.85995898293617e-07
XM_027350887.1	1.86113112519436e-07
XM_027351555.1	1.86113112519436e-07
XM_027355571.1	1.86113112519436e-07
XM_027361798.1	1.86113112519436e-07
XM_027365464.1	1.86113112519436e-07
XM_027382405.1	1.86113112519436e-07
XM_027360856.1	1.86201179063923e-07
XM_027356268.1	1.86338434204552e-07
XM_027357868.1	1.86338434204552e-07
XM_027374373.1	1.86338434204552e-07
XM_027357843.1	1.86632754052725e-07
XM_027350888.1	1.88038992480654e-07
XM_027365310.1	1.88038992480654e-07
XM_027371603.1	1.88038992480654e-07
XM_027375195.1	1.88038992480654e-07
XM_027372109.1	1.88419757721233e-07
XM_027357622.1	1.8880528749427e-07
XM_027363320.1	1.8880528749427e-07
XM_027364033.1	1.8880528749427e-07
XM_027367963.1	1.8880528749427e-07
XM_027375029.1	1.8880528749427e-07
XM_027376410.1	1.8880528749427e-07
XM_027354220.1	1.90995382091778e-07
XM_027365380.1	1.93813344016502e-07
XM_027381741.1	1.93927852877984e-07
XM_027358301.1	1.94335323986575e-07
XM_027363949.1	1.94335323986575e-07
XM_027352296.1	1.94389434389337e-07
XM_027369958.1	1.95042625334434e-07
XM_027379525.1	1.98440765371425e-07
XM_027374285.1	2.00533674848448e-07
XM_027380569.1	2.00533674848448e-07
XM_027382680.1	2.00533674848448e-07
XM_027358460.1	2.01552002458419e-07
XM_027355864.1	2.02582817489094e-07
XM_027361907.1	2.0337424460166e-07
XM_027377329.1	2.0337424460166e-07
XM_027367631.1	2.06517806918963e-07
XM_027374915.1	2.06517806918963e-07
XM_027357656.1	2.06771225099621e-07
XM_027369992.1	2.06939168102323e-07
XM_027373415.1	2.06939168102323e-07
XM_027360144.1	2.08260973963134e-07
