ID	logFC
XM_027357115.1	-17.6956992185307
XM_027363322.1	-17.2196176580611
XM_027350706.1	-16.4067535326209
XM_027350707.1	-15.5477098330133
XM_027353045.1	-15.239057439977
XM_027358238.1	-16.829252387459
XM_027362713.1	-15.5288271255081
XM_027371819.1	-15.1181101721215
XM_027374911.1	-14.0161239561213
XM_027382185.1	-13.6907261143173
XM_027383260.1	-19.783267616649
XM_027352559.1	-18.0748267817086
XM_027358237.1	-15.5221477541181
XM_027360302.1	-11.6657699692844
XM_027365027.1	-13.7908870814579
XM_027367729.1	-16.2350089965466
XM_027371447.1	-12.7922220918567
XM_027371448.1	-12.8203972552043
XM_027371450.1	-12.9193968840417
XM_027371655.1	-17.5771553661524
XM_027371933.1	-14.7673994103748
XM_027376677.1	9.64378164233769
XM_027378174.1	-14.7540063452325
XM_027379504.1	-14.7029714940694
XM_027380431.1	-12.91705732776
XM_027380802.1	-17.0684441963129
XM_027380855.1	-13.1474537981929
XM_027382197.1	-14.4867405013981
XM_027383830.1	-13.7820521724615
XM_027366577.1	-13.1084562897111
XM_027359754.1	-15.0137985164429
XM_027360388.1	-13.5219234909235
XM_027363949.1	-13.1798878548816
XM_027367228.1	-7.50638427411727
XM_027375919.1	-13.74417593708
XM_027383256.1	-13.2745435628157
XR_003475559.1	-19.3012445113929
XM_027363951.1	-13.9146297490595
XM_027358581.1	-16.5666194057535
XM_027360141.1	-14.0810973015543
XM_027358583.1	-16.424358222419
XM_027364911.1	-16.2077439303434
XM_027366326.1	-10.4699827931298
XM_027351847.1	-14.0210705969917
XM_027358232.1	-11.8386906044924
XM_027365162.1	-12.8645310739902
XM_027350715.1	-15.2395675011622
XM_027372150.1	-11.0241470779869
XM_027375190.1	-15.9967651683064
XM_027376806.1	-13.6147445433711
XM_027377991.1	-11.6143922233615
XM_027352868.1	-10.8468277110787
XM_027376436.1	-18.1740667648337
XM_027357490.1	-17.1639880679891
XM_027367616.1	-18.2476357173302
XM_027363970.1	-10.6453365617798
XM_027368484.1	-15.2708357020003
XM_027377792.1	-14.8468348905094
XM_027379449.1	-14.3880859807607
XM_027366568.1	-14.6865344627031
XM_027360593.1	-13.9817155226947
XM_027377569.1	-13.3253952262649
XM_027376807.1	-13.586714151157
XM_027382895.1	-11.0822912136556
XM_027367438.1	-7.95898720547195
XM_027383261.1	-20.1072605470025
XM_027365313.1	-13.2984256029844
XM_027368483.1	-15.3238412210369
XR_003476748.1	-11.4918282008463
XM_027381942.1	-12.1692628434689
XM_027355864.1	-11.1835846500455
XM_027359213.1	-15.3157683141761
XM_027369766.1	-13.7443623573721
