ID	adj.P.Val
XM_027357115.1	5.64272937679562e-11
XM_027363322.1	5.64272937679562e-11
XM_027350706.1	7.69672539023111e-11
XM_027350707.1	7.69672539023111e-11
XM_027353045.1	7.69672539023111e-11
XM_027358238.1	7.69672539023111e-11
XM_027362713.1	7.69672539023111e-11
XM_027371819.1	7.69672539023111e-11
XM_027374911.1	7.69672539023111e-11
XM_027382185.1	7.69672539023111e-11
XM_027383260.1	7.69672539023111e-11
XM_027352559.1	7.8112328286887e-11
XM_027358237.1	7.8112328286887e-11
XM_027360302.1	7.8112328286887e-11
XM_027365027.1	7.8112328286887e-11
XM_027367729.1	7.8112328286887e-11
XM_027371447.1	7.8112328286887e-11
XM_027371448.1	7.8112328286887e-11
XM_027371450.1	7.8112328286887e-11
XM_027371655.1	7.8112328286887e-11
XM_027371933.1	7.8112328286887e-11
XM_027376677.1	7.8112328286887e-11
XM_027378174.1	7.8112328286887e-11
XM_027379504.1	7.8112328286887e-11
XM_027380431.1	7.8112328286887e-11
XM_027380802.1	7.8112328286887e-11
XM_027380855.1	7.8112328286887e-11
XM_027382197.1	7.8112328286887e-11
XM_027383830.1	7.8112328286887e-11
XM_027366577.1	8.42514100955736e-11
XM_027359754.1	8.46640083553282e-11
XM_027360388.1	8.46640083553282e-11
XM_027363949.1	8.46640083553282e-11
XM_027367228.1	8.46640083553282e-11
XM_027375919.1	8.46640083553282e-11
XM_027383256.1	8.46640083553282e-11
XR_003475559.1	8.46640083553282e-11
XM_027363951.1	8.66831281703334e-11
XM_027358581.1	9.01240195480633e-11
XM_027360141.1	9.01240195480633e-11
XM_027358583.1	9.09668857550584e-11
XM_027364911.1	9.15181213665400e-11
XM_027366326.1	9.25485589183752e-11
XM_027351847.1	9.49737635310508e-11
XM_027358232.1	9.49737635310508e-11
XM_027365162.1	9.49737635310508e-11
XM_027350715.1	9.79018143892583e-11
XM_027372150.1	9.79018143892583e-11
XM_027375190.1	9.79018143892583e-11
XM_027376806.1	1.01897646193024e-10
XM_027377991.1	1.06770239695521e-10
XM_027352868.1	1.12804801763189e-10
XM_027376436.1	1.13893131837363e-10
XM_027357490.1	1.15799156079145e-10
XM_027367616.1	1.18503623005159e-10
XM_027363970.1	1.19736557761764e-10
XM_027368484.1	1.19736557761764e-10
XM_027377792.1	1.19736557761764e-10
XM_027379449.1	1.19736557761764e-10
XM_027366568.1	1.20381154979405e-10
XM_027360593.1	1.22425896118367e-10
XM_027377569.1	1.22425896118367e-10
XM_027376807.1	1.23143921877066e-10
XM_027382895.1	1.23143921877066e-10
XM_027367438.1	1.24667090384325e-10
XM_027383261.1	1.24667090384325e-10
XM_027365313.1	1.33216725243525e-10
XM_027368483.1	1.33216725243525e-10
XR_003476748.1	1.33216725243525e-10
XM_027381942.1	1.35597279322314e-10
XM_027355864.1	1.37604084976056e-10
XM_027359213.1	1.37604084976056e-10
XM_027369766.1	1.37604084976056e-10
XM_027371690.1	1.37604084976056e-10
XM_027364871.1	1.37690572086455e-10
XM_027358234.1	1.40325508310072e-10
XM_027365310.1	1.40325508310072e-10
XM_027372128.1	1.40325508310072e-10
XM_027378597.1	1.40325508310072e-10
XM_027363969.1	1.43543578487081e-10
XM_027364912.1	1.51351850215296e-10
XM_027351668.1	1.51522203611817e-10
XM_027355570.1	1.54159677574772e-10
XM_027356882.1	1.54159677574772e-10
XM_027380981.1	1.54220523394923e-10
XM_027353914.1	1.55180488481355e-10
XM_027377992.1	1.55180488481355e-10
XM_027364525.1	1.70162039664025e-10
XM_027382187.1	1.70162039664025e-10
XM_027378289.1	1.71134956745118e-10
XM_027351558.1	1.71379749993209e-10
XM_027379757.1	1.80042543264628e-10
XM_027355865.1	1.850134430198e-10
XM_027352495.1	1.86616225040531e-10
XM_027365311.1	1.86616225040531e-10
XM_027366679.1	1.86616225040531e-10
XM_027376808.1	1.86616225040531e-10
XM_027377963.1	1.86616225040531e-10
XM_027364536.1	1.88137032224992e-10
XM_027366957.1	1.88137032224992e-10
XM_027383356.1	1.89270067408039e-10
XM_027359731.1	1.96709311333892e-10
XM_027380586.1	1.97815841341085e-10
XM_027359900.1	2.01807895492295e-10
XM_027350712.1	2.05643796729876e-10
XM_027381768.1	2.06917582321636e-10
XR_003476759.1	2.08422730798225e-10
XM_027350967.1	2.08832675865598e-10
XM_027352295.1	2.08832675865598e-10
XM_027363955.1	2.08832675865598e-10
XM_027366106.1	2.08832675865598e-10
XM_027370939.1	2.08832675865598e-10
XM_027352296.1	2.14300116659281e-10
XM_027379161.1	2.14300116659281e-10
XR_003475964.1	2.14300116659281e-10
XM_027354925.1	2.16134973885819e-10
XM_027364873.1	2.16134973885819e-10
XM_027379160.1	2.16134973885819e-10
XM_027380569.1	2.16134973885819e-10
XM_027355618.1	2.18010000509284e-10
XM_027378762.1	2.22507637817186e-10
XM_027370937.1	2.25772237385671e-10
XM_027380833.1	2.30109159786567e-10
XM_027376430.1	2.30345389304986e-10
XM_027380485.1	2.30345389304986e-10
XM_027360286.1	2.43423606000051e-10
XM_027369645.1	2.43423606000051e-10
XM_027362059.1	2.50227555234588e-10
XM_027375907.1	2.52296195206549e-10
XM_027362138.1	2.53577235629007e-10
XM_027369553.1	2.53577235629007e-10
XM_027364872.1	2.55651500864703e-10
XM_027378172.1	2.55651500864703e-10
XM_027377990.1	2.59793349523335e-10
XM_027352297.1	2.69006745645434e-10
XM_027377389.1	2.71472412379158e-10
XM_027381774.1	2.7213951603949e-10
XM_027382382.1	2.7213951603949e-10
XM_027380441.1	2.72220837119841e-10
XM_027361741.1	2.79809432867552e-10
XM_027369155.1	2.81678485297167e-10
XM_027372496.1	2.81678485297167e-10
XR_003477658.1	2.81678485297167e-10
XM_027360440.1	2.83327505007615e-10
XM_027366397.1	2.83327505007615e-10
XM_027352012.1	2.84687068657664e-10
XM_027365496.1	2.94928998530532e-10
XM_027360144.1	3.01252970213242e-10
XM_027372254.1	3.01763137346511e-10
XM_027365030.1	3.01779760940119e-10
XM_027373064.1	3.07345577343924e-10
XM_027376843.1	3.07345577343924e-10
XM_027360743.1	3.08361944861475e-10
XM_027356709.1	3.1362158358048e-10
XM_027367611.1	3.1362158358048e-10
XM_027380815.1	3.1362158358048e-10
XR_003476707.1	3.1362158358048e-10
XM_027352856.1	3.17867764046774e-10
XM_027358620.1	3.17867764046774e-10
XM_027369289.1	3.24193461579938e-10
XM_027372562.1	3.24193461579938e-10
XM_027375794.1	3.24193461579938e-10
XM_027379742.1	3.24193461579938e-10
XM_027382188.1	3.24193461579938e-10
XM_027358621.1	3.24362344838797e-10
XM_027366103.1	3.24398988611425e-10
XM_027369773.1	3.24473317070138e-10
XM_027380251.1	3.24473317070138e-10
XM_027351601.1	3.29090375442822e-10
XM_027362299.1	3.29465179391324e-10
XM_027373933.1	3.30361819550616e-10
XM_027366233.1	3.36229887663737e-10
XM_027368790.1	3.36229887663737e-10
XM_027379918.1	3.36229887663737e-10
XM_027363320.1	3.39538470193366e-10
XM_027382405.1	3.39538470193366e-10
XM_027367621.1	3.44019794167799e-10
XM_027371888.1	3.44019794167799e-10
XM_027374921.1	3.44019794167799e-10
XM_027358509.1	3.45700534460387e-10
XM_027377145.1	3.45700534460387e-10
XM_027377989.1	3.80809495970358e-10
XM_027368091.1	3.81078672505232e-10
XM_027370723.1	3.82214083299893e-10
XM_027380803.1	3.82214083299893e-10
XM_027383312.1	3.83319056540057e-10
XM_027370606.1	3.8394532659242e-10
XM_027372495.1	3.8512187771127e-10
XM_027375922.1	3.8851560510728e-10
XM_027368839.1	3.89093645772531e-10
XM_027366270.1	3.91893503857437e-10
XM_027369866.1	3.96426439013113e-10
XM_027357011.1	3.97290231744463e-10
XM_027365332.1	3.97290231744463e-10
XM_027379525.1	3.98411698929612e-10
XM_027362112.1	4.06256049343648e-10
XM_027372253.1	4.06256049343648e-10
XM_027374772.1	4.07475208537705e-10
XR_003476238.1	4.07475208537705e-10
XM_027372493.1	4.12501488810646e-10
XM_027366958.1	4.15725362574396e-10
XM_027371550.1	4.15725362574396e-10
XM_027361738.1	4.33943722177952e-10
XM_027379366.1	4.33943722177952e-10
XM_027367016.1	4.35630758486549e-10
XM_027368181.1	4.37941186667093e-10
XM_027376661.1	4.41776397785311e-10
XM_027354285.1	4.47079350529179e-10
XM_027362506.1	4.52346358049212e-10
XM_027373063.1	4.54979963082645e-10
XM_027356912.1	4.6119356394232e-10
XM_027358460.1	4.6119356394232e-10
XM_027377619.1	4.68227973991686e-10
XM_027358198.1	4.72283467180008e-10
XM_027371251.1	4.83281490254252e-10
XM_027361824.1	5.21291702844611e-10
XM_027361798.1	5.22797941883211e-10
XM_027355406.1	5.35298425380915e-10
XM_027351485.1	5.36438753902621e-10
XM_027379298.1	5.43739119510479e-10
XM_027378562.1	5.6124141573125e-10
XM_027357843.1	5.73183412408604e-10
XM_027363492.1	5.87167672346448e-10
XM_027359946.1	5.89120986732953e-10
XM_027352569.1	5.93276168063517e-10
XM_027361190.1	5.93276168063517e-10
XM_027379539.1	5.93276168063517e-10
XM_027369751.1	5.95082678882952e-10
XM_027381966.1	5.99370515281926e-10
XM_027380334.1	6.01615706796146e-10
XM_027354269.1	6.02405286749665e-10
XM_027369306.1	6.02405286749665e-10
XM_027378603.1	6.11107870100482e-10
XM_027375771.1	6.16107416308073e-10
XM_027379145.1	6.19836013539852e-10
XM_027363486.1	6.22866029196117e-10
XM_027365037.1	6.22866029196117e-10
XM_027367624.1	6.22866029196117e-10
XM_027370505.1	6.22866029196117e-10
XM_027380253.1	6.24939671911252e-10
XM_027352590.1	6.27042976535502e-10
XM_027350630.1	6.38770539031517e-10
XM_027358195.1	6.38770539031517e-10
XR_003477669.1	6.38770539031517e-10
XM_027373062.1	6.51197455098024e-10
XM_027366171.1	6.63373826213503e-10
XM_027368786.1	6.63373826213503e-10
XR_003475583.1	6.64219733043897e-10
XM_027373065.1	6.76437559503786e-10
XM_027364396.1	6.78859747731243e-10
XM_027355571.1	6.9709016216036e-10
XM_027356770.1	6.9709016216036e-10
XM_027362687.1	6.9709016216036e-10
XM_027362910.1	6.9709016216036e-10
XM_027364399.1	6.9709016216036e-10
XM_027364406.1	6.9709016216036e-10
XM_027374373.1	6.9709016216036e-10
XM_027381114.1	6.9709016216036e-10
XM_027382261.1	6.9709016216036e-10
XM_027357395.1	6.99104557239293e-10
XM_027362523.1	7.17500539279185e-10
XM_027366081.1	7.17500539279185e-10
XM_027351555.1	7.29789291886897e-10
XM_027353423.1	7.5512467383562e-10
XM_027376864.1	7.57323959451383e-10
XM_027382407.1	7.67272448886571e-10
XM_027353471.1	7.99863952473733e-10
XM_027370158.1	8.03467083171906e-10
XM_027356030.1	8.20226234109497e-10
XM_027363789.1	8.20226234109497e-10
XM_027375348.1	8.20226234109497e-10
XM_027382263.1	8.43850339408868e-10
XM_027359184.1	8.44875167371478e-10
XM_027360938.1	8.44875167371478e-10
XM_027375239.1	8.44875167371478e-10
XR_003477405.1	8.44875167371478e-10
XM_027362075.1	8.51629808099126e-10
XM_027380369.1	8.56350912818839e-10
XM_027374288.1	8.6175128594986e-10
XM_027352568.1	8.83708341924403e-10
XM_027367434.1	9.18310680330105e-10
XM_027372255.1	9.46739768376974e-10
XM_027375354.1	9.51743881559212e-10
XM_027362508.1	9.52641208597338e-10
XM_027371250.1	9.52641208597338e-10
XM_027373061.1	9.68829569728479e-10
XM_027352651.1	9.74435557745258e-10
XM_027360831.1	9.74435557745258e-10
XM_027365137.1	9.74435557745258e-10
XM_027373642.1	9.85770538162262e-10
XM_027379363.1	9.85770538162262e-10
XR_003475003.1	9.85770538162262e-10
XM_027359231.1	1.00180394342627e-09
XM_027364538.1	1.00180394342627e-09
XM_027365314.1	1.00498215496739e-09
XM_027377051.1	1.02772890849044e-09
XM_027352583.1	1.03438455573539e-09
XM_027359736.1	1.03438455573539e-09
XM_027364462.1	1.03438455573539e-09
XM_027374535.1	1.05373451824927e-09
XR_003476604.1	1.05373451824927e-09
XM_027369596.1	1.06424633733633e-09
XM_027378226.1	1.06591448472797e-09
XM_027375237.1	1.07607701416372e-09
XM_027369414.1	1.08038854149497e-09
XM_027370163.1	1.08038854149497e-09
XR_003476555.1	1.08038854149497e-09
XM_027364397.1	1.08478276505793e-09
XM_027377688.1	1.09041053185669e-09
XM_027357750.1	1.09551183523553e-09
XM_027382660.1	1.09551183523553e-09
XM_027360140.1	1.12038346362441e-09
XM_027375361.1	1.12399984885709e-09
