ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027370790.1	-11.8903253645184	5.55244336636202	-41.0690614349984	1.03373114747716e-15	1.46231608122119e-11	22.910622331407	33027	41903	25935	52625	40716	40960	5	123	148	84	53	194	3549.90609565224	3888.84960197756	3094.51499951289	2494.88909033792	2538.85153526577	2174.67755360876	0.656943288202488	0.643142025534034	0.665173947855513	0.638412932127202	0.625371980627849	1.53204958205561	Up_muscle_Down_gills
XM_027373336.1	-11.719222217439	7.93486528447487	-38.7666789048491	2.25976656247273e-15	1.59833288963696e-11	23.3822843037305	178090	225683	166759	195929	162062	244456	19	882	715	447	542	725	19141.9982612622	20944.7353345369	19897.3675266539	9288.76246234333	10105.3973255782	12978.8324229732	2.49638449516946	4.61179891480502	3.21350927511278	3.39726881739118	6.3953134622697	5.7254430257233	Up_muscle_Down_gills
XM_027355456.1	-12.2966002206241	5.44504914643123	-35.4611213511406	7.55251126882296e-15	2.36907356078476e-11	21.6934335652352	23486	34199	23174	51360	53402	68304	11	65	196	39	40	138	2524.39199934867	3173.87221769397	2765.07771732067	2434.91693453217	3329.88873382117	3626.44471732648	1.44527523404547	0.339871802111481	0.880906039051895	0.296406004201915	0.471978853304037	1.08980846558595	Up_muscle_Down_gills
XM_027356802.1	-11.1492582419624	6.24396011027797	-35.1915680888421	8.37365177712695e-15	2.36907356078476e-11	22.2446464507316	43915	44668	36319	63031	32574	77299	11	214	237	220	159	377	4720.20244619759	4145.45817772316	4333.51418034735	2988.22525896607	2031.15605437045	4104.01367715829	1.44527523404547	1.11896254849011	1.06517720028214	1.67203386985696	1.87611594188355	2.97723037337611	Up_muscle_Down_gills
XM_027383691.1	-9.90380866193436	6.62371372079793	-35.6524565421384	7.02225740758193e-15	2.36907356078476e-11	22.5721592646439	25414	49726	31967	69544	33925	61474	10	792	517	483	305	555	2731.62302101026	4614.87089964766	3814.24179639207	3296.99889593274	2115.39783706384	3263.82148267932	1.31388657640498	4.14120718880451	2.3236143989277	3.67087435973141	3.59883875644328	4.38292535072611	Up_muscle_Down_gills
XM_027354432.1	-9.54300612680088	5.7436281995985	-33.8355466900897	1.424397152319e-14	2.89782611547563e-11	21.9717720959703	13381	21729	12736	36446	15100	24080	15	265	310	265	200	410	1438.2563801109	2016.58146198053	1519.63535892794	1727.86181066899	941.562486062314	1278.47254616452	1.97082986460747	1.38563119322373	1.3932697556433	2.01404079778225	2.35989426652019	3.23783674558145	Up_muscle_Down_gills
XM_027373337.1	-11.6173402948588	7.73133866528062	-33.8187994293434	1.4339589147695e-14	2.89782611547563e-11	22.15854494644	154664	200395	148772	163343	143273	208199	9	829	652	452	598	663	16624.055360098	18597.8573369041	17751.1928092358	7743.8986923148	8933.80675931165	11053.849901948	1.18249791876448	4.33467267616028	2.93036090541753	3.43526958716066	7.05608385689535	5.23581893248903	Up_muscle_Down_gills
XM_027355909.1	-13.3564131191107	3.46464745841689	-32.3677796845033	2.59286356895977e-14	4.32240623238757e-11	19.1860248523745	8581	17076	12877	19216	14257	21117	0	11	17	20	12	28	922.328525351737	1584.75516796814	1536.4592114412	911.007862421538	888.997110184795	1121.15883543838	0	0.0575167665111738	0.0764051156320521	0.152003079077905	0.141593655991211	0.221120558234831	Up_muscle_Down_gills
XM_027356797.1	-10.1761873500702	6.267889155546	-32.2269986945953	2.75001103431982e-14	4.32240623238757e-11	21.5662623061129	38270	31943	23528	55025	23615	65796	6	336	527	382	219	450	4113.44979200687	2964.50189332432	2807.31632575821	2608.67025550297	1472.51643101732	3493.28819133891	0.788331945842986	1.75687577706858	2.36855858459362	2.90325881038799	2.5840842218396	3.55372325734549	Up_muscle_Down_gills
XM_027363212.1	-7.02193830173873	5.16610149732793	-30.5612363635871	5.62670655447149e-14	6.63294924329614e-11	21.1062716028004	5174	5307	3550	8595	5483	6458	16	622	935	366	220	487	556.127233442476	492.521414640835	423.579265404694	407.478797747352	341.893186164216	342.872745146616	2.10221852224796	3.2523117063591	4.20228135976287	2.78165634712567	2.5958836931722	3.84591828072724	Up_muscle_Down_gills
