ID	logFC
XM_027370790.1	-11.8903253645184
XM_027373336.1	-11.719222217439
XM_027355456.1	-12.2966002206241
XM_027356802.1	-11.1492582419624
XM_027383691.1	-9.90380866193436
XM_027354432.1	-9.54300612680088
XM_027373337.1	-11.6173402948588
XM_027355909.1	-13.3564131191107
XM_027356797.1	-10.1761873500702
XM_027363212.1	-7.02193830173873
XM_027369977.1	-13.4185134504511
XM_027382986.1	-5.42469283466855
XM_027361441.1	-11.7598684517479
XM_027365861.1	-6.45634611027679
XM_027373341.1	-8.63715762484341
XM_027383692.1	-9.89842880643366
XM_027373331.1	-9.93150181639355
XM_027373334.1	-9.83749851364416
XM_027356799.1	-11.4244899884303
XM_027356800.1	-10.0623825320962
XM_027363211.1	-6.00146574328538
XM_027367001.1	-11.9808821406609
XM_027373332.1	-9.85012008100923
XM_027373338.1	-9.95067038953729
XM_027373312.1	-9.79820114846246
XM_027356798.1	-10.2367976600179
XM_027359306.1	-7.43208900256523
XM_027363208.1	-5.94845150993823
XM_027367149.1	-13.1861224053122
XM_027373333.1	-9.92690834544787
XM_027373339.1	-9.81860908395146
XM_027375601.1	-11.1099768191561
XM_027356801.1	-10.7903381784314
XM_027359305.1	-7.35518109716383
XM_027363209.1	-5.91437778893329
XM_027373335.1	-9.87422343764156
XM_027373340.1	-9.72071518284784
XM_027365860.1	-6.00673699996145
XM_027363213.1	-5.87353097510812
XM_027359304.1	-7.25293085204814
XM_027360043.1	-7.03503265524349
XM_027363215.1	-6.93473482937545
XM_027373344.1	-8.96281355090673
XM_027373330.1	-9.86646945578329
XM_027350813.1	-7.14529244029859
XM_027363873.1	-10.5106763558996
XM_027370370.1	-11.4401803089817
XM_027363227.1	-5.07318653434301
XM_027367224.1	-14.6669701764618
XM_027372676.1	-9.96639595370315
XM_027363219.1	-5.06512734304409
XM_027381865.1	-6.71761995351863
XM_027373316.1	-8.98015785748515
XM_027373317.1	-9.18877358867872
XM_027363220.1	-5.22501507401753
XM_027363232.1	-4.93311000341834
XM_027373315.1	-9.35902084920731
XM_027373343.1	-9.08952531410806
