ID	adj.P.Val
XM_027370790.1	1.46231608122119e-11
XM_027373336.1	1.59833288963696e-11
XM_027355456.1	2.36907356078476e-11
XM_027356802.1	2.36907356078476e-11
XM_027383691.1	2.36907356078476e-11
XM_027354432.1	2.89782611547563e-11
XM_027373337.1	2.89782611547563e-11
XM_027355909.1	4.32240623238757e-11
XM_027356797.1	4.32240623238757e-11
XM_027363212.1	6.63294924329614e-11
XM_027369977.1	6.63294924329614e-11
XM_027382986.1	6.63294924329614e-11
XM_027361441.1	8.64083573154473e-11
XM_027365861.1	9.61612622988371e-11
XM_027373341.1	9.61612622988371e-11
XM_027383692.1	9.61612622988371e-11
XM_027373331.1	1.04651387862629e-10
XM_027373334.1	1.23382597055767e-10
XM_027356799.1	1.35861537189234e-10
XM_027356800.1	1.35861537189234e-10
XM_027363211.1	1.35861537189234e-10
XM_027367001.1	1.35861537189234e-10
XM_027373332.1	1.35861537189234e-10
XM_027373338.1	1.35861537189234e-10
XM_027373312.1	1.40065003916859e-10
XM_027356798.1	1.4171664161242e-10
XM_027359306.1	1.68733523304134e-10
XM_027363208.1	1.68733523304134e-10
XM_027367149.1	1.68733523304134e-10
XM_027373333.1	1.68733523304134e-10
XM_027373339.1	1.68733523304134e-10
XM_027375601.1	1.68733523304134e-10
XM_027356801.1	1.88843047671625e-10
XM_027359305.1	1.97720664901579e-10
XM_027363209.1	1.97720664901579e-10
XM_027373335.1	1.97720664901579e-10
XM_027373340.1	1.97720664901579e-10
XM_027365860.1	2.26758073650743e-10
XM_027363213.1	2.32716976095335e-10
XM_027359304.1	2.42218018575987e-10
XM_027360043.1	2.42218018575987e-10
XM_027363215.1	2.42218018575987e-10
XM_027373344.1	2.51726187305486e-10
XM_027373330.1	2.64927782565161e-10
XM_027350813.1	2.73680401216945e-10
XM_027363873.1	2.77458397774954e-10
XM_027370370.1	2.77458397774954e-10
XM_027363227.1	3.0054948571365e-10
XM_027367224.1	3.09683009281059e-10
XM_027372676.1	3.21670950612281e-10
XM_027363219.1	3.3006825172361e-10
XM_027381865.1	3.41964989585076e-10
XM_027373316.1	3.52453533794268e-10
XM_027373317.1	3.95558800569793e-10
XM_027363220.1	4.26669034025503e-10
XM_027363232.1	4.26669034025503e-10
XM_027373315.1	4.26669034025503e-10
XM_027373343.1	4.26669034025503e-10
XM_027375602.1	4.72508579113772e-10
XM_027363230.1	5.07692629982826e-10
XM_027360238.1	7.0306660885916e-10
