ID	logFC
XM_027354936.1	-7.2877801749087
XM_027382986.1	-10.3205363121493
XM_027354938.1	-7.24523600704051
XM_027354940.1	-7.31554159000506
XM_027355456.1	-9.35296328258022
XM_027359305.1	-8.72774091513944
XM_027377764.1	-9.17955556864632
XR_003476216.1	-5.73964152685402
XM_027359306.1	-8.83368031305501
XM_027350813.1	-7.13494458011614
XM_027354937.1	-6.93630648699885
XM_027367942.1	-9.71534779514745
XM_027383691.1	-9.6462430488399
XM_027354939.1	-7.21288926416515
XM_027363007.1	-5.78524381074183
XM_027370370.1	-11.620140367571
XR_003476212.1	-5.64746022836514
XM_027369977.1	-11.9943685675222
XM_027362996.1	-5.85223835515753
XM_027359304.1	-8.58933225279141
XM_027363226.1	-10.0429009057806
XM_027363227.1	-10.6121118647387
XM_027363229.1	-9.78077574343305
XM_027368790.1	-6.88028645424772
XM_027363219.1	-10.3048602069676
XM_027363220.1	-10.2316972796583
XM_027363221.1	-10.377169606974
XM_027363208.1	-11.0370226307237
XM_027363212.1	-12.6506666297545
XM_027363223.1	-10.3048345959841
XM_027369485.1	-6.4147017453538
XM_027356176.1	-6.90074668275855
XM_027356628.1	-9.85348301818276
XM_027363209.1	-11.0750650161502
XM_027381154.1	-11.6044849569355
XM_027363211.1	-11.2238220167745
XM_027383692.1	-9.56922292358439
XM_027353008.1	-8.04785809179656
XM_027363210.1	-11.028090127476
XM_027363230.1	-11.1972085798646
XM_027369484.1	-6.63130683118331
XM_027379966.1	-8.76003459601382
XM_027366310.1	-6.68843983733091
XM_027355579.1	-7.7570692786722
XM_027355580.1	-7.82716208793984
XM_027363215.1	-11.7522601413975
XM_027366844.1	-8.71310932854888
XM_027370783.1	-14.0312118320472
XM_027376200.1	-10.6462707963392
XM_027383519.1	-12.3490803096324
XM_027365007.1	-8.50732956323115
XM_027381061.1	-7.24696143262458
XM_027355187.1	-10.1181561975778
XM_027381156.1	-11.53358881141
XM_027356905.1	-7.2248305161768
XM_027362706.1	-14.8222913265079
XM_027363228.1	-10.8711196108298
XM_027373383.1	-12.9761464255379
XM_027363224.1	-10.7321823543184
XM_027364373.1	-4.62229694233643
XM_027363214.1	-11.3316019501315
XM_027375602.1	-8.57224916267781
XM_027364372.1	-5.1050659132784
XM_027375339.1	-7.17374302320951
XM_027363225.1	-10.6171055028219
XM_027376198.1	-10.7203502598026
XR_003475626.1	-13.7546959791162
XM_027364371.1	-4.57425550914877
XM_027365696.1	-10.3795713791703
XM_027372777.1	-4.5272539833774
XM_027374841.1	-5.15361137057589
XM_027378454.1	-15.0413301338959
XM_027366769.1	-5.26273387137603
XM_027376169.1	6.83933858156452
XM_027357870.1	-8.8185079420225
XM_027368928.1	-12.2322470547124
XM_027372779.1	-4.60369612735442
XM_027364754.1	-5.7677246855169
XM_027382193.1	-5.28658550730304
XM_027350640.1	6.63121038902604
XM_027356802.1	-6.63962627811477
XM_027366311.1	-5.88872731732217
XM_027368031.1	-14.063176168655
XM_027371767.1	-12.0308826060574
XM_027374038.1	5.22323639457226
XM_027367001.1	-13.1870688147729
XM_027381957.1	-9.20451206798432
XM_027361148.1	-12.0724910540057
XM_027363217.1	-10.3857054155221
XM_027377145.1	-10.6308001060293
XM_027357523.1	-11.151302364187
XM_027375601.1	-8.82708140970728
XM_027371768.1	-12.1313023706249
XM_027374148.1	-7.14056817954014
XM_027360018.1	-7.48406494652425
XM_027364136.1	-8.41891030986864
XM_027356801.1	-6.33853728595551
XM_027366308.1	-5.83375570091899
XM_027354259.1	-7.91366112942927
XM_027366313.1	-6.05665579680242
XM_027368571.1	-4.81837214728422
XM_027363213.1	-10.8651545718081
XM_027377318.1	-10.0030451663264
XM_027383576.1	-10.737334653385
XM_027360999.1	-11.7219318889334
XM_027356797.1	-6.28253181124782
XM_027356798.1	-6.28084131029834
XM_027366306.1	-5.90689656398756
XM_027360017.1	-7.61890267536657
XM_027375603.1	-8.99034780275848
XM_027357062.1	-11.0439266365549
XM_027380303.1	-8.63495639810762
XM_027354941.1	-5.93136010141874
XM_027366305.1	-6.05531519631948
XM_027363538.1	-8.22334612346793
XM_027365861.1	-4.72534464277404
XM_027360020.1	-7.55198515511668
XM_027360996.1	-11.7687447617198
XM_027354274.1	4.36401931312793
XM_027363232.1	-10.7452983303226
XM_027374280.1	-10.8744301972474
XM_027370793.1	-13.7760698581631
XM_027350644.1	-10.8686006633712
XM_027358624.1	-12.8222099937785
XM_027362035.1	-11.5501496131978
XM_027383772.1	6.55130368304637
XM_027351285.1	-6.39028439240076
XM_027360019.1	-7.6173248362145
XM_027352899.1	-6.36672620654535
XM_027367406.1	-4.72121698618736
XM_027372358.1	-9.14692811680397
XM_027354269.1	4.42151921955633
XM_027355807.1	-6.10574880977231
XM_027382562.1	-5.59404192155007
XM_027354285.1	4.45058046636869
XM_027355909.1	-16.2917942708569
XM_027375118.1	-7.49859753769491
XM_027363218.1	-10.5440852850267
XM_027351952.1	-7.98872657771013
XM_027354278.1	4.47434892667917
XR_003477628.1	-6.37109143581884
XM_027357845.1	-8.84124102529905
XM_027365225.1	-15.8003471394001
XM_027375035.1	-14.3228243716827
XM_027366307.1	-5.45907175777059
XM_027360440.1	7.55687517703597
XM_027371486.1	-11.3764703951108
XM_027357145.1	-5.93754570193265
XM_027383520.1	-11.4439408298509
XM_027365860.1	-4.4855078527305
XM_027358202.1	-4.32472730126458
XM_027371152.1	-8.38920866680334
XM_027380424.1	-6.02586690544121
XM_027350780.1	-4.48888468132124
XM_027376054.1	-9.26731269580217
XM_027368572.1	-4.67215374013114
XM_027357932.1	-9.74595727990466
XM_027353011.1	6.63175368663889
XR_003476287.1	-10.1696866883053
XM_027373991.1	-11.0722518879705
XM_027356931.1	-12.2007401374756
XM_027352359.1	-5.50768097679288
XM_027368030.1	-13.6538698561893
XM_027371495.1	-13.2249880773915
XM_027375113.1	-7.52009585294953
XM_027376179.1	6.82626063673641
XM_027381155.1	-11.9496134309929
XM_027383586.1	-11.679643564242
XM_027372999.1	-5.5465306880663
XM_027351659.1	6.40927741824265
XM_027380973.1	-11.4406416248054
XM_027368018.1	-11.2873832339107
XM_027352536.1	-3.7755953730534
XM_027354942.1	-5.84275410401332
XM_027367438.1	-6.9850847298196
XM_027350645.1	-11.10008403106
XM_027382639.1	-9.89702709991935
XM_027373933.1	7.04025530313738
XM_027362345.1	-6.5005953736832
XR_003477377.1	-6.3615234873407
XM_027356399.1	-10.8213033026894
XM_027362037.1	-10.1283314448415
XM_027352009.1	-5.08320457685564
XM_027380297.1	-8.30304858680364
XM_027353560.1	-7.22133211643524
XM_027352492.1	-5.24071013920336
XM_027360728.1	7.00122331198282
XM_027383640.1	-6.73174880950852
XR_003476755.1	-12.6445898404186
XM_027354137.1	-16.0377456627855
XM_027355954.1	-9.0281107715053
XM_027365370.1	-7.51022135664559
XM_027357144.1	-5.93073534056045
XM_027373118.1	-9.17011473035937
XM_027373120.1	-6.58915471658382
XM_027352461.1	-9.16583126847669
XR_003476908.1	-13.5830667928745
XM_027376719.1	-6.54756213264215
XM_027357046.1	-4.23150503435873
XM_027360043.1	-12.572541952826
XM_027362399.1	-8.08734163090394
XM_027379145.1	-9.9843155938426
XM_027376159.1	8.14590607020116
XM_027354682.1	-11.0727486901263
XM_027373119.1	-6.25866629941349
XM_027364731.1	6.93572162155244
XM_027366515.1	-9.55284862056803
XM_027355389.1	-10.4172678853153
XM_027373124.1	-6.42762311635469
XR_003476289.1	-9.80343040151295
XR_003476972.1	6.61393261220566
XM_027353766.1	-11.7197695968688
XM_027356229.1	7.93790127411702
XM_027361149.1	-11.3199677110486
XM_027362705.1	-13.0056317884655
XM_027377083.1	-11.6951264484629
XM_027379486.1	-9.52227612197396
XM_027366154.1	-8.8597043910469
XM_027380289.1	-8.3672950504621
XM_027376028.1	-6.14085730341136
XR_003477476.1	-3.45242237608785
XM_027365408.1	4.82780046538543
XM_027360317.1	-11.8577545147975
XM_027380817.1	-5.96500363939076
XM_027364463.1	8.31239148723688
XM_027361321.1	-4.24504270742044
XM_027368450.1	-12.0851017342751
XM_027373122.1	-6.83445067789965
XM_027362845.1	-14.5246257599074
XM_027369855.1	-6.83417815927654
XM_027354076.1	-4.10782117015443
XM_027356510.1	-9.06118713986251
XM_027357161.1	-8.41332086107799
XM_027362730.1	-8.63646853960256
XM_027371314.1	-6.75090694904387
XR_003476288.1	-9.71406927950971
XM_027373123.1	-6.62247345288243
XM_027366299.1	-14.1802399873162
XM_027373121.1	-6.61985896210831
XM_027366304.1	-11.7880047694147
XM_027357656.1	-4.21191714680747
XM_027371429.1	-4.87937889850329
XM_027351660.1	6.27699211325878
XM_027358201.1	-3.9961799433716
XM_027383587.1	-11.259292934495
XM_027375272.1	-3.26365462946337
XM_027358165.1	-3.21154284889386
XM_027362535.1	-6.38981287764303
XM_027366514.1	-8.89671518301204
XM_027371198.1	-9.62061960840978
XM_027379397.1	7.33684697413438
XM_027371430.1	-4.91612786270506
XM_027365505.1	-12.8145341586174
XM_027359746.1	-4.13393028023013
XM_027367222.1	-14.9310521728436
XM_027371313.1	-6.58145192768244
XM_027371195.1	-9.31010519275294
XM_027383771.1	6.37014575375147
XM_027353870.1	-5.26685423146388
XM_027369512.1	-9.64746564606651
XM_027367225.1	-14.5777045402008
XM_027379534.1	-14.7339837796721
XM_027356799.1	-6.92457970390376
XM_027376573.1	-4.73169352733527
XM_027382220.1	4.61179734454637
XM_027357480.1	-13.1919964977646
XM_027360928.1	-9.77639307802274
XM_027369629.1	-4.6134183143119
XM_027375345.1	4.76298870470117
XM_027378527.1	-8.26537022355556
XM_027352010.1	-4.69209477870332
XM_027352535.1	-8.95656391461805
XM_027363100.1	-11.6073973253974
XM_027368361.1	5.86040298970458
XM_027371197.1	-9.41306530426143
XM_027363216.1	-10.7209191321116
XM_027350702.1	-9.55853031698744
XM_027379398.1	7.01910711293062
XM_027350973.1	6.07703748562711
XM_027372710.1	-10.7088033018135
XM_027354617.1	-3.84367046435671
XM_027378916.1	-6.63564879604629
XM_027372166.1	-9.57742580405368
XM_027380217.1	5.25845142772527
XM_027352736.1	-6.84588270843788
XM_027380429.1	-5.05101250639629
XM_027382520.1	4.21488344855173
XM_027375270.1	-3.157206695764
XM_027361218.1	-4.0327852615158
XM_027377239.1	-10.764745504205
XM_027367224.1	-14.5770773142469
XM_027375142.1	-12.2785319106191
XM_027352650.1	6.82180321095764
XM_027371784.1	-12.4628889199484
XM_027380488.1	-6.21972039936744
XM_027360592.1	-4.98140308980941
XM_027350838.1	7.46701781943283
XM_027361496.1	3.91835336423117
XM_027372030.1	-5.31099473384368
XM_027372127.1	5.28944423072949
XM_027370784.1	-12.3787620927107
XM_027360238.1	-12.7509636926755
XM_027356630.1	-11.0101214800344
XM_027357961.1	-10.571764042091
XM_027373319.1	-5.35698619404441
XM_027354645.1	-7.22525672417456
XM_027350836.1	6.63866358966758
XM_027369741.1	7.61347236692689
XM_027380487.1	-6.48652025397313
XM_027363873.1	-12.4435919155825
XM_027370790.1	-16.7430277055584
XM_027373607.1	5.61970525488333
XM_027383361.1	-4.11451196073653
XM_027375372.1	-3.7627525521986
XM_027363739.1	-12.4213965650343
XM_027366115.1	-13.012338716334
XM_027355870.1	-5.05866204925599
XM_027372027.1	-5.3688756501401
XM_027379564.1	-5.32031798475548
XM_027355250.1	4.52088348134873
XM_027359148.1	-6.78164513050714
XM_027375271.1	-3.22773969320876
XM_027376190.1	7.29334106137739
XM_027360995.1	-11.2450826965006
XM_027370381.1	-10.3447351485126
XM_027373537.1	-7.79984892500571
XM_027359641.1	-10.745260115226
XM_027360554.1	5.17689869178129
XM_027363560.1	-14.6672193953778
XM_027379675.1	-6.17605256858005
XM_027371688.1	-12.9399102921271
XM_027373037.1	-8.78682372460581
XM_027371440.1	-10.2761753766707
XM_027355788.1	-10.8175078998045
XM_027353436.1	-3.20024414391929
XM_027353767.1	-11.5624038554168
XM_027350837.1	7.57568913524249
XM_027370486.1	-11.3193130924259
XM_027361441.1	-11.517669983687
XM_027379400.1	6.86246887617984
XM_027352824.1	-9.38508857527829
XM_027376029.1	-7.19989579830276
XM_027375371.1	-3.64100364094733
XM_027353453.1	5.79770461497665
XM_027358156.1	-2.94934146106413
XM_027367424.1	-5.17017761979498
XM_027379824.1	-3.41598308396762
XM_027359642.1	-10.6981846359223
XM_027360998.1	-10.906870759307
XM_027362036.1	-10.4048883831429
XM_027373365.1	5.4756288221599
XM_027380479.1	-13.5091019213774
XM_027359526.1	-3.20898708415158
