ID	adj.P.Val
XM_027354936.1	2.30342094873851e-11
XM_027382986.1	2.30342094873851e-11
XM_027354938.1	2.6175078976778e-11
XM_027354940.1	2.6175078976778e-11
XM_027355456.1	2.6175078976778e-11
XM_027359305.1	2.6175078976778e-11
XM_027377764.1	2.6175078976778e-11
XR_003476216.1	2.6175078976778e-11
XM_027359306.1	3.5769346283213e-11
XM_027350813.1	3.64921621462467e-11
XM_027354937.1	3.64921621462467e-11
XM_027367942.1	3.64921621462467e-11
XM_027383691.1	3.64921621462467e-11
XM_027354939.1	4.3289389322667e-11
XM_027363007.1	4.3289389322667e-11
XM_027370370.1	4.3289389322667e-11
XR_003476212.1	4.3289389322667e-11
XM_027369977.1	4.46066129575451e-11
XM_027362996.1	4.8224656834198e-11
XM_027359304.1	5.30221394221972e-11
XM_027363226.1	5.30221394221972e-11
XM_027363227.1	5.46087680574033e-11
XM_027363229.1	5.46087680574033e-11
XM_027368790.1	5.46087680574033e-11
XM_027363219.1	5.57253994752473e-11
XM_027363220.1	5.65586212689374e-11
XM_027363221.1	5.65586212689374e-11
XM_027363208.1	6.3835690661472e-11
XM_027363212.1	6.93219403455747e-11
XM_027363223.1	6.93219403455747e-11
XM_027369485.1	7.35031622712978e-11
XM_027356176.1	7.38798659755486e-11
XM_027356628.1	7.38798659755486e-11
XM_027363209.1	7.38798659755486e-11
XM_027381154.1	8.57694479928696e-11
XM_027363211.1	8.78564469813375e-11
XM_027383692.1	8.78564469813375e-11
XM_027353008.1	1.12198035004204e-10
XM_027363210.1	1.12198035004204e-10
XM_027363230.1	1.12198035004204e-10
XM_027369484.1	1.12198035004204e-10
XM_027379966.1	1.12198035004204e-10
XM_027366310.1	1.34435578072588e-10
XM_027355579.1	1.36599418633379e-10
XM_027355580.1	1.36599418633379e-10
XM_027363215.1	1.36599418633379e-10
XM_027366844.1	1.37988263755633e-10
XM_027370783.1	1.37988263755633e-10
XM_027376200.1	1.37988263755633e-10
XM_027383519.1	1.37988263755633e-10
XM_027365007.1	1.42204949134644e-10
XM_027381061.1	1.50345986343465e-10
XM_027355187.1	1.55707842066655e-10
XM_027381156.1	1.66920869757928e-10
XM_027356905.1	1.68707438339039e-10
XM_027362706.1	1.73413464358745e-10
XM_027363228.1	1.73413464358745e-10
XM_027373383.1	1.73413464358745e-10
XM_027363224.1	1.79951712379378e-10
XM_027364373.1	1.82521110473064e-10
