ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	Expression
XM_027365884.1	-13.8722770300459	7.72997097586982	-35.6681956554321	1.14689194746665e-14	8.95951989360944e-11	21.9126926393587	396701	467974	332366	428453	479019	505866	322	88	409	75	139	74	33036.4152320276	37852.3187204307	33105.8896644797	15835.1018448507	23471.138897111	21370.8421287805	3.12074694058609	0.99356675652713	3.69085165404192	1.46005556064033	1.76271650522095	0.84391485244516	Up_muscle_Down_hep
XM_027365885.1	-13.9795569455	7.47182896073209	-37.5044761652599	5.89207005331797e-15	8.95951989360944e-11	22.1811023880736	347158	428873	307431	353648	418182	408428	256	66	280	56	115	79	28910.579603077	34689.6141379377	30622.1959088494	13070.4000140686	20490.2264968022	17254.4711622714	2.4810907353728	0.745175067395347	2.52674440863506	1.09017481861145	1.45836257626194	0.900936126259022	Up_muscle_Down_hep
XM_027370962.1	-13.1043281918711	3.38839766920558	-31.2965811407	6.47884960057794e-14	3.37418487198099e-10	19.1055068849103	11932	16542	8821	21216	18889	25213	19	7	27	1	8	13	993.671572666954	1338.0082147157	878.630945194079	784.117559546442	925.529765265115	1065.14974833838	0.18414345301595	0.0790337192692035	0.243650353689809	0.0194674074752045	0.101451309653004	0.148255311916042	Up_muscle_Down_hep
XM_027367223.1	-13.5320292725417	3.12255521090323	-27.7463052461372	3.17538229235043e-13	1.08908576347895e-09	18.2262955312072	13747	10102	11422	20572	17818	24004	22	2	18	1	3	17	1144.82091094977	817.105488154877	1137.70804398671	760.316102705006	873.052536264165	1014.07426958769	0.2132187350711	0.0225810626483439	0.162433569126539	0.0194674074752045	0.0380442411198766	0.193872330967131	Up_muscle_Down_hep
XM_027367243.1	-14.115872619402	4.25978231860631	-26.9808992865072	4.58999490815099e-13	1.08908576347895e-09	18.027326840349	30281	38887	36854	45304	62017	45298	62	10	36	2	4	11	2521.73725208918	3145.39508195196	3670.90634329244	1674.38074649755	3038.73044906806	1913.6617340353	0.600889162473099	0.112905313241719	0.324867138253079	0.0389348149504089	0.0507256548265021	0.125446802390497	Up_muscle_Down_hep
XM_027378454.1	-11.7173681115559	2.2582922242922	-26.8558664273789	4.87941650304189e-13	1.08908576347895e-09	17.9843872233257	2522	6688	2712	5859	5601	5967	13	7	9	8	5	2	210.026794021627	540.962334664405	270.133445569249	216.541514959587	274.439738220653	252.082201575978	0.12599288890565	0.0790337192692035	0.0812167845632697	0.155739259801636	0.0634070685331277	0.0228085095255449	Up_muscle_Down_hep
XM_027378597.1	9.36549301273528	-0.353163790490476	27.0139319043948	4.51664828159457e-13	1.08908576347895e-09	18.0670882438876	0	0	0	0	0	0	2361	1512	2852	1140	1744	1172	0	0	0	0	0	0	22.882246977403	17.071283362148	25.7366966193828	22.1928445217331	22.1163855043549	13.3657865819693	Down_muscle_Up_hep
XM_027363969.1	8.23158253988098	-0.920481908466013	25.404398978847	1.01318484502213e-12	1.86408092907059e-09	17.5778403175105	0	0	0	0	0	0	780	1093	1057	397	762	775	0	0	0	0	0	0	7.55957333433899	12.3405507373199	9.53846014259734	7.72856076765617	9.66323724444865	8.83829744114864	Down_muscle_Up_hep
XM_027368558.1	-13.4051535902257	5.95904392205037	-25.0902082816205	1.19308815224692e-12	1.86408092907059e-09	18.0682476496986	107181	75314	43508	131328	109410	338390	112	74	155	31	8	39	8925.80563442984	6091.81179319901	4333.68950952318	4853.72317402504	5360.90908029309	14295.6420632303	1.0854771967256	0.835499317988723	1.39873351192298	0.603489631731338	0.101451309653004	0.444765935748125	Up_muscle_Down_hep
XR_003476289.1	-11.0404513102266	-1.10469321334463	-25.2844474135154	1.07817365245691e-12	1.86408092907059e-09	17.5093384388517	194	278	226	437	527	647	2	0	0	0	0	2	16.1559072324329	22.4861735999857	22.5111204641041	16.1509885709745	25.8221285560228	27.3331966515263	0.0193835213701	0	0	0	0	0.0228085095255449	Up_muscle_Down_hep
XM_027355469.1	-13.5208513085235	-0.639886534087325	-23.9297703823785	2.220536904838e-12	2.55081682839841e-09	17.0694775498524	1229	2375	531	847	905	1837	0	0	0	0	0	0	102.348505096186	192.103101798439	52.8911724178728	31.3040899762366	44.3435034975345	77.6060003846273	0	0	0	0	0	0	Up_muscle_Down_hep
XM_027367224.1	-13.5963885137219	2.88260055623977	-23.7809042850502	2.40974406759712e-12	2.55081682839841e-09	16.9798740110599	10703	8918	9985	18132	16382	20679	15	2	14	0	4	24	891.323067570769	721.337036563571	994.573176256987	670.136669951739	802.690910824983	873.606141509911	0.14537641027575	0.0225810626483439	0.126337220431753	0	0.0507256548265021	0.273702114306538	Up_muscle_Down_hep
XM_027367225.1	-13.6781138015043	2.83919656560079	-24.3033629687878	1.81241824255365e-12	2.55081682839841e-09	17.169846325014	10954	8966	10015	18274	16015	20121	15	2	16	0	3	19	912.225813526133	725.219541357813	997.561378088505	675.384817267708	784.708517693939	850.032843624978	0.14537641027575	0.0225810626483439	0.144385394779146	0	0.0380442411198766	0.216680840492676	Up_muscle_Down_hep
XM_027373341.1	-6.52225282297724	7.12888776467059	-23.7516350158339	2.44894088747927e-12	2.55081682839841e-09	18.2477130856011	17062	26468	19976	21216	25723	22864	1532	1184	1468	671	1040	1888	1420.88705773077	2140.87785195835	1989.74399288028	784.117559546442	1260.38446460451	965.913768532454	14.8477773694966	13.3679890878196	13.2473599709867	13.0626304158622	13.1886702548906	21.5312329921144	Up_muscle_Down_hep
XR_003476719.1	-13.8147035492846	7.35592761838463	-24.1162854089284	2.00567703665022e-12	2.55081682839841e-09	18.14172031484	255822	259671	175082	519117	340046	653575	379	235	434	51	23	41	21304.3118557497	21003.6229672011	17439.3451021959	19185.933029745	16661.6917020139	27610.9644536651	3.67317729963394	2.6532748611804	3.91645383338434	0.992837781235428	0.291672515252387	0.46757444527367	Up_muscle_Down_hep
XR_003476288.1	-10.9132604161974	-1.15144809167667	-22.9318411943064	3.87860242235339e-12	3.78745526542809e-09	16.6668691015084	185	263	183	402	542	587	1	0	0	0	0	4	15.4064063814437	21.2728908517851	18.2280311722612	14.8574311339399	26.5571037521146	24.7984334380926	0.00969176068504998	0	0	0	0	0.0456170190510897	Up_muscle_Down_hep
XM_027369645.1	7.40701493373359	-1.33441993734814	22.7753678988879	4.24193807763116e-12	3.8985906191123e-09	16.6253190549036	0	0	0	0	0	0	489	406	690	203	489	495	0	0	0	0	0	0	4.73927097498944	4.5839557176138	6.22662014985068	3.95188371746651	6.20121130253988	5.64510610757235	Down_muscle_Up_hep
XM_027356510.1	-10.8559876503909	-1.11167531032263	-22.5355605262477	4.87148869159296e-12	4.17902314871569e-09	16.5123861778733	344	198	218	344	387	619	0	3	2	0	0	0	28.6475880822521	16.0153322762488	21.7142666423659	12.7138216668541	18.9623600591667	26.1503071519239	0	0.0338715939725158	0.0180481743473933	0	0	0	Up_muscle_Down_hep
XM_027367241.1	-14.8343775365791	2.06869867572948	-22.4627219674137	5.08201739795175e-12	4.17902314871569e-09	16.4941647302392	8919	10889	8459	20078	16015	9987	8	4	16	0	0	0	742.755343330252	880.762389677139	842.573309760426	742.058463450861	784.708517693939	421.911336876033	0.0775340854803999	0.0451621252966877	0.144385394779146	0	0	0	Up_muscle_Down_hep
XM_027381145.1	9.05395819674788	-0.510229447064256	22.0901369636817	6.32296955573541e-12	4.9395038169405e-09	16.3575144006596	0	0	0	0	0	0	1399	1151	1245	1374	1979	1178	0	0	0	0	0	0	13.5587731983849	12.9954015541219	11.2349885312523	26.7482178709309	25.0965177254119	13.4342121105459	Down_muscle_Up_hep
XM_027365696.1	-9.91401911661603	-1.97273265965093	-21.8159472796562	7.44259596651884e-12	5.23331066976409e-09	16.0927223920018	107	106	74	259	108	199	0	0	0	0	0	3	8.91073233953772	8.5738647539514	7.37089785107832	9.57232503405583	5.29182141186047	8.40696465788831	0	0	0	0	0	0.0342127642883173	Up_muscle_Down_hep
XM_027375602.1	-7.82549989993631	3.17518893565965	-21.81784063873	7.43417252525515e-12	5.23331066976409e-09	16.7825903954973	1331	1638	866	4992	2762	4251	32	60	43	41	45	115	110.842848074063	132.490476103513	86.2594262031598	184.498249305045	135.333432773691	179.587973671775	0.310136341921599	0.677431879450316	0.388035748468955	0.798163706483383	0.570663616798149	1.31148929771883	Up_muscle_Down_hep
XR_003476287.1	-10.781542160887	-1.15610954058432	-21.7583224846439	7.70392635717961e-12	5.23331066976409e-09	16.1899095455646	161	275	166	396	502	578	0	2	0	0	0	3	13.4077374454726	22.2435170503456	16.5347168010676	14.6356784304483	24.59716989587	24.4182189560776	0	0.0225810626483439	0	0	0	0.0342127642883173	Up_muscle_Down_hep
XM_027368554.1	-14.9845112177028	4.74880168755237	-21.558059169413	8.69146820339770e-12	5.65814580041191e-09	16.1063169770241	63513	57450	31054	112197	84562	243664	71	14	93	4	2	3	5289.22750543046	4646.87292560856	3093.18732253224	4146.66467894194	4143.39816879393	10293.8423939683	0.688115008638549	0.158067438538407	0.839240107153787	0.0778696299008179	0.0253628274132511	0.0342127642883173	Up_muscle_Down_hep
XM_027361441.1	-9.72095084883524	2.89837513905737	-21.4334259773373	9.37401454436591e-12	5.85838412964692e-09	16.1506569013133	2005	3002	2111	6291	3495	7042	12	10	24	19	16	101	166.972134025917	242.818320673227	210.269802211167	232.507709610986	171.249220689374	297.496709149997	0.1163011282206	0.112905313241719	0.216578092168719	0.369880742028885	0.202902619306008	1.15182973104002	Up_muscle_Down_hep
XM_027383691.1	-8.33516284460529	7.16957567926912	-21.3558865406187	9.82750850554614e-12	5.90557664964049e-09	17.0494505855172	25414	49726	31967	69544	33925	61474	736	533	735	241	572	2372	2116.42384744871	4022.11319580176	3184.12826493812	2570.26166860378	1662.26890182747	2597.03389637701	7.13313586419679	6.01785319578364	6.63270407266703	4.69164520152428	7.2537686401898	27.0508922972962	Up_muscle_Down_hep
XM_027371539.1	-11.9549509459793	-0.88662643473111	-21.2055375285352	1.07752956302294e-11	6.23530440469275e-09	15.9776883584276	571	831	555	470	711	353	1	0	1	0	0	0	47.5516651016452	67.2158642503171	55.2817338830874	17.3706284401785	34.8378242947481	14.9128569057014	0.00969176068504998	0	0.00902408717369663	0	0	0	Up_muscle_Down_hep
XM_027383256.1	6.33152408063248	4.26409669225712	21.1020859979463	1.14841407102154e-11	6.4081505163002e-09	16.2387688965882	20	43	19	71	25	58	16324	18029	18225	10325	15995	10797	1.66555744664256	3.47807721150858	1.89252782662822	2.62407365798442	1.22495866015289	2.45027110631921	158.208301422756	203.556989243496	164.463988740621	201.000982181486	202.839212237475	123.131738673654	Down_muscle_Up_hep
XM_027356290.1	-11.5910873301537	-1.62643082731569	-20.9176989408255	1.28746212351083e-11	6.49970714130404e-09	15.8205303766243	127	106	118	631	534	1100	0	0	0	0	0	0	10.5762897861803	8.5738647539514	11.7535938706384	23.3209926505376	26.1651169808657	46.4706589129504	0	0	0	0	0	0	Up_muscle_Down_hep
XM_027367206.1	-13.0375025688123	0.17995774433632	-21.018813382764	1.20910512029571e-11	6.49970714130404e-09	15.8952186937175	980	522	1020	3150	3420	4390	4	0	4	0	0	0	81.6123148854857	42.2222396373833	101.59886227162	116.420169333112	167.574344708915	185.46017511623	0.0387670427401999	0	0.0360963486947865	0	0	0	Up_muscle_Down_hep
XM_027383692.1	-8.13633768372368	7.02474846331622	-20.9150030098414	1.28962443279842e-11	6.49970714130404e-09	16.812461435226	21740	46908	30515	53359	28357	44907	731	598	658	258	485	2176	1810.46094450047	3794.17781017313	3039.49929629263	1972.08375093508	1389.44610903822	1897.14352709442	7.08467706077154	6.75173773185482	5.93784936029239	5.02259112860275	6.15048564771338	24.8156583637928	Up_muscle_Down_hep
XM_027354682.1	-10.3006758288008	-1.49946914577763	-20.8450263178323	1.3471351418642e-11	6.50307994805701e-09	15.7531177513796	134	162	60	579	205	436	2	0	2	0	0	0	11.1592348925052	13.1034536805672	5.97640366303647	21.3991358869434	10.0446610132537	18.4192793509513	0.0193835213701	0	0.0180481743473933	0	0	0	Up_muscle_Down_hep
XM_027375601.1	-8.0456762648215	3.05450746995869	-20.8139658606903	1.3735383914867e-11	6.50307994805701e-09	16.1998312447597	1255	1668	869	4999	2900	4209	33	54	30	23	41	125	104.513729776821	134.917041599914	86.5582463863116	184.756960792452	142.095204577735	177.813639422371	0.319828102606649	0.609688691505284	0.270722615210899	0.447750371929703	0.519937961971647	1.42553184534655	Up_muscle_Down_hep
XM_027371253.1	7.65465955181915	-1.20800052737598	20.4253054735968	1.75523972541672e-11	7.97068794569331e-09	15.623503393546	0	0	0	0	0	0	653	578	707	344	689	305	0	0	0	0	0	0	6.32871972733764	6.52592710537138	6.38002963180352	6.69678817147034	8.73749404386499	3.47829770264559	Down_muscle_Up_hep
XM_027378603.1	7.60547075084027	-1.23395503699698	20.398427531809	1.7855483749313e-11	7.97068794569331e-09	15.610185314236	0	0	0	0	0	0	993	626	572	279	445	352	0	0	0	0	0	0	9.62391836025463	7.06787260893163	5.16177786335447	5.43140668558205	5.64322909944836	4.0142976764959	Down_muscle_Up_hep
XR_003477680.1	6.92343952252537	-1.57444221924332	20.277104858204	1.92951446454782e-11	8.37409277613752e-09	15.5355430434816	0	0	0	0	0	0	348	381	411	176	408	233	0	0	0	0	0	0	3.37273271839739	4.30169243450951	3.70889982838932	3.42626371563599	5.17401679230322	2.65719135972598	Down_muscle_Up_hep
