ID	logFC
XM_027365884.1	-13.8722770300459
XM_027365885.1	-13.9795569455
XM_027370962.1	-13.1043281918711
XM_027367223.1	-13.5320292725417
XM_027367243.1	-14.115872619402
XM_027378454.1	-11.7173681115559
XM_027378597.1	9.36549301273528
XM_027363969.1	8.23158253988098
XM_027368558.1	-13.4051535902257
XR_003476289.1	-11.0404513102266
XM_027355469.1	-13.5208513085235
XM_027367224.1	-13.5963885137219
XM_027367225.1	-13.6781138015043
XM_027373341.1	-6.52225282297724
XR_003476719.1	-13.8147035492846
XR_003476288.1	-10.9132604161974
XM_027369645.1	7.40701493373359
XM_027356510.1	-10.8559876503909
XM_027367241.1	-14.8343775365791
XM_027381145.1	9.05395819674788
XM_027365696.1	-9.91401911661603
XM_027375602.1	-7.82549989993631
XR_003476287.1	-10.781542160887
XM_027368554.1	-14.9845112177028
XM_027361441.1	-9.72095084883524
XM_027383691.1	-8.33516284460529
XM_027371539.1	-11.9549509459793
XM_027383256.1	6.33152408063248
XM_027356290.1	-11.5910873301537
XM_027367206.1	-13.0375025688123
XM_027383692.1	-8.13633768372368
XM_027354682.1	-10.3006758288008
XM_027375601.1	-8.0456762648215
XM_027371253.1	7.65465955181915
XM_027378603.1	7.60547075084027
XR_003477680.1	6.92343952252537
XM_027359641.1	-10.4992645214043
XM_027367222.1	-13.7158381423622
XM_027381944.1	6.6244705756477
XM_027365875.1	-11.2487826950592
XM_027373336.1	-10.7022734229091
XM_027378519.1	8.70657337306869
XM_027374288.1	8.48918525179618
XM_027356628.1	-9.31948397464396
XM_027359642.1	-10.5584612992937
XM_027362705.1	-12.1920088308063
XM_027380253.1	8.93450775753658
XM_027381890.1	6.38671962305838
XR_003476575.1	-11.5387956747477
XM_027352581.1	7.19247381862386
XM_027358460.1	8.14293459753628
XM_027359148.1	-6.43707354976817
XM_027369774.1	6.93152286124057
XM_027363470.1	6.18505978580352
XM_027359091.1	6.68985856448733
XM_027364396.1	6.22631664689296
XM_027367242.1	-14.9643624340278
XM_027357358.1	-10.5810679033105
XM_027371482.1	-13.5432151839549
XM_027381865.1	-6.30416124223968
XM_027367205.1	-12.8893066921096
XM_027367234.1	-15.2856812058356
XM_027371495.1	-12.1368317679451
XM_027359643.1	-10.767785571027
XM_027365863.1	-10.5362230181524
XR_003476604.1	6.7194977971386
XM_027352569.1	7.81792900263852
XM_027352582.1	6.87930124946611
XM_027358146.1	6.10136768279084
XM_027363486.1	7.71767450403904
XM_027372639.1	6.60286793572605
XM_027379438.1	3.84931814432459
XM_027356093.1	9.59083397083966
XM_027373337.1	-10.5605556179597
XM_027382405.1	7.31278904700861
XM_027367879.1	8.51823306169262
XM_027360996.1	-8.66290170493127
XR_003476718.1	-13.4127223054927
XM_027362059.1	8.83212288776426
XM_027364397.1	5.84262682642159
XM_027373320.1	-7.52885017748439
XM_027351791.1	6.48709636624066
XM_027352584.1	6.53890748838341
XM_027363970.1	7.93950256424714
XM_027364398.1	5.86557747826915
XM_027369649.1	6.00300218943872
XM_027371537.1	-11.5943911753352
XM_027372718.1	6.13412906101258
XR_003477591.1	-19.6486716167395
XM_027350813.1	-5.24608961790807
XM_027352296.1	8.25813676595628
XM_027358234.1	7.93248326342047
XM_027362910.1	9.54678735752145
XM_027365839.1	-9.99263259154512
XM_027372637.1	6.89564524185853
XM_027373824.1	7.14317897959353
XM_027377569.1	10.2011184374428
XM_027378230.1	8.38939475941555
XM_027380095.1	7.76688320964726
XM_027361345.1	8.98446317002623
XM_027370793.1	-9.35425248215288
XM_027372149.1	-6.48406860235296
XM_027369977.1	-9.79552880870034
XM_027373343.1	-7.72438433653285
XR_003475025.1	7.62591647503487
XM_027351876.1	4.85310705756685
XM_027365792.1	-10.5945094844662
XM_027356692.1	-9.07361165007461
XM_027353954.1	6.2903909063745
XM_027357752.1	7.58666271323357
XM_027372253.1	8.49398061921272
XM_027381853.1	-6.66325100350238
XM_027373319.1	-8.05572525008548
XM_027351612.1	6.18558953634463
XM_027365845.1	-10.1659163118885
XM_027373317.1	-8.24779910479746
XM_027373325.1	-7.07846107062767
XM_027379160.1	6.61722185839388
XM_027366419.1	-12.2516781413886
XM_027361474.1	8.06603863666468
XM_027373345.1	-7.65333219833886
XM_027382406.1	6.51963413714032
XM_027369412.1	5.81102406112049
XM_027352295.1	8.36361417283899
XM_027381741.1	6.15284686316778
XM_027378911.1	6.88511906297748
XM_027373316.1	-8.38613439777262
XM_027358148.1	6.02872361017233
XM_027372676.1	-9.470240896659
XM_027373318.1	-7.90878302773748
XM_027366682.1	8.5718446551396
XM_027367236.1	-17.102659879359
XM_027373758.1	8.80643897297974
XM_027368553.1	-15.9607582491047
XR_003476717.1	-16.5929880867099
XM_027353713.1	9.23777103696109
XM_027358147.1	5.8639331305512
XM_027371496.1	-10.7751976340686
XM_027373313.1	-8.3907622531585
XM_027373324.1	-7.29371060473932
XM_027368385.1	7.04233080832787
XM_027373323.1	-7.31449214471504
XM_027374011.1	-12.9572660187781
XM_027381851.1	-7.4111152760049
XR_003475816.1	-14.3609857093137
XM_027356631.1	-6.82335141687867
XM_027361439.1	-5.56766069206523
XM_027365225.1	-11.0185027528345
XM_027376863.1	6.99493817885119
XM_027363241.1	9.01747415524131
XM_027365867.1	-12.3105637878366
XM_027367643.1	4.90804207917358
XM_027370874.1	8.19022793926427
XM_027373315.1	-8.11203383036103
XM_027373339.1	-8.19493089880598
XM_027373552.1	4.62967548886652
XM_027376858.1	7.55896373915627
XM_027365861.1	-5.60962714001076
XM_027351790.1	6.07141623771919
XM_027355864.1	7.62027319184345
XM_027365741.1	-11.9195321803132
XM_027362057.1	8.43598174275347
XM_027365880.1	-10.5731454599525
XM_027366220.1	7.05913494325732
XM_027368862.1	5.32681912362161
XM_027373322.1	-7.57082660779625
XM_027380544.1	6.8829759580705
XM_027381854.1	-6.53202880142556
XM_027367184.1	7.29361527746857
XM_027351613.1	6.22042934224491
XM_027356693.1	-8.07729852287019
XM_027358886.1	-16.0973356947677
XM_027371493.1	-12.7994515060513
XM_027356729.1	-3.39321117400613
XM_027372307.1	7.60629754432164
XM_027354137.1	-14.4700379276337
XM_027365800.1	-10.6974868096462
XM_027381668.1	-14.9532007477324
XR_003476507.1	7.9418625974932
XM_027356630.1	-6.84297929848998
XM_027369773.1	7.76604007316504
XM_027359178.1	9.56514790163757
XM_027373829.1	6.90320580346826
XM_027381669.1	-8.80735020348306
XM_027375907.1	9.2629288137186
XM_027380234.1	-5.59222734076351
XM_027367963.1	8.56204277097975
XM_027357144.1	-6.36517947096158
XM_027371500.1	-10.166763566251
XM_027381866.1	-5.2749271988148
XR_003476211.1	8.03640685126506
XM_027381855.1	-5.7714083750013
XM_027355352.1	9.00779697501685
XM_027375615.1	-8.69892843890422
XM_027360999.1	-8.80353659438383
XM_027372105.1	5.98853315788919
XM_027372509.1	6.57340083654197
XM_027355338.1	7.7886899206363
XM_027377147.1	5.01162454746359
XM_027368559.1	-16.2235009176833
XM_027363415.1	7.71705401645393
XM_027373327.1	-6.4017298299296
XM_027362058.1	8.33620984943147
XM_027381656.1	5.58995606715519
XM_027355117.1	6.06308710632993
XM_027365249.1	8.46824990317349
XM_027362345.1	-7.83077064473617
XM_027366312.1	-7.44839005659899
XM_027369414.1	5.37194388488945
