ID	adj.P.Val
XM_027365884.1	8.95951989360944e-11
XM_027365885.1	8.95951989360944e-11
XM_027370962.1	3.37418487198099e-10
XM_027367223.1	1.08908576347895e-09
XM_027367243.1	1.08908576347895e-09
XM_027378454.1	1.08908576347895e-09
XM_027378597.1	1.08908576347895e-09
XM_027363969.1	1.86408092907059e-09
XM_027368558.1	1.86408092907059e-09
XR_003476289.1	1.86408092907059e-09
XM_027355469.1	2.55081682839841e-09
XM_027367224.1	2.55081682839841e-09
XM_027367225.1	2.55081682839841e-09
XM_027373341.1	2.55081682839841e-09
XR_003476719.1	2.55081682839841e-09
XR_003476288.1	3.78745526542809e-09
XM_027369645.1	3.8985906191123e-09
XM_027356510.1	4.17902314871569e-09
XM_027367241.1	4.17902314871569e-09
XM_027381145.1	4.9395038169405e-09
XM_027365696.1	5.23331066976409e-09
XM_027375602.1	5.23331066976409e-09
XR_003476287.1	5.23331066976409e-09
XM_027368554.1	5.65814580041191e-09
XM_027361441.1	5.85838412964692e-09
XM_027383691.1	5.90557664964049e-09
XM_027371539.1	6.23530440469275e-09
XM_027383256.1	6.4081505163002e-09
XM_027356290.1	6.49970714130404e-09
XM_027367206.1	6.49970714130404e-09
XM_027383692.1	6.49970714130404e-09
XM_027354682.1	6.50307994805701e-09
XM_027375601.1	6.50307994805701e-09
XM_027371253.1	7.97068794569331e-09
XM_027378603.1	7.97068794569331e-09
XR_003477680.1	8.37409277613752e-09
XM_027359641.1	8.86354631358651e-09
XM_027367222.1	8.86354631358651e-09
XM_027381944.1	8.87969671725002e-09
XM_027365875.1	8.96381734293486e-09
XM_027373336.1	8.96381734293486e-09
XM_027378519.1	8.96381734293486e-09
XM_027374288.1	9.25155138621736e-09
XM_027356628.1	9.33639467119276e-09
XM_027359642.1	9.33639467119276e-09
XM_027362705.1	9.33639467119276e-09
XM_027380253.1	9.33639467119276e-09
XM_027381890.1	9.33639467119276e-09
XR_003476575.1	9.33639467119276e-09
XM_027352581.1	1.03882251236449e-08
XM_027358460.1	1.03882251236449e-08
XM_027359148.1	1.03882251236449e-08
XM_027369774.1	1.03882251236449e-08
XM_027363470.1	1.04341513229652e-08
XM_027359091.1	1.05154903985107e-08
XM_027364396.1	1.14564913336859e-08
XM_027367242.1	1.14564913336859e-08
XM_027357358.1	1.1813982439227e-08
XM_027371482.1	1.18763733041884e-08
XM_027381865.1	1.24746847974644e-08
XM_027367205.1	1.27466803703635e-08
XM_027367234.1	1.28151084498227e-08
XM_027371495.1	1.28942705693782e-08
XM_027359643.1	1.44855462328335e-08
XM_027365863.1	1.44855462328335e-08
XR_003476604.1	1.45927816818474e-08
XM_027352569.1	1.46383855917794e-08
XM_027352582.1	1.46383855917794e-08
XM_027358146.1	1.46383855917794e-08
XM_027363486.1	1.46383855917794e-08
XM_027372639.1	1.46383855917794e-08
XM_027379438.1	1.46383855917794e-08
XM_027356093.1	1.47566551811719e-08
XM_027373337.1	1.47566551811719e-08
XM_027382405.1	1.47566551811719e-08
XM_027367879.1	1.52572254566486e-08
XM_027360996.1	1.54161923759812e-08
XR_003476718.1	1.54161923759812e-08
XM_027362059.1	1.62888298823886e-08
XM_027364397.1	1.63288151193737e-08
XM_027373320.1	1.73081472972782e-08
XM_027351791.1	1.74025937193648e-08
XM_027352584.1	1.74025937193648e-08
XM_027363970.1	1.74025937193648e-08
XM_027364398.1	1.74025937193648e-08
XM_027369649.1	1.74025937193648e-08
XM_027371537.1	1.74025937193648e-08
XM_027372718.1	1.74025937193648e-08
XR_003477591.1	1.74025937193648e-08
XM_027350813.1	1.74660564815422e-08
XM_027352296.1	1.74660564815422e-08
XM_027358234.1	1.74660564815422e-08
XM_027362910.1	1.74660564815422e-08
XM_027365839.1	1.74660564815422e-08
XM_027372637.1	1.74660564815422e-08
XM_027373824.1	1.74660564815422e-08
XM_027377569.1	1.74660564815422e-08
XM_027378230.1	1.74660564815422e-08
XM_027380095.1	1.75080570778668e-08
XM_027361345.1	1.78539904164743e-08
XM_027370793.1	1.78539904164743e-08
XM_027372149.1	1.78539904164743e-08
XM_027369977.1	1.82774968578671e-08
XM_027373343.1	1.89967742154192e-08
XR_003475025.1	1.92384293742579e-08
XM_027351876.1	1.93980947933368e-08
XM_027365792.1	1.93980947933368e-08
XM_027356692.1	1.99451331403137e-08
XM_027353954.1	2.0100256872096e-08
XM_027357752.1	2.06505207226387e-08
XM_027372253.1	2.06505207226387e-08
XM_027381853.1	2.08767357909192e-08
XM_027373319.1	2.09372253029479e-08
XM_027351612.1	2.10098177847641e-08
XM_027365845.1	2.21183564277464e-08
XM_027373317.1	2.21183564277464e-08
XM_027373325.1	2.21183564277464e-08
XM_027379160.1	2.21183564277464e-08
XM_027366419.1	2.39615444158644e-08
XM_027361474.1	2.40125675790301e-08
XM_027373345.1	2.40125675790301e-08
XM_027382406.1	2.40125675790301e-08
XM_027369412.1	2.40836628653972e-08
XM_027352295.1	2.42459090528428e-08
XM_027381741.1	2.49579136204498e-08
XM_027378911.1	2.55171597541028e-08
XM_027373316.1	2.59067633675333e-08
XM_027358148.1	2.60795526216791e-08
XM_027372676.1	2.60795526216791e-08
XM_027373318.1	2.60795526216791e-08
XM_027366682.1	2.61834749677599e-08
XM_027367236.1	2.65925475795051e-08
XM_027373758.1	2.65925475795051e-08
XM_027368553.1	2.67287718749684e-08
XR_003476717.1	2.67287718749684e-08
XM_027353713.1	2.7203625316025e-08
XM_027358147.1	2.73549071345546e-08
XM_027371496.1	2.73549071345546e-08
XM_027373313.1	2.73549071345546e-08
XM_027373324.1	2.73549071345546e-08
XM_027368385.1	2.83964784516574e-08
XM_027373323.1	2.83964784516574e-08
XM_027374011.1	2.8620857667752e-08
XM_027381851.1	2.87479203245695e-08
XR_003475816.1	2.97832079684883e-08
XM_027356631.1	3.00886750251388e-08
XM_027361439.1	3.00886750251388e-08
XM_027365225.1	3.00886750251388e-08
XM_027376863.1	3.00886750251388e-08
XM_027363241.1	3.03426340588238e-08
XM_027365867.1	3.03426340588238e-08
XM_027367643.1	3.03426340588238e-08
XM_027370874.1	3.03426340588238e-08
XM_027373315.1	3.03426340588238e-08
XM_027373339.1	3.03426340588238e-08
XM_027373552.1	3.03426340588238e-08
XM_027376858.1	3.09819923394602e-08
XM_027365861.1	3.12066187167887e-08
XM_027351790.1	3.13072591078329e-08
XM_027355864.1	3.13072591078329e-08
XM_027365741.1	3.14488525999102e-08
XM_027362057.1	3.31312689418036e-08
XM_027365880.1	3.31312689418036e-08
XM_027366220.1	3.31312689418036e-08
XM_027368862.1	3.31312689418036e-08
XM_027373322.1	3.31312689418036e-08
XM_027380544.1	3.31312689418036e-08
XM_027381854.1	3.31312689418036e-08
XM_027367184.1	3.31771317618929e-08
XM_027351613.1	3.34371885060263e-08
XM_027356693.1	3.40173331003012e-08
XM_027358886.1	3.47890631357999e-08
XM_027371493.1	3.498233435818e-08
XM_027356729.1	3.50883046875051e-08
XM_027372307.1	3.52897948523218e-08
XM_027354137.1	3.570328997227e-08
XM_027365800.1	3.570328997227e-08
XM_027381668.1	3.570328997227e-08
XR_003476507.1	3.58720350884957e-08
XM_027356630.1	3.58768808913078e-08
XM_027369773.1	3.63398548221541e-08
XM_027359178.1	3.65080795859774e-08
XM_027373829.1	3.66950005018816e-08
XM_027381669.1	3.69802753466505e-08
XM_027375907.1	3.81205358315731e-08
XM_027380234.1	3.8597382030346e-08
XM_027367963.1	3.87256774815845e-08
XM_027357144.1	3.87628997935622e-08
XM_027371500.1	3.87628997935622e-08
