	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3
XM_027350592.1	83	84	75	3	0	7
XM_027350593.1	99	93	106	0	8	4
XM_027350594.1	97	70	101	4	2	5
XM_027350595.1	83	80	103	9	3	8
XM_027350596.1	36	103	85	0	0	4
XM_027350597.1	1016	1464	1764	22	44	51
XM_027350602.1	169	50	77	0	5	3
XM_027350603.1	2928	4499	3844	26	70	61
XM_027350604.1	943	1160	1461	29	65	26
XM_027350605.1	870	1305	1574	22	119	58
XM_027350606.1	816	1093	1522	19	54	17
XM_027350607.1	1029	1226	1806	26	72	29
XM_027350608.1	208	261	243	2	0	4
XM_027350610.1	36	16	26	0	0	0
XM_027350612.1	2	0	1	0	0	0
XM_027350613.1	62	377	174	93	545	893
XM_027350614.1	1060	785	983	12	48	30
XM_027350615.1	1111	693	1026	9	15	34
XM_027350616.1	1022	708	976	19	26	55
XM_027350617.1	685	856	1196	8	19	23
XM_027350619.1	3725	5554	6559	33	143	114
XM_027350620.1	705	1683	5332	41	290	141
XM_027350621.1	265	201	231	0	7	2
XM_027350627.1	7754	12687	15816	97	361	346
XM_027350628.1	12	6	4	2	0	0
XM_027350629.1	122	73	225	10	6	0
XM_027350630.1	6	0	2	0	0	0
XM_027350631.1	2	0	4	0	0	0
XM_027350632.1	1	0	0	0	0	0
XM_027350634.1	147	842	801	2	8	86
XM_027350635.1	1116	11467	5990	211787	580549	237173
XM_027350640.1	6812	5548	8056	167	210	166
XM_027350641.1	480	557	828	681	2372	831
XM_027350642.1	853	4354	20008	59	171	49
XM_027350643.1	1033	4530	21546	52	174	62
XM_027350644.1	285	103	213	2	11	11
XM_027350645.1	290	92	154	0	13	12
XM_027350646.1	160	149	269	489	2595	76
XM_027350647.1	1531	1648	1841	18	56	55
XM_027350648.1	1346	1738	1865	38	33	38
XM_027350649.1	1282	1552	1827	19	54	41
XM_027350650.1	1	0	1	0	0	0
XM_027350651.1	36	15	25	0	2	0
XM_027350652.1	31	10	23	0	10	0
XM_027350653.1	12	1	0	0	0	3
XM_027350655.1	2	22	13	0	0	5
XM_027350656.1	222	621	4	0	0	4
XM_027350657.1	8	12	19	0	0	0
XM_027350658.1	4	0	2	0	0	4
XM_027350659.1	1	0	0	0	0	0
XM_027350660.1	60	153	53	4	6	0
XM_027350661.1	85	78	71	11	35	17
XM_027350662.1	63	49	93	7	26	19
XM_027350663.1	74	45	65	17	63	21
XM_027350664.1	69	141	181	13	66	47
XM_027350665.1	12608	224805	16323	359	1073	27266
XM_027350666.1	66	79	62	0	0	0
XM_027350667.1	58	118	47	0	0	5
XM_027350668.1	84	110	150	2	2	13
XM_027350669.1	2	4	1	0	0	0
XM_027350671.1	3344	9812	7380	55	75	97
XM_027350673.1	3	35	24	0	0	0
XM_027350674.1	1315	1329	743	2	6	8
XM_027350677.1	7117	5632	9584	82	279	255
XM_027350678.1	186	717	670	8	5	9
XM_027350679.1	32	45	50	0	0	0
XM_027350680.1	183	251	256	0	2	4
XM_027350682.1	9	29	37	0	0	0
XM_027350683.1	62	65	69	0	0	2
XM_027350684.1	24	28	25	0	0	0
XM_027350685.1	29	15	25	0	2	0
XM_027350686.1	10	15	21	0	2	0
XM_027350687.1	66	130	126	6	0	8
XM_027350688.1	268	144	283	2	21	9
XM_027350689.1	330	143	304	8	27	8
XM_027350690.1	2	0	2	0	3	1
XM_027350691.1	19	174	135	16	47	17
XM_027350693.1	13	15	9	0	0	0
XM_027350694.1	288	231	277	3	18	0
XM_027350697.1	1257	1538	1539	9	30	22
XM_027350698.1	35	160	219	0	8	0
XM_027350699.1	2701	6145	13062	37	61	94
XM_027350702.1	31	35	90	2	0	7
XM_027350703.1	21142	37048	33821	379	623	711
XM_027350704.1	11344	26909	24914	220	495	472
XM_027350705.1	9275	24844	21105	194	408	477
XM_027350706.1	54	0	0	0	0	0
XM_027350707.1	22	0	0	0	0	0
XM_027350709.1	2	0	0	0	0	0
XM_027350712.1	10	0	0	0	0	0
XM_027350713.1	32	102	39	0	0	4
XM_027350714.1	2	0	0	0	0	2
XM_027350715.1	19	0	4	2	0	0
