ID	padj
XR_003476660.1	1.62335825048485e-141
XM_027372348.1	2.88177430225413e-141
XR_003476661.1	1.13080740633876e-133
XM_027367830.1	4.87330118441138e-118
XR_003476652.1	7.41995850833652e-116
XR_003476663.1	1.08244721136544e-114
XR_003476667.1	6.48025343002e-110
XM_027378844.1	6.41498310759995e-105
XM_027360619.1	1.15385253341345e-104
XM_027366244.1	2.30870120772549e-104
XR_003476932.1	3.51248840318246e-104
XR_003476656.1	2.30917548730212e-103
XR_003476653.1	4.53935424137896e-101
XR_003476677.1	7.5972070680482e-101
XR_003476670.1	1.82038213614327e-99
XM_027363063.1	1.44468022642408e-96
XR_003477966.1	1.78162432823715e-95
XM_027380944.1	1.31371146487133e-91
XR_003476942.1	1.43176808691252e-91
XR_003476946.1	2.26924502551743e-91
XR_003476963.1	1.78981727219015e-90
XR_003476939.1	6.78086399594907e-90
XR_003476926.1	1.50021523031867e-89
XR_003476944.1	9.30870899698665e-89
XM_027355517.1	8.75585881343514e-87
XR_003477366.1	2.52436006877419e-86
XM_027357325.1	8.99230293611492e-86
XM_027380316.1	1.39602324534769e-85
XR_003476970.1	1.54038893649898e-85
XR_003476680.1	3.28638237372234e-84
XR_003476659.1	5.34103870439674e-84
XR_003476679.1	5.53764873744868e-83
XM_027383657.1	7.04213448780562e-82
XR_003476673.1	1.17923151315167e-81
XM_027365653.1	2.07522105021094e-81
XM_027359025.1	1.11372186629516e-80
XM_027358241.1	1.82296403216188e-80
XM_027371512.1	1.82296403216188e-80
XM_027372170.1	3.9402969230096e-80
XM_027366243.1	6.22854130154846e-80
XR_003476921.1	1.02290445365024e-79
XM_027374657.1	3.070462204702e-79
XM_027367658.1	3.98632925094446e-79
XM_027380075.1	1.60594948551314e-78
XM_027372172.1	4.11002454892944e-78
XR_003476923.1	6.17065416716702e-78
XR_003476650.1	1.43662899897311e-77
XM_027375641.1	3.64428468712622e-77
XM_027366245.1	4.83921595723969e-77
XR_003476928.1	7.97764808124539e-77
XM_027354659.1	5.69540179256032e-76
XM_027376794.1	2.95375970756332e-75
XM_027365185.1	1.02566395813679e-74
XM_027373751.1	1.65130010525598e-74
XM_027379219.1	6.06625653480177e-74
XM_027375643.1	2.11839264294016e-73
XR_003476666.1	2.18863585592541e-72
XM_027363923.1	3.35612151319649e-72
XM_027356386.1	1.42557658873707e-71
XM_027378722.1	3.33562558198494e-71
XM_027366246.1	5.82869836775511e-71
XM_027372558.1	3.36570592355559e-70
XM_027383358.1	1.36347523679823e-69
XM_027382190.1	3.47202967536999e-69
XM_027351335.1	1.00329949608867e-68
XM_027357059.1	2.09629442495956e-68
XR_003476655.1	7.4429140190732e-68
XM_027383359.1	2.92561672102615e-67
XM_027380540.1	2.12940601753261e-66
XM_027380183.1	2.173956829211e-65
XM_027367288.1	4.44132315866287e-65
XM_027378492.1	1.43094318276803e-64
XR_003476669.1	2.09395806531539e-64
XR_003476365.1	1.3515508482377e-63
XM_027354652.1	1.46438936476104e-63
XM_027367657.1	1.62154515768342e-63
XR_003476366.1	3.10092216450367e-63
XM_027358829.1	3.6623624800418e-63
XM_027367656.1	5.60498686838032e-63
XM_027382723.1	9.32881987249277e-63
XM_027364360.1	3.03045711658479e-62
XM_027356240.1	4.42886104629005e-62
XM_027351020.1	1.92911377593486e-61
XM_027358748.1	4.57325419177251e-61
XM_027355470.1	1.23429970458866e-59
XM_027368042.1	1.53916736025747e-59
XM_027363841.1	2.21930969592702e-59
XM_027367659.1	4.58119588015684e-59
XM_027360660.1	9.07142786051561e-59
XM_027382463.1	1.34442332842172e-58
XM_027375659.1	4.84343882394123e-58
XR_003476378.1	1.8092888172399e-57
XM_027375657.1	4.69065038698962e-57
XM_027373268.1	4.78164977548114e-57
XM_027362418.1	5.12655734249911e-57
XM_027363840.1	1.41119128244588e-56
XM_027358747.1	3.00754885158304e-56
XM_027360908.1	3.05238686946132e-56
XR_003475422.1	4.1336841768496e-56
XM_027355474.1	5.0856404193495e-56
XM_027369261.1	2.51591638415981e-54
XM_027378215.1	3.7171246055935e-54
XM_027363716.1	4.24039191961064e-54
XM_027364364.1	1.03108546151276e-53
XR_003475976.1	3.86046595946274e-53
XR_003477060.1	2.72212517581209e-52
XM_027364362.1	6.99479859385449e-52
XM_027375658.1	1.75430815574384e-51
XM_027355578.1	2.04956408057092e-51
XM_027373896.1	4.20326586862038e-51
XM_027375202.1	5.58019862488152e-51
XM_027368458.1	9.9845455849478e-51
XM_027351167.1	2.63627255410226e-49
XM_027351384.1	4.19512249262549e-49
XM_027367660.1	1.69217013129539e-48
XM_027360292.1	2.27156642864055e-48
XM_027357423.1	3.00027086986288e-48
XM_027367859.1	4.00964495907902e-48
XM_027362420.1	4.93265960296051e-48
XM_027358657.1	2.83166840230864e-47
XR_003476675.1	3.54234784838022e-47
XM_027350635.1	8.90044108024795e-47
XM_027367809.1	9.25939492590957e-47
XM_027383578.1	2.03124388713632e-46
XM_027368371.1	1.96779924037308e-45
XM_027364363.1	8.72426155178741e-45
XM_027355501.1	1.54191464787286e-44
XM_027377685.1	2.02297097513275e-44
XM_027364093.1	2.02340750102022e-44
XM_027371659.1	2.36335900869226e-44
XM_027351642.1	6.63079017910437e-44
XM_027357424.1	2.70282985622733e-43
XM_027356994.1	4.67728534768714e-43
XM_027368370.1	9.25776817746558e-43
XM_027358612.1	2.06064648814977e-42
XM_027353475.1	5.20295809154356e-42
XM_027369971.1	5.38321225484832e-42
XR_003476853.1	5.38321225484832e-42
XM_027383755.1	6.78891121099491e-42
XM_027361499.1	1.33769336677665e-40
XM_027369113.1	1.45501350987707e-40
XM_027380015.1	1.879880953026e-40
XR_003477346.1	2.77626023502151e-40
XM_027370413.1	3.6401856322717e-40
XM_027377718.1	1.71322040798592e-39
XR_003475491.1	3.98328295863226e-39
XM_027364171.1	5.25623429723918e-39
XM_027383754.1	8.09747758128673e-39
XM_027356320.1	1.45359701048299e-38
XM_027360537.1	1.59394989363995e-38
XM_027359690.1	1.91899673594133e-38
XM_027361461.1	3.35550521586034e-38
XM_027353906.1	4.97004358700252e-38
XM_027377237.1	6.66843711198279e-38
XM_027377499.1	6.92838096912841e-38
XM_027359800.1	7.12287407380755e-38
XM_027367661.1	2.52860628857065e-37
XM_027359897.1	3.25675739007607e-37
XM_027365246.1	3.29748275864944e-37
XM_027359438.1	4.74561325472669e-37
XM_027372608.1	2.55378639538618e-36
XM_027364183.1	3.75019833649859e-36
XM_027368457.1	3.97669403971779e-36
XM_027377733.1	4.82133212526635e-36
XM_027356992.1	1.3185909456958e-35
XM_027377737.1	1.56091671970618e-35
XM_027374371.1	1.97897710870611e-35
XM_027374837.1	2.84460674526628e-35
XM_027374372.1	4.86055204761347e-35
XR_003477368.1	1.07951146020381e-34
XM_027350641.1	1.35863146470455e-34
XM_027380761.1	3.84327177592419e-34
XM_027355403.1	6.37736162786175e-34
XM_027383193.1	8.01738496616327e-34
XM_027351643.1	9.34585095523046e-34
XM_027377063.1	1.60076805310221e-33
XM_027365507.1	1.73979692372339e-33
XM_027362214.1	2.0957763824121e-33
XM_027366636.1	2.15495096141651e-33
XM_027374369.1	2.39941168714667e-33
XM_027368071.1	3.47314136465039e-33
XM_027377802.1	3.67393807420279e-33
XM_027377002.1	4.69997287064839e-33
XM_027351589.1	5.52745347261415e-33
XM_027356059.1	2.87798967677872e-32
XM_027377064.1	4.87341634118279e-32
XM_027356993.1	1.39734067184747e-31
XM_027377785.1	1.43766184043781e-31
XM_027374681.1	6.23322617503516e-31
XM_027354252.1	7.90831276526324e-31
XM_027366814.1	1.02180461088343e-30
XM_027374368.1	1.02180461088343e-30
XM_027362043.1	1.03096578216921e-30
XM_027358969.1	1.15807438482585e-30
XM_027377816.1	1.4537337339083e-30
XM_027356991.1	1.88177584564189e-30
XM_027360527.1	2.11108452795246e-30
