ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350595.1	1.69912094349414	1.62608081134408	1.80966023780481	1.71399320672434
XM_027350613.1	6.42514956965669	6.47439401884718	6.40814032665534	6.42496145390027
XM_027350635.1	11.1482488262177	11.458589900818	11.1427023966845	11.1823602399652
XM_027350641.1	6.26347004793895	6.15317074216751	6.25727702631113	6.29584603224207
XM_027350646.1	7.60636819445473	6.55676711610062	7.60121520109313	7.64473899977785
XM_027350661.1	3.22914498772242	3.32036153053564	3.21798081664345	3.25569485065316
XM_027350662.1	3.15725089840899	3.23045657177234	3.13055668042625	3.18974637920534
XM_027350663.1	4.23116418513331	4.28189802220748	4.21949228447894	4.2622438768676
XM_027350664.1	3.53225379458161	3.54956990402919	3.50622554864039	3.56035986382502
XM_027350665.1	1.88730250129936	1.28487088273186	1.86045912032699	1.8543952800899
XM_027350666.1	-8.21317701099168	-1.77976554215052	-1.73705399115712	-3.27289918453687
XM_027350674.1	-2.65557162501376	-2.43574325089435	-2.71589694905767	-2.65147998073092
XM_027350680.1	-1.7245190704378	-1.70733627508713	-1.69882295968454	-1.68230218449012
XM_027350691.1	3.31919024676803	3.45415376111002	3.32431904593467	3.35666627472656
XM_027350741.1	3.36100661634885	3.36748017781281	3.35380794974435	3.38570298363064
XM_027350745.1	3.39890769938663	3.38760694561501	3.39230986874595	3.4270578996554
XM_027350748.1	4.06151085592277	3.48856427641024	4.08260084897775	4.12175831181595
XM_027350780.1	1.54276026911042	1.3252468511758	1.52213521436609	1.55293649293684
XM_027350782.1	-2.26719818967322	-2.19882089455782	-1.99640057764001	-2.25039646776056
XM_027350785.1	-3.69598858982278	-3.02725008031635	-3.1003766744362	-3.63458185093272
XM_027350789.1	6.7129061389726	7.98094951789115	6.74044187328389	6.7857916098865
XM_027350816.1	4.73116090736835	4.78963551005994	4.72366402672286	4.75915853550796
XM_027350817.1	-1.77273977177055	-1.76624310695278	-1.74906823248452	-1.74898983302201
XM_027350818.1	-1.59743550823645	-1.61761743073669	-1.56744695022673	-1.57066556861573
XM_027350827.1	-2.21282556964084	-2.07277245862681	-2.1612258203631	-2.17022046723266
XM_027350845.1	-2.00029115255326	-1.78684948516022	-1.96636657731611	-2.00173514498943
XM_027350877.1	-1.71277270647988	-2.61557396769333	-1.7504562555867	-1.71103283760102
XM_027350880.1	-1.82259742854861	-2.45552102054745	-1.79395467457163	-1.82223161156088
XM_027350886.1	-1.78503608048183	-2.11150211264527	-1.86075201032305	-1.77693517391382
XM_027350894.1	-2.44199356222985	-2.65522941377637	-2.49841658593238	-2.43142578471421
XM_027350902.1	-3.83294502118918	-3.88836898511366	-3.78831377005076	-3.78047753803834
XM_027350903.1	-4.78785791278526	-4.73562554966868	-4.7014258671115	-4.7469485007266
XM_027350910.1	-3.13435798013384	-3.00995038512915	-3.14972366719853	-3.11647411358117
XM_027350917.1	1.52121645563731	1.71548829945596	1.50813408594716	1.54195170673102
XM_027350921.1	-1.61635490695802	-1.81461044148728	-1.59460042367178	-1.58682911117872
XM_027350928.1	-2.19311887766733	-2.1457090275625	-2.18273653617604	-2.17765819550955
XM_027350931.1	-2.40114505360219	-2.44890011207981	-2.46208407585131	-2.38731297336762
XM_027350940.1	3.51259105203891	3.38087700146414	3.56048507724844	3.56261004674958
XM_027350942.1	-1.95297529434118	-1.7440965011205	-1.9375493375959	-1.93373586094088
XM_027350950.1	-1.76499776920722	-1.7139424228457	-1.7867687913274	-1.75870100414074
XM_027350955.1	1.56125210977812	1.46079855551427	1.52456077523835	1.56724348535429
XM_027350956.1	1.6843117911228	1.59190789950912	1.64736629035103	1.68944077243077
XM_027350957.1	1.62376687945971	1.34721842610101	1.61554785984597	1.63746112473444
XM_027350962.1	1.87336699281707	1.94328160189347	1.85517164874636	1.87780597931275
XM_027350968.1	4.38197844519037	4.25947840229471	4.36887819572705	4.41319520282273
XM_027350970.1	5.19428902141339	4.79545258258622	5.17377883783656	5.22408212686135
XM_027350971.1	5.66903958240775	5.4516093819507	5.65362146165656	5.70300776409903
XM_027350972.1	5.20227133235382	4.87863224728566	5.19126424240146	5.23998968112643
XM_027350973.1	4.96220632948923	4.40497373801643	4.96050611177963	5.00389198998996
XM_027350974.1	5.06585638264175	4.66717029007221	5.06546524566981	5.10834113722699
XM_027350975.1	4.91426424166338	4.01055728664279	4.90698123881867	4.95107860178182
XM_027350977.1	5.20780610949692	4.96994489434243	5.19990712802957	5.24497395682134
XM_027350978.1	3.73198614669774	3.06143648152772	3.71812852321353	3.7624219291892
XM_027350979.1	5.36302162760578	4.94138781040673	5.36303401439898	5.40729274146439
XM_027350982.1	-3.52310755456539	-2.96027346820855	-3.43219659998125	-3.47603009176327
XM_027351006.1	5.21271693788279	5.63155215327852	5.23232306068404	5.25971973465138
XM_027351011.1	-1.90610316432973	-1.63398768093211	-1.79397885897194	-1.89571115167927
XM_027351014.1	-3.06877116852088	-3.73532184491551	-3.03999126354743	-3.06648662017004
XM_027351019.1	1.87636045307346	1.32482503880201	1.88844833141985	1.90608043888382
XM_027351020.1	5.94804382485666	5.94034782181655	5.94053129821965	5.9742462939165
XM_027351026.1	-7.86895327668371	-1.49270510271714	-1.38978093856547	-2.92444156643598
XM_027351035.1	-10.5816352377486	-3.46842992870487	-4.10026069651347	-5.62202184368422
XM_027351040.1	-3.25712249298143	-2.44471109428611	-2.66230633967046	-3.20889117459143
XM_027351045.1	9.43722211865501	9.83186020141033	9.41329144646753	9.42995592461845
XM_027351053.1	2.83930516936228	2.86502114606489	2.81824883649545	2.86776423006655
XM_027351063.1	-4.07029293813923	-3.73178811536382	-3.85541823411109	-4.105077194285
XM_027351070.1	-2.3175585303289	-3.24787452906927	-2.25016273335269	-2.33429207156838
XM_027351101.1	-1.59115434084096	-1.8080243243813	-1.62547499541099	-1.53549888607881
XM_027351110.1	-1.90906718248723	-2.24769168747679	-1.82479250356642	-1.87909013971092
XM_027351111.1	-1.67768444504249	-2.19167106711545	-1.74414384196804	-1.6805131480007
XM_027351119.1	-9.41309650642719	-2.96515820835354	-2.93805041133919	-4.4735062514397
XM_027351128.1	-1.75324789243987	-1.84147339277591	-1.77759745256314	-1.7264013213932
XM_027351145.1	-3.20481098457261	-3.02688299873683	-2.82409378731327	-3.21889952148051
XM_027351146.1	-2.69417452676238	-2.2096791008681	-2.55389283210588	-2.6820680044925
XM_027351148.1	3.96336487251461	3.86218661783974	3.96328948036535	3.99512547670534
XM_027351161.1	4.94758382948351	4.94022371269828	4.9368005242446	4.9696181619405
XM_027351163.1	-1.86795484154688	-2.06111894417997	-1.59787438805107	-1.83873387881526
XM_027351167.1	9.30335561362416	9.2332806412965	9.30442116692389	9.34222978359218
XM_027351168.1	6.60376447795972	6.51043312390158	6.63126251801066	6.65438908278024
XM_027351171.1	-1.77312932905792	-1.51520313417767	-1.79426452544348	-1.76233525652151
XM_027351173.1	-1.60656471037366	-1.31078414376858	-1.54564180504648	-1.60911723970573
XM_027351178.1	3.81716286183788	3.80938038733006	3.8055978870304	3.84267581319327
XM_027351181.1	-2.89534000637902	-3.07221363017828	-2.6311551232841	-2.86717736528199
XM_027351186.1	-2.02321406338635	-2.3764448029339	-1.66793107055849	-2.04722493096822
XM_027351188.1	-3.32388672310147	-3.05262297625376	-3.37353683930994	-3.32231874765256
XM_027351193.1	-1.78133186950597	-1.48229728896928	-1.72040473322458	-1.78399617396004
XM_027351198.1	-2.24619358520676	-2.80293284413305	-2.09384337727459	-2.22122051550618
XM_027351211.1	-2.17039736952934	-2.19579929199882	-2.1480831497272	-2.1599748266219
XM_027351212.1	-2.28999028064451	-2.29926480732922	-2.2885362558022	-2.26483615013909
XM_027351226.1	-1.46993909278772	-1.35287959435704	-1.50326133905401	-1.44916683695541
XM_027351232.1	1.61692235537157	1.55314782848571	1.57543092258812	1.63034795357451
XM_027351263.1	-1.85317424473509	-1.5261055879641	-1.74654450426348	-1.82883830072186
XM_027351275.1	3.0243642030721	2.99083285102418	3.09970730489781	3.03195119372944
XM_027351282.1	2.15052184252964	3.5626426949007	2.13233569031945	2.17028606885875
XM_027351287.1	-1.7840297022558	-1.97141153445107	-1.87798749371134	-1.75064277549014
XM_027351290.1	-2.17729643592846	-1.68775142870219	-1.58663606448947	-2.13890700674225
XM_027351307.1	-1.57054595813121	-1.03327273172251	-1.58975280129952	-1.56294164889086
XM_027351325.1	-3.08240662844618	-3.91234793348465	-2.86886612714371	-3.00965544429301
XM_027351326.1	-3.6173331653276	-3.72851607865954	-3.73230101263741	-3.60216359064921
XM_027351329.1	-3.32266976923121	-3.23436956206735	-3.28583279800709	-3.3186217965768
XM_027351330.1	-3.23146361450274	-3.31283784215081	-3.3572201676622	-3.21014762526221
XM_027351334.1	1.87648929200589	1.892897702876	1.87490150769954	1.90586319856687
XM_027351335.1	10.183730929337	10.2087440626094	10.1772649802451	10.2134199358678
