ID	limma	edgeR	DESeq2	NOISeq
XM_027350613.1	1	1	1	1
XM_027350635.1	1	1	1	1
XM_027350641.1	1	1	1	1
XM_027350646.1	1	1	1	1
XM_027350661.1	1	1	1	1
XM_027350662.1	1	1	1	1
XM_027350663.1	1	1	1	1
XM_027350664.1	1	1	1	1
XM_027350691.1	1	1	1	1
XM_027350741.1	1	1	1	1
XM_027350745.1	1	1	1	1
XM_027350748.1	1	1	1	1
XM_027350785.1	1	1	1	1
XM_027350789.1	1	1	1	1
XM_027350816.1	1	1	1	1
XM_027350894.1	1	1	1	1
XM_027350902.1	1	1	1	1
XM_027350903.1	1	1	1	1
XM_027350928.1	1	1	1	1
XM_027350931.1	1	1	1	1
XM_027350940.1	1	1	1	1
XM_027350968.1	1	1	1	1
XM_027350970.1	1	1	1	1
XM_027350971.1	1	1	1	1
XM_027350972.1	1	1	1	1
XM_027350973.1	1	1	1	1
XM_027350974.1	1	1	1	1
XM_027350977.1	1	1	1	1
XM_027350979.1	1	1	1	1
XM_027351006.1	1	1	1	1
XM_027351014.1	1	1	1	1
XM_027351020.1	1	1	1	1
XM_027351045.1	1	1	1	1
XM_027351053.1	1	1	1	1
XM_027351119.1	1	1	1	1
XM_027351148.1	1	1	1	1
XM_027351161.1	1	1	1	1
XM_027351167.1	1	1	1	1
XM_027351168.1	1	1	1	1
XM_027351178.1	1	1	1	1
XM_027351181.1	1	1	1	1
XM_027351188.1	1	1	1	1
XM_027351212.1	1	1	1	1
XM_027351275.1	1	1	1	1
XM_027351325.1	1	1	1	1
XM_027351326.1	1	1	1	1
XM_027351329.1	1	1	1	1
XM_027351330.1	1	1	1	1
XM_027351334.1	1	1	1	1
XM_027351335.1	1	1	1	1
XM_027351341.1	1	1	1	1
XM_027351342.1	1	1	1	1
XM_027351343.1	1	1	1	1
XM_027351344.1	1	1	1	1
XM_027351345.1	1	1	1	1
XM_027351384.1	1	1	1	1
XM_027351389.1	1	1	1	1
XM_027351390.1	1	1	1	1
XM_027351410.1	1	1	1	1
XM_027351433.1	1	1	1	1
XM_027351450.1	1	1	1	1
XM_027351451.1	1	1	1	1
XM_027351467.1	1	1	1	1
XM_027351469.1	1	1	1	1
XM_027351487.1	1	1	1	1
XM_027351566.1	1	1	1	1
XM_027351589.1	1	1	1	1
XM_027351642.1	1	1	1	1
XM_027351643.1	1	1	1	1
XM_027351645.1	1	1	1	1
XM_027351646.1	1	1	1	1
XM_027351649.1	1	1	1	1
XM_027351653.1	1	1	1	1
XM_027351673.1	1	1	1	1
XM_027351676.1	1	1	1	1
XM_027351683.1	1	1	1	1
XM_027351712.1	1	1	1	1
XM_027351721.1	1	1	1	1
XM_027351729.1	1	1	1	1
XM_027351734.1	1	1	1	1
XM_027351735.1	1	1	1	1
XM_027351736.1	1	1	1	1
XM_027351746.1	1	1	1	1
XM_027351757.1	1	1	1	1
XM_027351759.1	1	1	1	1
XM_027351762.1	1	1	1	1
XM_027351767.1	1	1	1	1
XM_027351772.1	1	1	1	1
XM_027351776.1	1	1	1	1
XM_027351871.1	1	1	1	1
XM_027351872.1	1	1	1	1
XM_027351873.1	1	1	1	1
XM_027351988.1	1	1	1	1
XM_027351989.1	1	1	1	1
XM_027351990.1	1	1	1	1
XM_027351991.1	1	1	1	1
XM_027352003.1	1	1	1	1
XM_027352008.1	1	1	1	1
XM_027352016.1	1	1	1	1
XM_027352033.1	1	1	1	1
XM_027352034.1	1	1	1	1
XM_027352156.1	1	1	1	1
XM_027352188.1	1	1	1	1
XM_027352208.1	1	1	1	1
XM_027352234.1	1	1	1	1
XM_027352275.1	1	1	1	1
XM_027352304.1	1	1	1	1
XM_027352341.1	1	1	1	1
XM_027352437.1	1	1	1	1
XM_027352446.1	1	1	1	1
XM_027352485.1	1	1	1	1
XM_027352504.1	1	1	1	1
XM_027352509.1	1	1	1	1
XM_027352529.1	1	1	1	1
XM_027352530.1	1	1	1	1
XM_027352531.1	1	1	1	1
XM_027352532.1	1	1	1	1
XM_027352533.1	1	1	1	1
XM_027352545.1	1	1	1	1
XM_027352554.1	1	1	1	1
XM_027352573.1	1	1	1	1
XM_027352574.1	1	1	1	1
XM_027352578.1	1	1	1	1
XM_027352579.1	1	1	1	1
XM_027352601.1	1	1	1	1
XM_027352665.1	1	1	1	1
XM_027352678.1	1	1	1	1
XM_027352735.1	1	1	1	1
XM_027352773.1	1	1	1	1
XM_027352778.1	1	1	1	1
XM_027352826.1	1	1	1	1
XM_027352841.1	1	1	1	1
XM_027352879.1	1	1	1	1
XM_027352883.1	1	1	1	1
XM_027352913.1	1	1	1	1
XM_027352941.1	1	1	1	1
XM_027352944.1	1	1	1	1
XM_027352945.1	1	1	1	1
XM_027352954.1	1	1	1	1
XM_027352958.1	1	1	1	1
XM_027353008.1	1	1	1	1
XM_027353031.1	1	1	1	1
XM_027353041.1	1	1	1	1
XM_027353044.1	1	1	1	1
XM_027353058.1	1	1	1	1
XM_027353059.1	1	1	1	1
XM_027353068.1	1	1	1	1
XM_027353072.1	1	1	1	1
XM_027353079.1	1	1	1	1
XM_027353093.1	1	1	1	1
XM_027353106.1	1	1	1	1
XM_027353130.1	1	1	1	1
XM_027353157.1	1	1	1	1
XM_027353246.1	1	1	1	1
XM_027353321.1	1	1	1	1
XM_027353338.1	1	1	1	1
XM_027353375.1	1	1	1	1
XM_027353405.1	1	1	1	1
XM_027353433.1	1	1	1	1
XM_027353470.1	1	1	1	1
XM_027353475.1	1	1	1	1
XM_027353506.1	1	1	1	1
XM_027353549.1	1	1	1	1
XM_027353555.1	1	1	1	1
XM_027353556.1	1	1	1	1
XM_027353651.1	1	1	1	1
XM_027353653.1	1	1	1	1
XM_027353658.1	1	1	1	1
XM_027353771.1	1	1	1	1
XM_027353782.1	1	1	1	1
XM_027353792.1	1	1	1	1
XM_027353801.1	1	1	1	1
XM_027353806.1	1	1	1	1
XM_027353813.1	1	1	1	1
XM_027353814.1	1	1	1	1
XM_027353833.1	1	1	1	1
XM_027353848.1	1	1	1	1
XM_027353864.1	1	1	1	1
XM_027353884.1	1	1	1	1
XM_027353906.1	1	1	1	1
XM_027353918.1	1	1	1	1
XM_027354026.1	1	1	1	1
XM_027354041.1	1	1	1	1
XM_027354042.1	1	1	1	1
XM_027354049.1	1	1	1	1
XM_027354051.1	1	1	1	1
XM_027354054.1	1	1	1	1
XM_027354057.1	1	1	1	1
XM_027354059.1	1	1	1	1
XM_027354081.1	1	1	1	1
XM_027354133.1	1	1	1	1
XM_027354134.1	1	1	1	1
XM_027354153.1	1	1	1	1
XM_027354210.1	1	1	1	1
XM_027354251.1	1	1	1	1
XM_027354252.1	1	1	1	1
XM_027354259.1	1	1	1	1
XM_027354281.1	1	1	1	1
XM_027354305.1	1	1	1	1
XM_027354353.1	1	1	1	1
XM_027354392.1	1	1	1	1
XM_027354398.1	1	1	1	1
XM_027354401.1	1	1	1	1
XM_027354402.1	1	1	1	1
XM_027354403.1	1	1	1	1
XM_027354404.1	1	1	1	1
XM_027354405.1	1	1	1	1
XM_027354406.1	1	1	1	1
XM_027354407.1	1	1	1	1
XM_027354411.1	1	1	1	1
XM_027354414.1	1	1	1	1
XM_027354451.1	1	1	1	1
XM_027354452.1	1	1	1	1
XM_027354458.1	1	1	1	1
XM_027354461.1	1	1	1	1
XM_027354463.1	1	1	1	1
XM_027354464.1	1	1	1	1
XM_027354469.1	1	1	1	1
XM_027354470.1	1	1	1	1
XM_027354508.1	1	1	1	1
XM_027354525.1	1	1	1	1
XM_027354540.1	1	1	1	1
XM_027354555.1	1	1	1	1
XM_027354630.1	1	1	1	1
XM_027354650.1	1	1	1	1
XM_027354652.1	1	1	1	1
XM_027354657.1	1	1	1	1
XM_027354659.1	1	1	1	1
XM_027354693.1	1	1	1	1
XM_027354707.1	1	1	1	1
XM_027354715.1	1	1	1	1
XM_027354838.1	1	1	1	1
XM_027354840.1	1	1	1	1
XM_027354875.1	1	1	1	1
XM_027354876.1	1	1	1	1
XM_027354921.1	1	1	1	1
XM_027354924.1	1	1	1	1
XM_027354948.1	1	1	1	1
XM_027354968.1	1	1	1	1
XM_027355000.1	1	1	1	1
XM_027355039.1	1	1	1	1
XM_027355047.1	1	1	1	1
XM_027355048.1	1	1	1	1
XM_027355058.1	1	1	1	1
XM_027355061.1	1	1	1	1
XM_027355065.1	1	1	1	1
XM_027355086.1	1	1	1	1
XM_027355111.1	1	1	1	1
XM_027355178.1	1	1	1	1
XM_027355188.1	1	1	1	1
XM_027355199.1	1	1	1	1
XM_027355227.1	1	1	1	1
XM_027355232.1	1	1	1	1
XM_027355237.1	1	1	1	1
XM_027355300.1	1	1	1	1
XM_027355305.1	1	1	1	1
XM_027355343.1	1	1	1	1
XM_027355403.1	1	1	1	1
XM_027355437.1	1	1	1	1
XM_027355444.1	1	1	1	1
XM_027355466.1	1	1	1	1
XM_027355467.1	1	1	1	1
XM_027355468.1	1	1	1	1
XM_027355470.1	1	1	1	1
XM_027355474.1	1	1	1	1
XM_027355501.1	1	1	1	1
XM_027355509.1	1	1	1	1
XM_027355517.1	1	1	1	1
XM_027355519.1	1	1	1	1
XM_027355548.1	1	1	1	1
XM_027355550.1	1	1	1	1
XM_027355558.1	1	1	1	1
XM_027355578.1	1	1	1	1
XM_027355588.1	1	1	1	1
XM_027355590.1	1	1	1	1
XM_027355606.1	1	1	1	1
XM_027355673.1	1	1	1	1
XM_027355691.1	1	1	1	1
