ID	gills_mean	gills_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XM_027350646.1	39.7079352529651	7710.29658671207	-2.80373563958839	1	-7.60121520109313	0	7.60121520109313	160	149	269	489	2595	76	45.1000751353576	28.9173759872492	45.1063546362885	7016.03183417563	15641.9733760455	472.884549915024	Down_gills_Up_gills_wssv
XM_027350741.1	527.34605908393	5391.28756733938	-4.70494182647369	1	-3.35380794974435	0	3.35380794974435	2079	2833	2661	400	927	779	586.019101290053	549.81829645555	446.200779506185	5739.08534492894	5587.7107204602	4847.06663662899	Down_gills_Up_gills_wssv
XM_027350745.1	172.190715171913	1807.99304252651	-2.4854239425737	1	-3.39230986874595	0	3.39230986874595	490	1029	1066	128	366	222	138.118980102033	199.704563026037	178.748602387671	1836.50731037726	2206.15115823995	1381.32065896231	Down_gills_Up_gills_wssv
XM_027350816.1	196.432430294405	5190.12420785526	-3.85969279541131	1	-4.72366402672286	0	4.72366402672286	391	1303	1349	337	1078	681	110.21330861203	252.88148262675	226.202499644436	4835.17940310263	6497.89876661931	4237.29445384383	Down_gills_Up_gills_wssv
XM_027350903.1	1607.94707682705	61.8018594609793	2.23034008562126	1	4.7014258671115	0	-4.7014258671115	4017	6278	14749	7	11	3	1132.29376136707	1218.41131844262	2473.13615067145	100.433993536256	66.305089455299	18.6664953913825	Up_gills_Down_gills_wssv
XM_027351020.1	343.087544498057	21070.8988646024	-5.94768835423767	1	-5.94053129821965	0	5.94053129821965	1331	1898	1704	1518	4131	2657	375.176250032256	368.356910226839	285.729473235077	21779.8288840053	24900.5749581673	16532.2927516344	Down_gills_Up_gills_wssv
XM_027351045.1	7.35428130496205	5014.45018366611	-2.82833130676142	1	-9.41329144646753	0	9.41329144646753	64	19	2	17	1520	906	18.040030054143	3.68745062924654	0.335363231496569	243.91112715948	9162.15781564132	5637.28160819752	Down_gills_Up_gills_wssv
XM_027351390.1	23.6804128650004	5457.97926197328	-3.13368808430463	1	-7.848528868371	0	7.848528868371	31	156	191	149	705	1605	8.73813955747554	30.2759104296032	32.0271886079223	2137.80929098603	4249.55346054417	9986.57503438965	Down_gills_Up_gills_wssv
XM_027351566.1	838.060915065408	77.1117396902958	1.66835091520494	1	3.44203268948031	0	-3.44203268948031	3427	4993	3454	6	21	3	965.987234305441	969.02321009621	579.172300794574	86.0862801739341	126.582443505571	18.6664953913825	Up_gills_Down_gills_wssv
XM_027351589.1	54.5761009713309	3068.72196885677	-3.35534056803825	1	-5.81322480181147	0	5.81322480181147	154	391	265	164	723	401	43.4088223177817	75.8838524229157	44.4356281732954	2353.02499142086	4358.05269783466	2495.0882173148	Down_gills_Up_gills_wssv
XM_027351643.1	4.87599622987158	15288.4132074995	-4.797678481193	1	-11.6144540454719	0	11.6144540454719	1	48	30	1235	3409	1221	0.281875469595985	9.31566474757022	5.03044847244853	17719.4260024681	20548.5499957377	7597.26362429268	Down_gills_Up_gills_wssv
XM_027351757.1	128.332369817879	2657.34037655186	-2.58600132854446	1	-4.37202601476032	0	4.37202601476032	500	829	496	278	346	305	140.937734797993	160.889293244494	83.1700814111491	3988.66431472561	2085.59645013941	1897.76036479056	Down_gills_Up_gills_wssv
XM_027352003.1	809.880973766072	7648.68594708512	-2.9935019301147	1	-3.23943011313748	0	3.23943011313748	3065	4144	4541	335	1398	1561	863.948314311694	804.252389873562	761.44221711296	4806.48397637799	8426.77409622801	9712.79976864937	Down_gills_Up_gills_wssv
XM_027352008.1	75.4069809419103	2367.95185572807	-2.51777689484234	1	-4.97279784886694	0	4.97279784886694	378	322	341	268	297	236	106.548927507282	62.4925843482835	57.179430970165	3845.18718110239	1790.23741529307	1468.43097078876	Down_gills_Up_gills_wssv
XM_027352207.1	2264.11315765757	209.407712846484	1.61408945079699	1	3.43455957883652	0	-3.43455957883652	15535	3391	10468	10	35	44	4378.93542017363	658.112899146054	1755.29115365304	143.477133623223	210.970739175952	273.775265740277	Up_gills_Down_gills_wssv
XM_027352485.1	3279.59574327454	543.592897576943	2.26081385581418	1	2.59291948164452	0	-2.59291948164452	11918	21041	14288	24	72	137	3359.39184664495	4083.56045736719	2395.83492581149	344.345120695736	433.996949161957	852.436622873135	Up_gills_Down_gills_wssv
XM_027352529.1	99.9769817173435	2740.16649503282	-2.79627718655431	1	-4.77652377206029	0	4.77652377206029	134	727	722	269	356	356	37.771312925862	141.093505655907	121.066126570261	3859.53489446471	2145.87380418968	2215.09078644406	Down_gills_Up_gills_wssv
XM_027352531.1	72.8517448228154	2776.05048324138	-3.25707217309023	1	-5.25192646801977	0	5.25192646801977	119	574	439	247	355	425	33.5431808819222	111.399824273027	73.6122293134969	3543.88520049362	2139.84606878465	2644.42018044586	Down_gills_Up_gills_wssv
XM_027352532.1	70.508426972954	2528.61416496065	-3.02233692903322	1	-5.16440741151497	0	5.16440741151497	92	596	417	231	336	361	25.9325432028306	115.669503948997	69.9232337670346	3314.32178669646	2025.31909608913	2246.20161209636	Down_gills_Up_gills_wssv
XM_027352533.1	99.2802936634899	3317.61484581017	-2.9856026129837	1	-5.06249521512569	0	5.06249521512569	181	724	634	334	435	408	51.0194599968733	140.511276609184	106.310144384412	4792.13626301566	2622.06490118683	2538.64337322802	Down_gills_Up_gills_wssv
XM_027352577.1	929.987315225293	74.6998590812462	1.61388981726815	1	3.63803361185147	0	-3.63803361185147	4435	1659	7263	7	4	16	1250.11770765819	321.972662837896	1217.87157517979	100.433993536256	24.1109416201087	99.5546420873734	Up_gills_Down_gills_wssv
XM_027352601.1	190.346516385209	5380.82279157046	-3.20577795972973	1	-4.82112672295673	0	4.82112672295673	636	968	1216	407	1221	473	179.272798663047	187.865905742666	203.900844749914	5839.5193384652	7359.86492953819	2943.08410670798	Down_gills_Up_gills_wssv
XM_027353338.1	489.113268266307	13523.7002579428	-4.75964004655143	1	-4.78917753382281	0	4.78917753382281	716	5134	1605	852	1991	2627	201.822836230725	996.387975292198	269.128993275997	12224.2517846986	12001.2211914091	16345.6277977206	Down_gills_Up_gills_wssv
XM_027353405.1	4052.03431622197	85335.7938553977	-5.92738848627054	1	-4.39643270548591	0	4.39643270548591	10365	29645	20760	5535	12249	16515	2921.63924236239	5753.39336336915	3481.07034293438	79414.5934604542	73833.730976178	102759.057129561	Down_gills_Up_gills_wssv
XM_027353846.1	2725.89007815096	174.796876191985	1.68690106611547	1	3.96297607879222	0	-3.96297607879222	19964	11138	2318	10	25	37	5627.36187501425	2161.62237413411	388.685985304523	143.477133623223	150.69338512568	230.220109827051	Up_gills_Down_gills_wssv
XM_027354081.1	1585.8490949531	24959.2786960119	-3.77762160418046	1	-3.97624884223797	0	3.97624884223797	7956	7003	6893	2055	4851	2596	2242.60123610566	1359.11667140071	1155.82937735292	29484.5509595724	29240.5444497869	16152.7406786763	Down_gills_Up_gills_wssv
XM_027354134.1	5.76557418692013	3780.88105049829	-2.50700608748526	1	-9.35704245500049	0	9.35704245500049	59	3	0	14	1259	571	16.6306527061631	0.582229046723139	0.0838408078741422	200.867987072513	7588.91887492923	3552.85628949314	Down_gills_Up_gills_wssv
XM_027354252.1	11.1376079687078	308.904146439138	-2.24120259374754	1	-4.79364791397006	0	4.79364791397006	39	68	55	19	60	47	10.9931433142434	13.1971917257245	9.22248886615564	272.606553884125	361.664124301631	292.441761131659	Down_gills_Up_gills_wssv
XM_027354398.1	27.8391923969613	8737.8649398751	-4.69875262559149	1	-8.29401963633695	0	8.29401963633695	5	252	198	441	1471	1771	1.40937734797993	48.9072399247436	33.2009599181603	6327.34159278416	8866.79878079499	11019.4544460461	Down_gills_Up_gills_wssv
XM_027354401.1	196.461767366445	3230.2086258971	-3.12290572201867	1	-4.03930685783255	0	4.03930685783255	647	1139	1109	242	659	361	182.373428828602	221.052961405885	185.958911864847	3472.14663368201	3972.27763191292	2246.20161209636	Down_gills_Up_gills_wssv
XM_027354402.1	163.997128835291	3120.42710443242	-2.83136912048821	1	-4.25000104729859	0	4.25000104729859	532	996	887	241	679	291	149.957749825064	193.300043512082	148.733593168728	3457.79892031969	4092.83234001346	1810.6500529641	Down_gills_Up_gills_wssv
XM_027354403.1	166.821548353982	2940.20293838129	-2.93840023818458	1	-4.13953817706892	0	4.13953817706892	551	968	938	225	615	303	155.313383747388	187.865905742666	157.285355571891	3228.23550652253	3707.05727409172	1885.31603452963	Down_gills_Up_gills_wssv
XM_027354404.1	313.253649060395	7122.86442599954	-3.30643842706828	1	-4.5070543102506	0	4.5070543102506	1069	1826	1694	637	1363	645	301.324876998108	354.383413105484	284.052657077594	9139.49341179934	8215.80335705205	4013.29650914724	Down_gills_Up_gills_wssv
XM_027354405.1	220.48861654522	3129.50906725756	-2.76409427477529	1	-3.82716027735812	0	3.82716027735812	726	1330	1185	212	703	339	204.641590926685	258.121544047258	198.702714661717	3041.71523281234	4237.49798973411	2109.31397922622	Down_gills_Up_gills_wssv
XM_027354406.1	200.424331312534	3124.07389162116	-2.87577973360111	1	-3.96229901097342	0	3.96229901097342	719	1208	979	235	660	325	202.668462639513	234.444229480517	164.16030181757	3371.71264014575	3978.30536731794	2022.20366739977	Down_gills_Up_gills_wssv
XM_027354407.1	187.321372709325	3030.69095397459	-2.89295492279315	1	-4.01605932441863	0	4.01605932441863	579	1163	1032	215	657	329	163.205896896075	225.71079377967	173.04742745223	3084.7583728993	3960.22216110286	2047.09232792162	Down_gills_Up_gills_wssv
XM_027354458.1	1.35858388437141	3796.28774245474	-3.31418786420566	1	-11.4482699852711	0	11.4482699852711	2	6	14	612	251	176	0.56375093919197	1.16445809344628	2.34754262047598	8780.80057774128	1512.96158666182	1095.10106296111	Down_gills_Up_gills_wssv
XM_027354464.1	15.100492491162	2796.31450239075	-2.24330383405609	1	-7.53278721726118	0	7.53278721726118	43	139	37	476	140	115	12.1206451926274	26.9766124981721	6.20421978268652	6829.51156046544	843.882956703806	715.548990002996	Down_gills_Up_gills_wssv
XM_027354496.1	42.1743458048637	5662.57992164771	-2.31445137583249	1	-7.06895000721731	0	7.06895000721731	345	80	82	771	981	2	97.2470370106149	15.526107912617	13.7498924913593	11062.0870023505	5913.20843233167	12.4443302609217	Down_gills_Up_gills_wssv
XM_027354500.1	50.7807010007838	5507.19703852393	-2.24531325077691	1	-6.76089410569473	0	6.76089410569473	415	101	94	749	955	3	116.978319882334	19.601711239679	15.7620718803387	10746.4373083794	5756.48731180096	18.6664953913825	Down_gills_Up_gills_wssv
XM_027354657.1	150.291566085426	2337.93437706761	-2.54239477445964	1	-3.95939847887438	0	3.95939847887438	404	1072	769	226	349	268	113.877689716778	208.049846029068	128.947162510431	3242.58321988485	2103.67965635449	1667.5402549635	Down_gills_Up_gills_wssv
XM_027354659.1	133.500256401749	67026.6470146792	-4.77556966026987	1	-8.97174844232549	0	8.97174844232549	441	814	705	3488	17386	7431	124.307082091829	157.978148010878	118.215539102541	50044.8242077804	104798.207751803	46236.9090844545	Down_gills_Up_gills_wssv
XM_027354924.1	392.222179598066	7033.62030753047	-3.82569059657375	1	-4.16452443149618	0	4.16452443149618	1017	2628	2266	376	1145	1415	286.667352579117	510.032644929469	379.966541285613	5394.7402242332	6901.75703875613	8804.36365960209	Down_gills_Up_gills_wssv
XM_027355086.1	373.56671079724	2108.98210174437	-2.26049422774856	1	-2.49710904675959	0	2.49710904675959	952	2682	1979	157	294	370	268.345447055378	520.512767770486	331.841917565855	2252.59099788461	1772.15420907799	2302.20109827051	Down_gills_Up_gills_wssv
XM_027355188.1	25384.5937141874	356034.003088542	-3.66222750328116	1	-3.80998995788456	0	3.80998995788456	17646	178844	217498	33069	56327	40840	4973.97453649075	34709.390544051	36470.4160620204	474464.533178638	339524.252158966	254113.223928021	Down_gills_Up_gills_wssv
XM_027355305.1	1463.08934985108	8292.86974331374	-3.02436145691055	1	-2.5028535554486	0	2.5028535554486	2907	11146	8389	719	1138	1238	819.411990115529	2163.17498492537	1406.68107451236	10316.0059075098	6859.56289092094	7703.04043151052	Down_gills_Up_gills_wssv
XM_027355343.1	162.55350325244	2268.40219181565	-2.85483143891484	1	-3.80268990185579	0	3.80268990185579	624	1012	688	135	339	454	175.890293027895	196.405265094605	115.36495163482	1936.94130391352	2043.40230230422	2824.86296922922	Down_gills_Up_gills_wssv
XM_027355403.1	338.44138759721	26494.1974379724	-6.08447344592426	1	-6.29062661099337	0	6.29062661099337	644	2665	1888	1847	3581	5046	181.527802419814	517.213469839055	316.582890532761	26500.2265802094	21585.3204854024	31397.0452483054	Down_gills_Up_gills_wssv
XM_027355437.1	7249.97333141239	232712.235020151	-3.11912913117153	1	-5.00442756501391	0	5.00442756501391	8865	48081	59158	11838	61371	25451	2498.82603796841	9331.38493183174	9919.70902443701	169848.230783172	369928.149541923	158360.324735359	Down_gills_Up_gills_wssv
XM_027355470.1	797.957366716318	38268.5787507347	-16.5926655310082	1	-5.58370484364256	0	5.58370484364256	2231	5209	4497	2769	6111	6146	628.864172668643	1010.94370146028	754.064226020035	39728.8183002706	36835.4910601211	38241.4268918123	Down_gills_Up_gills_wssv
XM_027355501.1	493.987129246138	355655.777430715	-4.74368524283795	1	-9.49179243105746	0	9.49179243105746	3176	1760	1462	25126	83899	32263	895.236491436849	341.574374077575	245.150522223992	360500.645941711	505720.972746376	200745.713604058	Down_gills_Up_gills_wssv
XM_027355517.1	494.197732338558	742616.220045219	-5.94603294003764	1	-10.5533127204246	0	10.5533127204246	1263	3879	2229	55562	160946	74013	356.008718099729	752.822157413018	373.762321502926	797187.649837354	970139.902497505	460521.107800798	Down_gills_Up_gills_wssv
XM_027355548.1	162.109228756767	6029.47296465134	-3.16551471072905	1	-5.21699377202199	0	5.21699377202199	738	589	978	441	1434	501	208.024096561837	114.310969506643	163.992620201822	6327.34159278416	8643.77257080899	3117.30473036088	Down_gills_Up_gills_wssv
XM_027355691.1	283.008882586339	2274.85054689748	-2.24087366565461	1	-3.0068525266026	0	3.0068525266026	951	1529	1695	128	523	295	268.063571585782	296.742737479893	284.220338693342	1836.50731037726	3152.50561682922	1835.53871348595	Down_gills_Up_gills_wssv
XM_027356049.1	115.718648592422	1488.12100378168	-2.23399517685791	1	-3.68479855603496	0	3.68479855603496	246	742	798	110	165	304	69.3413655206123	144.004650889523	133.809929367131	1578.24846985546	994.576341829486	1891.53819966009	Down_gills_Up_gills_wssv
XM_027356054.1	117.528645702624	1538.19790541656	-2.23507861440387	1	-3.71015679490829	0	3.71015679490829	263	709	840	126	157	299	74.1332485037441	137.600131375568	140.852557228559	1807.81188365262	946.354458589268	1860.42737400779	Down_gills_Up_gills_wssv
