ID	lminusProb
XM_027350646.1	0
XM_027350741.1	0
XM_027350745.1	0
XM_027350808.1	0
XM_027350816.1	0
XM_027350903.1	0
XM_027351020.1	0
XM_027351045.1	0
XM_027351390.1	0
XM_027351566.1	0
XM_027351589.1	0
XM_027351643.1	0
XM_027351757.1	0
XM_027352003.1	0
XM_027352008.1	0
XM_027352207.1	0
XM_027352485.1	0
XM_027352529.1	0
XM_027352531.1	0
XM_027352532.1	0
XM_027352533.1	0
XM_027352577.1	0
XM_027352601.1	0
XM_027353338.1	0
XM_027353405.1	0
XM_027353474.1	0
XM_027353846.1	0
XM_027354081.1	0
XM_027354134.1	0
XM_027354252.1	0
XM_027354398.1	0
XM_027354401.1	0
XM_027354402.1	0
XM_027354403.1	0
XM_027354404.1	0
XM_027354405.1	0
XM_027354406.1	0
XM_027354407.1	0
XM_027354458.1	0
XM_027354464.1	0
XM_027354496.1	0
XM_027354500.1	0
XM_027354657.1	0
XM_027354659.1	0
XM_027354924.1	0
XM_027355086.1	0
XM_027355188.1	0
XM_027355305.1	0
XM_027355343.1	0
XM_027355403.1	0
XM_027355437.1	0
XM_027355470.1	0
XM_027355501.1	0
XM_027355517.1	0
XM_027355548.1	0
XM_027355691.1	0
XM_027356049.1	0
XM_027356054.1	0
XM_027356096.1	0
XM_027356112.1	0
XM_027356199.1	0
XM_027356446.1	0
XM_027356932.1	0
XM_027357068.1	0
XM_027357118.1	0
XM_027357467.1	0
XM_027357500.1	0
XM_027357590.1	0
XM_027357703.1	0
XM_027357773.1	0
XM_027358062.1	0
XM_027358255.1	0
XM_027358256.1	0
XM_027358263.1	0
XM_027358265.1	0
XM_027358295.1	0
XM_027358297.1	0
XM_027358298.1	0
XM_027358299.1	0
XM_027358428.1	0
XM_027358478.1	0
XM_027358532.1	0
XM_027358610.1	0
XM_027358642.1	0
XM_027358656.1	0
XM_027358747.1	0
XM_027358829.1	0
XM_027358888.1	0
XM_027358916.1	0
XM_027359002.1	0
XM_027359025.1	0
XM_027359438.1	0
XM_027359452.1	0
XM_027359453.1	0
XM_027359454.1	0
XM_027359505.1	0
XM_027359897.1	0
XM_027359990.1	0
XM_027359991.1	0
XM_027360010.1	0
XM_027360170.1	0
XM_027360174.1	0
XM_027360292.1	0
XM_027360527.1	0
XM_027360592.1	0
XM_027360596.1	0
XM_027360660.1	0
XM_027360765.1	0
XM_027360766.1	0
XM_027360767.1	0
XM_027360768.1	0
XM_027360769.1	0
XM_027361043.1	0
XM_027361130.1	0
XM_027361151.1	0
XM_027361152.1	0
XM_027361312.1	0
XM_027361461.1	0
XM_027361530.1	0
XM_027362043.1	0
XM_027362049.1	0
XM_027362214.1	0
XM_027362354.1	0
XM_027362417.1	0
XM_027362418.1	0
XM_027362420.1	0
XM_027362524.1	0
XM_027362629.1	0
XM_027362689.1	0
XM_027362696.1	0
XM_027362968.1	0
XM_027363246.1	0
XM_027363289.1	0
XM_027363347.1	0
XM_027363355.1	0
XM_027363614.1	0
XM_027363840.1	0
XM_027363841.1	0
XM_027363923.1	0
XM_027364093.1	0
XM_027364183.1	0
XM_027364210.1	0
XM_027364661.1	0
XM_027364703.1	0
XM_027364727.1	0
XM_027364734.1	0
XM_027364743.1	0
XM_027364947.1	0
XM_027364949.1	0
XM_027365087.1	0
XM_027365098.1	0
XM_027365178.1	0
XM_027365187.1	0
XM_027365263.1	0
XM_027365500.1	0
XM_027365742.1	0
XM_027366117.1	0
XM_027366414.1	0
XM_027366812.1	0
XM_027366814.1	0
XM_027366817.1	0
XM_027366879.1	0
XM_027367082.1	0
XM_027367083.1	0
XM_027367125.1	0
XM_027367126.1	0
XM_027367127.1	0
XM_027367238.1	0
XM_027367421.1	0
XM_027367425.1	0
XM_027367656.1	0
XM_027367657.1	0
XM_027367661.1	0
XM_027367710.1	0
XM_027367796.1	0
XM_027367803.1	0
XM_027367804.1	0
XM_027367809.1	0
XM_027367818.1	0
XM_027367830.1	0
XM_027367859.1	0
XM_027368359.1	0
XM_027368427.1	0
XM_027368539.1	0
XM_027368628.1	0
XM_027368632.1	0
XM_027368737.1	0
XM_027368852.1	0
XM_027368853.1	0
XM_027368871.1	0
XM_027368913.1	0
XM_027369103.1	0
XM_027369104.1	0
XM_027369109.1	0
XM_027369261.1	0
XM_027369372.1	0
XM_027369398.1	0
XM_027369568.1	0
XM_027369603.1	0
XM_027369775.1	0
XM_027370192.1	0
XM_027370227.1	0
XM_027370273.1	0
XM_027370345.1	0
XM_027370440.1	0
XM_027370554.1	0
XM_027370788.1	0
XM_027370793.1	0
XM_027370803.1	0
XM_027370864.1	0
XM_027370944.1	0
XM_027371099.1	0
XM_027371154.1	0
XM_027371421.1	0
XM_027371659.1	0
XM_027371685.1	0
XM_027371799.1	0
XM_027371805.1	0
XM_027371894.1	0
XM_027371908.1	0
XM_027372154.1	0
XM_027372426.1	0
XM_027372752.1	0
XM_027372885.1	0
XM_027373008.1	0
XM_027373009.1	0
XM_027373010.1	0
XM_027373179.1	0
XM_027373204.1	0
XM_027373414.1	0
XM_027373452.1	0
XM_027373787.1	0
XM_027373871.1	0
XM_027373900.1	0
XM_027373901.1	0
XM_027374155.1	0
XM_027374162.1	0
XM_027374164.1	0
XM_027374305.1	0
XM_027374367.1	0
XM_027374369.1	0
XM_027374410.1	0
XM_027374411.1	0
XM_027374526.1	0
XM_027374785.1	0
XM_027374837.1	0
XM_027375207.1	0
XM_027375208.1	0
XM_027375215.1	0
XM_027375217.1	0
XM_027375219.1	0
XM_027375471.1	0
XM_027375571.1	0
XM_027375713.1	0
XM_027375883.1	0
XM_027376187.1	0
XM_027376356.1	0
XM_027376449.1	0
XM_027376451.1	0
XM_027376504.1	0
XM_027376734.1	0
XM_027376764.1	0
XM_027376991.1	0
XM_027376999.1	0
XM_027377002.1	0
XM_027377062.1	0
XM_027377063.1	0
XM_027377499.1	0
XM_027377685.1	0
XM_027377718.1	0
XM_027377795.1	0
XM_027378026.1	0
XM_027378347.1	0
XM_027378379.1	0
XM_027378663.1	0
XM_027378722.1	0
XM_027378888.1	0
XM_027379054.1	0
XM_027379273.1	0
XM_027379385.1	0
XM_027379437.1	0
XM_027379459.1	0
XM_027379462.1	0
XM_027379475.1	0
XM_027379547.1	0
XM_027379583.1	0
XM_027379704.1	0
XM_027379795.1	0
XM_027379877.1	0
XM_027379910.1	0
XM_027379913.1	0
XM_027380048.1	0
XM_027380256.1	0
XM_027380658.1	0
XM_027380707.1	0
XM_027380760.1	0
XM_027380761.1	0
XM_027380834.1	0
XM_027380909.1	0
XM_027381124.1	0
XM_027381226.1	0
XM_027381662.1	0
XM_027381934.1	0
XM_027382473.1	0
XM_027382608.1	0
XM_027382717.1	0
XM_027382967.1	0
XM_027382975.1	0
XM_027383083.1	0
XM_027383125.1	0
XM_027383204.1	0
XM_027383208.1	0
XM_027383210.1	0
XM_027383212.1	0
XM_027383213.1	0
XM_027383215.1	0
XM_027383242.1	0
XM_027383539.1	0
XM_027383548.1	0
XM_027383586.1	0
XM_027383754.1	0
XR_003475422.1	0
XR_003475525.1	0
XR_003475681.1	0
XR_003476177.1	0
XR_003476318.1	0
XR_003476398.1	0
XR_003476515.1	0
XR_003476650.1	0
XR_003476652.1	0
XR_003476656.1	0
XR_003476663.1	0
XR_003476667.1	0
XR_003476669.1	0
XR_003476673.1	0
XR_003476677.1	0
XR_003476679.1	0
XR_003476680.1	0
XR_003476716.1	0
XR_003476719.1	0
XR_003476921.1	0
XR_003476944.1	0
XR_003476979.1	0
XR_003477145.1	0
XR_003477154.1	0
XR_003477391.1	0
XR_003477496.1	0
XR_003477497.1	0
XR_003477569.1	0
XR_003477589.1	0
XR_003477592.1	0
XR_003477872.1	0
XR_003477873.1	0
XR_003477874.1	0
XR_003477979.1	0
XM_027350641.1	1.11022302462516e-16
XM_027351148.1	1.11022302462516e-16
XM_027351161.1	1.11022302462516e-16
XM_027351168.1	1.11022302462516e-16
XM_027352883.1	1.11022302462516e-16
XM_027354498.1	1.11022302462516e-16
XM_027355178.1	1.11022302462516e-16
XM_027356320.1	1.11022302462516e-16
XM_027357059.1	1.11022302462516e-16
XM_027357523.1	1.11022302462516e-16
XM_027358300.1	1.11022302462516e-16
XM_027358657.1	1.11022302462516e-16
XM_027359664.1	1.11022302462516e-16
XM_027359677.1	1.11022302462516e-16
XM_027359789.1	1.11022302462516e-16
XM_027360084.1	1.11022302462516e-16
XM_027361041.1	1.11022302462516e-16
XM_027361044.1	1.11022302462516e-16
XM_027361129.1	1.11022302462516e-16
XM_027361310.1	1.11022302462516e-16
XM_027363341.1	1.11022302462516e-16
XM_027364309.1	1.11022302462516e-16
XM_027364364.1	1.11022302462516e-16
XM_027365246.1	1.11022302462516e-16
XM_027365880.1	1.11022302462516e-16
XM_027365885.1	1.11022302462516e-16
XM_027366979.1	1.11022302462516e-16
XM_027367071.1	1.11022302462516e-16
XM_027367128.1	1.11022302462516e-16
XM_027367659.1	1.11022302462516e-16
XM_027368370.1	1.11022302462516e-16
XM_027369113.1	1.11022302462516e-16
XM_027370413.1	1.11022302462516e-16
XM_027370922.1	1.11022302462516e-16
XM_027373096.1	1.11022302462516e-16
XM_027373523.1	1.11022302462516e-16
XM_027373733.1	1.11022302462516e-16
XM_027374368.1	1.11022302462516e-16
XM_027374858.1	1.11022302462516e-16
XM_027375020.1	1.11022302462516e-16
XM_027375203.1	1.11022302462516e-16
XM_027375204.1	1.11022302462516e-16
XM_027375390.1	1.11022302462516e-16
XM_027376185.1	1.11022302462516e-16
XM_027376935.1	1.11022302462516e-16
XM_027377001.1	1.11022302462516e-16
XM_027377733.1	1.11022302462516e-16
XM_027378382.1	1.11022302462516e-16
XM_027379166.1	1.11022302462516e-16
XM_027381445.1	1.11022302462516e-16
XM_027383209.1	1.11022302462516e-16
XM_027383211.1	1.11022302462516e-16
XM_027383214.1	1.11022302462516e-16
XM_027383359.1	1.11022302462516e-16
XM_027383410.1	1.11022302462516e-16
XM_027383657.1	1.11022302462516e-16
XR_003476198.1	1.11022302462516e-16
XR_003476216.1	1.11022302462516e-16
XR_003476243.1	1.11022302462516e-16
XR_003476365.1	1.11022302462516e-16
XR_003476366.1	1.11022302462516e-16
XR_003476769.1	1.11022302462516e-16
XR_003476928.1	1.11022302462516e-16
XR_003477177.1	1.11022302462516e-16
XR_003477366.1	1.11022302462516e-16
XR_003477491.1	1.11022302462516e-16
XR_003477537.1	1.11022302462516e-16
XR_003477939.1	1.11022302462516e-16
XM_027352016.1	2.22044604925031e-16
