ID	logFC	logCPM	PValue	FDR	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XM_027372348.1	12.164333274915	13.0240572126284	8.63793187917729e-45	1.49902669831243e-40	308	719	638	33850	120022	50419	2.82719018650621	4.54410679112132	3.50726534741757	15621.3093423993	23925.8021819376	10422.6060491334	Down_gills_Up_gills_wssv
XR_003476660.1	10.0819275308654	8.88958256429484	2.87737493306196e-40	2.49669822941786e-36	129	95	153	1987	4550	4940	1.18411537032241	0.600403539856086	0.841084009647159	916.973165830057	907.02037899565	1021.19585637794	Down_gills_Up_gills_wssv
XR_003476661.1	9.79977196259211	8.11682651042075	3.48832202737352e-39	2.01787801543467e-35	92	70	106	1273	2741	2574	0.844485380384973	0.44240260831501	0.582711797533326	587.471987972654	546.405023918039	532.096788323241	Down_gills_Up_gills_wssv
XM_027367830.1	10.3839127325112	9.59513073815666	8.80029909098696e-39	3.81800976062469e-35	89	154	304	3296	9463	5959	0.816947813633289	0.973285738293023	1.67117345707671	1521.05865856863	1886.40304317271	1231.84334173201	Down_gills_Up_gills_wssv
XR_003476932.1	10.7677590757994	13.240583540106	1.44528755000194e-38	5.01630402854672e-35	896	1683	2623	62402	71789	72237	8.22455326983626	10.6366227113452	14.4193683483954	28797.6645667475	14310.7881291689	14932.818841533	Down_gills_Up_gills_wssv
XR_003476652.1	9.83356930052408	8.78574389242399	4.89863000503655e-38	1.41684708512341e-34	142	112	162	2131	4909	3316	1.30344482624637	0.707844173304017	0.890559539626404	983.427184893735	978.585283624098	685.482886588915	Down_gills_Up_gills_wssv
XM_027360619.1	11.2325233039572	10.5427778432238	7.35447561450934e-38	1.82327956877422e-34	93	238	246	5510	22808	8994	0.853664569302201	1.50416886827104	1.35233115276602	2542.78920167268	4546.66391299622	1859.23796199659	Down_gills_Up_gills_wssv
XR_003476663.1	9.50103137680548	8.32869454754769	3.95037062323362e-37	8.56934147444953e-34	135	114	128	1426	3614	2661	1.23919050382578	0.720484247827303	0.703651981927035	658.079383227812	720.433329602259	550.081411704796	Down_gills_Up_gills_wssv
XR_003476667.1	9.87703240113853	7.74319384397287	5.81577676550712e-37	1.12141099987345e-33	57	54	91	1116	2389	1429	0.523213768281994	0.341282012128722	0.500252580901251	515.018647743505	476.235535257276	295.402607037262	Down_gills_Up_gills_wssv
XM_027378844.1	9.87368690027937	7.22197708056179	1.47643671634941e-36	2.56220827755276e-33	47	51	37	552	1856	1316	0.431421879109715	0.322321900343793	0.203399401025784	254.740406410766	369.984576574929	272.043268622139	Down_gills_Up_gills_wssv
XM_027380944.1	11.1610376152585	11.8454652363764	2.14332312036002e-36	3.09960245256064e-33	261	663	554	19458	47696	17342	2.3957683073965	4.19018470446931	3.04549373427795	8979.5993259795	9507.9657135333	3584.93492738992	Down_gills_Up_gills_wssv
XR_003476656.1	9.61256897997694	8.6796115787531	2.04851100126764e-36	3.09960245256064e-33	164	127	152	1921	4576	3196	1.50538698242539	0.802644732228662	0.835586728538354	886.515073759205	912.203352589911	660.676509510908	Down_gills_Up_gills_wssv
