ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XM_027350613.1	6.47439401884718	3.35299439926553	9.50535003088371	1.06817115339794e-05	0.000475308774258151	4.03094483351563	62	377	174	93	545	893	0.569109712868134	2.38265404763941	0.956526912932063	42.9182206452921	108.643100341237	184.600789422166	Down_gills_Up_gills_wssv
XM_027350635.1	11.458589900818	10.5927507644128	16.8341172061598	1.23783205292891e-07	2.10601347514984e-05	8.18391686086361	1116	11467	5990	211787	580549	237173	10.2439748316264	72.4718672792604	32.9287138417417	97736.787051661	115729.620660559	49028.3572560171	Down_gills_Up_gills_wssv
XM_027350641.1	6.15317074216751	5.12550424334335	14.1660819946715	4.8628594864476e-07	5.30755116527118e-05	6.9256805334828	480	557	828	681	2372	831	4.40601068026943	3.52026075473516	4.55174875809051	314.272131821977	472.846667907183	171.784161265196	Down_gills_Up_gills_wssv
XM_027350646.1	6.55676711610062	3.64367242900289	5.4525816483799	0.000563514642340369	0.00971125432291437	0.0626782515405857	160	149	269	489	2595	76	1.46867022675648	0.941685551984808	1.47876861826853	225.666773070407	517.300633734882	15.7107054827375	Down_gills_Up_gills_wssv
XM_027350661.1	3.32036153053564	0.729674829719805	5.41843905567292	0.000587259464685089	0.0100209446904081	0.177805762620402	85	78	71	11	35	17	0.780231057964377	0.492962906408155	0.390306958725152	5.07634867847541	6.97707983842808	3.5142367527176	Down_gills_Up_gills_wssv
XM_027350662.1	3.23045657177234	0.464710220171606	5.31796781735755	0.000663714552873954	0.0109383688039645	0.0626735553965823	63	49	93	7	26	19	0.578288901785362	0.309681825820507	0.511247143118861	3.23040370448435	5.18297359426086	3.92767637068437	Down_gills_Up_gills_wssv
XM_027350663.1	4.28189802220748	0.834621817645632	6.52487092132259	0.000166559797147342	0.00375874996059163	1.35190140425311	74	45	65	17	63	21	0.67925997987487	0.284401676773935	0.357323272072323	7.84526613946199	12.5587437091705	4.34111598865115	Down_gills_Up_gills_wssv
XM_027350664.1	3.54956990402919	1.47509381413383	6.75728749452486	0.000130282284979168	0.00316306699642974	1.6040535008914	69	141	181	13	66	47	0.63336403528873	0.891125253891664	0.995007880693698	5.99932116547093	13.1567791238929	9.71583102221924	Down_gills_Up_gills_wssv
XM_027350691.1	3.45415376111002	0.876879919386066	3.97521649533118	0.00391477507458395	0.0391568962897035	-1.65335831652242	19	174	135	16	47	17	0.174404589427331	1.09968648352588	0.74213294968867	7.38377989596423	9.3692214973177	3.5142367527176	Down_gills_Up_gills_wssv
XM_027350741.1	3.36748017781281	5.78013228492538	10.9455895965134	3.63736465472532e-06	0.000221483600765274	5.08945693022215	2079	2833	2661	400	927	779	19.0835337589169	17.9046655622346	14.62826503053	184.594497399106	184.792943149224	161.034731198059	Down_gills_Up_gills_wssv
XM_027350745.1	3.38760694561501	4.17142890660496	9.30608750797604	1.25346288116519e-05	0.000539782330915303	3.88515600978669	490	1029	1066	128	366	222	4.49780256944171	6.50331834223065	5.86010166198609	59.0702391677138	72.9603205961336	45.8917975943122	Down_gills_Up_gills_wssv
