ID	adj.P.Val
XM_027355517.1	5.45710342455248e-06
XM_027358241.1	5.45710342455248e-06
XM_027359025.1	5.45710342455248e-06
XM_027360619.1	5.45710342455248e-06
XM_027367830.1	5.45710342455248e-06
XM_027372170.1	5.45710342455248e-06
XM_027372172.1	5.45710342455248e-06
XM_027372348.1	5.45710342455248e-06
XM_027380316.1	5.45710342455248e-06
XM_027380944.1	5.45710342455248e-06
XR_003476652.1	5.45710342455248e-06
XR_003476653.1	5.45710342455248e-06
XR_003476656.1	5.45710342455248e-06
XR_003476659.1	5.45710342455248e-06
XR_003476660.1	5.45710342455248e-06
XR_003476661.1	5.45710342455248e-06
XR_003476663.1	5.45710342455248e-06
XR_003476670.1	5.45710342455248e-06
XR_003476673.1	5.45710342455248e-06
XR_003476677.1	5.45710342455248e-06
XR_003476679.1	5.45710342455248e-06
XR_003476680.1	5.45710342455248e-06
XR_003476921.1	5.45710342455248e-06
XR_003476923.1	5.45710342455248e-06
XR_003476926.1	5.45710342455248e-06
XR_003476928.1	5.45710342455248e-06
XR_003476932.1	5.45710342455248e-06
XR_003476939.1	5.45710342455248e-06
XR_003476942.1	5.45710342455248e-06
XR_003476944.1	5.45710342455248e-06
XR_003476946.1	5.45710342455248e-06
XR_003476963.1	5.45710342455248e-06
XR_003476970.1	5.45710342455248e-06
XR_003477366.1	5.45710342455248e-06
XR_003477966.1	5.71021572843345e-06
XM_027374657.1	5.75992492486243e-06
XR_003476650.1	5.90819013782931e-06
XM_027380075.1	6.25887399337666e-06
XM_027354659.1	6.48150503788471e-06
XM_027356386.1	6.48150503788471e-06
XM_027357325.1	6.48150503788471e-06
XM_027363923.1	6.48150503788471e-06
XM_027366244.1	6.48150503788471e-06
XM_027383358.1	6.48150503788471e-06
XR_003476667.1	6.48150503788471e-06
XM_027375641.1	6.81407501865681e-06
XM_027383359.1	6.98949911900715e-06
XR_003476666.1	7.02211703636981e-06
XM_027375643.1	7.06311796571427e-06
XM_027373751.1	7.08176501388395e-06
XR_003476655.1	7.08176501388395e-06
XR_003476669.1	7.08176501388395e-06
XM_027365185.1	7.10505139772386e-06
XM_027367288.1	7.29054067249426e-06
XM_027378844.1	7.29054067249426e-06
XM_027351335.1	7.3029411558595e-06
XM_027356240.1	7.3029411558595e-06
XM_027366243.1	7.3029411558595e-06
XM_027378722.1	7.3029411558595e-06
XM_027380540.1	7.3029411558595e-06
XM_027382190.1	7.3029411558595e-06
XM_027382723.1	7.3029411558595e-06
XM_027363063.1	7.48135101419714e-06
XM_027380183.1	7.53186253724485e-06
XM_027371512.1	8.02672409161976e-06
XM_027354652.1	8.0899218082814e-06
XM_027368042.1	8.26998521880197e-06
XM_027353906.1	8.30259666235709e-06
XM_027366245.1	8.30259666235709e-06
XM_027382463.1	8.30259666235709e-06
XM_027383657.1	8.30259666235709e-06
XR_003475422.1	8.30259666235709e-06
XM_027366246.1	8.67787079421853e-06
XM_027379219.1	8.67787079421853e-06
XM_027372558.1	9.44565202352348e-06
XM_027373268.1	9.86354746165682e-06
XM_027360908.1	1.12524958299002e-05
XM_027375202.1	1.12524958299002e-05
XM_027378215.1	1.12524958299002e-05
XM_027360660.1	1.20526187616875e-05
XM_027351020.1	1.22383751547304e-05
XM_027351384.1	1.22383751547304e-05
XM_027362418.1	1.22383751547304e-05
XR_003475976.1	1.22383751547304e-05
XM_027363841.1	1.31309803686122e-05
XR_003477060.1	1.35290874603939e-05
XM_027357773.1	1.35629413068499e-05
XM_027363840.1	1.38584035943981e-05
XM_027373896.1	1.38584035943981e-05
XR_003476675.1	1.3888212466716e-05
XM_027355470.1	1.41743771369136e-05
XM_027378492.1	1.42608117651795e-05
XM_027363716.1	1.44103577737091e-05
XM_027364360.1	1.44103577737091e-05
XM_027355501.1	1.5523171213534e-05
XM_027357059.1	1.78229564821454e-05
XM_027362420.1	1.81333395824066e-05
XM_027358829.1	1.89179562171534e-05
XM_027365653.1	1.95076302718069e-05
XM_027376794.1	1.98215747455238e-05
XM_027358612.1	2.08570941139407e-05
XM_027350635.1	2.10601347514984e-05
XM_027383578.1	2.17735926085277e-05
XM_027368846.1	2.19606838814781e-05
XR_003476853.1	2.19606838814781e-05
XM_027355474.1	2.21156848630898e-05
XM_027357423.1	2.28014235672155e-05
XM_027360292.1	2.28014235672155e-05
XM_027377718.1	2.28014235672155e-05
XM_027381669.1	2.28014235672155e-05
XM_027360537.1	2.3145579418024e-05
XM_027364362.1	2.3145579418024e-05
XM_027364364.1	2.3145579418024e-05
XR_003477346.1	2.3145579418024e-05
XM_027364093.1	2.35075586423951e-05
XM_027353475.1	2.39389962162029e-05
XM_027358748.1	2.40330245750679e-05
XM_027367658.1	2.40330245750679e-05
XM_027358657.1	2.54677891705199e-05
XM_027358747.1	2.54677891705199e-05
XM_027370413.1	2.54677891705199e-05
XM_027374477.1	2.86229849366952e-05
XM_027356320.1	2.95821961525794e-05
XM_027351167.1	2.96795609062942e-05
XM_027357424.1	2.96795609062942e-05
XM_027361461.1	2.96795609062942e-05
XM_027364363.1	2.96795609062942e-05
XM_027368370.1	2.96795609062942e-05
XM_027368371.1	2.96795609062942e-05
XM_027359690.1	3.04655724120977e-05
XM_027359800.1	3.04655724120977e-05
XM_027377499.1	3.04655724120977e-05
XM_027367659.1	3.22525701863077e-05
XM_027369261.1	3.22525701863077e-05
XM_027383755.1	3.22525701863077e-05
XM_027351642.1	3.39691949631544e-05
XM_027356994.1	3.49155669688253e-05
XM_027367656.1	3.54425600494132e-05
XM_027367657.1	3.54425600494132e-05
XM_027365507.1	3.56556441299727e-05
XM_027377737.1	3.56556441299727e-05
XM_027380015.1	3.56556441299727e-05
XM_027355403.1	3.9270028643032e-05
XR_003475491.1	4.05905760304493e-05
XM_027359438.1	4.07756556397635e-05
XM_027368628.1	4.07756556397635e-05
XM_027359897.1	4.11700506181384e-05
XM_027367661.1	4.11700506181384e-05
XM_027383754.1	4.41012931242366e-05
XM_027367660.1	4.47271289092751e-05
XR_003477368.1	4.47271289092751e-05
XM_027374837.1	4.48454096866237e-05
XM_027377802.1	4.71461785976806e-05
XM_027369113.1	4.88040637845014e-05
XM_027372608.1	4.89489361970666e-05
XM_027374681.1	4.93089623216615e-05
XM_027350641.1	5.30755116527118e-05
XM_027361499.1	5.30755116527118e-05
XR_003477177.1	5.30755116527118e-05
XM_027356992.1	5.57989758527563e-05
XM_027377733.1	5.57989758527563e-05
XR_003476366.1	5.75812010915632e-05
XM_027375204.1	5.88853836507758e-05
XM_027368071.1	5.98757723620514e-05
XM_027356993.1	6.18365277037242e-05
XM_027358969.1	6.18365277037242e-05
XM_027367809.1	6.33021321820463e-05
XM_027356991.1	6.37097229503571e-05
XM_027351589.1	6.4362295929403e-05
XM_027374371.1	6.45197130871004e-05
XM_027374372.1	6.84412103869531e-05
XM_027377785.1	6.84412103869531e-05
XM_027358728.1	6.96399898235894e-05
XM_027367859.1	6.96399898235894e-05
XM_027377002.1	6.96399898235894e-05
XR_003476365.1	6.96399898235894e-05
XM_027369971.1	7.16700677480555e-05
XM_027374369.1	7.16700677480555e-05
XR_003476318.1	7.17147806819724e-05
XM_027380761.1	7.23959912248417e-05
XM_027368458.1	7.29867130533696e-05
XM_027369568.1	7.29867130533696e-05
XM_027365246.1	7.60015832692535e-05
XM_027376029.1	8.29869627443925e-05
XM_027376220.1	8.32104577650813e-05
XM_027355578.1	8.42922011741413e-05
XM_027383203.1	8.42922011741413e-05
XM_027374368.1	8.48757885526176e-05
XR_003476378.1	8.54166658055193e-05
XM_027362043.1	8.64081229215882e-05
XM_027377685.1	8.64081229215882e-05
XM_027366814.1	9.25304625751104e-05
XM_027373787.1	9.25304625751104e-05
XM_027383204.1	9.25304625751104e-05
XM_027357060.1	9.29149263418753e-05
XM_027358610.1	9.37795554660613e-05
XM_027368852.1	9.56577010396619e-05
XM_027357068.1	9.66976395672203e-05
XM_027371659.1	9.84688383509834e-05
XM_027360527.1	0.000101069183807729
XM_027375659.1	0.000101069183807729
XM_027374836.1	0.000102386697114579
XM_027367126.1	0.000103836414069026
XM_027382250.1	0.000103836414069026
XM_027366812.1	0.000104741741087185
XM_027374367.1	0.000104741741087185
XM_027375657.1	0.000104741741087185
XM_027374838.1	0.00010475776820325
XM_027377001.1	0.000104937223440521
XM_027359664.1	0.000105072981254611
XM_027375203.1	0.000105072981254611
XM_027357118.1	0.000106786012067794
XM_027371799.1	0.000106786012067794
XM_027380760.1	0.000106786012067794
XM_027379785.1	0.000107534772763287
XM_027357590.1	0.000108482153138871
XM_027353405.1	0.000108681560597
XM_027362214.1	0.000108681560597
XM_027368853.1	0.000108681560597
XM_027369109.1	0.000108681560597
XM_027371995.1	0.000115516109976073
XM_027370864.1	0.000121575589803023
XM_027370793.1	0.000122000649976644
XM_027351161.1	0.000122170697773786
XM_027363254.1	0.000122170697773786
XM_027367128.1	0.000122170697773786
XM_027375658.1	0.000125288559102713
XM_027358021.1	0.000126666191490076
XM_027369108.1	0.000130870438153935
XM_027366485.1	0.00013294719896709
XM_027380707.1	0.00013373349961019
XR_003476769.1	0.00013373349961019
XM_027367127.1	0.000134100672061572
XM_027383592.1	0.000137806449650536
XR_003476741.1	0.000142355178434278
XR_003477496.1	0.000143390399641806
XM_027351643.1	0.000146853247308126
XM_027374785.1	0.000147002135173843
XM_027377000.1	0.000147048909798724
XM_027361043.1	0.000148505062207712
XM_027373152.1	0.000148505062207712
XM_027370440.1	0.000156350824919453
XM_027383202.1	0.000158926419448975
XM_027364183.1	0.000160366926541914
XM_027361129.1	0.000161315588158822
XM_027366636.1	0.000161737695300664
XM_027361650.1	0.000162228336882494
XM_027368539.1	0.000165417384731034
XM_027352601.1	0.000165505501440321
XM_027353008.1	0.000166755029820278
XM_027361151.1	0.000166755029820278
XM_027383193.1	0.000166755029820278
XM_027356059.1	0.00017042584761735
XM_027377064.1	0.00017042584761735
XR_003477497.1	0.000172383274888938
XM_027354715.1	0.000172929102859193
XM_027350816.1	0.000176914430101599
XR_003476177.1	0.000179777299589121
XM_027354924.1	0.000181052707633366
XM_027352554.1	0.000186249928673453
XM_027358642.1	0.000186249928673453
XM_027354401.1	0.000186455683826635
XM_027354404.1	0.000188870663849813
XM_027359677.1	0.000189332128277279
XM_027365263.1	0.000190822719922849
XM_027367874.1	0.000190822719922849
XM_027363289.1	0.000191898961841045
XM_027358060.1	0.000198239192905418
XM_027355548.1	0.000204634969865696
XM_027358254.1	0.000204634969865696
XM_027358265.1	0.000204634969865696
XM_027362824.1	0.000204634969865696
XM_027368457.1	0.000204634969865696
XM_027371908.1	0.000204634969865696
XM_027377063.1	0.000204634969865696
XM_027380909.1	0.000204634969865696
XM_027383410.1	0.000204634969865696
XM_027379911.1	0.000205295032526154
XM_027362968.1	0.000205375875318549
XM_027361130.1	0.00021195164991546
XM_027377062.1	0.000217231191815524
XM_027354540.1	0.000220761938237866
XM_027361042.1	0.000220761938237866
XM_027350741.1	0.000221483600765274
XR_003477872.1	0.000221483600765274
XM_027354403.1	0.0002234751797899
XM_027377816.1	0.000226226337236866
XM_027381835.1	0.000227076300237874
XR_003476716.1	0.000227076300237874
XM_027352531.1	0.00023409761954345
XM_027356198.1	0.000236868881226555
XM_027356096.1	0.000238136596892523
XM_027360766.1	0.000238136596892523
XM_027375208.1	0.000238136596892523
XM_027364171.1	0.000243425003127671
XM_027371451.1	0.000248945244680852
XM_027367818.1	0.00025151104831027
XM_027362689.1	0.000251772176056391
XM_027352533.1	0.000254836515050676
XM_027361044.1	0.000254836515050676
XM_027379912.1	0.000262552112973462
XM_027361152.1	0.000263713084494023
XM_027351390.1	0.000264040027188182
XM_027354407.1	0.000264040027188182
XM_027371099.1	0.000264040027188182
XM_027376999.1	0.000275146854850431
XR_003475681.1	0.000275618876536784
XR_003476557.1	0.000276613971196577
XM_027352008.1	0.000281267412238706
XM_027366117.1	0.000281267412238706
XM_027367902.1	0.000281267412238706
XM_027364309.1	0.000284579567584942
XM_027366879.1	0.000285989077502998
XM_027383539.1	0.000295254989104575
XM_027373010.1	0.000300552267042691
XM_027362696.1	0.000302542410849709
XM_027354402.1	0.000303516479261067
XR_003477873.1	0.000306852961719421
XM_027359454.1	0.000307598029396449
XM_027367796.1	0.000307972613388039
XM_027383548.1	0.000308888139352782
XM_027354406.1	0.00030937666781032
XM_027359452.1	0.000312063139042506
XM_027375799.1	0.000314010406061044
XM_027379437.1	0.000314010406061044
XM_027355343.1	0.000326349848053953
XM_027364210.1	0.000326349848053953
XM_027360767.1	0.000328572617969997
XM_027356199.1	0.000336042291576352
XM_027360769.1	0.000339604320385318
XM_027380439.1	0.000340431162700138
XM_027359019.1	0.000341278588116319
XM_027360765.1	0.000341278588116319
XM_027363246.1	0.000341278588116319
XM_027367795.1	0.000341278588116319
XM_027373733.1	0.000341278588116319
XM_027374604.1	0.000341278588116319
XM_027376213.1	0.000341278588116319
XM_027354405.1	0.000341821274157775
XM_027354081.1	0.000346114394151859
XR_003477874.1	0.000346114394151859
XM_027351757.1	0.000367839527873046
XM_027379913.1	0.000367839527873046
XM_027361041.1	0.000373159275940473
XM_027381158.1	0.000375457162560161
XM_027357170.1	0.000379231149867141
XM_027358532.1	0.000379231149867141
XM_027370466.1	0.000387197409652307
XM_027373995.1	0.000394306143240794
XM_027364308.1	0.00040041048082856
XM_027383210.1	0.00040041048082856
XM_027351178.1	0.000402634212911399
XM_027361312.1	0.000402634212911399
XM_027377237.1	0.00040377992314623
XM_027359453.1	0.000414247539459619
XM_027351168.1	0.000416513877294289
XM_027354458.1	0.000427480119966703
XM_027370227.1	0.000429168712179835
XM_027372948.1	0.000429168712179835
XM_027381456.1	0.000429168712179835
XM_027373008.1	0.000431966214848144
XM_027357171.1	0.000432369464037335
XM_027360768.1	0.000432369464037335
XM_027372885.1	0.000432369464037335
XM_027383125.1	0.000432369464037335
XM_027357467.1	0.000435840081564175
XM_027376991.1	0.000436431577330144
XM_027353375.1	0.00043869294246426
XM_027373009.1	0.000442476550089177
XM_027364571.1	0.000442787212444247
XM_027380256.1	0.000445237893589487
XM_027368535.1	0.000446558046620579
XM_027351148.1	0.000446998977054582
XM_027354657.1	0.000447376474450837
XM_027383215.1	0.000450181782249038
XM_027370192.1	0.000455263860020459
XM_027373900.1	0.000455405059965718
XM_027373901.1	0.000455405059965718
XM_027362524.1	0.000460072009404124
XM_027383212.1	0.000460709651858838
XM_027379910.1	0.000462974019967029
XM_027367395.1	0.000464244293804056
XM_027358779.1	0.000466575207505009
XM_027352532.1	0.000471450865296663
XM_027369338.1	0.000471450865296663
XM_027372154.1	0.000471450865296663
XM_027376935.1	0.000471450865296663
XM_027381934.1	0.000471450865296663
XR_003475593.1	0.000471450865296663
XM_027350613.1	0.000475308774258151
XM_027355227.1	0.000480195607519753
XM_027378381.1	0.000481565420136485
XM_027363409.1	0.000487888086091443
XM_027374410.1	0.000489895580804595
XM_027383213.1	0.000489996199215243
XM_027367868.1	0.000506812308456225
XM_027383214.1	0.000519942274927427
XM_027370788.1	0.00052566367565396
XR_003475525.1	0.000530086298366491
XM_027350745.1	0.000539782330915303
XM_027358428.1	0.000539782330915303
XM_027383207.1	0.000539782330915303
XR_003476295.1	0.000539782330915303
XM_027354252.1	0.000544314351310428
XM_027375174.1	0.000544314351310428
XM_027357500.1	0.000544775425178107
XM_027367421.1	0.000544775425178107
XM_027383209.1	0.000545211365004786
XM_027371337.1	0.000547916877518611
XM_027375571.1	0.000550958409381979
XM_027357169.1	0.000566209573880697
XM_027361417.1	0.000569353408494942
XM_027361565.1	0.000570087652869111
XM_027354398.1	0.000570577389404561
XR_003477979.1	0.000570577389404561
XM_027374155.1	0.000573918561053311
XM_027380658.1	0.000573918561053311
