	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3
XM_027350592.1	75	16	43	125	123	129
XM_027350593.1	78	15	41	115	133	135
XM_027350594.1	72	28	50	142	114	121
XM_027350595.1	75	14	23	125	146	151
XM_027350596.1	46	39	42	13	37	57
XM_027350597.1	510	184	420	1022	703	1358
XM_027350598.1	27	34	0	2	0	0
XM_027350603.1	889	333	633	1733	1797	2421
XM_027350604.1	148	56	45	221	123	340
XM_027350605.1	158	51	48	312	115	400
XM_027350606.1	89	38	23	218	97	255
XM_027350607.1	79	26	20	225	98	242
XM_027350608.1	135	166	106	257	362	460
XM_027350609.1	2	0	0	0	3	0
XM_027350610.1	83	96	85	118	82	89
XM_027350614.1	1985	874	1279	2450	1758	3580
XM_027350615.1	1810	807	1302	2459	1793	3562
XM_027350616.1	1646	769	1234	2367	1707	3345
XM_027350617.1	308	120	136	568	459	744
XM_027350619.1	12956	5959	7086	12884	3753	5873
XM_027350620.1	28	19	14	22	20	51
XM_027350621.1	37	18	10	53	27	54
XM_027350627.1	3650	1227	2217	5673	5747	8465
XM_027350629.1	17	24	39	27	11	28
XM_027350631.1	24	17	11	5	79	323
XM_027350635.1	1786	731	1208	2481	3034	2613
XM_027350640.1	32820	20919	29776	55421	37908	35845
XM_027350641.1	304	216	152	282	209	502
XM_027350642.1	3	0	5	0	8	11
XM_027350644.1	22	23	11	7	24	40
XM_027350645.1	26	25	4	5	19	59
XM_027350646.1	67	23	7	22	27	45
XM_027350647.1	529	223	200	322	359	542
XM_027350648.1	516	210	232	363	321	497
XM_027350649.1	478	166	213	335	355	516
XM_027350651.1	21	5	20	22	3	7
XM_027350652.1	15	16	10	10	3	4
XM_027350654.1	20	4	14	40	41	211
XM_027350655.1	23	11	20	43	43	200
XM_027350657.1	4	0	1	2	0	2
XM_027350660.1	94	91	44	65	46	139
XM_027350661.1	179	36	74	112	87	125
XM_027350662.1	172	43	65	85	88	129
XM_027350663.1	210	32	55	61	84	111
XM_027350664.1	290	31	96	242	211	238
XM_027350665.1	18	39	22	16	19	80
XM_027350666.1	63	39	25	77	36	87
XM_027350667.1	91	36	30	74	45	89
XM_027350668.1	19	2	15	22	34	14
XM_027350671.1	2177	729	822	1735	2789	4871
XM_027350673.1	57	13	45	105	154	138
XM_027350674.1	123	78	50	129	80	173
XM_027350677.1	22665	13639	12372	30289	26150	47680
XM_027350678.1	2472	916	1742	4972	5525	6761
XM_027350679.1	59	29	42	147	125	155
XM_027350680.1	254	92	116	388	265	375
XM_027350682.1	67	9	32	102	83	131
XM_027350683.1	120	29	65	234	228	256
XM_027350684.1	65	7	28	116	102	125
XM_027350685.1	44	19	18	68	58	85
XM_027350686.1	42	12	18	56	58	63
XM_027350687.1	100	45	119	307	385	301
XM_027350688.1	801	735	463	417	252	615
XM_027350689.1	827	688	514	458	216	455
XM_027350690.1	21	4	0	11	42	83
XM_027350691.1	36	26	18	21	9	24
XM_027350694.1	229	170	105	99	85	141
XM_027350697.1	1059	853	894	1331	1049	1322
XM_027350698.1	55	23	14	22	12	47
XM_027350699.1	1979	834	1052	3852	3693	5812
XM_027350702.1	2	4	0	9	14	16
XM_027350703.1	40878	50578	87470	21145	28700	30279
XM_027350704.1	22934	28036	49360	13000	19683	18541
XM_027350705.1	19988	23610	42502	11338	16974	15853
XM_027350716.1	26	14	18	43	34	55
XM_027350717.1	689	432	385	1314	1013	1237
XM_027350718.1	486	675	595	870	799	1799
XM_027350719.1	27	19	4	19	26	15
XM_027350720.1	2	6	4	18	25	34
XM_027350729.1	2	0	0	0	0	0
XM_027350736.1	58	54	23	27	17	80
XM_027350741.1	1323	288	614	2072	1535	2215
XM_027350742.1	56	5	3	13	13	28
XM_027350743.1	1267	238	636	2744	1592	2525
XM_027350744.1	485	240	255	594	627	2040
XM_027350745.1	201	55	123	497	487	479
XM_027350746.1	637	504	401	536	485	804
XM_027350749.1	286	362	331	616	1396	904
XM_027350750.1	304	70	154	533	371	638
XM_027350751.1	256	94	155	557	391	570
XM_027350752.1	303	74	157	549	370	572
XM_027350753.1	278	93	160	580	348	559
XM_027350754.1	288	77	158	550	373	553
XM_027350755.1	9659	8700	6836	6831	7483	10657
XM_027350756.1	1819	1970	1632	1995	2379	3809
XM_027350757.1	1128	537	940	2032	1457	2014
XM_027350758.1	4	0	1	0	0	0
XM_027350760.1	379	86	148	778	568	755
XM_027350761.1	327	83	176	732	576	852
XM_027350762.1	354	111	197	770	563	869
XM_027350764.1	2	0	16	4	2	13
XM_027350767.1	6095	5191	6119	11285	14823	21195
XM_027350768.1	402	370	284	267	133	228
XM_027350769.1	912	927	958	530	608	675
XM_027350771.1	842	900	1003	588	462	599
XM_027350772.1	95	39	48	62	44	83
XM_027350773.1	304	353	160	111	116	192
XM_027350774.1	323	47	122	363	296	612
XM_027350775.1	302	73	108	487	313	622
XM_027350776.1	3125	2306	2624	1644	2097	3132
XM_027350777.1	3250	2350	2786	1570	2157	3152
XM_027350778.1	3613	2850	2925	1744	2202	3403
XM_027350779.1	2009	1794	1027	2312	1880	3346
XM_027350780.1	481	288	328	824	617	1069
XM_027350784.1	25	16	9	40	32	76
XM_027350785.1	33	10	10	32	48	59
XM_027350786.1	39	7	14	42	25	59
XM_027350787.1	34	11	10	35	28	71
XM_027350788.1	44	18	14	49	36	71
XM_027350789.1	10	3	5	9	5	19
XM_027350790.1	118	43	48	206	210	235
XM_027350793.1	14	0	0	5	6	40
XM_027350797.1	4476	5823	3414	4442	4502	5912
XM_027350807.1	10	0	0	16	10	39
XM_027350811.1	15	27	10	20	3	35
XM_027350812.1	9	3	24	0	8	7
XM_027350813.1	279	87	198	695	393	827
XM_027350814.1	1500	1235	892	1877	2076	2616
XM_027350815.1	302	250	97	183	110	235
XM_027350816.1	225	72	138	320	398	441
XM_027350817.1	1682	1178	753	1988	1472	2288
XM_027350818.1	1548	1220	800	2020	1499	2156
XM_027350819.1	359	140	15	76	107	337
XM_027350820.1	60569	50377	68210	61488	92290	72644
XM_027350821.1	40733	36440	45137	35808	48671	45555
XM_027350822.1	4	0	0	0	2	0
XM_027350823.1	896	266	596	2019	1925	2169
XM_027350824.1	3878	4049	2853	4178	4267	5350
XM_027350825.1	3564	3625	2783	3897	4078	4890
XM_027350826.1	59	36	24	51	36	82
XM_027350827.1	111	50	42	76	49	90
XM_027350828.1	3	0	0	0	0	1
XM_027350831.1	17572	16259	13402	37100	19840	19277
XM_027350833.1	8797	7635	6458	19545	12184	10876
XM_027350834.1	2952	2370	1996	7658	5543	4215
XM_027350835.1	3020	2400	2100	7545	5463	4285
XM_027350836.1	139016	59593	42722	233058	57305	69930
XM_027350837.1	32796	24610	28067	76296	68039	47094
XM_027350838.1	20022	13646	16475	51728	44523	30338
